gene	Total_Number_Of_DEGs	Number_Of_SFARI_DEGs	Proportion_DEGs_SFARI_Genes	pval_SFARI	p_adj_SFARI	Pconvert_SFARI	sig_SFARI	OR_SFARI	lower.ci_SFARI	Number_Of_ID_DEGs	Proportion_DEGs_ID_Genes	pval_ID	p_adj_ID	Pconvert_ID	sig_ID	OR_ID	lower.ci_ID
KMT2E	659	100	0.151745068285281	1.48886262959912e-13	8.93317577759473e-13	12.0489941203392	< 0.0001	2.52113804819746	2.0665074226072	71	0.107738998482549	0.142727939313796	0.749959463332557	0.124962210377318	Not Significant	1.15932105206253	0.924725953044541
NR2F1-AS1	989	145	0.146612740141557	4.12634584306903e-18	7.42742251752425e-17	16.1291618700375	< 0.0001	2.50927702977452	2.12026621027472	89	0.089989888776542	0.734016391538877	0.816990610173612	0.0877829348668755	Not Significant	0.935318878094874	0.765212952668375
SETD2	542	78	0.143911439114391	1.18683862531218e-09	2.37367725062436e-09	8.6245783324757	< 0.0001	2.31884415952931	1.85634213998048	49	0.0904059040590406	0.671408536067205	0.816990610173612	0.0877829348668755	Not Significant	0.942893260597819	0.719740417501183
SETD1B	638	91	0.142633228840125	6.94094718439416e-11	1.78481499027278e-10	9.74840679516404	< 0.0001	2.31755649062879	1.88466823655543	60	0.0940438871473354	0.559031894165396	0.816990610173612	0.0877829348668755	Not Significant	0.986781529082702	0.772992490592113
SETD5	703	94	0.13371266002845	1.12073535555297e-09	2.37367725062436e-09	8.6245783324757	< 0.0001	2.14577330059679	1.7519805157035	66	0.0938833570412518	0.566111694998788	0.816990610173612	0.0877829348668755	Not Significant	0.984718276004469	0.780229187265246
CLASP1	728	96	0.131868131868132	1.53905886881919e-09	2.77030596387455e-09	8.55747226303509	< 0.0001	2.11280035927827	1.72872677087927	64	0.0879120879120879	0.771602242941744	0.816990610173612	0.0877829348668755	Not Significant	0.911595191476203	0.720202437647211
PPP3CA	1121	141	0.125780553077609	3.92639650403187e-12	1.41350274145147e-11	10.8497033448709	< 0.0001	2.06222528904835	1.74198144720699	110	0.0981266726137377	0.374979731666278	0.749959463332557	0.124962210377318	Not Significant	1.03911850777905	0.865916708377874
BAZ2B	717	92	0.128312412831241	1.3889581297637e-08	2.27284057597696e-08	7.64343102595637	< 0.0001	2.03721521493643	1.66096371089276	74	0.103207810320781	0.240289185143216	0.749959463332557	0.124962210377318	Not Significant	1.10195828302986	0.883418836904427
SRCAP	1506	180	0.119521912350598	2.32634057013462e-13	1.04685325656058e-12	11.9801141916091	< 0.0001	1.98943770760934	1.70784463494455	149	0.098937583001328	0.30710147074076	0.749959463332557	0.124962210377318	Not Significant	1.05195240963287	0.897348784893416
EHMT1	1716	199	0.115967365967366	1.46085579356585e-13	8.93317577759473e-13	12.0489941203392	< 0.0001	1.94498578082924	1.67933160030025	170	0.0990675990675991	0.285333558317935	0.749959463332557	0.124962210377318	Not Significant	1.0548657420994	0.907749266391016
SOX2-OT	1720	191	0.111046511627907	3.51947589925858e-11	1.05584276977757e-10	9.97640074970182	< 0.0001	1.82185131814744	1.57016428738612	157	0.0912790697674419	0.735583590422445	0.816990610173612	0.0877829348668755	Not Significant	0.94785293002528	0.811923661592679
WDFY3	1602	163	0.101747815230961	6.34878949983233e-07	9.52318424974849e-07	6.02121781307878	< 0.0001	1.59791012808742	1.36520927434085	157	0.0980024968789014	0.349509873857004	0.749959463332557	0.124962210377318	Not Significant	1.03944432494369	0.889906740312123
POT1	848	88	0.10377358490566	0.00017855137513925	0.000214261650167099	3.66905555462891	< 0.001	1.57141559832488	1.27891749757772	61	0.0719339622641509	0.994374096733073	0.994374096733073	0.00245019751244327	Not Significant	0.721377181302693	0.567725830139177
NR2F1	1547	154	0.0995475113122172	5.13641003812809e-06	7.11195236048505e-06	5.14801116115592	< 0.0001	1.54560043789556	1.31599414351487	140	0.0904977375565611	0.761044989487181	0.816990610173612	0.0877829348668755	Not Significant	0.938452521226896	0.797485630489052
WAC	1416	137	0.0967514124293785	7.78045688199602e-05	0.000100034445625663	3.99985043030712	< 0.001	1.47744177940968	1.24823722052353	140	0.0988700564971751	0.317732547980297	0.749959463332557	0.124962210377318	Not Significant	1.05041512150958	0.892058026081011
NIPBL	1419	116	0.0817477096546864	0.0586285720499802	0.0659571435562277	1.18073816086	Not Significant	1.18687034520493	0.991532835458288	147	0.103594080338266	0.132598822176186	0.749959463332557	0.124962210377318	Not Significant	1.11538873384411	0.950199954526929
MSANTD2	1351	98	0.0725388601036269	0.442266900427734	0.468282600452894	0.329491978599896	Not Significant	1.02146596677226	0.84206916392758	134	0.0991857883049593	0.307961986150318	0.749959463332557	0.124962210377318	Not Significant	1.05432475046844	0.89246522003837
ST7	287	16	0.0557491289198606	0.878288982293539	0.878288982293539	0.0563625652259327	Not Significant	0.764340897784323	0.471191579428538	26	0.0905923344947735	0.634469958369307	0.816990610173612	0.0877829348668755	Not Significant	0.946361125850186	0.649436532935507
