"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"ABR" 59.8131079769929 1.34909356509113 0.116312216634211 11.5988982424252 4.17417389060799e-31 4.45259128911155e-27 4.66088256625288e-27
"MLLT1" 141.332111253009 0.873748647508585 0.083132161877262 10.5103563744512 7.74005079044993e-26 4.12815608908647e-22 4.3212703563082e-22
"NEAT1" 303.988520940528 -0.874128006502178 0.0913470574851754 -9.56930667026729 1.07624978461938e-21 3.82678548417831e-18 4.00580169835333e-18
"ENSG00000286834" 405.568895977573 -0.748397097181148 0.0859476785108346 -8.70758943287578 3.1040529091705e-18 8.27773309553044e-15 8.66496369594945e-15
"ENSG00000260927" 63.2694172300046 -1.24438861466996 0.147518654417801 -8.43546614210304 3.29885318859423e-17 7.03777339254693e-14 7.36699894076863e-14
"SLC39A9" 110.282496364547 -0.843478979676173 0.101139797625924 -8.33973370992758 7.44580175378647e-17 1.32373945512734e-13 1.38566370637966e-13
"ARPC5L" 162.832722296821 0.721191182438094 0.0883990191622005 8.15836181524599 3.39598941801593e-16 4.02500212466399e-13 4.2132908712851e-13
"FKBP11" 40.2257206371198 -1.44141648078784 0.176411290049239 -8.17077229232618 3.06421511612038e-16 4.02500212466399e-13 4.2132908712851e-13
"SNHG12" 95.6671834814526 0.796103529737322 0.0975282979726746 8.16279527363815 3.27359084389584e-16 4.02500212466399e-13 4.2132908712851e-13
"H1-5" 73.2041462390718 -1.20105656310254 0.147764635817835 -8.12817326997787 4.35807973123028e-16 4.64876364930334e-13 4.86623182789173e-13
"ENSG00000286147" 412.536422558692 -0.736185601764319 0.092153484647428 -7.98868978835589 1.3638038775856e-15 1.32251781474596e-12 1.38438491792007e-12
"CNTNAP2" 495.23094953382 -0.505909238740578 0.0640228308508139 -7.90201295408896 2.74434888212153e-15 2.43949746046586e-12 2.55361663481408e-12
"DECR1" 167.033171902108 0.608362157721013 0.0785639710808035 7.74352606356048 9.66969551845088e-15 7.93435708425505e-12 8.30552462761712e-12
"ENSG00000286746" 54.0962322568578 -1.26875455544229 0.164273882200325 -7.72341006645899 1.13258068372968e-14 8.62945582381749e-12 9.03313993894686e-12
"OLMALINC" 300.95445006139 -0.677025678077845 0.0891625044576282 -7.59316578416189 3.121827125452e-14 2.2200353298131e-11 2.32388811218647e-11
"RAD21" 423.693528589495 -0.411091618212096 0.0544969087225098 -7.54339333824077 4.57897371435967e-14 3.05274453819216e-11 3.19555128090875e-11
"CLASP1" 46.7423482550742 -1.5833211223709 0.21234275005477 -7.45644069299523 8.88910801844839e-14 5.57765383722288e-11 5.83857530199969e-11
"PRMT2" 245.877742561461 0.526329297231317 0.0722996482090233 7.2798320637697 3.34235985112336e-13 1.98071958510738e-10 2.07337722764686e-10
"GASK1A" 190.59395199325 -0.691889601121804 0.0973705074213254 -7.10574094194636 1.19678716965114e-12 6.71901512561511e-10 7.03332922964454e-10
"SMC3" 546.693440987101 -0.403024768223298 0.0569941580731622 -7.07133470953188 1.53450509683537e-12 8.18428293397145e-10 8.56714195563187e-10
"CNPY4" 36.8137338582841 1.08753868298093 0.155026650652706 7.01517241327269 2.29665566038002e-12 1.16659171091779e-09 1.22116462399063e-09
"XPO1" 312.642709410149 -0.443252779505484 0.0643608169869333 -6.8869974039558 5.69822615838839e-12 2.76286265597859e-09 2.89210878566203e-09
"CPSF6" 232.442174120439 -0.488458004271234 0.0711569957832383 -6.86451133714521 6.67192421936059e-12 3.09432241947475e-09 3.23907416666871e-09
"XACT" 238.549699554171 -0.803360053476479 0.119740650368746 -6.70916727947024 1.95738180411315e-11 8.69974654353123e-09 9.10671884363643e-09
"NEDD4" 115.294034303934 -0.774404128377024 0.116266703668865 -6.6605838467957 2.72741912870498e-11 1.16373519383584e-08 1.21817447964479e-08
"MATR3" 638.942624992567 -0.508862596532758 0.0770893150839959 -6.60094847098207 4.08535546840598e-11 1.67609564544179e-08 1.75450304462389e-08
"SQSTM1" 568.706642937944 -0.632910492915246 0.0967551808493997 -6.54136023889384 6.09617888618348e-11 2.40844222884886e-08 2.52110864604166e-08
"RBBP6" 298.452611758375 -0.407655402486828 0.0636134766982222 -6.40831823138226 1.47133554689709e-10 5.60526295669687e-08 5.86747597023318e-08
"EIF3A" 730.508661252194 -0.476848489507279 0.0745650740998526 -6.39506491831168 1.60479159932232e-10 5.90286620343834e-08 6.17900103380449e-08
"CDH13" 91.406614015983 0.679971839981237 0.106981873656016 6.35595374004741 2.07137360788759e-10 7.36511409177897e-08 7.70965256855761e-08
"TIMP2" 348.795928325122 0.386957291915829 0.0613618826374923 6.30615090807851 2.86060134439154e-10 9.84323694858856e-08 1.03037014875729e-07
"BLOC1S6" 200.499282329275 -0.507991352643549 0.0808619627356196 -6.28220408530573 3.33806237827624e-10 1.04726798203155e-07 1.09625895634801e-07
"CDC5L" 246.320119080003 -0.453552312627221 0.0721757762666603 -6.28399632241611 3.29978514595723e-10 1.04726798203155e-07 1.09625895634801e-07
"TBC1D8B" 48.8654286822063 -0.957156479729909 0.152170971388995 -6.29000702954788 3.17451595662617e-10 1.04726798203155e-07 1.09625895634801e-07
"LINC02895" 90.7854981469574 -0.838604759293897 0.134908531569301 -6.21609878588824 5.09667242903882e-10 1.55332013715877e-07 1.62598412407564e-07
"RNPS1" 248.663319978101 0.436767771858217 0.0709862127152515 6.15285356341283 7.61010671990373e-10 2.25491689947814e-07 2.36040143429014e-07
"TPR" 492.924823862538 -0.3907812105967 0.0636002317506734 -6.14433626796591 8.02985699898586e-10 2.31498607049141e-07 2.42328062839665e-07
"RPF2" 152.982207918267 0.519462402495236 0.084709361104301 6.1322904071444 8.66227913641555e-10 2.43159293547749e-07 2.54534233782147e-07
"NIN" 246.262366406875 -0.483007514110974 0.0789701497680884 -6.11633022767998 9.57547959869267e-10 2.49125953364036e-07 2.60780012680494e-07
"NIT1" 60.9210564412577 0.752370493787921 0.122944390705532 6.1196000034678 9.38105417881423e-10 2.49125953364036e-07 2.60780012680494e-07
"SYNCRIP" 381.681115228356 -0.344141709951524 0.0562415548328232 -6.11899352666329 9.41682293893862e-10 2.49125953364036e-07 2.60780012680494e-07
"YARS1" 152.558622301564 0.510022407984106 0.0839573587435678 6.07477909758781 1.24158517068796e-09 3.1533307180306e-07 3.30084286092899e-07
"BCLAF1" 476.905282589902 -0.401949552788158 0.0670542845368122 -5.99439029980986 2.04250286784399e-09 4.84163957584263e-07 5.06813044941022e-07
"RANBP2" 284.243576634356 -0.455287914027451 0.0758903838798943 -5.99928331826598 1.98190298934155e-09 4.84163957584263e-07 5.06813044941022e-07
"ZNF644" 170.886630132213 -0.481838086435434 0.0803559173875436 -5.99629874314802 2.01865512137386e-09 4.84163957584263e-07 5.06813044941022e-07
"SLK" 228.151390942188 -0.443959023365179 0.074532541686443 -5.95657968076422 2.57571558785489e-09 5.97286047296697e-07 6.25226962043211e-07
"MRPS27" 149.472316334495 -0.493286356983814 0.0830709428098993 -5.93813360361947 2.88285075454498e-09 6.54284446781516e-07 6.84891734579771e-07
"MARVELD1" 36.7244062547165 -1.25643094264546 0.212099779948247 -5.92377296644078 3.14637770304434e-09 6.99216894966125e-07 7.3192611317069e-07
"NMNAT3" 90.6806032199651 -0.804575504910735 0.137033160435535 -5.87139275160507 4.32149121681177e-09 9.40762179790432e-07 9.8477083524327e-07
"CENPF" 967.584973423311 -0.552953491115721 0.0950437007206052 -5.81788679232102 5.95962399917134e-09 1.27142618398321e-06 1.33090323149494e-06
"SMARCA5" 543.955074977186 -0.421947081658049 0.0726482952305344 -5.80807960213089 6.31934720912363e-09 1.32173483685729e-06 1.38356531249166e-06
"EXOC2" 57.454233039817 0.69041747567454 0.119019571891353 5.80087345890292 6.59703716090802e-09 1.35328068068088e-06 1.41658686420575e-06
"SF3A1" 222.344217702033 -0.476448326627184 0.0841447287814355 -5.66224805198137 1.4940264291078e-08 3.00693960741376e-06 3.14760360517315e-06
"LINC02503" 78.7686548446012 -0.787587966363738 0.139565544707926 -5.64314041844607 1.66976053144785e-08 3.29839547943597e-06 3.45269372113828e-06
"PAK2" 201.692750984299 -0.423889605397856 0.0755272848298855 -5.61240360159388 1.99535371908603e-08 3.86989784027103e-06 4.05093084132993e-06
"ZNF66" 68.5379143583253 -0.848049551292889 0.152552811030458 -5.55905555305417 2.71238361457647e-08 5.16660643155128e-06 5.40829918577873e-06
"LAGE3" 102.186599424983 -0.808858807884853 0.146917779799634 -5.50552022354253 3.68079700799845e-08 6.88825643584552e-06 7.21048761251065e-06
"ADH5" 429.799978161518 -0.302136636453312 0.0558752383841438 -5.40734402556129 6.39662053282426e-08 1.17642674523511e-05 1.23145973912958e-05
"DDX54" 166.655248347263 -0.51033023880904 0.0944419964356101 -5.40363670898232 6.5303141599166e-08 1.18065866345475e-05 1.23588962558693e-05
"TXNRD1" 450.661531651289 -0.435843444108772 0.0807957667811438 -5.39438464999492 6.87587812028514e-08 1.22241653181803e-05 1.27960091818506e-05
"PALLD" 760.407495248981 -0.399588593697815 0.0745814691054228 -5.35774634759455 8.4266429039911e-08 1.44979032027215e-05 1.51761120428975e-05
