"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"MLLT1" 141.332111253009 0.974934664139767 0.0820535425439689 11.8816888815902 1.47359596779119e-32 1.67371030021724e-28 1.64541725763564e-28
"ABR" 59.8131079769929 1.26093516020325 0.117369784168361 10.7432689694181 6.37464627864463e-27 3.62016162164229e-23 3.5589650173673e-23
"ENSG00000286834" 405.568895977573 -0.927043439925297 0.087216751603288 -10.6291901828908 2.17997136898708e-26 8.25337160298508e-23 8.11385343536991e-23
"H1-5" 73.2041462390718 -1.64145431968669 0.159819398800363 -10.2706826080425 9.55263312445477e-25 2.71247017568893e-21 2.66661753669155e-21
"ARPC5L" 162.832722296821 0.888077861756397 0.0869954479547401 10.2083256381233 1.81977900636555e-24 4.13380999085998e-21 4.06393047701555e-21
"ENSG00000286147" 412.536422558692 -0.940737864960764 0.0934832573430023 -10.0631695096917 8.0368421662918e-24 1.30403504749632e-20 1.28199113755449e-20
"SNHG12" 95.6671834814526 0.960592511808379 0.0953347884994715 10.0759914290228 7.05456919842104e-24 1.30403504749632e-20 1.28199113755449e-20
"EHMT1" 80.2733420262695 -1.46587948895081 0.154171029572406 -9.50813841625392 1.94104879506495e-21 2.75580402679346e-18 2.7092188557119e-18
"DECR1" 167.033171902108 0.719117621580706 0.0773062774752106 9.30218922792268 1.37583140303916e-20 1.73629923063542e-17 1.70694816070392e-17
"NEAT1" 303.988520940528 -0.826303745675836 0.0909862656254833 -9.08163160665433 1.06959251566428e-19 1.21484317929149e-16 1.19430700299073e-16
"SLC39A9" 110.282496364547 -0.904787063294266 0.102175882344798 -8.85519207204898 8.35398337357739e-19 8.62586755973564e-16 8.48005257721501e-16
"FKBP11" 40.2257206371198 -1.56475235917532 0.180580559492367 -8.66512078362154 4.51034564509103e-18 4.26904215307866e-15 4.1968766227572e-15
"LINC00472" 300.91174679126 -0.746381769069664 0.0881026244947155 -8.47173138541898 2.41772152673618e-17 2.1123447000515e-14 2.0766368128874e-14
"GASK1A" 190.59395199325 -0.833927869445421 0.0991020981194877 -8.41483566210629 3.93446099048908e-17 3.19197199499821e-14 3.13801367284293e-14
"BLOC1S6" 200.499282329275 -0.683491711602472 0.0830366348574343 -8.23120677729727 1.85336721469073e-16 1.40336965496382e-13 1.37964655461578e-13
"OLMALINC" 300.95445006139 -0.733514657519096 0.0896408147048568 -8.18282006844984 2.77277031847048e-16 1.96832032982423e-13 1.93504708600259e-13
"MATR3" 638.942624992567 -0.632099290172357 0.0776733753728609 -8.13791453169181 4.02144555795026e-16 2.53753214706661e-13 2.49463672778181e-13
"RANBP2" 284.243576634356 -0.632215914376257 0.0776839671305981 -8.13830623909062 4.00845906153454e-16 2.53753214706661e-13 2.49463672778181e-13
"CEP170" 192.490902486684 -0.690313076146894 0.0853358086765841 -8.0893717051786 5.99732874536093e-16 3.40588299449047e-13 3.34830863853501e-13
"PCM1" 456.869513682258 -0.579604130379219 0.0716354395209892 -8.09102497667226 5.91647200703902e-16 3.40588299449047e-13 3.34830863853501e-13
"SLK" 228.151390942188 -0.618488495087321 0.0766677043821084 -8.06713204825857 7.19686986529464e-16 3.89247847285793e-13 3.82667851980381e-13
"LINC00632" 83.365632855574 -1.09236087893404 0.136296142934839 -8.0146132928815 1.10484078474699e-15 5.7039916514347e-13 5.60756918294768e-13
"ENSG00000260927" 63.2694172300046 -1.15214419361535 0.144829492137318 -7.95517664677687 1.78876106991721e-15 8.83336879657377e-13 8.6840461333459e-13
"ENSG00000286746" 54.0962322568578 -1.31349245755345 0.165396178810294 -7.94149216143619 1.99763335036175e-15 9.45379983058698e-13 9.29398916255804e-13
"YARS1" 152.558622301564 0.650650270400206 0.0822452890630339 7.91109469992304 2.55135351843816e-15 1.15913093049683e-12 1.13953653547522e-12
