"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"ENSG00000260927" 63.2694172300046 -4.46255523280714 0.398715819629967 -11.1923204776491 4.446423784246e-29 4.74300025065521e-25 4.96487679748908e-25
"ZCCHC3" 203.357096718239 1.02383526808656 0.094212699718186 10.8672744879312 1.65058115585151e-27 8.80337459473403e-24 9.21519459311898e-24
"SLC39A9" 110.282496364547 -1.10578072357227 0.120186222482485 -9.20056143484681 3.56084345949734e-20 1.26611723941527e-16 1.32534593562491e-16
"ENSG00000286147" 412.536422558692 -0.885982555591046 0.0984326727790684 -9.00089909759566 2.23876636300255e-19 5.97023019853704e-16 6.24951630232162e-16
"OLMALINC" 300.95445006139 -0.846205829505687 0.0973788705818175 -8.68982998518869 3.62982282798386e-18 7.74386402122077e-15 8.10612033945356e-15
"ENSG00000286834" 405.568895977573 -0.769545080797157 0.0914507319895421 -8.4148597179644 3.93365368434726e-17 6.99338064182204e-14 7.32052950657025e-14
"KCNQ1OT1" 184.767637210819 -1.10480978809501 0.132206651501614 -8.35668837797862 6.45033947694094e-17 9.82939588578985e-14 1.02892129427889e-13
"XACT" 238.549699554171 -1.0459541130328 0.129074056048068 -8.10351936754259 5.33917229196078e-16 7.11911885479321e-13 7.45214972650426e-13
"FKBP11" 40.2257206371198 -1.66291718847055 0.20970593192828 -7.92975750938355 2.19574207825495e-15 2.60244230541617e-12 2.72418400508831e-12
"NEAT1" 303.988520940528 -0.744805237857687 0.0962995007772024 -7.73425855634353 1.04007464424706e-14 1.10944762301834e-11 1.16134734776627e-11
"DST" 509.281369716791 -0.817306149203444 0.10790012163019 -7.57465456808871 3.60084444901214e-14 3.49183706705568e-11 3.65518446524269e-11
"GASK1A" 190.59395199325 -0.803324175949033 0.107775830762209 -7.45365793302436 9.07872016651396e-14 8.07022566801703e-11 8.44774911494124e-11
"ENSG00000278133" 26.9200431512843 1.3633582024546 0.190886070291999 7.14226135185803 9.18078241343517e-13 7.53318507723946e-10 7.88558587910901e-10
"RNPS1" 248.663319978101 0.540572488885655 0.0766076562717373 7.05637680610114 1.70900013393327e-12 1.30213603061902e-09 1.36304967824992e-09
"RBBP6" 298.452611758375 -0.487575943925241 0.0718618220092891 -6.78490929247822 1.16159470191406e-11 8.26048712354486e-09 8.64691096104826e-09
"ENSG00000287160" 114.66520181756 -0.910169814326063 0.135374165221681 -6.72336418721859 1.77575999802327e-11 1.18387699368214e-08 1.23925850862049e-08
"LINC00472" 300.91174679126 -0.626872319951823 0.0935619959634158 -6.70007425020026 2.0831366558827e-11 1.30710698284122e-08 1.3682531705639e-08
"BLOC1S6" 200.499282329275 -0.589540808415972 0.0904682282171777 -6.51655083816523 7.19424344487863e-11 4.26338860147335e-08 4.46282901697304e-08
"AHNAK" 563.983490148625 -0.597372108836931 0.0927306335321093 -6.44201474834184 1.17897820968675e-10 6.61903187512032e-08 6.92866878387487e-08
"PCM1" 456.869513682258 -0.488991233600793 0.0760618983917762 -6.42885917837758 1.28565160469835e-10 6.85702283365863e-08 7.17779290903089e-08
"KMT2A" 337.775438684528 -0.589177498696589 0.0921950680598951 -6.39055332454255 1.65286551009699e-10 8.39576971247838e-08 8.78852204082999e-08
"CEP290" 237.920221437441 -0.574643698269357 0.0915412713004682 -6.27742754831522 3.44220575522502e-10 1.66900039959024e-07 1.74707588467466e-07
"NMNAT3" 90.6806032199651 -0.958387330022718 0.153282600014188 -6.25242088752413 4.04138479173209e-10 1.87432398145244e-07 1.9620044601948e-07
"LINC02895" 90.7854981469574 -0.936741745532177 0.150660331681138 -6.21757389672239 5.04900401151418e-10 2.15430903163287e-07 2.25508715170269e-07
"NPIPB5" 284.262572149612 -0.640380611756778 0.102945717231062 -6.22056583781372 4.95365146921859e-10 2.15430903163287e-07 2.25508715170269e-07
"CDK2AP2" 53.6963314113547 1.00434905692066 0.162014052877722 6.19914778428929 5.67697080138742e-10 2.3290864437846e-07 2.43804061416507e-07
"SPTBN1" 478.47841490968 -0.484758707793879 0.0785165801951693 -6.17396614306062 6.65978083095178e-10 2.63110674532454e-07 2.7541893614225e-07
"LPP" 391.986841432794 -0.598635085365145 0.097973739546284 -6.11015858063009 9.95321897421064e-10 3.79182095706803e-07 3.96920153807271e-07
"PRKDC" 345.312393519409 -0.488241141602537 0.0801197194274893 -6.09389480007365 1.10196092090184e-09 4.05331625629654e-07 4.24292953199653e-07
"BPTF" 394.139816948165 -0.458908993918826 0.0755814299912395 -6.07171621351987 1.26550426215069e-09 4.4997113214538e-07 4.71020686372487e-07
"SF3A1" 222.344217702033 -0.565002559780426 0.0931439808062364 -6.06590522425467 1.31212492965534e-09 4.5149795563334e-07 4.72618934339727e-07
"CENPE" 388.843551569577 -0.486344806581405 0.0804179989774157 -6.04771087027406 1.46918307635079e-09 4.89742996107307e-07 5.12653069704154e-07
"ZBTB34" 17.8493507260699 1.58234886496285 0.262533107835223 6.02723549045099 1.66787900231031e-09 5.3912925204982e-07 5.6434960423627e-07
"CBX5" 474.416606608803 -0.391985823643371 0.06547984066292 -5.98635884991311 2.14590644313235e-09 6.62006640993815e-07 6.92975171401231e-07
"RIF1" 268.604670931121 -0.602673581542732 0.100707753656121 -5.98438113911898 2.17214141134185e-09 6.62006640993815e-07 6.92975171401231e-07
"CDK6" 425.083722105468 -0.498682791660954 0.0836271886553934 -5.96316580383804 2.47397155342724e-09 7.13239312443468e-07 7.46604496366718e-07
"HUWE1" 177.642088387298 -0.647035046454237 0.108480392387068 -5.96453453215357 2.45332383467255e-09 7.13239312443468e-07 7.46604496366718e-07
"CRABP1" 795.841308734577 -0.389597189857977 0.0653924424979724 -5.95783205177047 2.55605994566856e-09 7.17512932643329e-07 7.51078035614083e-07
"ATRX" 485.119221419405 -0.484809067241044 0.0814337558647944 -5.95341651742037 2.62601836345129e-09 7.18249689306024e-07 7.51849257597362e-07
"UGDH-AS1" 92.0230501502293 -0.936925290314736 0.159116785091057 -5.88828695714638 3.90219147481166e-09 1.0406169115454e-06 1.08929675019367e-06
"C7orf50" 156.72215652976 0.760194841757107 0.130535326451968 5.82367135716956 5.75687293405046e-09 1.49776984359796e-06 1.5678351995514e-06
"CNTNAP2" 495.23094953382 -0.395017655111627 0.0680598922790156 -5.80397120659887 6.47624029024679e-09 1.6448108375253e-06 1.72175474002133e-06
"CCDC88A" 322.677957535643 -0.47372130574642 0.081948674431737 -5.78070736386382 7.43871860732097e-09 1.84532119498355e-06 1.93164492951967e-06
"MAB21L3" 230.456862432424 -0.886615404374475 0.154353060336294 -5.74407402381773 9.2425351882883e-09 2.19089161896603e-06 2.2933810647206e-06
"MKI67" 468.286881792578 -0.558642284091877 0.0972263609749911 -5.74579032363016 9.14926259898476e-09 2.19089161896603e-06 2.2933810647206e-06
"TPR" 492.924823862538 -0.393238253609421 0.0685529043143305 -5.73627415997338 9.67819532969518e-09 2.24428933873605e-06 2.34927671850818e-06
"GOLGB1" 405.380357102438 -0.479293920178398 0.0842948896077418 -5.68591906827029 1.30111005507355e-08 2.95296616116373e-06 3.09110529254282e-06
"ENSG00000286746" 54.0962322568578 -0.984960283247017 0.173578605323747 -5.67443367464519 1.39148214950992e-08 3.09227918517131e-06 3.23693535029745e-06
