"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"ENSG00000260927" 63.2694172300046 -3.21391735234205 0.254288169934089 -12.6388787696065 1.28878638752364e-36 1.55298759696598e-32 1.4390588803089e-32
"ENSG00000286834" 405.568895977573 -0.918931580338739 0.090353854511136 -10.1703639021342 2.68902152104019e-24 1.18064349769556e-20 1.09403031496005e-20
"NEAT1" 303.988520940528 -0.974768736059388 0.0959258470752581 -10.1616901573425 2.93936140505118e-24 1.18064349769556e-20 1.09403031496005e-20
"SLC39A9" 110.282496364547 -1.07039865684076 0.113036793248374 -9.4694711879236 2.81263959572846e-21 8.473076782132e-18 7.851483431476e-18
"ENSG00000286147" 412.536422558692 -0.895356647325523 0.0961332906386956 -9.3137001904013 1.23454829361499e-20 2.97526138761213e-17 2.756993249301e-17
"ENSG00000287160" 114.66520181756 -1.161708670799 0.135388099951022 -8.5805818326667 9.43944487261164e-18 1.89575517858284e-14 1.75668069079303e-14
"SMC3" 546.693440987101 -0.517843976685557 0.0606025761069279 -8.54491689877781 1.28628798744574e-17 2.21425289267445e-14 2.05181309540273e-14
"BLOC1S6" 200.499282329275 -0.757142654903314 0.0891608550800632 -8.49187296626335 2.03333202468337e-17 2.97572465164803e-14 2.75742252782588e-14
"CNTNAP2" 495.23094953382 -0.571084814259182 0.0673327653077898 -8.48152918788727 2.22253293484085e-17 2.97572465164803e-14 2.75742252782588e-14
"H1-5" 73.2041462390718 -1.30817207764802 0.159642308880821 -8.19439462395029 2.51857501473445e-16 3.03488289275501e-13 2.81224086145249e-13
"GASK1A" 190.59395199325 -0.85342594059928 0.104478912608367 -8.16840374093766 3.12496589247205e-16 3.42325809129892e-13 3.17212446866754e-13
"RAD21" 423.693528589495 -0.465443187983325 0.0582866369312338 -7.98541848507149 1.40046381785428e-15 1.40629908376201e-12 1.30313158251341e-12
"FKBP11" 40.2257206371198 -1.5189263717242 0.191961340081085 -7.91266809807955 2.51930357330818e-15 2.33520061987412e-12 2.16388797688916e-12
"LINC00472" 300.91174679126 -0.721163787327188 0.0916665742838431 -7.86724924500967 3.62523930949206e-15 3.12029526281281e-12 2.89138729498488e-12
"OLMALINC" 300.95445006139 -0.724548388405252 0.0930858142614151 -7.78366063781196 7.04555930818342e-15 5.55559969727277e-12 5.14803537093343e-12
"XACT" 238.549699554171 -0.972400147083618 0.125021710673253 -7.77785027774103 7.37672988849497e-15 5.55559969727277e-12 5.14803537093343e-12
"GOLGB1" 405.380357102438 -0.64383647040822 0.0833887802339838 -7.72090044489984 1.15510749941398e-14 8.18767374584617e-12 7.58701784615088e-12
"TPR" 492.924823862538 -0.519158315704453 0.0673748407664023 -7.70552196931262 1.3030955536281e-14 8.72350078956589e-12 8.08353608433965e-12
"EIF3A" 730.508661252194 -0.591677122765763 0.0768934589627417 -7.69476533826442 1.41754088147433e-14 8.99019348513981e-12 8.33066393818019e-12
"ZNF292" 186.80797169493 -0.769750684364099 0.100359332234689 -7.66994625436577 1.72068433902728e-14 1.03671231426394e-11 9.6065806647893e-12
"BPTF" 394.139816948165 -0.563656369191763 0.0740393794182817 -7.61292671035795 2.67957750398863e-14 1.53756709157443e-11 1.42476963854938e-11
"PCM1" 456.869513682258 -0.551683321289516 0.0743163946855958 -7.42344032731239 1.14116594799883e-13 6.2001768386863e-11 5.74532569135029e-11
"ZNF644" 170.886630132213 -0.657717238064161 0.0886575819623598 -7.41862369248238 1.18343624306875e-13 6.2001768386863e-11 5.74532569135029e-11
"ENSG00000279417" 132.996803225904 -1.01851277751015 0.139057288092298 -7.32441133782302 2.39949639694165e-13 1.20008802211917e-10 1.1120483697081e-10
"PRPF40A" 505.007428100272 -0.451375846225447 0.0616679622975397 -7.31945453374344 2.4898091745211e-13 1.20008802211917e-10 1.1120483697081e-10
"CENPF" 967.584973423311 -0.702794867761122 0.096653913622897 -7.27125101734765 3.56173377749599e-13 1.61101162248078e-10 1.49282620552866e-10
"KCNQ1OT1" 184.767637210819 -0.909340338178665 0.125175418459287 -7.26452804688985 3.7434294962209e-13 1.61101162248078e-10 1.49282620552866e-10
"RBBP6" 298.452611758375 -0.498933455299715 0.0686475995809906 -7.26803935381706 3.64742544686874e-13 1.61101162248078e-10 1.49282620552866e-10
"GOLGA4" 337.82447571575 -0.6161056054305 0.0850261884397527 -7.24606873171854 4.29042450136305e-13 1.78274535315258e-10 1.65196137869724e-10
"CPSF6" 232.442174120439 -0.544476136113366 0.0763061869118537 -7.13541271223952 9.64971801543089e-13 3.87597006953141e-10 3.59162504534338e-10
"NMNAT3" 90.6806032199651 -1.062874930586 0.14967095979596 -7.10141053438134 1.23489942673899e-12 4.8001735781306e-10 4.44802806418308e-10
"SMC5" 273.839393289836 -0.587777868631516 0.0844706194836929 -6.95837052248666 3.4423089969047e-12 1.29624448164693e-09 1.20115069560743e-09
"UACA" 293.076676136714 -0.566881100843291 0.0825377299402354 -6.86814504413634 6.50420738004334e-12 2.37502117968249e-09 2.20078726077466e-09
"DST" 509.281369716791 -0.706009064675258 0.105469012225476 -6.69399522928995 2.17158499868634e-11 7.69635271593249e-09 7.13174061627402e-09
"RDX" 571.276159591374 -0.383925904706281 0.0575042426704873 -6.67647962788182 2.44750069792803e-11 8.42639526000937e-09 7.80822651230411e-09
"FBXO38-DT" 98.2086496412702 -1.00080404414672 0.150802138779229 -6.63653746722965 3.21137336913861e-11 1.07491803050334e-08 9.96060973327826e-09
"CDK6" 425.083722105468 -0.537678529498958 0.081665343199874 -6.58392542578316 4.5818700520955e-11 1.45293510862502e-08 1.34634634214996e-08
"CEP290" 237.920221437441 -0.579788199016785 0.0880230775957944 -6.58677491008888 4.4948291089376e-11 1.45293510862502e-08 1.34634634214996e-08
"TTC3" 540.397462937701 -0.493854809353722 0.075326109625438 -6.55622349022715 5.51875041985721e-11 1.70515237331486e-08 1.58006069713143e-08
"AHNAK" 563.983490148625 -0.591769090839527 0.0909892333221765 -6.50372653151367 7.83542823896102e-11 2.30285147023123e-08 2.13391199307899e-08
"CENPE" 388.843551569577 -0.5077301866874 0.078037902435521 -6.5061998188241 7.7075689433689e-11 2.30285147023123e-08 2.13391199307899e-08
"AFF4" 224.692842969721 -0.563093740479423 0.0869167414760988 -6.47854177361524 9.26132925268792e-11 2.65711946416403e-08 2.46219053417889e-08
"ASH1L" 117.58978171245 -0.724666371238995 0.113644004118189 -6.37663532591956 1.81020801703773e-10 4.95750150120561e-08 4.70064714377751e-08
"LINC02895" 90.7854981469574 -0.896350757068208 0.143498942088896 -6.24639278882579 4.20040096798535e-10 1.12477403698274e-07 1.06594720928465e-07
"QSER1" 154.864436612084 -0.600673456568975 0.0964391736689607 -6.22852139557791 4.7085779438303e-10 1.23344270050337e-07 1.16835514046243e-07
"MKI67" 468.286881792578 -0.594369672963221 0.0955481821990566 -6.22062774281738 4.95169724537915e-10 1.26953088950678e-07 1.20197068351964e-07
"RNPS1" 248.663319978101 0.462633799089766 0.0744861851975442 6.21100138049517 5.26480110910645e-10 1.29471129315781e-07 1.22472435800589e-07
"ZNF608" 206.689149824191 -0.586531631874147 0.0944203527027824 -6.21191951824665 5.23412351370323e-10 1.29471129315781e-07 1.22472435800589e-07
"KIF20B" 286.237750073628 -0.506907185355487 0.0818112908242565 -6.1960541173272 5.78962273477353e-10 1.39529907908042e-07 1.31932505013227e-07
"FXR1" 337.779390883061 -0.380625673073121 0.061780852122296 -6.16090034368039 7.2332502937252e-10 1.68691768358262e-07 1.59381399146358e-07
"MSANTD3-TMEFF1" 30.1365804196495 -20.3996156252974 3.31168616877038 -6.15988791983623 7.27964477562626e-10 1.68691768358262e-07 1.59381399146358e-07
"TBC1D8B" 48.8654286822063 -1.00236399979733 0.163512615094142 -6.13019368089868 8.77721554156228e-10 1.99557447690237e-07 1.88473824494393e-07
"MATR3" 638.942624992567 -0.480911156690401 0.0789790818603792 -6.08909530678725 1.13550510482133e-09 2.53385861353648e-07 2.39227358498773e-07
"NIPBL" 274.942174443885 -0.560122216292681 0.0922546002669519 -6.07148277345398 1.26734558536091e-09 2.77663896429072e-07 2.62058903817406e-07
"KMT2A" 337.775438684528 -0.539651860996758 0.088979225617092 -6.06491972990487 1.32019570688207e-09 2.84077826213017e-07 2.68023732055367e-07
"CEP170" 192.490902486684 -0.53352794691627 0.0881019800357604 -6.05579973003685 1.39721747315808e-09 2.95376676343068e-07 2.78595184022913e-07
"MAB21L3" 230.456862432424 -0.914228252206754 0.151871080469862 -6.01976524680207 1.74670207790754e-09 3.62892414461826e-07 3.42169743893256e-07
"NR2F1-AS1" 56.0617886026939 -1.06571200688721 0.177288253097792 -6.01118228797351 1.84175167845388e-09 3.76154368226598e-07 3.54568952441656e-07
"TAX1BP1" 418.844893464091 -0.42326229062981 0.0706386431708046 -5.99193687237678 2.07356422018022e-09 4.16440814219527e-07 3.92430814958175e-07
"BCLAF1" 476.905282589902 -0.416737825464121 0.0699648703511619 -5.95638673197657 2.5787569271308e-09 5.09410179867642e-07 4.79906664139042e-07
"KTN1" 749.570827808395 -0.509192815558472 0.0855727084732256 -5.95041134776973 2.67469415097129e-09 5.19839750309742e-07 4.8960057196304e-07
"MRPS27" 149.472316334495 -0.531567083006034 0.0894637732643811 -5.94170202764822 2.82077814043422e-09 5.39529787178292e-07 5.08013043807879e-07
"LINC00504" 67.949442533853 -0.921808530122228 0.155373725548092 -5.93284692679205 2.97726404495562e-09 5.60562995964301e-07 5.27684608348801e-07
"MT-ND4" 1813.29214860499 -0.571531626719899 0.0966208069798924 -5.91520237290958 3.31467777317327e-09 6.05826792717528e-07 5.70019393366025e-07
"TRIP11" 184.053001357534 -0.574024458377901 0.0970451202310372 -5.91502650531329 3.31822143729103e-09 6.05826792717528e-07 5.70019393366025e-07
"ICE1" 142.299823436441 -0.613843898108359 0.104398096565607 -5.87983802676521 4.10668138447494e-09 7.27728098278279e-07 6.84406034911152e-07
"NSD1" 181.158497757461 -0.569267149163507 0.0967835220389363 -5.88186022962142 4.0568086518773e-09 7.27728098278279e-07 6.84406034911152e-07
"UGDH-AS1" 92.0230501502293 -0.890723821449481 0.152164004355431 -5.85370912932135 4.80729090891823e-09 8.39534136992242e-07 7.89385445426191e-07
"DCAKD" 58.5550034598519 1.07760087496507 0.18422155110744 5.84948323628325 4.93102574828147e-09 8.48840860954168e-07 7.97968601526245e-07
"CBX5" 474.416606608803 -0.366755698638155 0.0628386244508986 -5.83646923914978 5.33186006278973e-09 8.72790241881282e-07 8.19690689765032e-07
"LINC00632" 83.365632855574 -0.802016521841568 0.137346417062929 -5.83936981387799 5.23986427587641e-09 8.72790241881282e-07 8.19690689765032e-07
"PHF3" 212.482326127978 -0.516420069105529 0.0885287898713114 -5.83335737285256 5.43230441004947e-09 8.72790241881282e-07 8.19690689765032e-07
"SLK" 228.151390942188 -0.462043779697134 0.0791814720515269 -5.83525119861956 5.37095870441767e-09 8.72790241881282e-07 8.19690689765032e-07
"U2SURP" 357.19641048809 -0.42727803684401 0.0731641200764617 -5.839994199308 5.22026398066476e-09 8.72790241881282e-07 8.19690689765032e-07
"SMARCA5" 543.955074977186 -0.437498584610956 0.0750964612890248 -5.82582157802548 5.68323092174428e-09 9.01091218513403e-07 8.46119419629288e-07
"ENAH" 702.617075803178 -0.391081350017131 0.0675936217249142 -5.78577297734858 7.21796415862552e-09 1.12956452092776e-06 1.06047089204227e-06
"RANBP2" 284.243576634356 -0.460501190779109 0.0797839446629367 -5.77185287998216 7.84045581866862e-09 1.21124990531996e-06 1.13696791780849e-06
"CHD1" 314.099902700208 -0.527891249634968 0.091568806350044 -5.76496812262656 8.16732768850507e-09 1.245775932234e-06 1.1691843714083e-06
