"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"ENSG00000241489" 42.0638229163197 21.8581271650247 2.61635324570044 8.35442507656223 6.57521661467523e-17 2.42927953045791e-12 7.3432019152693e-13
"MSANTD3-TMEFF1" 30.1365804196495 19.4952048031418 3.42604036880484 5.69030212855974 1.26814788388771e-08 0.000234264958590576 7.08133778362897e-05
"ENSG00000277991" 21.2886828406934 18.6584619329908 3.94287362395356 4.73219882565797 2.22100699714694e-06 0.0273524415055302 0.00826806871471234
"SDK1" 36.2007426710599 0.881423705942894 0.21527804972048 4.09435010716303 4.23354190133352e-05 0.39103109771667 0.118200489885232
"CLSTN2" 150.882553782443 0.397586989656266 0.100323793679688 3.9630378305437 7.40020497119706e-05 0.546815945731693 0.165290978236658
"CDK5RAP2" 147.809185001929 0.375930447482315 0.0977454146611846 3.84601619201683 0.000120053832690194 0.554438612821487 0.167595150435511
"DIAPH3" 270.58330570262 0.294476497218316 0.0752716640063618 3.91218264011578 9.14656944726218e-05 0.554438612821487 0.167595150435511
"ENSG00000282936" 32.0499235608827 7.69959437215989 1.99583604445865 3.85782910051026 0.000114398588912833 0.554438612821487 0.167595150435511
"TRIO" 185.330222870075 0.3348514793998 0.0907554630292783 3.68960135536716 0.000224605731329236 0.922031483298882 0.278710756387212
"PNMA6A" 17.5533738508966 -0.88508031696633 0.244664798261355 -3.61752210884408 0.000297436930663107 1 0.332177564164558
"COPRS" 165.29156023561 -0.301602207456987 0.0896240460912435 -3.36519294330826 0.000764901506735843 1 0.53197941258067
"CSNK2B" 225.027250349656 -0.237454377360318 0.0708685045067428 -3.35063338803383 0.000806269677660624 1 0.53197941258067
"EMSY" 54.1312532675187 0.500072415795439 0.147137766653839 3.39866797741959 0.00067714866257061 1 0.53197941258067
"G3BP2" 291.177435850652 0.227843193456883 0.0670720303515605 3.39699264004138 0.000681307993890503 1 0.53197941258067
"HSDL2" 86.1725082003765 0.424341941713335 0.125471983961621 3.38196566528455 0.000719691392857602 1 0.53197941258067
"KCTD20" 142.792289203457 0.310828285985309 0.0935862968748368 3.32130126273736 0.0008959876697274 1 0.53197941258067
"LAMC1" 353.684906270997 0.214851085540376 0.0647436007678693 3.31849144922754 0.000905050934727143 1 0.53197941258067
"UBR2" 54.1326601908799 0.501813559426691 0.150738209296647 3.32904020664822 0.00087145822926426 1 0.53197941258067
"WDR20" 32.6548175728286 -0.604893592260756 0.180460063177355 -3.3519526792267 0.000802437333045381 1 0.53197941258067
"ANKRD28" 61.798227942128 0.453281189360761 0.142124842884005 3.18931708322594 0.00142609358698396 1 0.579352266118429
"COL4A2" 282.139971920956 0.263046002230696 0.0804605465079918 3.26925448119556 0.00107831272589793 1 0.579352266118429
"JAK1" 98.2311644993239 0.352961102634349 0.109411116320082 3.2260076901305 0.0012552998413646 1 0.579352266118429
"KAT8" 42.1843027827979 -0.4912850524853 0.15181334044451 -3.23611252507069 0.00121169608098479 1 0.579352266118429
"MTCL1" 64.5007332589142 0.46553359979237 0.143610613916365 3.24163783648669 0.00118844946922253 1 0.579352266118429
"RNF181" 258.251756240254 -0.251123624588149 0.0785840804178 -3.19560429100939 0.00139538342820536 1 0.579352266118429
"SMARCA1" 235.486034692709 0.261273882477355 0.0801429698317419 3.2600973363714 0.00111373984861736 1 0.579352266118429
"TPMT" 39.8734485327312 0.57304098444114 0.179652375539618 3.18972116410879 0.00142410125131668 1 0.579352266118429
"TXNDC16" 16.427676776432 0.891015667119669 0.27984126471885 3.18400386024145 0.00145253075316225 1 0.579352266118429
"CEP57" 159.556143238343 0.280991064201949 0.0889979725622775 3.15727489191197 0.00159251141719581 1 0.613281638180787
"MAP3K9-DT" 22.7882565407242 -0.652811239864741 0.20828107114469 -3.13428021220056 0.00172276257531054 1 0.641327081368937
"EIF4G3" 165.524618955586 0.262981761917094 0.084702477879494 3.10477058641942 0.00190426660457414 1 0.644449983026788
"GUCY1A2" 49.762026791564 0.508998480830218 0.163838723099862 3.10670439319755 0.00189185473696938 1 0.644449983026788
"MECR" 18.9596008012742 -0.818721230474417 0.263242959076337 -3.11013534169018 0.00187001638060038 1 0.644449983026788
"AHNAK" 563.983490148625 0.261241234269829 0.0853531109102599 3.0607113376863 0.00220811865676858 1 0.666493761048419
"MINCR" 19.7121803890545 -0.745817791845662 0.24344098292095 -3.06364927916777 0.00218655084562964 1 0.666493761048419
"TEAD1" 233.676091591204 0.232746035708146 0.0758830281245537 3.06716852846356 0.00216096984062006 1 0.666493761048419
"TGFB2" 174.628507631367 0.26842418688112 0.0875777309684827 3.06498220395457 0.00217682949384746 1 0.666493761048419
"FAF1" 77.4552894290121 0.412017408541175 0.135025571534599 3.0514028110268 0.00227774774670865 1 0.669418074611637
"TP73-AS1" 30.2862403603321 0.611282538847624 0.202571781581603 3.01760953117441 0.00254776950788711 1 0.729576663181622
"CHD1" 314.099902700208 0.253375956940174 0.0843041716572417 3.00549726021072 0.00265146984777011 1 0.734891546213169
"SRGAP2C" 80.3774620727885 0.391966895094044 0.130646491842401 3.00020987602847 0.00269793637130551 1 0.734891546213169
"AGPAT5" 166.392742635989 0.243132988883694 0.0827936696821879 2.93661326786196 0.00331817619098326 1 0.781718253125383
"ASCC3" 233.326983328983 0.229612872156306 0.0799076268957671 2.87347880391714 0.00405978319137466 1 0.781718253125383
"ATP2B4" 74.1287837673661 0.372222201480214 0.129528701547466 2.87366581331639 0.00405738033393149 1 0.781718253125383
"DNAJC4" 31.357077907666 -0.553920822223144 0.192113513029781 -2.88329963617538 0.0039353291102189 1 0.781718253125383
"ENSG00000286129" 49.2569327582261 0.479435863665364 0.162506921595893 2.95024888144506 0.00317518041842622 1 0.781718253125383
"INPP5A" 100.737536117731 0.334429783643573 0.116132566181559 2.87972439290401 0.00398022944688084 1 0.781718253125383
"ISG15" 61.4566030079159 -0.438470690920505 0.151875375953085 -2.88704267014259 0.00388881487431716 1 0.781718253125383
"ITPR2" 32.9268665491309 0.627924390183848 0.213910207045353 2.93545782062992 0.0033305588803024 1 0.781718253125383
"KPTN" 18.284468515438 -0.756901906093002 0.257087598209242 -2.94414009608104 0.00323853366530234 1 0.781718253125383
"MACF1" 478.089553258595 0.293561338392604 0.101523394106048 2.89156347635461 0.00383330147600701 1 0.781718253125383
"MIEN1" 137.394616679089 -0.28669392565976 0.0987815804520574 -2.90230146498723 0.00370431876602368 1 0.781718253125383
"NEU1" 164.41932177262 -0.243083723608754 0.0842997841764136 -2.88356282265271 0.00393204208271776 1 0.781718253125383
"PIP4P1" 34.2294635249901 -0.528609171998533 0.181970717889662 -2.90491337358496 0.00367354756461058 1 0.781718253125383
"PTPN21" 54.3398990896474 0.438264629234415 0.148351474760609 2.95423169834766 0.0031344857537499 1 0.781718253125383
"SDHAF1" 21.3204535823671 -0.698782430815291 0.235100102958058 -2.97227615821144 0.00295600669671486 1 0.781718253125383
"UBE2F" 94.8312602945476 -0.317178884097092 0.109991666569943 -2.88366286272606 0.0039307933015918 1 0.781718253125383
"ZSCAN22" 11.5410825540129 -0.969757320268766 0.333566874832424 -2.90723508068944 0.00364639057037712 1 0.781718253125383
"AP1AR" 40.2611069346079 0.4966311775173 0.177680897352359 2.79507355555748 0.00518879078806132 1 0.798046039850768
"APEX1" 315.295949165003 -0.181119491929493 0.0650442110764619 -2.78455974685557 0.00536004450842851 1 0.798046039850768
"APOE" 197.774559436706 -0.290193445597699 0.104078683058687 -2.78821212057484 0.00529998284907867 1 0.798046039850768
"ARMC6" 56.7808108884078 -0.55607985375955 0.196851817765026 -2.82486522132764 0.0047300507794292 1 0.798046039850768
"CCDC88A" 322.677957535643 0.203618820543622 0.0731852116094278 2.78223996441095 0.00539851076746933 1 0.798046039850768
"CDK13" 88.9163886009475 0.346962849268118 0.125007395662513 2.77553857857199 0.00551103606461443 1 0.798046039850768
"CYSTM1" 101.594449587738 -0.313755268530604 0.111276061070207 -2.81961156346689 0.00480818137540487 1 0.798046039850768
"DPY30" 216.059444496654 -0.217165015006586 0.0763836798373228 -2.84308134236385 0.00446796657791657 1 0.798046039850768
"ENSG00000284934" 68.635514719948 -0.723547442522666 0.261728332109875 -2.76449796890509 0.00570104620898343 1 0.798046039850768
"HEXA" 107.080641262212 -0.279900963601556 0.101319824847845 -2.76254883012176 0.00573519823163062 1 0.798046039850768
"KATNA1" 53.8958386434263 -0.416723661403172 0.145885033718032 -2.85652099315836 0.00428311679240698 1 0.798046039850768
"KMT2B" 33.197258233752 -0.526722729546239 0.189340441872503 -2.78188180156947 0.00540447192722789 1 0.798046039850768
"LTBP1" 41.8856458647406 0.494314947220414 0.178204828089895 2.77385833211577 0.00553957957028551 1 0.798046039850768
"MAN2A1" 186.914061376548 0.271984518935424 0.0981413076307421 2.77135617510589 0.00558233274022559 1 0.798046039850768
"MAP3K13" 146.710832191413 -0.246558666770163 0.0870264872160871 -2.83314511084374 0.00460924568691768 1 0.798046039850768
"MARK3" 187.044405440502 0.25652489522323 0.0907861458381326 2.82559517044155 0.00471928663342129 1 0.798046039850768
"NCAM1" 74.1137337277478 0.381059947265408 0.135871059392429 2.80457036965328 0.00503836881486608 1 0.798046039850768
"NDUFAF1" 40.449959797542 -0.480363597073976 0.173392251883593 -2.77038674944061 0.00559897671669068 1 0.798046039850768
"PRR13" 253.502135198509 -0.219370764701414 0.0777370527113618 -2.82195886067278 0.00477312997881842 1 0.798046039850768
"SHISA9" 48.0670286157666 0.472885132728947 0.169445688479957 2.79077701516663 0.00525816834796217 1 0.798046039850768
"SORBS1" 19.8139238308908 0.740552125336749 0.268359838068687 2.7595490095176 0.0057881204537887 1 0.798046039850768
"TAF12" 62.3965643662278 -0.397792300566387 0.141765445412316 -2.80598914220199 0.00501623825741729 1 0.798046039850768
"TIMM13" 194.63134419921 -0.272919592068542 0.0976011282361972 -2.79627497141293 0.00516953969612051 1 0.798046039850768
"PWWP2B" 11.7756364034999 -0.88217645310698 0.320622759662829 -2.7514467595335 0.00593326635652921 1 0.807029848922994
"WASHC4" 64.8469053138964 0.384597341143661 0.139960385973923 2.74790140415387 0.0059978042138797 1 0.807029848922994
"DAPK1" 66.5000518607761 0.381981137953104 0.139678955801423 2.7347078574682 0.00624356618230059 1 0.830096989570631
"DDX59" 38.795708057598 0.483300748629367 0.177568258814448 2.72177444243793 0.00649324446553515 1 0.853135931659959
