"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"ENSG00000260927" 63.2694172300046 -3.85439815203309 0.295349283752443 -13.0503047207786 6.3293737689075e-39 6.31355033448523e-35 7.06737875036211e-35
"SLC39A9" 110.282496364547 -1.03639364845929 0.107084359499955 -9.67829151987155 3.72895133664537e-22 1.85981447915188e-18 2.08187353124911e-18
"FKBP11" 40.2257206371198 -1.56476160396365 0.184604301315458 -8.47630089230555 2.32467056038458e-17 7.72952961327874e-14 8.65242382575141e-14
"CENATAC" 96.2744569936278 1.06149021203135 0.126510982058446 8.3904985540382 4.84084889321981e-17 1.20718669274669e-13 1.35132296854231e-13
"PCM1" 456.869513682258 -0.555506122328205 0.0721398353744866 -7.70040740243592 1.35633096350597e-14 2.70588027219442e-11 3.02895830770153e-11
"SMC3" 546.693440987101 -0.424075600188177 0.0577983585346511 -7.33715646844774 2.18179491870826e-13 3.62723405235247e-10 4.06032034371607e-10
"RNPS1" 248.663319978101 0.506740271128935 0.0712308293930808 7.11405827289382 1.12679539190628e-12 1.60568343346644e-09 1.79739962086079e-09
"CNTNAP2" 495.23094953382 -0.437964103974869 0.0642084866606612 -6.8209691078609 9.04283880696217e-12 1.1275289637431e-08 1.26215422648174e-08
"H1-5" 73.2041462390718 -0.979836343246081 0.144767517146427 -6.76834391139702 1.3026482000863e-11 1.35710607293258e-08 1.51914249727972e-08
"MATR3" 638.942624992567 -0.524816097729101 0.0776119568495138 -6.76205212486391 1.3605073412858e-11 1.35710607293258e-08 1.51914249727972e-08
"ENSG00000286834" 405.568895977573 -0.572743029979354 0.0854167260972732 -6.70527958806464 2.01021104215901e-11 1.82289592232147e-08 2.04054695424977e-08
"GOLGB1" 405.380357102438 -0.53182651612319 0.0802058223663916 -6.63077193690167 3.3393584909956e-11 2.77584174564009e-08 3.10727307587141e-08
"LINC00632" 83.365632855574 -0.864359713888166 0.133317350609153 -6.4834750311099 8.96337176644851e-11 6.87766410540953e-08 7.69884685724339e-08
