"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"ENSG00000260927" 63.2694172300046 -3.95769680963974 0.294881876962526 -13.4212955045138 4.53711703462831e-41 5.15325752793083e-37 5.06614488086597e-37
"SLC39A9" 110.282496364547 -1.15909904832544 0.10724786334332 -10.8076656465868 3.16624656128162e-27 1.79811142215183e-23 1.76771545516353e-23
"NEAT1" 303.988520940528 -0.884329262990314 0.0912972974008845 -9.68625893828206 3.44932345783618e-22 1.30591386113678e-18 1.28383819100663e-18
"H1-5" 73.2041462390718 -1.49027463286086 0.154859663843101 -9.6233880138779 6.36977988536632e-22 1.80869899844977e-18 1.77812405500001e-18
"ENSG00000286147" 412.536422558692 -0.805378068211175 0.0924255202865531 -8.71380616213149 2.93838640466833e-18 6.67483855684458e-15 6.56200451890531e-15
"FKBP11" 40.2257206371198 -1.47632087895935 0.176868056894342 -8.34701813816658 7.00079699859408e-17 1.32525087183386e-13 1.30284832143836e-13
"BPTF" 394.139816948165 -0.589368335279134 0.0708110046992523 -8.32311782303179 8.56792027841157e-17 1.39020626460284e-13 1.36670568326777e-13
"SMC3" 546.693440987101 -0.47576561298207 0.0573487212044377 -8.29601084366035 1.07665711500694e-16 1.52858393903111e-13 1.50274416827094e-13
"EIF3A" 730.508661252194 -0.616126676783265 0.0750535551075016 -8.20916045749954 2.22740403972232e-16 2.81098389812957e-13 2.76346594528216e-13
"ENSG00000286834" 405.568895977573 -0.697994379698803 0.0854641145462686 -8.16710479485424 3.15878490331092e-16 3.19628686723047e-13 3.14225560481559e-13
"GOLGB1" 405.380357102438 -0.65494263188845 0.0802461791326076 -8.1616674957963 3.30430771985397e-16 3.19628686723047e-13 3.14225560481559e-13
"OLMALINC" 300.95445006139 -0.7294599832369 0.0894051145615936 -8.1590408648753 3.37695390093024e-16 3.19628686723047e-13 3.14225560481559e-13
"STMP1" 204.110954425893 0.986372549781842 0.122737379768859 8.03644783389867 9.24802947120902e-16 8.07993221030708e-13 7.94334592888615e-13
"CENATAC" 96.2744569936278 0.985148829972578 0.1261190462698 7.81126133688878 5.66184791044496e-15 4.59337632620242e-12 4.51572812628774e-12
"XACT" 238.549699554171 -0.939962980624751 0.120649690632775 -7.7908445160108 6.65627835966349e-15 5.04013397393719e-12 4.9549336109335e-12
"PCM1" 456.869513682258 -0.550387134631728 0.0712890169660784 -7.720503915682 1.15870692294957e-14 8.22537076928823e-12 8.08632593853431e-12
"KCNQ1OT1" 184.767637210819 -0.927134019321576 0.120263717610888 -7.70917478471198 1.26633883130907e-14 8.46063320353438e-12 8.31761140611593e-12
"CNTNAP2" 495.23094953382 -0.491208615358338 0.0637846754755599 -7.70104436051496 1.34958624369541e-14 8.51588919771806e-12 8.37193333172386e-12
"ZNF644" 170.886630132213 -0.632301890515269 0.0824007465977703 -7.67349710557573 1.67369311185238e-14 1.00051612444312e-11 9.83603015102299e-12
"CDC5L" 246.320119080003 -0.561727637278386 0.073268676137947 -7.66668195588507 1.76502711836393e-14 1.00235890051888e-11 9.85414640182582e-12
"TPR" 492.924823862538 -0.487704967685379 0.0641131938356883 -7.60693608456456 2.80670023304813e-14 1.51802386890289e-11 1.49236260962931e-11
"CENPF" 967.584973423311 -0.721562781681127 0.0954132559498921 -7.56250035173381 3.95394049674271e-14 2.04131164372744e-11 2.00680452666496e-11
"PALLD" 760.407495248981 -0.564465821028936 0.0751611704069397 -7.51007226168499 5.90947340744825e-14 2.91825212877379e-11 2.86892087250292e-11
"CEP290" 237.920221437441 -0.629217754938236 0.0839737934439522 -7.49302525386333 6.73039444717866e-14 3.1851591721273e-11 3.13131601654987e-11
"LINC00472" 300.91174679126 -0.641662583315804 0.0869518602845254 -7.37951529980088 1.58866825112908e-13 7.21763759852966e-11 7.09562787684292e-11
"DST" 509.281369716791 -0.753672703312379 0.103515034398309 -7.28080425894819 3.31835869633949e-13 1.44961223357784e-10 1.42510743089718e-10
"RAD21" 423.693528589495 -0.391735290775967 0.054131501676528 -7.23673422394316 4.59617578139245e-13 1.93345794537243e-10 1.90077402870474e-10
"PRPF40A" 505.007428100272 -0.419534497817048 0.0583655088861561 -7.18805516859905 6.57207084719056e-13 2.66591359579966e-10 2.62084796713321e-10
"RANBP2" 284.243576634356 -0.543717334539011 0.0765712821404026 -7.10079966457973 1.24037070503713e-12 4.85797602338334e-10 4.77585492842917e-10
"RBBP6" 298.452611758375 -0.452370189003513 0.0638669880225111 -7.08300489830626 1.41061687744089e-12 5.34059549799121e-10 5.25031601783499e-10
"CPSF6" 232.442174120439 -0.498093895840896 0.0710029485049921 -7.01511565827265 2.29758814308778e-12 8.21038010626945e-10 8.07158868344819e-10
"GOLGA4" 337.82447571575 -0.567370501390019 0.0808891931637571 -7.01416937416347 2.31319038035413e-12 8.21038010626945e-10 8.07158868344819e-10
"NMNAT3" 90.6806032199651 -0.980344684809312 0.139903391112006 -7.00729751450022 2.42965267287628e-12 8.36242274500872e-10 8.22106113495047e-10
"SMARCA5" 543.955074977186 -0.50663218735479 0.0730135837265813 -6.93887577484224 3.95232475616087e-12 1.32030895824927e-09 1.29798994786154e-09
"NEDD4" 115.294034303934 -0.799357958126405 0.116351362150624 -6.87020713252659 6.41087499717343e-12 2.08042052051131e-09 2.04525229195539e-09
"MATR3" 638.942624992567 -0.528777490349637 0.0770917713588471 -6.85906525468563 6.93125747631091e-12 2.18681173377609e-09 2.14984502723577e-09
"PHF3" 212.482326127978 -0.577903312967366 0.0844604398909598 -6.84229579804997 7.7933953730033e-12 2.39236174720464e-09 2.35192034418797e-09
"NIN" 246.262366406875 -0.541261007007266 0.0793894028197494 -6.8177991996763 9.2445730736883e-12 2.76315423607768e-09 2.71644481423167e-09
"RDX" 571.276159591374 -0.371019238631044 0.0545761985500422 -6.79818764384712 1.0594341259819e-11 3.08539815459036e-09 3.03324139761895e-09
"AFF4" 224.692842969721 -0.55493452900582 0.0820702101698818 -6.76170473862719 1.36377419347618e-11 3.44216606433388e-09 3.38397836541223e-09
"BRCA2" 110.75476798375 -0.781220262423109 0.115351404166367 -6.77252494730266 1.26553973219216e-11 3.44216606433388e-09 3.38397836541223e-09
"MKI67" 468.286881792578 -0.631366444155386 0.0932700183102369 -6.76923255290162 1.29467299234541e-11 3.44216606433388e-09 3.38397836541223e-09
"RB1CC1" 226.766361595803 -0.521641779329995 0.0770865031194239 -6.76696643667773 1.31510568754194e-11 3.44216606433388e-09 3.38397836541223e-09
"UGDH-AS1" 92.0230501502293 -0.990370610911779 0.146409304933397 -6.76439664379467 1.33865882280633e-11 3.44216606433388e-09 3.38397836541223e-09
"ZNF292" 186.80797169493 -0.630270126077258 0.0930037767885321 -6.77682291881907 1.22847303385536e-11 3.44216606433388e-09 3.38397836541223e-09
"SLK" 228.151390942188 -0.506896131512174 0.075053302154303 -6.75381518150981 1.44007173191758e-11 3.5557249415478e-09 3.49561759969385e-09
"BLOC1S6" 200.499282329275 -0.547274796499121 0.0810923349261375 -6.74878577608602 1.49087518613969e-11 3.60284263067544e-09 3.54193879328421e-09
"XPO1" 312.642709410149 -0.431215211785545 0.0639988832146247 -6.73785525818372 1.60741569599665e-11 3.80354739065206e-09 3.73925076281221e-09
"NIPBL" 274.942174443885 -0.594632492689725 0.0886161032917991 -6.7102080840961 1.94347071421576e-11 4.50488579021687e-09 4.42873346835371e-09
"MIA3" 103.634393942884 -0.731214821330224 0.109345204565397 -6.68721435234867 2.2745860007146e-11 5.06563682276792e-09 4.98000534979985e-09
"NSD1" 181.158497757461 -0.615859422995773 0.0920885038135752 -6.68769061817449 2.26719801159838e-11 5.06563682276792e-09 4.98000534979985e-09
"ENSG00000287160" 114.66520181756 -0.811349337246406 0.12155951253965 -6.67450305036194 2.48071319676288e-11 5.41845009400631e-09 5.32685452981814e-09
"MIER1" 126.44375359598 -0.630170979211975 0.094521425943877 -6.66696437256612 2.6114845437797e-11 5.59646065061317e-09 5.50185592751776e-09
"TRIP11" 184.053001357534 -0.609962849518872 0.0922818177671901 -6.6097836418621 3.84882112789816e-11 7.94816552193951e-09 7.95850679890942e-09
"FBXO38-DT" 98.2086496412702 -0.927630711977311 0.142030959313993 -6.53118669660299 6.52505994533757e-11 1.32342197962757e-08 1.32470580635708e-08
