Gene	Total DEGs	SFARI DEGs	Proportion SFARI	SFARI P-value	SFARI Odds Ratio	SFARI Odds Ratio Lower CI	InList1AndList2_SFARI	InList1AndNotList2_SFARI	InList2AndNotList1_SFARI	InNeither_SFARI	SFARI Adjusted P-value	SFARI -log10(Adjusted P-value)	SFARI Significance	ID DEGs	Proportion ID	ID P-value	ID Odds Ratio	ID Odds Ratio Lower CI	InList1AndList2_ID	InList1AndNotList2_ID	InList2AndNotList1_ID	InNeither_ID	ID Adjusted P-value	ID -log10(Adjusted P-value)	ID Significance
KMT2E	659	100	0.151745068285281	1.48886262959912e-13	2.52113804819746	2.0665074226072	100	696	559	9810	8.93317577759473e-13	12.0489941203392	< 0.0001	71	0.107738998482549	0.142727939313796	1.15932105206253	0.924725953044541	71	991	588	9515	0.749959463332557	0.124962210377318	Not Significant
NR2F1-AS1	989	145	0.146612740141557	4.12634584306903e-18	2.50927702977452	2.12026621027472	145	652	844	9524	7.42742251752425e-17	16.1291618700375	< 0.0001	89	0.089989888776542	0.734016391538877	0.935318878094874	0.765212952668375	89	973	900	9203	0.816990610173612	0.0877829348668755	Not Significant
SETD2	542	78	0.143911439114391	1.18683862531219e-09	2.31884415952931	1.85634213998048	78	718	464	9905	2.37367725062438e-09	8.62457833247569	< 0.0001	49	0.0904059040590406	0.671408536067205	0.942893260597818	0.719740417501183	49	1013	493	9610	0.816990610173612	0.0877829348668755	Not Significant
SETD1B	638	91	0.142633228840125	6.94094718439416e-11	2.31755649062879	1.88466823655543	91	705	547	9822	1.78481499027278e-10	9.74840679516404	< 0.0001	60	0.0940438871473354	0.559031894165396	0.986781529082702	0.772992490592113	60	1002	578	9525	0.816990610173612	0.0877829348668755	Not Significant
SETD5	703	94	0.13371266002845	1.12073535555297e-09	2.14577330059679	1.7519805157035	94	702	609	9760	2.37367725062438e-09	8.62457833247569	< 0.0001	66	0.0938833570412518	0.566111694998788	0.984718276004468	0.780229187265246	66	996	637	9466	0.816990610173612	0.0877829348668755	Not Significant
CLASP1	728	96	0.131868131868132	1.53905886881918e-09	2.11280035927827	1.72872677087927	96	700	632	9737	2.77030596387453e-09	8.55747226303509	< 0.0001	64	0.0879120879120879	0.771602242941744	0.911595191476203	0.720202437647211	64	998	664	9439	0.816990610173612	0.0877829348668755	Not Significant
PPP3CA	1121	141	0.125780553077609	3.92639650403193e-12	2.06222528904835	1.74198144720699	141	655	980	9389	1.41350274145149e-11	10.8497033448709	< 0.0001	110	0.0981266726137377	0.374979731666278	1.03911850777905	0.865916708377874	110	952	1011	9092	0.749959463332557	0.124962210377318	Not Significant
BAZ2B	717	92	0.128312412831241	1.3889581297637e-08	2.03721521493643	1.66096371089276	92	704	625	9744	2.27284057597696e-08	7.64343102595637	< 0.0001	74	0.103207810320781	0.240289185143216	1.10195828302986	0.883418836904427	74	988	643	9460	0.749959463332557	0.124962210377318	Not Significant
SRCAP	1506	180	0.119521912350598	2.32634057013462e-13	1.98943770760934	1.70784463494455	180	617	1326	9043	1.04685325656058e-12	11.9801141916091	< 0.0001	149	0.098937583001328	0.30710147074076	1.05195240963287	0.897348784893416	149	913	1357	8747	0.749959463332557	0.124962210377318	Not Significant
EHMT1	1716	199	0.115967365967366	1.46085579356585e-13	1.94498578082924	1.67933160030025	199	597	1517	8852	8.93317577759473e-13	12.0489941203392	< 0.0001	170	0.0990675990675991	0.285333558317935	1.0548657420994	0.907749266391016	170	892	1546	8557	0.749959463332557	0.124962210377318	Not Significant
SOX2-OT	1720	191	0.111046511627907	3.51947589925848e-11	1.82185131814744	1.57016428738612	191	606	1529	8839	1.05584276977754e-10	9.97640074970183	< 0.0001	157	0.0912790697674419	0.735583590422445	0.94785293002528	0.811923661592679	157	905	1563	8540	0.816990610173612	0.0877829348668755	Not Significant
WDFY3	1602	163	0.101747815230961	6.34878949983242e-07	1.59791012808742	1.36520927434085	163	633	1439	8930	9.52318424974862e-07	6.02121781307878	< 0.0001	157	0.0980024968789014	0.349509873857004	1.03944432494369	0.889906740312123	157	905	1445	8658	0.749959463332557	0.124962210377318	Not Significant
POT1	848	88	0.10377358490566	0.000178551375139251	1.57141559832488	1.27891749757772	88	708	760	9609	0.000214261650167101	3.6690555546289	< 0.001	61	0.0719339622641509	0.994374096733073	0.721377181302693	0.567725830139177	61	1001	787	9316	0.994374096733073	0.00245019751244327	Not Significant
NR2F1	1547	154	0.0995475113122172	5.13641003812817e-06	1.54560043789556	1.31599414351487	154	642	1393	8976	7.11195236048515e-06	5.14801116115591	< 0.0001	140	0.0904977375565611	0.761044989487181	0.938452521226896	0.797485630489052	140	922	1407	8696	0.816990610173612	0.0877829348668755	Not Significant
WAC	1416	137	0.0967514124293785	7.78045688199613e-05	1.47744177940968	1.24823722052353	137	659	1279	9090	0.000100034445625665	3.99985043030711	< 0.001	140	0.0988700564971751	0.317732547980297	1.05041512150958	0.892058026081011	140	922	1276	8827	0.749959463332557	0.124962210377318	Not Significant
NIPBL	1419	116	0.0817477096546864	0.0586285720499802	1.18687034520493	0.991532835458288	116	680	1303	9066	0.0659571435562277	1.18073816086	Not Significant	147	0.103594080338266	0.132598822176186	1.11538873384411	0.950199954526929	147	915	1272	8831	0.749959463332557	0.124962210377318	Not Significant
MSANTD2	1351	98	0.0725388601036269	0.442266900427734	1.02146596677226	0.84206916392758	98	698	1253	9116	0.468282600452894	0.329491978599896	Not Significant	134	0.0991857883049593	0.307961986150318	1.05432475046844	0.89246522003837	134	928	1217	8886	0.749959463332557	0.124962210377318	Not Significant
ST7	287	16	0.0557491289198606	0.878288982293539	0.764340897784323	0.471191579428538	16	780	271	10098	0.878288982293539	0.0563625652259327	Not Significant	26	0.0905923344947735	0.634469958369307	0.946361125850186	0.649436532935507	26	1036	261	9842	0.816990610173612	0.0877829348668755	Not Significant
