Batch,Sample,SRCAP,FLJ20021,ST7-AS1,ARHGAP5-AS1,ENSG00000261840,POT1-AS1,WDFY3-AS2,KIF9-AS1
1,NTC1,1.368337136,0.124571907,0.151041462,0.145606243,0.283612778,0.053701051,0.129678644,0.16059601
1,NTC2,1.130837387,0.083391983,0.126059663,0.085711188,0.243486645,0.034374558,0.085745693,0.105709812
1,NTC3,1.279568372,0.100333486,0.135823896,0.126449785,0.293053222,0.049409498,0.114708397,0.124972636
1,Target,0.431064481,0.091608634,0.069094279,0.052112622,0.118318979,0.033102669,0.079695538,0.067114273
2,NTC1,1.366188373,0.127997278,0.149050499,0.14492609,0.297795372,0.065996935,0.127268032,0.14051125
2,NTC2,1.403603124,0.145037642,0.154078896,0.130820288,0.31827243,0.069546389,0.141830237,0.137326806
2,NTC3,1.477323853,0.108421281,0.143466613,0.122084943,0.352778139,0.056776393,0.127028977,0.147356841
2,Target,0.540659166,0.076004455,0.110994262,0.099982618,0.186378821,0.047729309,0.110713962,0.051409391
3,NTC1,1.145589037,0.087546859,0.108659902,0.101471876,0.225445457,0.0292534,0.086422399,0.106638081
3,NTC2,1.317559749,0.128318274,0.149564198,0.161475191,0.348126408,0.066188674,0.143227597,0.169268985
3,NTC3,1.283010778,0.132885672,0.146797602,0.155305647,0.347286888,0.062708752,0.115208514,0.15472115
3,Target,0.576786025,0.057273946,0.05714475,0.072527727,0.102707248,0.059203726,0.076373731,0.078772415
