Rep1,Rep2,Rep3
BAZ2B,0.693666139313702,0.647933577826982,0.527279694902947
CLASP1,0.312696470305962,0.311926773257146,0.382862910082667
EHMT1,0.322646141523176,0.458368090723036,0.286947352807537
KMT2E,0.869487936349927,0.798632822771685,0.567189405804507
MSANTD2,0.183786348862412,0.612635077252312,0.356968026775878
NIPBL,0.487799526679792,0.627244905967575,0.407828971600298
NR2F1,0.469438542596192,0.489707438894086,0.489627982188696
NR2F1-AS1,0.464455549648474,0.580756588786449,0.301345652389824
POT1,0.318135404745421,0.427336580700834,0.11088367261339
PPP3CA,0.534119253218171,0.560264275142205,0.693388466487771
SETD1B,0.716717262341272,0.467755515313889,0.268979675647764
SETD2,0.776935057046265,0.736880370942527,0.587936666852269
SETD5,0.754434081969515,0.929082551065644,0.727654480007039
SOX2-OT,0.702198904941109,0.491796291679072,0.453774657438998
ST7,0.534284630710773,0.114065535878981,0.220405933087407
WAC,0.629043445204815,0.590852868606963,0.700538797212078
WDFY3,0.477552964509825,0.598053415678138,0.350716367362885
ARHGAP5,0.816927191931892,0.835190665393267,0.684399111981775
ARID2,0.311789661556069,0.565038787110174,0.553300423482726
SRCAP,0.342228481517264,0.381900976153144,0.461901861209668
