"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"CPSF6" 232.442174120439 -0.35901369476538 0.0702987898388584 -5.10696835021378 3.27368555043181e-07 0.00253808840724978 0.00365539728561216
"ENSG00000277991" 21.2886828406934 -17.726221729779 3.63722817015094 -4.87355230426564 1.09609230523412e-06 0.00566533576165343 0.00611948334012209
"EDN1" 201.378908144518 0.334864652776302 0.0732279378804595 4.57290840721132 4.81000438504359e-06 0.0149167855988972 0.0179028363211322
"RPL22L1" 218.19201421316 0.335987047119082 0.0746036533700278 4.50362726142398 6.68033330076932e-06 0.0172642080269549 0.0186481504090976
"ARHGAP5" 263.696261317789 -0.355702046526677 0.0854437651184584 -4.16299593110785 3.14098966975473e-05 0.0695774083131669 0.0701445813049626
"PCK2" 36.8560930461671 0.671502930350245 0.16654644651507 4.03192589455508 5.53216328056005e-05 0.0968591347910559 0.0896773773441835
"PRKDC" 345.312393519409 -0.293260168093636 0.0728028104178361 -4.02814350724282 5.62190257396816e-05 0.0968591347910559 0.0896773773441835
"PDXP" 34.1750274436154 -8.16936257819517 2.06812161195324 -3.95013645763297 7.81066500351289e-05 0.121112171544471 0.107558853311962
"SPG21" 96.040118252819 -0.428450758685033 0.109156700775781 -3.9250980987884 8.66944008425269e-05 0.122207579951293 0.107558853311962
"MTHFD2" 133.331873757931 0.339145395574854 0.0882407578142795 3.84340982529472 0.00012133659519446 0.13789739295448 0.115851240682189
"PHF19" 130.652239591624 0.341381197873665 0.0887550165185448 3.84633129781837 0.000119899617925678 0.13789739295448 0.115851240682189
"SNRPA1" 346.284111102277 0.344089472078731 0.0896747482956904 3.83708322151229 0.000124504288750337 0.13789739295448 0.115851240682189
"AFDN" 180.269485746261 -0.289309427921423 0.0767875947962152 -3.76765841786312 0.000164785969023657 0.170344749045388 0.14153847154755
"CAV2" 115.931679570771 0.341614974011545 0.09570091063004 3.56961048502619 0.000357512413454702 0.326093381354624 0.26613224057568
"TNNT2" 33.332135201139 0.670488690476822 0.187535095490427 3.57527047789862 0.000349865999583601 0.326093381354624 0.26613224057568
"RNU6-5P" 36.4920997304332 -0.817070509709377 0.232106446666282 -3.52024048209287 0.000431155689576368 0.371416673476176 0.300543647757857
"HECTD1" 144.942585302758 -0.321705631955737 0.0922006732910487 -3.48918961730586 0.000484487341898748 0.3756230361741 0.300543647757857
"ME3" 42.028448226828 0.54035766518849 0.154310659784843 3.50175202375465 0.000462209594584248 0.3756230361741 0.300543647757857
"FIG4" 41.2251037292825 -0.56369576644561 0.164266139138867 -3.43160050757067 0.000600030741203118 0.443051270147407 0.352628592435475
"NEU1" 164.41932177262 -0.298492890511807 0.0884489937150632 -3.37474603129343 0.000738838405022837 0.520746741285641 0.41249348152425
"CAV1" 248.583935500052 0.23674347051651 0.0709744010909288 3.33561772804826 0.000851101084279443 0.573790148384219 0.452542605098298
"SLC7A11" 37.3539842513132 0.550672324927996 0.166221947202447 3.31287374619259 0.000923426547464877 0.5966105018746 0.468680946772401
"RMC1" 31.7997545930481 -0.655725203510486 0.19920008240102 -3.29179182863193 0.000995512710752409 0.617456803717074 0.483299779489626
"DYNC1H1" 349.035039124781 -0.225908687939628 0.070750330612829 -3.1930407389314 0.00140783083247707 0.72766082961298 0.56142282412282
"HUWE1" 177.642088387298 -0.306673061369635 0.0954013129071647 -3.21455808127148 0.00130645481604844 0.72766082961298 0.56142282412282
"PHGDH" 221.410366444304 0.260665847942795 0.08074498462487 3.22826054341099 0.00124545481735451 0.72766082961298 0.56142282412282
"SESN2" 75.4903288928166 0.42798953022391 0.133967844824585 3.19471833546558 0.00139967369024596 0.72766082961298 0.56142282412282
"SLC1A4" 45.9616932820648 0.470687452835939 0.146867193642322 3.20485086671054 0.00135132477125568 0.72766082961298 0.56142282412282
"RP9P" 52.1579084699905 0.429341185755209 0.136870088990178 3.13685180540811 0.0017077242059261 0.778822692267355 0.635614949445694
