"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"ARID2" 79.6485844069733 -1.08788290315537 0.157809323125692 -6.89365419994162 5.43771152553811e-12 3.16909827708361e-08 6.07174868941585e-08
"CPSF6" 232.442174120439 -0.414136922795168 0.0731745364289234 -5.65957699229747 1.51746560035624e-08 4.42189475943808e-05 8.47201044678889e-05
"MRPL23" 149.908360248562 0.577786615161718 0.1079394987039 5.35287473167451 8.65677810514526e-08 0.000168172342655955 0.000322205281073507
"NEAT1" 303.988520940528 -0.470919289545458 0.0899683134597915 -5.23427939722267 1.65629754801588e-07 0.000241322552745914 0.000462355460528633
"PHGDH" 221.410366444304 0.419290884280097 0.0809035980452353 5.18259872750852 2.18815472653258e-07 0.000255051314924637 0.000488658713529256
"TNNT2" 33.332135201139 0.862481929235485 0.187224178991712 4.60668025828901 4.0914839105145e-06 NA 0.00761425155746748
"SNRPA1" 346.284111102277 0.407235110357957 0.0903155173371359 4.50902704612544 6.51256069330805e-06 0.00632586728676656 0.0103884646716397
"GASK1A" 190.59395199325 -0.433861716424554 0.0970574864589281 -4.47015199191411 7.81640303636617e-06 0.00650771384227744 0.0109097445380081
"EBP" 227.676436653442 0.333033010851901 0.0758792341292927 4.38898750986913 1.13879608842144e-05 0.00737433733702242 0.0127157971233138
"ERBIN" 198.499890606027 -0.375516316354356 0.0853988466460353 -4.39720594718113 1.09653290829383e-05 0.00737433733702242 0.0127157971233138
"ENSG00000286746" 54.0962322568578 -0.662826981947017 0.153324070873047 -4.32304580861175 1.53889764928139e-05 NA 0.0156212101380691
"LINC00472" 300.91174679126 -0.363191192681024 0.086771501923585 -4.18560454330809 2.84408130317463e-05 0.0150684598499107 0.0244284706394215
"LRPPRC" 213.905380795476 -0.35067727855788 0.0837136432042816 -4.1890098810076 2.80174201858737e-05 0.0150684598499107 0.0244284706394215
"CEP170" 192.490902486684 -0.3467832359589 0.0838458127061691 -4.13596367864159 3.53468101447996e-05 0.0171667674603244 0.0281916058626309
"BACH1" 80.782652924969 -0.488875004087315 0.119330666549663 -4.09680946417788 4.18883396033085e-05 0.0187788648621602 0.0311816800007028
"SLC5A6" 100.494693401951 0.410595608078916 0.101604671890118 4.04110953207899 5.31989019175664e-05 0.0221459428839698 0.0371261836757217
"PDLIM1" 307.332822693053 0.241676651704401 0.0602075142318375 4.0140612810187 5.96828403919087e-05 0.0231887729202696 0.0392010938715325
"BLOC1S6" 200.499282329275 -0.325413837963792 0.0814755421819588 -3.99400641283303 6.49661051179716e-05 0.0236639037892212 0.0403006405415151
"OLMALINC" 300.95445006139 -0.351782481084834 0.0884282612635496 -3.97816802070087 6.94482906385811e-05 0.0238085081083324 0.0408136638563367
"H2AX" 327.337938007212 0.263922118246817 0.0673531730299065 3.91848084320584 8.91088098875231e-05 0.0288514524458047 0.0497494485602041
"KMT2E" 240.3542881846 -0.315843909705659 0.0810036346181847 -3.89913256601889 9.65379126216394e-05 0.0296117344609955 0.0513305872539631
"ENSG00000274276" 35.8985400917178 1.17034526833561 0.302334885625324 3.87102290863644 0.000108379605037606 NA 0.0550075759022686
"FAT3" 87.0694612019669 -0.55925177951587 0.14526189972305 -3.84995501629894 0.000118139520248474 0.0343297246630713 0.0552494153558336
"LSM7" 412.506014140912 0.324031546547695 0.0844123449924076 3.83867485942772 0.000123700106026853 0.0343297246630713 0.0552494153558336
"TBC1D8B" 48.8654286822063 -0.56634642898665 0.147534168271477 -3.83874756351028 0.000123663489137706 NA 0.0552494153558336
"CDH13" 91.406614015983 0.43646411591453 0.115455607330602 3.78036308504907 0.00015659981794347 0.0391617693754689 0.0643122340689998
"NCAM1" 74.1137337277478 0.438149361899368 0.116126336948233 3.77304040938349 0.000161270155286763 0.0391617693754689 0.0643122340689998
"NORAD" 350.906352756836 -0.250761441612878 0.0663418908949846 -3.77983560959725 0.000156931936123662 0.0391617693754689 0.0643122340689998
"FGD5-AS1" 151.039390022376 -0.361207541819025 0.0961254460985768 -3.75766830198745 0.000171504013101414 0.0392279096913386 0.0651366382403951
"PPIL4" 163.262567943863 -0.308246142030787 0.0821418444180197 -3.75260799431436 0.000175004401505629 0.0392279096913386 0.0651366382403951
"CMC2" 170.061236009438 0.325101810262628 0.0870606744100052 3.73419816083192 0.000188314184565846 0.0406479654685093 0.0678295543503947
"POLR2L" 469.882903498024 0.254564803953941 0.0684040313390448 3.72148832416309 0.000198052024735667 0.0412231142914096 0.0691077783812018
"GNPDA1" 167.687015443993 -0.31827975756272 0.0859459027405868 -3.70325690246565 0.000212849140749861 0.0427753376651789 0.0720204092609984
"BOK" 65.1362357583029 0.525906646830562 0.143421773885129 3.6668535926196 0.00024555329135024 0.0471599913345603 0.0800286418300457
"RBP1" 328.96401886425 0.29656237914952 0.0809972215092386 3.66138953440143 0.000250851017737023 0.0471599913345603 0.0800286418300457
"UBLCP1" 113.55645986841 -0.387919842365365 0.106489812076461 -3.64278830811378 0.000269700633930155 0.0491192279545295 0.0836521466240031
"FBXO11" 114.530634197499 -0.396828625653477 0.109635337549303 -3.6195321191493 0.00029513617740267 0.0521228376334171 0.0890673123480598
"ENSG00000286834" 405.568895977573 -0.30323083512877 0.0846137783099303 -3.583705174092 0.000338754438641386 0.0548405796778333 0.0945633015467429
"FBXO38-DT" 98.2086496412702 -0.499782559097601 0.139204537621887 -3.59027491226709 0.000330329379785947 0.0548405796778333 0.0945633015467429
"LINC02895" 90.7854981469574 -0.475793902306795 0.132450459410771 -3.59224048314703 0.000327847087001078 0.0548405796778333 0.0945633015467429
"LINC02503" 78.7686548446012 -0.494050176349742 0.138279310870361 -3.5728423380192 0.000353127387015951 0.0556223354467288 0.09617122935171
"AFF4" 224.692842969721 -0.290393700689518 0.0819274243466422 -3.54452374165745 0.00039332307985257 0.056689228652997 0.098957786214878
"NSD1" 181.158497757461 -0.324962875284951 0.0915667526025574 -3.54891776817118 0.000386817858152335 0.056689228652997 0.098957786214878
"SHMT2" 102.117884687411 0.414362908844627 0.116678448458864 3.55132343905579 0.000383299067404739 0.056689228652997 0.098957786214878
"TFRC" 65.3602435527342 -0.449487851845541 0.126942745408713 -3.54087073190628 0.000398808918114769 0.056689228652997 0.098957786214878
"STAG2" 150.158855821539 -0.320553642693675 0.0907897283205378 -3.53072587200552 0.000414421007832347 0.0575058484201647 0.10059619507513
"PPIB" 673.915203017127 0.225817456363682 0.064239164900796 3.51526139407961 0.000439321341681158 0.0595433669608788 0.104371534068336
"LIMS2" 25.0428334770786 0.759274643205963 0.216536884101681 3.50644485513805 0.000454135526572986 NA 0.105643276869041
"RASA1" 36.3217369457169 -0.635440734945775 0.181905045131696 -3.49325514575876 0.000477170355797334 NA 0.108736412098633
"PNPLA6" 27.9114003995153 0.767101707251352 0.220338201512137 3.48147394317865 0.000498662296246305 NA 0.111361263997725
"RBM26" 187.080393758247 -0.284759256394461 0.0819717120766355 -3.4738722564223 0.000513005205734716 0.0679498713414074 0.112317963279095
"RPL22L1" 218.19201421316 0.267806086529756 0.077645835811472 3.44907210709925 0.000562516468445061 0.0728521328466181 0.118510545031275
"ENSG00000286827" 13.7502576195643 -1.10378406348343 0.319714879319448 -3.45240129528211 0.000555620716523565 NA 0.118510545031275
"ACTC1" 197.377174557823 0.269655075054153 0.0786372416669298 3.42910139442942 0.000605583244276256 0.0750923222902557 0.122944409192521
"ZFYVE16" 96.860641184651 -0.364093295293403 0.106066627836949 -3.43268474465978 0.000597636564183721 0.0750923222902557 0.122944409192521
"SNRPN" 217.152695849054 0.265851250917814 0.07766228684006 3.42317052117349 0.000618952361028856 0.0751511325015869 0.123414679700861
"KLHL24" 34.7440852137639 -0.63307574471885 0.185766093026992 -3.40791871327597 0.000654603918442537 NA 0.127115580462721
"ZNF471" 26.1711778433545 -0.736783061474265 0.216347017694262 -3.40556144164406 0.000660281539211698 NA 0.127115580462721
"ENSG00000271793" 108.763843702688 -0.380518440707238 0.112318996359414 -3.38783690240255 0.000704461411236597 0.0824621554261804 0.131659292422891
"MGA" 107.409360853489 -0.332116271014502 0.0980657427858666 -3.38666961142283 0.000707465300499145 0.0824621554261804 0.131659292422891
"ENSG00000288473" 57.4313130274937 0.457200411299477 0.135601896292912 3.37163729858087 0.000747227832307553 0.0853890942487925 0.136779442222068
"HSPBP1" 70.5625315139006 0.416500675765933 0.123974077482301 3.35957874601158 0.00078061401024899 0.0870365467424331 0.140586065136133
"WSB1" 275.95429313751 -0.218042423018288 0.0650302153852227 -3.35294019444129 0.000799579817915968 0.0870365467424331 0.140699812247996
"ZNF644" 170.886630132213 -0.270274373415121 0.080665133056237 -3.3505724614214 0.000806447070022544 0.0870365467424331 0.140699812247996
"LINC00504" 67.949442533853 -0.472984799416756 0.141446941843684 -3.34390261996233 0.000826087287066837 0.0875352128913732 0.141066668277252
"OPA1" 148.056108321309 -0.31276620833914 0.0936940652754461 -3.33816456164705 0.000843337871466694 0.0877673770519267 0.141066668277252
"STOX1" 19.4225921674758 0.681818595248968 0.204312204770588 3.33714080377404 0.000846450544024351 NA 0.141066668277252
"COX16" 276.903211453939 0.226176317829734 0.0683666210481916 3.30828574473941 0.000938689798595651 0.0959769148458851 0.154138386634104
"MVD" 173.360374558271 0.327849514829565 0.0994696686941812 3.29597473414268 0.000980808356248918 0.0985543293141155 0.158720378346021
"FLNB" 423.891671539374 0.197394210343691 0.0600701109095607 3.28606369049127 0.00101598034845139 0.0986855578462453 0.159376838029305
"PAFAH1B3" 191.483660572015 0.289440588584915 0.0879903589383201 3.28945798241156 0.00100380542781617 0.0986855578462453 0.159376838029305
"AP2S1" 204.337874174391 0.293181384010858 0.0904023322289596 3.24307323475157 0.00118247812311561 0.104611946437627 0.159376838029305
"CDK6" 425.083722105468 -0.254822883699124 0.0784522183734293 -3.24812846573921 0.00116166809097581 0.104611946437627 0.159376838029305
"KIF20B" 286.237750073628 -0.25169208459729 0.0776106640151475 -3.24300903479149 0.00118274460562641 0.104611946437627 0.159376838029305
"NDUFA13" 622.365055739607 0.24617007207539 0.0759188974259171 3.24254013719847 0.00118469259864162 0.104611946437627 0.159376838029305
"NMNAT3" 90.6806032199651 -0.439206706282478 0.134745069050443 -3.25953824787501 0.00111593732702883 0.104611946437627 0.159376838029305
"TMEM205" 80.6986470184944 0.366938031584125 0.113133153236194 3.2434173457364 0.00118105072551926 0.104611946437627 0.159376838029305
"DDX47" 39.6005153156034 -8.0738797848216 2.47056001823798 -3.26803628538438 0.00108296480447325 NA 0.159376838029305
"FNIP1" 54.6394182344859 -0.490966851865744 0.149870248800517 -3.2759460653144 0.00105308669576624 NA 0.159376838029305
"MAFB" 42.7025424519322 -0.543582801464812 0.165669776320809 -3.28112232379791 0.00103394892188275 NA 0.159376838029305
"MDFIC" 29.8560036151429 -0.711776864265455 0.218841262335969 -3.25248016150045 0.00114402581603905 NA 0.159376838029305
"PIH1D2" 10.5941877586417 -1.30243638862615 0.398440117260571 -3.2688384833859 0.001079899267034 NA 0.159376838029305
"WBP1" 14.9095669030788 -6.3784614775864 1.95731529600993 -3.25878078538964 0.00111892090282227 NA 0.159376838029305
