"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"MLLT1" 141.332111253009 1.01124889513897 0.0890616450777075 11.3544825525808 7.04557861884216e-30 7.51551871271893e-26 7.86709308579916e-26
"ABR" 59.8131079769929 1.3218885558017 0.126159413700556 10.4779224714792 1.09114323746629e-25 5.81961245702647e-22 6.0918526947743e-22
"ARPC5L" 162.832722296821 0.86055403563296 0.0943730902456572 9.11863788070202 7.60744179589645e-20 2.70495272122758e-16 2.83148983643266e-16
"FKBP11" 40.2257206371198 -1.85619198945629 0.217796331290205 -8.52260448309842 1.56004808476659e-17 4.16025823005131e-14 4.35487422862594e-14
"DECR1" 167.033171902108 0.68414286597586 0.0851194998238562 8.03743992142347 9.17348503908933e-16 1.95707129823932e-12 2.04862267892943e-12
"NEAT1" 303.988520940528 -0.77274906124918 0.0982026090900691 -7.86892597263309 3.57698742336793e-15 6.35928747417762e-12 6.65677359488772e-12
"SNHG12" 95.6671834814526 0.829183365234913 0.10661224898345 7.77756189500919 7.39355988018276e-15 1.12667290345585e-11 1.17937842317315e-11
"ENSG00000286147" 412.536422558692 -0.768794720530213 0.0991472654240673 -7.75406883126797 8.89940508386432e-15 1.18662442536976e-11 1.24213446458036e-11
"SLC39A9" 110.282496364547 -0.834276898741149 0.11324410616456 -7.36706683462028 1.74423052987564e-13 2.06730078468705e-10 2.16400867739904e-10
"PRMT2" 245.877742561461 0.572912066489738 0.0782435709542441 7.32216154634315 2.44008151040287e-13 2.60283494714674e-10 2.72459501451584e-10
"ENSG00000260927" 63.2694172300046 -1.17852464061476 0.16332187689362 -7.21596312159943 5.35535704735548e-13 5.06824041811178e-10 5.30533163107116e-10
"RNPS1" 248.663319978101 0.553933094384104 0.0768557949174318 7.20743432527383 5.70159229561651e-13 5.06824041811178e-10 5.30533163107116e-10
"ENSG00000286834" 405.568895977573 -0.659259027955659 0.0920328189528777 -7.1633036503338 7.87556359259112e-13 6.10937161542615e-10 6.39516672521313e-10
"OLMALINC" 300.95445006139 -0.695011901011891 0.0970572869222175 -7.16084204547032 8.01829967338203e-13 6.10937161542615e-10 6.39516672521313e-10
"FIBP" 98.9119406662018 0.803270827734528 0.11319231800634 7.09651363168953 1.27943332640854e-12 9.09847686186659e-10 9.52410168178517e-10
"GASK1A" 190.59395199325 -0.766322889231028 0.108407621055587 -7.06890236838688 1.56163965132955e-12 1.04112563504577e-09 1.08982927167161e-09
"ENSG00000287160" 114.66520181756 -0.967023514985045 0.138118728512488 -7.00139311590616 2.53429734379373e-12 1.59019704507339e-09 1.66458612592946e-09
"XACT" 238.549699554171 -0.888558189167462 0.129463107551271 -6.86340847191214 6.72366109894909e-12 3.98451627458278e-09 4.17091110171475e-09
"CNPY4" 36.8137338582841 1.13056465872219 0.167317686787526 6.75699431679251 1.4088371448443e-11 7.90950832844954e-09 8.27951345227971e-09
"RPF2" 152.982207918267 0.615291348569558 0.0917278933292213 6.70778894224913 1.97595439214756e-11 1.0538752750519e-08 1.10317533713598e-08
"BLOC1S6" 200.499282329275 -0.60381537896591 0.0910868873230923 -6.6290044232616 3.37958456761912e-11 1.71666802775206e-08 1.79697339438262e-08
"TIMP2" 348.795928325122 0.432901951585151 0.0666229221626063 6.49779291470537 8.15068917135276e-11 3.95197279049181e-08 4.13684524033295e-08
"CNTNAP2" 495.23094953382 -0.444822560062208 0.069464184296557 -6.40362460981574 1.51730908075515e-10 7.03701563670228e-08 7.36620573726609e-08
"CCDC88A" 322.677957535643 -0.515989669387066 0.0833366137440747 -6.19163229947957 5.95443286096293e-10 2.64649730532882e-07 2.770299888563e-07
"CPSF6" 232.442174120439 -0.488629070870511 0.0795424152660363 -6.14300017463954 8.09771943330788e-10 3.32224512288827e-07 3.4776590458583e-07
"LINC00472" 300.91174679126 -0.579392166487303 0.0943053845090257 -6.14378669366277 8.05770337979745e-10 3.32224512288827e-07 3.4776590458583e-07
"ENSG00000286746" 54.0962322568578 -1.08339051274925 0.177007831658021 -6.12057953934129 9.32356278799352e-10 3.68349793553803e-07 3.85581118854576e-07
"UQCC2" 235.926774098471 0.486587173697376 0.0795927281451831 6.11346268731742 9.74921741301002e-10 3.71410364802064e-07 3.88784862977392e-07
"NIT1" 60.9210564412577 0.808313110332029 0.133465609997819 6.05633998409958 1.39253527309796e-09 5.12212888211585e-07 5.36174098600408e-07
"XPO1" 312.642709410149 -0.430170808373816 0.0715374194424018 -6.01322792640245 1.81865045873154e-09 6.46651481442978e-07 6.76901700739879e-07
"FBXO38-DT" 98.2086496412702 -0.942228640651208 0.157087069446512 -5.99812985226029 1.9960288527766e-09 6.86827089437678e-07 7.18956715164629e-07
"ZBTB34" 17.8493507260699 1.53902924454671 0.264563674203604 5.8172356774963 5.98287612202174e-09 1.99435436230018e-06 2.08764983682796e-06
"BPTF" 394.139816948165 -0.44023480395357 0.0762980123478029 -5.76993804172471 7.93006836781281e-09 2.56333452361998e-06 2.68324676954539e-06
"RAD21" 423.693528589495 -0.345997180098831 0.0600320190191021 -5.76354395124932 8.23657910038705e-09 2.5841055665832e-06 2.7049894774977e-06
"OPHN1" 71.6206332930918 -0.971408209630447 0.16942664346971 -5.7335032420926 9.83771848877192e-09 2.92439767688785e-06 3.06120038062527e-06
"YARS1" 152.558622301564 0.52844240684364 0.0921762563221033 5.73295583839981 9.86953373656723e-09 2.92439767688785e-06 3.06120038062527e-06
"KCNQ1OT1" 184.767637210819 -0.733580843981242 0.128407621539139 -5.71290734294651 1.110621578004e-08 3.20189199258614e-06 3.35167582161964e-06
"UGDH-AS1" 92.0230501502293 -0.905635058337029 0.15887986201458 -5.70012490477819 1.19719677306247e-08 3.36065736269932e-06 3.51786820210935e-06
"RANBP2" 284.243576634356 -0.477664198893019 0.0839110395363042 -5.69250722589793 1.25187298779431e-08 3.42403311815432e-06 3.58420866197725e-06
