"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"ANAPC5" 173.034400360007 2.41090535553643 0.0729670786457077 33.0410015075785 2.0948718729981e-239 2.52432060696271e-235 2.33913393338968e-235
"HMCES" 143.289830659468 1.52549147301042 0.0857049116556385 17.7993471265665 7.1497510269747e-71 4.30772499375225e-67 3.99170599835998e-67
"CPSF4" 120.372385970529 1.70111087729568 0.0968111658058447 17.5714326249026 4.07744425874108e-69 1.63777344392767e-65 1.51762475310343e-65
"TCTN1" 46.8953797319142 2.721821500366 0.156029500734965 17.4442748810005 3.80517038700876e-68 1.14630757908639e-64 1.0622133135335e-64
"TNFRSF10B" 169.748622238503 1.17302087108041 0.0768186010539295 15.2700108435574 1.21152930848492e-52 2.91978563344865e-49 2.70558725170852e-49
"PGBD5" 16.0749534409667 3.62998526820668 0.24242852400711 14.9734247777717 1.09532376974441e-50 2.19977523757002e-47 2.03839753549435e-47
"HECTD3" 27.1879571044817 2.65805660249727 0.181502514940854 14.6447370349852 1.4556333867752e-48 2.50576890152017e-45 2.32194319953313e-45
"SELENOI" 63.3267078661494 1.74674932718658 0.121317232719929 14.3981962663054 5.31116023016599e-47 7.99993509668753e-44 7.41305189125418e-44
"TSPAN3" 352.012825469716 0.892148602277342 0.0655391960775425 13.6124434791937 3.37759436286345e-42 4.52222356361162e-39 4.19046873952592e-39
"CCNE1" 28.7833579685742 2.35306647227648 0.173888439788695 13.5320466106653 1.01167324682821e-41 1.219066262428e-38 1.12963434740838e-38
"PUDP" 85.0936511494006 1.69409445477643 0.129701256874945 13.0615114733224 5.46322017196938e-39 5.98470937020282e-36 5.54566513092819e-36
"ZFP91" 206.928453431445 0.997292653826604 0.0826859965258182 12.0612037797138 1.69290260746015e-33 1.69995636832456e-30 1.57524587624167e-30
"IKBKG" 28.7955568284015 2.45038604602848 0.209344513985069 11.7050406498985 1.20101667280761e-31 1.11325006979475e-28 1.03158093604383e-28
"NEIL2" 46.8194825055835 1.70055128428425 0.147150124852039 11.5565738458882 6.83830722833276e-31 5.88582872152927e-28 5.45403846511169e-28
"KTI12" 31.8310697256809 1.91560672882045 0.176497170095679 10.8534699325887 1.91995251149198e-27 1.54236185089856e-24 1.42921264955463e-24
"ENSG00000260927" 63.2694172300046 -4.22981107387335 0.399856260717222 -10.5783289882378 3.75596935645287e-26 2.82871442157857e-23 2.62119711463455e-23
"RNF121" 27.8952437750921 1.81076061724789 0.175509676372693 10.317155467843 5.89435920324338e-25 4.17806049406369e-22 3.87155381549503e-22
"RNF144A" 43.769995862478 1.54016032729165 0.152510485298838 10.0987176342254 5.59692612590793e-24 3.74683110095503e-21 3.47195984010489e-21
"ZNF746" 50.4806131453953 1.4715041261214 0.146792712479735 10.024367703707 1.19119586661612e-23 7.55468957511802e-21 7.00047002454505e-21
"PNPLA2" 22.1605871002083 2.16199704658731 0.22576682137251 9.57623903035808 1.00643209702612e-21 6.06375338458235e-19 5.61891039769683e-19
"ENSG00000289106" 13.0077972025652 2.34715978982513 0.246722322018805 9.5133661624919 1.84590654294322e-21 1.05919875440313e-18 9.81494878976381e-19
"LIN28A" 410.763820429013 0.770527405000174 0.083218427507191 9.25909594883408 2.06170402406959e-20 1.12925152227448e-17 1.04640850603459e-17
