"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"ANAPC5" 173.034400360007 2.58618405504138 0.0681045718923424 37.9737216339828 0 0 0
"HMCES" 143.289830659468 1.67557860564717 0.078767691528094 21.2724097042954 2.04500846191116e-100 1.37342768301954e-96 1.141728224285e-96
"CPSF4" 120.372385970529 1.71121154158002 0.090700197460607 18.8666793401771 2.14351939558777e-79 9.59725084051165e-76 7.97817919037768e-76
"TCTN1" 46.8953797319142 2.60301906403654 0.150158713338413 17.3351183302304 2.55540630507258e-67 8.58105437243372e-64 7.13341670061011e-64
"PGBD5" 16.0749534409667 3.81749945256989 0.231675071748288 16.4778170726869 5.29629141557273e-61 1.42279572587946e-57 1.1827677989257e-57
"HECTD3" 27.1879571044817 2.79810569077728 0.170660738236743 16.3957200682896 2.05194808914444e-60 4.59362778889802e-57 3.8186753938978e-57
"TSPAN3" 352.012825469716 0.984780513043506 0.0604695506685451 16.2855602887052 1.24979278684723e-59 2.39817381613314e-56 1.99359803684802e-56
"TNFRSF10B" 169.748622238503 1.10314014014242 0.0720305455030157 15.3148935974146 6.08113157949199e-53 1.02102199219671e-49 8.48773940207594e-50
"SELENOI" 63.3267078661494 1.7204903408794 0.114085072761544 15.0807664774471 2.16738154493932e-51 3.23469654573611e-48 2.68899803675472e-48
"CCNE1" 28.7833579685742 2.40768484979741 0.163564140337366 14.7201265805044 4.78763348534009e-49 6.43074929750881e-46 5.34587154973074e-46
"ZFP91" 206.928453431445 1.06061817647731 0.0769641175360072 13.7806839139174 3.33101492043741e-43 4.06747203739229e-40 3.38128296378219e-40
"PUDP" 85.0936511494006 1.66089469489529 0.122734491219482 13.5324200914735 1.00654563446164e-41 1.12666008017406e-38 9.36590712866556e-39
"ENSG00000260927" 63.2694172300046 -2.90339908817815 0.236665362064268 -12.2679510970841 1.34616795062761e-34 1.39090214714078e-31 1.1562547182083e-31
"NEIL2" 46.8194825055835 1.69014500005097 0.138194659237434 12.2301759661139 2.14473521230782e-34 2.05772024083704e-31 1.71057952718779e-31
"RNF144A" 43.769995862478 1.69706054280609 0.13998546400855 12.1231197455076 7.96677046706527e-34 7.13397739424138e-31 5.93046393568339e-31
"RNF121" 27.8952437750921 1.91356673100976 0.162398256373787 11.7831728845989 4.76644360361215e-32 4.0014294052324e-29 3.32638182987083e-29
"KTI12" 31.8310697256809 1.91959206179871 0.165074863353808 11.6286151797952 2.94841878900951e-31 2.32959771611622e-28 1.93659083518119e-28
"IKBKG" 28.7955568284015 2.30231494642778 0.201270289793388 11.4389210091126 2.67187704026167e-30 1.9938140224886e-27 1.65745439064232e-27
"STK19" 36.9489353519468 1.70970484963122 0.152766816241956 11.1915983568273 4.48278993561686e-29 3.16909654816872e-26 2.63446486426831e-26
"CRAMP1" 28.380670188978 1.69485761777642 0.161309038862662 10.5068979998041 8.02911580999154e-26 5.39235417799032e-23 4.48265535671828e-23
"PNPLA2" 22.1605871002083 2.17090347098942 0.213429576280292 10.1715212522299 2.65725689968494e-24 1.69963212745562e-21 1.41290145437534e-21
"ZNF746" 50.4806131453953 1.40617818610393 0.138323792783418 10.1658446302558 2.8167001912865e-24 1.71972349860728e-21 1.42960337890478e-21
"NIPBL" 274.942174443885 -0.975489829673702 0.0967186728722369 -10.0858479619784 6.38118119164199e-24 3.72660981591892e-21 3.09792474721193e-21
"B3GALT6" 88.1101597099916 1.04809854554136 0.105237660333542 9.95934860409758 2.29561851190498e-23 1.28478116049615e-20 1.06803651266379e-20
"KIAA1549L" 10.4391565053702 2.42649838746877 0.245678227262334 9.87673354089193 5.25169235283742e-23 2.82162926733249e-20 2.34561587247131e-20
"ENSG00000289106" 13.0077972025652 2.29929904326803 0.233476534568417 9.84809478827626 6.98555604206623e-23 3.60884572142437e-20 3.00002764483506e-20
"IMPDH1" 29.3425589620865 1.61570015242513 0.165321735582037 9.77306551214726 1.46937451744057e-22 7.3098661178747e-20 6.07667994879311e-20
"MAP7D1" 180.703994727305 0.928571364090982 0.0951686481395574 9.75711415727272 1.7197933571537e-22 8.25009441903163e-20 6.85829022356365e-20
"CKAP2" 403.687528101713 -0.585000330109068 0.0625976309395191 -9.34540686810155 9.15368491295912e-21 4.23973433623679e-18 3.5244843357966e-18
"AGK" 52.2390097865968 1.16838183124176 0.125249196149069 9.32845772400153 1.0742258678684e-20 4.80966728573612e-18 3.99826868020618e-18
"SND1" 123.275400711823 0.802938501237118 0.0863430835950097 9.29939571075876 1.41246147219305e-20 6.1200588691926e-18 5.08759509629277e-18
"NEAT1" 303.988520940528 -0.868715313418787 0.0944243953288258 -9.20011518626677 3.57566259906105e-20 1.50088437595587e-17 1.24768276815987e-17
"SLC39A9" 110.282496364547 -1.0015602285785 0.111043956021929 -9.01949340116011 1.88961088652415e-19 7.69128891751285e-17 6.39375610876626e-17
"IFITM2" 287.106484688463 0.647962342232421 0.0722632545332753 8.96669194346972 3.05553202212891e-19 1.20711488591869e-16 1.00347266350269e-16
"KCTD21" 21.8805836652055 1.72447066833434 0.193861075229161 8.89539411816358 5.8212335526266e-19 2.23402311653944e-16 1.85713982424653e-16
"CENPA" 61.8856927804733 1.07296342857897 0.122081033893324 8.78894447696548 1.50971652204107e-18 5.63292009001547e-16 4.68263741253072e-16
"7SK" 157.471709654987 -1.68632165883191 0.193291619363247 -8.72423576556034 2.67984256243349e-18 9.72855278340719e-16 8.08733028436009e-16
"NHP2" 314.372104955977 0.714655052416191 0.0820411843736095 8.71093046587071 3.01390509157081e-18 1.0653361365784e-15 8.85612217170518e-16
"SLIRP" 689.107866709576 -0.632869711581609 0.0729454604709033 -8.67593003726461 4.1018429320611e-18 1.41271677598576e-15 1.17438918408703e-15
"NFU1" 126.325648267445 0.879310368592582 0.10145114444962 8.66732823333743 4.42378289153318e-18 1.48550629497684e-15 1.23489899417149e-15
"HES1" 246.309061745069 -0.904448462756723 0.105844994645622 -8.54502818753872 1.28504905462844e-17 4.20994607360224e-15 3.49972140097101e-15
"NCKIPSD" 24.0473046759634 1.37212405938493 0.16111185378807 8.51659283363376 1.64315945620095e-17 5.25498043230743e-15 4.36845678284281e-15
"NOP10" 572.060090950478 -0.746061683185023 0.0896705149351076 -8.3200334438241 8.79384959178579e-17 2.68452244811061e-14 2.23163919413364e-14
"SRP72" 411.582057493462 0.597666771246765 0.0718128101505539 8.32256487378464 8.60799809518669e-17 2.68452244811061e-14 2.23163919413364e-14
"LAGE3" 102.186599424983 -1.35509734392198 0.163241244114745 -8.30119465990748 1.0306965466899e-16 3.07651467003082e-14 2.55750169785321e-14
"LLGL2" 17.1942180294829 1.74692153412175 0.214495791104747 8.14431614310166 3.81431446976403e-16 1.1137798251711e-13 9.2588337759533e-14
"NARS1" 385.668237934471 -0.501928564128263 0.0616519412515224 -8.14132619248009 3.90971489619204e-16 1.11734660607769e-13 9.28848436827241e-14
"MT-ND4L" 374.778260326223 -1.38062537511172 0.170638568649167 -8.09093387292932 5.92089952763203e-16 1.65686505114903e-13 1.3773492526154e-13
"SOX4" 364.227963645033 -0.675945728264775 0.0844680404290292 -8.00238439096632 1.22032729438025e-15 3.34519106492152e-13 2.78085195286732e-13
"ENSG00000280800" 106.944150663506 4.1334165552395 0.521375498037179 7.92790718167726 2.22869781821666e-15 5.98717381885724e-13 4.97712796764144e-13
"RTL8C" 157.049619024905 -0.821529725846505 0.103692237196842 -7.92276980471515 2.32277358893823e-15 6.11754800914084e-13 5.08550782236947e-13
"H1-5" 73.2041462390718 -1.24452532127827 0.15742853953326 -7.90533485839358 2.67214304415891e-15 6.9023510325274e-13 5.73791331366892e-13
"MRPL48" 98.3998184866383 0.846083921360425 0.107137897198668 7.89714884726095 2.85355526119542e-15 7.2318781638447e-13 6.01184868802039e-13
"SNAP47" 52.0274634140885 1.06936666604099 0.136214625886838 7.85060091072291 4.14048566093029e-15 1.02990747032622e-12 8.56160423887919e-13
"MT-ND4" 1813.29214860499 -0.752096529105831 0.0967933722807173 -7.77012424905109 7.84091752181962e-15 1.91489462096511e-12 1.59184881906614e-12
"LIN28A" 410.763820429013 0.610943015457191 0.0797593352293306 7.65983083610911 1.86178150368338e-14 4.46561592097771e-12 3.71225933395154e-12
"CYTOR" 358.228112488971 -0.613799721273917 0.0802966271591263 -7.6441532227441 2.10324832224692e-14 4.95628622182819e-12 4.1201527660016e-12
"INPP5F" 169.00181192588 0.554533137036255 0.0733335126320693 7.56179701657648 3.97538424183813e-14 9.20644157523616e-12 7.65330007661458e-12
"ASB13" 15.9538213984833 1.70613047457034 0.227862532061478 7.48754285812126 7.01749529026031e-14 1.59761011421655e-11 1.3280907188313e-11
"CD151" 122.558395738576 0.72434825172028 0.0973296017159964 7.44221941680084 9.90075922892135e-14 2.21644996604786e-11 1.84253129250226e-11
"CCNG1" 262.719521619899 -0.561786753273831 0.0757912097735936 -7.41229431423541 1.24132891812581e-13 2.73336557840424e-11 2.2722424098021e-11
"H4C3" 1019.5068142301 -0.591891509965665 0.0803110604556013 -7.36998747878423 1.70644063388447e-13 3.69692106360261e-11 3.07324453515387e-11
"ZNF275" 33.3122537327044 1.23667841666685 0.168021556053794 7.36023666077052 1.83584460386734e-13 3.91413725700732e-11 3.25381600742583e-11
"SQSTM1" 568.706642937944 -0.724549993057362 0.0988377982983944 -7.33069742073699 2.28958075841679e-13 4.80525761672724e-11 3.99460292945029e-11
"SNRNP27" 160.54003559124 -0.710190274376141 0.097057389760314 -7.3172200090068 2.5316061567562e-13 5.23146675346913e-11 4.34890989943688e-11
"MRPS18C" 356.615704501239 0.681681240136557 0.0935633559203916 7.28577158686533 3.19834463263798e-13 6.5091159250899e-11 5.41101760121753e-11
"LINC00632" 83.365632855574 -1.03705559837747 0.143052216564569 -7.24948989454759 4.18344170901515e-13 8.386864035148e-11 6.97198658550196e-11
"RNU6-5P" 36.4920997304332 -1.98112627145183 0.278555200412603 -7.11214965119062 1.1424927851639e-12 2.25675927798845e-10 1.87604035869707e-10
"SEPTIN2" 550.733597621397 -0.392484988319674 0.0552514327753987 -7.10361647842067 1.21533826048063e-12 2.36585848040229e-10 1.96673435022126e-10
"UBE2E2" 43.7809113238133 0.96756823245561 0.136337696880561 7.09685035462533 1.27632125825986e-12 2.44907816299235e-10 2.0359147385328e-10
"DRAP1" 254.129610659624 0.545110980716434 0.0776266727274628 7.02221236030878 2.18382268169685e-12 4.13142341697917e-10 3.43444564279254e-10
"YKT6" 153.105924375683 0.617885294165174 0.0885702236184209 6.97621919559731 3.03229507963251e-12 5.65691493189221e-10 4.70258428599675e-10
"CYB5R3" 178.023952935281 -0.779757778993839 0.111827620670512 -6.97285495585486 3.10572786682608e-12 5.71453927495999e-10 4.75048730972329e-10
"TIMM21" 103.820652860071 0.652246254531747 0.0935951049539466 6.96880734150236 3.19639060596138e-12 5.80188089449638e-10 4.82309425758983e-10
"FKBP11" 40.2257206371198 -1.24729012683682 0.180208935643599 -6.92135560527141 4.47341965299904e-12 8.01159637054442e-10 6.66002717938497e-10
"SLC25A13" 140.320583099833 0.595072617475529 0.0865184967827695 6.87798146758879 6.07065653383879e-12 1.07290866529635e-09 8.91907248116367e-10
"HM13" 203.379122932176 0.551906351167945 0.0803314621960463 6.87036356715425 6.40384840140296e-12 1.11709729516422e-09 9.28641185065785e-10
"SRP9" 606.235169923614 0.603702780024993 0.0879981100195513 6.86040620521126 6.86650157855029e-12 1.18244678465497e-09 9.8296611059093e-10
"FEZ2" 161.936372615354 0.534453310845491 0.0781760245632723 6.83653733777326 8.11302203796887e-12 1.37941913941769e-09 1.14670891235393e-09
"PIANP" 11.7551110307051 1.68210438303957 0.246554526672842 6.82244372366194 8.95046973906739e-12 1.50278386918941e-09 1.24926181383033e-09
"MPZL1" 161.883573678209 0.600566739525769 0.0882171813798847 6.80782054166503 9.9088357190422e-12 1.64315409108858e-09 1.36595135356574e-09
"MCAM" 154.262441703581 0.581818040919147 0.0861647083171691 6.75239378490664 1.45425521686997e-11 2.38214098451189e-09 1.98026996970367e-09
"MACROH2A2" 168.637288531295 0.530146368545496 0.0785396374194785 6.75004858647354 1.47795654664278e-11 2.39179666680793e-09 1.98829672286907e-09
"SF3A1" 222.344217702033 -0.602343014814707 0.089515935799372 -6.72889144749278 1.70960532433326e-11 2.73374032338622e-09 2.272553934703e-09
"CRIM1-DT" 58.7711815224408 1.14530395483096 0.170379987291411 6.72205681569916 1.79177055350532e-11 2.83141906760982e-09 2.35375411769887e-09
"PFDN4" 235.729993589394 -0.621157927303843 0.0926662653317717 -6.70317213151863 2.03942984413412e-11 3.18530484493134e-09 2.64793879530251e-09
"FGD5-AS1" 151.039390022376 -0.691701915922041 0.103342464172859 -6.69329806927232 2.18196055318801e-11 3.36874645407141e-09 2.8004335099882e-09
"MARVELD1" 36.7244062547165 -1.56976283273215 0.235209747275807 -6.67388512131448 2.49118650949683e-11 3.80245649949561e-09 3.16097597330018e-09
"COX8A" 497.641477614043 -0.507967636657692 0.0762313105180432 -6.66350392254455 2.67374906998926e-11 3.99042194534397e-09 3.35450360848315e-09
"CNN3" 754.982969470653 -0.382537339096925 0.0575413669263998 -6.64804052337203 2.97020541499745e-11 4.38415375101601e-09 3.68503485154017e-09
"COL5A3" 16.8170194055538 1.45577951891821 0.219919430079327 6.61960390854549 3.60162603635524e-11 5.25837401307865e-09 4.41931388153216e-09
"HADHB" 167.705113283991 0.498073500250134 0.0752643629054778 6.61765384071143 3.64944352871479e-11 5.2708952126556e-09 4.42931374365536e-09
"APLN" 37.9020558660076 1.07505825497128 0.16305468603763 6.59323740455507 4.30337592515477e-11 6.14924951347647e-09 5.16682748175034e-09
"HMGN5" 115.6531138406 0.659869272741079 0.100963285292233 6.53573495386094 6.3297926113889e-11 8.94966045854481e-09 7.51898556369877e-09
"ENSG00000279670" 10.6909479000503 1.64387550283679 0.25158816996571 6.53399364151676 6.40386651515453e-11 8.96007656578704e-09 7.526902474549e-09
"PHB1" 351.871940848932 0.443424626688975 0.0684747977243377 6.4757347436657 9.43516746836614e-11 1.29319560648055e-08 1.09742791616434e-08
"H1-2" 176.219618436279 -0.908207714581453 0.140944173719993 -6.44374074224414 1.16564136016011e-10 1.58150452016874e-08 1.34180942552039e-08
"FHL1" 407.59204411252 -0.385932538577461 0.0606526269291814 -6.36299791315023 1.97853380159583e-10 2.65756660230351e-08 2.25431718659378e-08
"REEP5" 192.527650722379 0.462209019140487 0.0727057605154014 6.35725444399384 2.05391626809e-10 2.73150527851336e-08 2.31656859085787e-08
"ROMO1" 744.009112715924 -0.477089898043617 0.0752110705000538 -6.3433467290334 2.24826642188605e-10 2.96065829203661e-08 2.51041428667796e-08
"PAIP2" 273.169786690008 -0.450429958630321 0.0710566083642414 -6.33902981016747 2.31216503204341e-10 3.01524278741817e-08 2.55620146017789e-08
"RBP1" 328.96401886425 0.501210451135856 0.0801842192519334 6.25073681345062 4.08520788478431e-10 5.27620310657912e-08 4.472101102108e-08
"UBTF" 148.427110027987 0.577797249320657 0.0926370969229553 6.23721239668382 4.45437016625403e-10 5.6982000069642e-08 4.82888323071772e-08
