"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"ENSG00000260927" 63.2694172300046 -3.35437898072152 0.227215604817068 -14.7629780244281 2.53820907073409e-49 3.05854193023458e-45 2.83416424838168e-45
"NR2F1" 479.415554351387 -1.04988003955615 0.073018836257858 -14.3782083276241 7.09064916948397e-47 4.27211612461409e-43 3.9587094313229e-43
"CPSF6" 232.442174120439 -0.840796108213159 0.0718973000568984 -11.6944044845601 1.36138815655446e-31 5.4682424288271e-28 5.0670867186957e-28
"PCK2" 36.8560930461671 1.59762006647781 0.141309579098292 11.3058157604909 1.22807522038883e-29 3.69957660142135e-26 3.42817197771542e-26
"SLC39A9" 110.282496364547 -1.11751217555295 0.100764503625621 -11.0903357367286 1.3976222672536e-28 3.36826966408119e-25 3.12117004723074e-25
"DDIT3" 45.8746524931971 1.31059832842648 0.131320528287359 9.98014815748068 1.86188560666507e-23 3.73928692671902e-20 3.4649691140037e-20
"EIF3A" 730.508661252194 -0.726424534068886 0.0744097468987928 -9.76249166734729 1.63097944830233e-22 2.80761462172044e-19 2.60164521710626e-19
"SQSTM1" 568.706642937944 -0.914185836883594 0.0967297512533919 -9.45092719703998 3.35842434223701e-21 5.05862666549449e-18 4.68752077567731e-18
"SMC3" 546.693440987101 -0.527286661143738 0.0559187968717117 -9.42950654595509 4.12022722910862e-21 5.51652645675099e-18 5.11182858224743e-18
"MRPS27" 149.472316334495 -0.760928857276094 0.0826093264293067 -9.21117372779044 3.22578080499151e-20 3.88706587001477e-17 3.60190684685352e-17
"CEBPB" 27.0192438568992 1.40043850316592 0.154931262164264 9.03909568413069 1.57973234679501e-19 1.73052497989817e-16 1.60357194402846e-16
"RAD21" 423.693528589495 -0.472520418307378 0.0525335870156451 -8.99463457857268 2.3701936746837e-19 2.38006948166155e-16 2.20546521429318e-16
"FKBP11" 40.2257206371198 -1.50974511106713 0.168683489490648 -8.95016528070359 3.54950488456372e-19 3.29011798915329e-16 3.04875165700296e-16
"SYNCRIP" 381.681115228356 -0.48750961312372 0.0548235823772652 -8.89233413768826 5.98384357883586e-19 5.15037965178372e-16 4.77254267152009e-16
"RNPS1" 248.663319978101 0.576218425625251 0.0669629332523574 8.60503561655082 7.62930665411264e-18 6.12887634547049e-15 5.67925587332145e-15
"NORAD" 350.906352756836 -0.551482959358724 0.0643140657452406 -8.57484211219433 9.92228186869665e-18 7.47271853236216e-15 6.92451245911668e-15
"EIF4A2" 542.886055138451 -0.595930648536124 0.0707877241124246 -8.41855923478582 3.81142447179292e-17 2.70162734618263e-14 2.5034332736494e-14
"ENSG00000286834" 405.568895977573 -0.704019974747222 0.0839212137001546 -8.3890585432027 4.90050638965046e-17 3.280616777516e-14 3.03994746371317e-14
"CLU" 515.514463548291 -0.816661372700402 0.0984872948203801 -8.29204796608353 1.11315020880112e-16 7.05971579792289e-14 6.5418080165649e-14
"PRPF40A" 505.007428100272 -0.468875098788958 0.0568503692016901 -8.24752953011638 1.61702548152544e-16 9.74257852619076e-14 9.02785326335653e-14
"RDX" 571.276159591374 -0.438406256653988 0.0532691079189665 -8.23002813039212 1.87169483544532e-16 1.07399632224363e-13 9.95206882503926e-14
"CNTNAP2" 495.23094953382 -0.511377201088409 0.0622379782544732 -8.21648156689047 2.09560663694249e-16 1.14782090796168e-13 1.06361562309545e-13
"ANP32A" 394.946235801901 -0.434205013739235 0.0533864101404009 -8.13324987758719 4.17931904788688e-16 2.09836643862654e-13 1.94442818702937e-13
"CALU" 503.506089464026 -0.39635890880508 0.0487270469758962 -8.13426902313918 4.14431316467782e-16 2.09836643862654e-13 1.94442818702937e-13
"SF3A1" 222.344217702033 -0.674565418584728 0.0831527045478152 -8.11236895123276 4.96422984182126e-16 2.39275878375785e-13 2.21722361655105e-13
"ADH5" 429.799978161518 -0.43975749410713 0.0545949096603039 -8.05491751599836 7.95324235987924e-16 3.68602193986711e-13 3.41561169963122e-13
"EIF4B" 597.879145028068 -0.652714799978252 0.0815352621872125 -8.00530693676508 1.19169057282392e-15 5.31847088982527e-13 4.92830256894514e-13
"MTHFD2" 133.331873757931 0.632510992776056 0.0802765832409984 7.87914690984287 3.29623761935475e-15 1.41855940404374e-12 1.31449247348983e-12
"RBBP6" 298.452611758375 -0.477669549992269 0.0613053356208756 -7.79164725475565 6.61411698729371e-15 2.74827964472032e-12 2.54666311310764e-12
"KDSR" 80.7996562853193 0.9268747559015 0.119128413848449 7.7804675304469 7.22570108301402e-15 2.90232326834397e-12 2.68940594309782e-12
"TCAF1" 392.508182360663 -0.523175128597637 0.0673290501157644 -7.77042194562523 7.82251049030511e-15 3.04068552929602e-12 2.81761781079829e-12
"VPS35" 315.358514544358 -0.486502682159348 0.0627638413657586 -7.75132100860806 9.09414661810738e-15 3.42451458588106e-12 3.17328878555584e-12
"SHMT2" 102.117884687411 0.800122859818629 0.103443496557145 7.73487832922022 1.03502042091717e-14 3.66823413883879e-12 3.39912882940033e-12
