"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"ENSG00000260927" 63.2694172300046 -3.13716586490229 0.239740643377422 -13.0856654954557 3.9766196091864e-39 4.24186013711914e-35 4.44029345561753e-35
"SLC39A9" 110.282496364547 -1.04953709298073 0.10935367008559 -9.59763940395661 8.17962571529652e-22 4.3626033752534e-18 4.56668503685005e-18
"NEAT1" 303.988520940528 -0.898689441682389 0.0947871014927773 -9.4811364365949 2.51528600111112e-21 8.94351859128409e-18 9.36189449613559e-18
"SMC3" 546.693440987101 -0.4940713098284 0.0597772717293461 -8.26520340482265 1.39456753206275e-16 3.71896296612833e-13 3.89293526575317e-13
"ENSG00000286834" 405.568895977573 -0.701842049173317 0.0883406256310201 -7.94472581736925 1.94620779414641e-15 4.15203970803195e-12 4.34627124588776e-12
"KDSR" 80.7996562853193 0.98923100402537 0.125292128400857 7.89539627629637 2.89394260813841e-15 4.40995511443035e-12 4.61625188035336e-12
"RAD21" 423.693528589495 -0.450694275732902 0.0569739915546449 -7.91052660055653 2.56302401929687e-15 4.40995511443035e-12 4.61625188035336e-12
"CNTNAP2" 495.23094953382 -0.52304060896328 0.0664376122947868 -7.8726581359144 3.47184407217619e-15 4.62927008973792e-12 4.84582636373992e-12
"FKBP11" 40.2257206371198 -1.4336389177368 0.182552518784571 -7.85329573802609 4.05244565952898e-15 4.80304865002174e-12 5.02773424825562e-12
"DCAKD" 58.5550034598519 1.38565572498736 0.179261079417221 7.72981915255747 1.07699473556229e-14 1.1488302844243e-11 1.20257232172885e-11
"RNPS1" 248.663319978101 0.548888253154764 0.0722595023814607 7.59607020620155 3.05258959651568e-14 2.9601793841848e-11 3.09865594860855e-11
"GASK1A" 190.59395199325 -0.7691336544541 0.102055633343371 -7.53641547513909 4.83065832202353e-14 4.29405269341875e-11 4.4949275686429e-11
"SDC2" 645.316680131353 -0.550349054712565 0.0739210280536158 -7.44509470719738 9.68748961901945e-14 7.94895782816004e-11 8.32080839122855e-11
"EIF3A" 730.508661252194 -0.546391801330868 0.0767228226898943 -7.12163320084465 1.06655588669547e-12 8.1263940309861e-10 8.50654502202973e-10
"ADH5" 429.799978161518 -0.406597486291057 0.0589955365739847 -6.89200420749041 5.50117461930456e-12 3.91206864427478e-09 4.09507438661031e-09
"EIF4A2" 542.886055138451 -0.510790329798856 0.0742699974437371 -6.87747875830753 6.09211032238447e-12 4.06153380055469e-09 4.25153149123406e-09
"CPSF6" 232.442174120439 -0.507702527104546 0.074180091793631 -6.84418844502073 7.69106243461345e-12 4.82591547000127e-09 5.05167077322905e-09
"ENSG00000286147" 412.536422558692 -0.639374506468026 0.0941805392933287 -6.78881763966832 1.13056235628965e-11 6.69983814141205e-09 7.01325515018346e-09
"SQSTM1" 568.706642937944 -0.668290042309187 0.0990504433367937 -6.74696669490767 1.50967910865015e-11 8.47565634314273e-09 8.87214575115136e-09
"OLMALINC" 300.95445006139 -0.613297013387461 0.091667303187134 -6.69046641565802 2.2246041095536e-11 1.18649260183041e-08 1.24199647436377e-08
"ACTR2" 471.622411438604 -0.441046171939296 0.066008112492242 -6.68169646558418 2.36191852777986e-11 1.19974213980132e-08 1.25586582291381e-08
"H1-5" 73.2041462390718 -0.979285148415064 0.148663436779025 -6.58726294529759 4.48008463760937e-11 2.17223012860814e-08 2.27384659379756e-08
"SMARCA5" 543.955074977186 -0.491506743441031 0.0753236339312292 -6.52526594627364 6.78809812502966e-11 3.14820185650832e-08 3.29547407235136e-08
"LAGE3" 102.186599424983 -0.984479753671791 0.155092230587069 -6.34770516837142 2.1855041004475e-10 9.7136550997806e-08 1.0168057827332e-07
"SYNCRIP" 381.681115228356 -0.370567587812275 0.0585833855215133 -6.32547239312745 2.52459040843378e-10 1.07719223547053e-07 1.12758306002286e-07
"SF3A1" 222.344217702033 -0.557372160102116 0.0882365226349718 -6.31679653115893 2.67040793060896e-10 1.09558620753099e-07 1.14683749819922e-07
"MAB21L3" 230.456862432424 -0.931812910129692 0.152431179000362 -6.11300730100289 9.77708960997214e-10 3.86267462479899e-07 4.04336972536848e-07
"TXNRD1" 450.661531651289 -0.507831366155404 0.0837868729202847 -6.06098960917848 1.35286573153615e-09 5.15393527082004e-07 5.39503527083309e-07
"PRPF40A" 505.007428100272 -0.364083609078574 0.0602643317720115 -6.04144438962591 1.52740652455242e-09 5.61822255082781e-07 5.88104181143183e-07
"PPP4R2" 242.55936621056 -0.422545448886774 0.0700923532600618 -6.02841007947065 1.65580480082208e-09 5.8874899367897e-07 6.16290546865978e-07
"BLOC1S6" 200.499282329275 -0.500107495106999 0.083761772940786 -5.97059347657961 2.36392094977994e-09 7.93079387799521e-07 8.30179473532338e-07
"HNRNPR" 505.941353098714 -0.368860211449819 0.0617903411097557 -5.96954483217089 2.37916381452936e-09 7.93079387799521e-07 8.30179473532338e-07
