"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"ENSG00000260927" 63.2694172300046 -3.07302368919615 0.231498681993135 -13.2744759613244 3.25540472539376e-40 3.47254022057752e-36 3.63498491637467e-36
"H1-5" 73.2041462390718 -1.69361607797253 0.165082556510902 -10.2592067494465 1.0758687610476e-24 5.73814603704739e-21 6.00657529292875e-21
"SLC39A9" 110.282496364547 -1.08281587347592 0.108717830105496 -9.9598738534902 2.28352272859601e-23 8.11944564864455e-20 8.49927159583435e-20
"RAD21" 423.693528589495 -0.525614601859366 0.0568729724820545 -9.24190487889861 2.42147324982341e-20 6.45746378896657e-17 6.75954257688205e-17
"ENSG00000286834" 405.568895977573 -0.803033975759866 0.0878966255914604 -9.13611837037218 6.47341752353527e-20 1.38103889447101e-16 1.4456436013559e-16
"ENSG00000286147" 412.536422558692 -0.810384126239614 0.0941421792408156 -8.60808760509624 7.42894767339792e-18 1.32074308053559e-14 1.38252716201935e-14
"SMC3" 546.693440987101 -0.501976218606032 0.058965021798138 -8.51311851158993 1.69316865640618e-17 2.58014715112638e-14 2.70084588820449e-14
"BPTF" 394.139816948165 -0.61576544130158 0.072773575763198 -8.46138773371881 2.64214345505845e-17 3.52296802938856e-14 3.68777172739783e-14
"EIF3A" 730.508661252194 -0.643577554476279 0.0763190069470247 -8.4327296727407 3.37694161764866e-17 4.00242624838425e-14 4.1896589002961e-14
"MATR3" 638.942624992567 -0.65393642421046 0.0790235545847947 -8.27520892531816 1.28230577849659e-16 1.36783557392232e-13 1.43182263226929e-13
"NEAT1" 303.988520940528 -0.735049573711851 0.0917546911181512 -8.01102989672036 1.13751789703524e-15 1.10308212797044e-12 1.15468407620868e-12
"FKBP11" 40.2257206371198 -1.4169858558224 0.180374061001788 -7.85581833636462 3.97170377412076e-15 3.29128689028082e-12 3.44525259368854e-12
"TPR" 492.924823862538 -0.517231631852285 0.065850957369484 -7.85458029030836 4.01113054970007e-15 3.29128689028082e-12 3.44525259368854e-12
"CENPF" 967.584973423311 -0.742591322103339 0.0962989667098463 -7.71131142394086 1.24531364969248e-14 9.4884005009069e-12 9.93226586604731e-12
"OLMALINC" 300.95445006139 -0.694703599152782 0.091036436197713 -7.63105002972683 2.3284928739099e-14 1.65586889906646e-11 1.73333009533853e-11
