"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"ENSG00000260927" 63.2694172300046 -4.19966652850196 0.364129182383045 -11.5334522243376 8.9482089660316e-31 1.14009130436209e-26 9.99157013147089e-27
"NEAT1" 303.988520940528 -1.05713292196945 0.0987045968357511 -10.7100677765653 9.12949508514957e-27 5.81594484399453e-23 5.09699710603901e-23
"SLC39A9" 110.282496364547 -1.1671015774208 0.120151820172706 -9.71355719574794 2.63960718803567e-22 1.12104117275875e-18 9.82461795386876e-19
"ENSG00000286834" 405.568895977573 -0.833744484203086 0.0909513019262107 -9.16693292504496 4.86668413957572e-20 1.55016056555836e-16 1.35853487756256e-16
"XACT" 238.549699554171 -1.10296343291283 0.128273999008706 -8.59849573129763 8.07677404171488e-18 2.05812356130979e-14 1.80370517899577e-14
"OLMALINC" 300.95445006139 -0.821185940702552 0.095785491211754 -8.57317669214795 1.00668870959662e-17 2.13770347482842e-14 1.87344768855931e-14
"ENSG00000286147" 412.536422558692 -0.800527095408703 0.0965670578755427 -8.28985694521663 1.13384754401539e-16 2.06376450832859e-13 1.80864881092512e-13
"DCAKD" 58.5550034598519 1.45880336800827 0.18050117466568 8.0819605230283 6.37337387828594e-16 1.01503945729051e-12 8.8956365906176e-13
"FKBP11" 40.2257206371198 -1.55763026652611 0.201557456193892 -7.72797144764376 1.09273845163648e-14 1.54695340136671e-11 1.35572417233033e-11
"H1-5" 73.2041462390718 -1.25706368982992 0.163216294994842 -7.70182713600777 1.34134265479987e-14 1.70900467648052e-11 1.49774320834953e-11
"ENSG00000286746" 54.0962322568578 -1.41471831356385 0.18764291284604 -7.53941778086029 4.72074325651585e-14 5.46790816647895e-11 4.79198356384145e-11
"SMC3" 546.693440987101 -0.45027162473065 0.061407133058588 -7.33256223346317 2.25793559974573e-13 2.39736312303003e-10 2.1010090755634e-10
"ENSG00000287160" 114.66520181756 -0.98912527982676 0.135209668905321 -7.31549221172477 2.56439654310184e-13 2.51330587351235e-10 2.20261936925193e-10
"ZNF292" 186.80797169493 -0.729028133628141 0.102437937988454 -7.11677868516165 1.10478667849874e-12 1.00543479076804e-09 8.81146289436924e-10
"KCNQ1OT1" 184.767637210819 -0.890948817795881 0.127049532205329 -7.01260998234917 2.33912848576293e-12 1.98685573580703e-09 1.74124724480192e-09
"GASK1A" 190.59395199325 -0.728530707713348 0.105035889752241 -6.93601691223649 4.03309339711638e-12 3.21160268579124e-09 2.81459505451259e-09
"UGDH-AS1" 92.0230501502293 -1.11068619725334 0.161180071139971 -6.8909648035135 5.5415249649597e-12 4.15320997520891e-09 3.63980398580824e-09
"LINC00472" 300.91174679126 -0.623708950418083 0.0922792227600763 -6.75893155320251 1.39013042954178e-11 9.83980655710657e-09 8.62344243125751e-09
"CNTNAP2" 495.23094953382 -0.445991652437198 0.067597162772599 -6.59778656594718 4.17341484131358e-11 2.7986041312198e-08 2.45265000621618e-08
"NMNAT3" 90.6806032199651 -1.00117382889451 0.152155990722874 -6.5799172555616 4.70710149466522e-11 2.99865900717648e-08 2.62797476447159e-08
"EIF3A" 730.508661252194 -0.501259448225038 0.0771928534940636 -6.49359915505114 8.38095605337183e-11 5.08484576552431e-08 4.45627406152142e-08
"STMP1" 204.110954425893 0.811544499390631 0.126941849464426 6.39304140293038 1.62618205354292e-10 9.41781161099563e-08 8.25361309539102e-08
"CENPF" 967.584973423311 -0.608541754225929 0.0968140190156865 -6.28567804965651 3.26425802870427e-10 1.80825702364005e-07 1.58472631080486e-07
"RNPS1" 248.663319978101 0.479145473485762 0.0763734230912505 6.27372002055324 3.52522178190514e-10 1.87145211346889e-07 1.64010943403137e-07
"TRIP11" 184.053001357534 -0.61976079172722 0.100467442712849 -6.16877244002903 6.88221890169018e-10 3.50745404105739e-07 3.0738742502509e-07
"LINC00632" 83.365632855574 -0.883146715336152 0.143670157457458 -6.14704355424443 7.8940458480642e-10 3.86838608269946e-07 3.39018907459557e-07
"GOLGB1" 405.380357102438 -0.509622534056853 0.0835337954306472 -6.10079467154058 1.0554241571948e-09 4.98042932845148e-07 4.36476523675449e-07
"BPTF" 394.139816948165 -0.45368152518279 0.0744985725817122 -6.08980158224077 1.13050712348468e-09 5.14421116439938e-07 4.50830090743926e-07
"MT-ND2" 982.167496255112 -0.574989517414033 0.0947130172545511 -6.07086052246322 1.27226653106251e-09 5.58963719733361e-07 4.89866485718758e-07
"PRPF40A" 505.007428100272 -0.374260858393264 0.0624227502615396 -5.99558425133755 2.02755141074295e-09 8.61101084142531e-07 7.54654635078526e-07
"TBC1D8B" 48.8654286822063 -1.01971060252553 0.170596039349428 -5.97734042603932 2.26809915323177e-09 9.32188751978256e-07 8.16954682096321e-07
"PIGN" 84.3519804989548 -0.855798457805454 0.143695155072986 -5.95565283582996 2.59035688742069e-09 1.03136678445709e-06 9.03872656404357e-07
"DST" 509.281369716791 -0.624375316947832 0.10579737780258 -5.90161429249155 3.59961924398131e-09 1.38978026628987e-06 1.21798025691804e-06
"KMT2A" 337.775438684528 -0.531112182635069 0.0903971022885848 -5.87532309320646 4.2201943232233e-09 1.58145576094671e-06 1.38596146509151e-06
