"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"ENSG00000260927" 63.2694172300046 -4.04269616540312 0.349537822653381 -11.565833232909 6.13924161466288e-31 5.69905799089155e-27 6.85507718693257e-27
"SLC39A9" 110.282496364547 -1.1356722156423 0.119984998347444 -9.46511840049955 2.93228670264325e-21 1.36102087303186e-17 1.63709566608573e-17
"RNPS1" 248.663319978101 0.614522737314764 0.0751797347618364 8.17404769066457 2.98211852452934e-16 9.22766875440196e-13 1.10994451482982e-12
"CENATAC" 96.2744569936278 1.05187489569112 0.132513324444896 7.93788021014092 2.05665820100609e-15 4.77298951998489e-12 5.7411613681085e-12
"FKBP11" 40.2257206371198 -1.53936311229612 0.20127635424265 -7.6480077259365 2.04116953525378e-14 3.78963535915217e-11 4.55833980612874e-11
"PRKDC" 345.312393519409 -0.594978714486234 0.0808834948418756 -7.3559966177203 1.89507813866709e-13 2.93200172687444e-10 3.52674041605945e-10
"DST" 509.281369716791 -0.76128019469147 0.107495662712187 -7.08196196463991 1.42127672147736e-12 1.88481597221061e-09 2.26713941028803e-09
"PCK2" 36.8560930461671 1.12842932112507 0.16657492286268 6.77430492977216 1.25005771536263e-11 1.45053572146391e-08 1.74476805621739e-08
"NEAT1" 303.988520940528 -0.629336181679771 0.0948290153180772 -6.63653608095412 3.21140355746071e-11 3.31238435821198e-08 3.98428134695625e-08
"RAD21" 423.693528589495 -0.389718600031341 0.0597744467134679 -6.51981944558146 7.03920728269681e-11 6.53449612052745e-08 7.85997885185926e-08
"CNTNAP2" 495.23094953382 -0.442255862825439 0.0681361569984697 -6.49076617038105 8.54009399399987e-11 7.20706295875462e-08 8.66897177609114e-08
"AFF4" 224.692842969721 -0.583166556108424 0.090218682498796 -6.46392232691057 1.02023254951915e-10 7.28524519783558e-08 8.76301280610064e-08
"DYNC1H1" 349.035039124781 -0.510337236704948 0.0789123726083611 -6.46713841995007 9.98761554868056e-11 7.28524519783558e-08 8.76301280610064e-08
"GOLGB1" 405.380357102438 -0.53968951028489 0.0845237519851748 -6.38506334148004 1.71326538806894e-10 1.13601732838886e-07 1.36645152308413e-07
"PHGDH" 221.410366444304 0.51913064668488 0.0836001765481999 6.20968361694277 5.30913818883012e-10 3.285648653794e-07 3.95212246776514e-07
"RANBP2" 284.243576634356 -0.514226084872674 0.0830898728071027 -6.18879374224673 6.06263481121423e-10 3.51746493453136e-07 4.23096126887613e-07
"STMP1" 204.110954425893 0.788062791211297 0.12802334767167 6.15561774897787 7.47854065753946e-10 4.08372311317287e-07 4.91208146953445e-07
"DICER1" 301.618738730003 -0.590266987702594 0.0980472321360024 -6.02023101359789 1.74168315248879e-09 8.98224705808522e-07 1.08042411559388e-06
"CPSF6" 232.442174120439 -0.470134923128887 0.0783427120611334 -6.00100393208274 1.96101241355583e-09 9.10203911751937e-07 1.09483323048822e-06
"ENSG00000286147" 412.536422558692 -0.573679893677464 0.0955045494536089 -6.00683315045769 1.89182021622227e-09 9.10203911751937e-07 1.09483323048822e-06
"MARVELD1" 36.7244062547165 -1.38965872415191 0.237104597874776 -5.86095224052062 4.60220340126215e-09 2.03439305590079e-06 2.44705729421396e-06
"DCAKD" 58.5550034598519 1.09042840492567 0.188125262552701 5.79628907957111 6.77983583606011e-09 2.86078254846118e-06 3.44107486115669e-06
"KCNQ1OT1" 184.767637210819 -0.710591801105622 0.125589334776674 -5.65805848378139 1.53094970946933e-08 6.17904615347993e-06 7.43242802431936e-06
"SF3A1" 222.344217702033 -0.517264111045251 0.0917994224560884 -5.63472075538036 1.75342221486819e-08 6.78209100859224e-06 8.15779685467425e-06
"PCM1" 456.869513682258 -0.422533181503998 0.0751508162285119 -5.62246962453737 1.88246675212179e-08 6.98997554397862e-06 8.40784950167676e-06
"GYG2" 77.5333223430562 0.693499794072818 0.123748898758217 5.60408861033819 2.09353592388935e-08 7.19788665980178e-06 8.65793412079573e-06
"XACT" 238.549699554171 -0.698913633802718 0.124700947137251 -5.604717925947 2.08594389010099e-08 7.19788665980178e-06 8.65793412079573e-06
"CDK6" 425.083722105468 -0.463135412325834 0.0829966710136144 -5.580168537722 2.40285641622691e-08 7.96632718279802e-06 9.5822481227106e-06
"OLMALINC" 300.95445006139 -0.514605709785247 0.0933001452626872 -5.51559387540471 3.4760413518781e-08 1.11269282308567e-05 1.33839578396796e-05
"DHRS7" 123.176815684582 0.573021454343057 0.104306583710115 5.49362690216735 3.93761922348225e-08 1.21843064171952e-05 1.46558187498009e-05
"ATRX" 485.119221419405 -0.440748228495363 0.0808001071402308 -5.45479757508778 4.90286652366139e-08 1.46817128835963e-05 1.76598089042591e-05
"AHNAK" 563.983490148625 -0.4984364608599 0.0919369365405942 -5.42150390925652 5.90997044366096e-08 1.71444548839077e-05 2.06221031168495e-05
"RPL22L1" 218.19201421316 0.429218087257993 0.079519753095917 5.39762852055475 6.75275000279608e-08 1.89956903866533e-05 2.28488504640064e-05
"CENPF" 967.584973423311 -0.520279907434028 0.096932614986166 -5.3674390968229 7.986246254038e-08 2.18048011694808e-05 2.62277722566436e-05
"APLN" 37.9020558660076 0.923179514579825 0.172783641960567 5.34297983364951 9.14309387633413e-08 2.42500972725742e-05 2.9169081778042e-05
"UACA" 293.076676136714 -0.445372693091588 0.0836716027146559 -5.3228655677893 1.02145233105995e-07 2.63392833034154e-05 3.16820464683761e-05
"SACS" 133.564189193569 -0.663397586477323 0.124982935586159 -5.30790530216024 1.10892225411374e-07 2.78219602295616e-05 3.34654753768487e-05
"MRPS27" 149.472316334495 -0.486538593742376 0.09241641213146 -5.26463408956287 1.40468845291533e-07 3.43150602852975e-05 4.12756612243489e-05
"NOP14" 94.7292105957865 -0.688485801979649 0.132451457910949 -5.1980235841763 2.0141857888496e-07 4.79427863535662e-05 5.76676885084478e-05
"ASPM" 326.52760173952 -0.525688102305738 0.101599524217535 -5.17411972501155 2.28987964609862e-07 5.23851732597363e-05 6.30111865364876e-05
"ENSG00000287160" 114.66520181756 -0.670069654350874 0.129665346704599 -5.16768490101994 2.37011448552076e-07 5.23851732597363e-05 6.30111865364876e-05
"SLK" 228.151390942188 -0.421825153197301 0.0815743284519264 -5.17105272213049 2.32778874262842e-07 5.23851732597363e-05 6.30111865364876e-05
"IQGAP1" 316.88825552512 -0.384860954880867 0.0749157113224014 -5.13725289511848 2.78783680462057e-07 5.75302713885487e-05 6.91999364779204e-05
"RBBP6" 298.452611758375 -0.357052647024728 0.0694642415346501 -5.14009278927524 2.74602827699432e-07 5.75302713885487e-05 6.91999364779204e-05
"WNK1" 265.379436517148 -0.422774854448646 0.0823393403394704 -5.13454264639018 2.82830957945879e-07 5.75302713885487e-05 6.91999364779204e-05
"ZFR" 242.757449653463 -0.394617773872881 0.0768777892410728 -5.13305309333807 2.85079444562452e-07 5.75302713885487e-05 6.91999364779204e-05
"DDIT3" 45.8746524931971 0.800204626199687 0.156604075230657 5.10973054194847 3.22618602519825e-07 6.2393093483157e-05 7.50491524111743e-05
"TPR" 492.924823862538 -0.346647891691797 0.06780283546993 -5.11258694845488 3.17776639332743e-07 6.2393093483157e-05 7.50491524111743e-05
"ENSG00000279417" 132.996803225904 -0.696493884502792 0.137346412437097 -5.07107446160474 3.95575947861629e-07 7.49414596734592e-05 9.01428782412847e-05
"SYNE2" 209.19666093734 -0.645498934510999 0.127567772821584 -5.06004706544333 4.19153002091126e-07 7.78199463682385e-05 9.36052484269903e-05
"ENSG00000286746" 54.0962322568578 -0.845461211848533 0.167376687009541 -5.05124833663566 4.38931964045851e-07 7.98942239654439e-05 9.61002805987445e-05
"TNPO1" 234.034974489181 -0.41431055280061 0.0820998165638137 -5.04642482944622 4.50153881955218e-07 8.03611247344286e-05 9.66618893444608e-05
"NIN" 246.262366406875 -0.429311371126572 0.0852962640329281 -5.03317907289396 4.82412103943438e-07 8.44949351114516e-05 0.000101634217974197
"PRR14L" 156.803604301884 -0.53419023901276 0.106581942753354 -5.01201446711245 5.38631533145205e-07 9.25947504108692e-05 0.000111377031464803
"SMC3" 546.693440987101 -0.303228247578437 0.0606544377271295 -4.99927555082766 5.75461155077952e-07 9.71273800470659e-05 0.000116829077410917
"LOXL2" 199.985851193345 0.418409214610965 0.0842638787801501 4.9654635018953 6.8537182237637e-07 0.000111014474080709 0.000133533083872152
"SESN2" 75.4903288928166 0.687115992789212 0.138360321034505 4.96613471009404 6.83005200996238e-07 0.000111014474080709 0.000133533083872152
"SMCHD1" 157.059391715305 -0.520727708973931 0.104918950103468 -4.96314258254018 6.9361623361856e-07 0.000111014474080709 0.000133533083872152
"H1-5" 73.2041462390718 -0.746710131120177 0.150562379244394 -4.95947350770879 7.06844861136853e-07 0.00011121425162599 0.000133773385075493
"MIB1" 116.55520837799 -0.579890553807351 0.117178859450227 -4.9487642781987 7.46861312163577e-07 0.000115551892680241 0.000138990890193642
"ENSG00000249731" 45.7465259124181 -1.02655780528623 0.208112300497609 -4.9327108625087 8.10961567581387e-07 0.000123412397243574 0.000148445850223177
"BPTF" 394.139816948165 -0.365919961039725 0.0742385386156704 -4.92897581044902 8.26618072948876e-07 0.000123766057599749 0.00014887124842818
"RB1CC1" 226.766361595803 -0.410246337980391 0.0833907181461205 -4.91956835365707 8.67352752777512e-07 0.000127803739746566 0.000153727949801805
"PTPN13" 207.47376702823 -0.526809815533447 0.107218216299729 -4.91343573615092 8.94940755544598e-07 0.000129808359901883 0.000156139194943922
"CHPF" 37.1592553214059 0.872526174918302 0.177914546329798 4.90418682967559 9.38151654122765e-07 0.000133597439148937 0.000160696865834001
