"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"ENSG00000260927" 63.2694172300046 -2.44319862133621 0.179318893251804 -13.6248812215532 2.84873381999142e-42 3.62957176005107e-38 3.18089618340242e-38
"NEAT1" 303.988520940528 -1.06735268701451 0.0906044243020331 -11.7803594607747 4.92824541242046e-32 3.13953873998246e-28 2.75143941375434e-28
"CNTNAP2" 495.23094953382 -0.690406229869424 0.0633391495780681 -10.9001499778343 1.15067465419736e-27 4.88691525637617e-24 4.28281106292257e-24
"SLC39A9" 110.282496364547 -0.999263264708016 0.0986139656741484 -10.1330806227781 3.94035745985087e-24 1.255102359899e-20 1.09995078491737e-20
"HNRNPR" 505.941353098714 -0.56586294277539 0.0589317880072183 -9.60199854628677 7.84090835541904e-22 1.99802026712788e-18 1.75103165393218e-18
"EIF3A" 730.508661252194 -0.703373858445055 0.0743378885221399 -9.46184876149085 3.02545932126565e-21 6.02983568723514e-18 5.28444747536832e-18
"RAD21" 423.693528589495 -0.498770740221856 0.0527668085400672 -9.45235753348863 3.31283649718594e-21 6.02983568723514e-18 5.28444747536832e-18
"SMC3" 546.693440987101 -0.523602031305375 0.0559157601107671 -9.36412257059795 7.66847813269935e-21 1.22130099860903e-17 1.07032783537151e-17
"ENSG00000286834" 405.568895977573 -0.744339321846084 0.0841629740915437 -8.84402351367087 9.23321705848349e-19 1.17640418542138e-15 1.03098101675027e-15
"PALLD" 760.407495248981 -0.659576816116369 0.0744807711236564 -8.85566578011538 8.31857843334652e-19 1.17640418542138e-15 1.03098101675027e-15
"H1-5" 73.2041462390718 -1.21985301425984 0.141568741408473 -8.61668333082201 6.89214051104512e-18 7.98297838647508e-15 6.99614917693907e-15
"ST6GAL1" 24.769064091235 1.49351903672935 0.179190284509334 8.33482150451939 7.76151936084015e-17 8.24079318137203e-14 7.22209376526176e-14
"SQSTM1" 568.706642937944 -0.801676778182962 0.0963014396973556 -8.32466036543559 8.45708677138042e-17 8.28859558108907e-14 7.26398699147952e-14
"EIF4A2" 542.886055138451 -0.582339188846526 0.0707360509661211 -8.2325657269931 1.83245545307612e-16 1.66766535197449e-13 1.46151411350343e-13
"SDC2" 645.316680131353 -0.580249644822704 0.0705771307403051 -8.22149666239317 2.00979099391511e-16 1.70711647023149e-13 1.49608841587041e-13
"BLOC1S6" 200.499282329275 -0.642503447131703 0.0790245187493664 -8.13043163438252 4.27764503538394e-16 3.40634221223917e-13 2.98526152906857e-13
"ENAH" 702.617075803178 -0.526801416886307 0.064858654390225 -8.12229951174724 4.57432755248331e-16 3.42832396154058e-13 3.00452596770757e-13
"MTMR4" 87.7522406638126 0.963407659796984 0.11893006544223 8.10062330508811 5.46783120228806e-16 3.87031318601957e-13 3.39187795581936e-13
"XPO1" 312.642709410149 -0.501281009181552 0.0619979112110756 -8.08544996741763 6.19351004954591e-16 4.15323744954023e-13 3.63982806385419e-13
"RDX" 571.276159591374 -0.428653641683954 0.0532293875185143 -8.05295085416603 8.08213632659636e-16 5.14872494685821e-13 4.51225671113875e-13
"TRIM24" 465.731113928147 -0.522981359939625 0.0650420533687631 -8.04066496754837 8.93522495702399e-16 5.42112862749727e-13 4.75098675572047e-13
"MATR3" 638.942624992567 -0.606655041753561 0.0762742807819597 -7.95359897902893 1.81169910398362e-15 1.04922083108433e-12 9.19519645230959e-13
