"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"UMPS" 157.816175446645 0.82938440756386 0.096895334272113 8.55959075629673 1.13268871034057e-17 6.60130980386486e-14 1.26476021396628e-13
"RNPS1" 248.663319978101 0.671539917583935 0.0806163245987157 8.33007360390917 8.07921090439506e-17 2.35428205754072e-13 4.51062344792376e-13
"ENSG00000260927" 63.2694172300046 0.952860554914433 0.124931057171677 7.62709110517678 2.40109911281368e-14 4.66453520982604e-11 8.93689089789252e-11
"GINS1" 81.222317112056 0.926388433255758 0.126588647973173 7.31810038331465 2.51505703444411e-13 3.66443809918506e-10 7.02078171165073e-10
"ARL8A" 89.5929597605292 0.850296637801756 0.123509246236594 6.8844775894181 5.79999835086789e-12 6.76047807777161e-09 1.29525563171582e-08
"FKBP11" 40.2257206371198 -1.47947739845941 0.22182071959809 -6.66969885022475 2.56328857383749e-11 NA 4.77028003591157e-08
"MAGED1" 446.585757153312 0.540682488962369 0.084143663388427 6.42570654983787 1.31258401283754e-10 1.27495660446953e-07 2.09375901247771e-07
"TBC1D8B" 48.8654286822063 -1.2820206300598 0.201927143466015 -6.34892668738994 2.16822323852342e-10 NA 3.02629758516906e-07
"FSTL1" 630.743295162753 0.370460551639366 0.0609785692990589 6.07525817508945 1.23788397392825e-09 1.03062682857912e-06 1.53580138365365e-06
"CPSF6" 232.442174120439 -0.470649020876003 0.0857833897125983 -5.48648196874509 4.10017253458214e-08 2.65508950350497e-05 3.52173280931878e-05
"GAS5" 579.100081844544 0.549222633237071 0.0999443882505731 5.49528235502428 3.90085770912326e-08 2.65508950350497e-05 3.52173280931878e-05
"MARVELD1" 36.7244062547165 -1.46037187556654 0.266113532060633 -5.48777758221554 4.07022104239037e-08 NA 3.52173280931878e-05
"ST7" 31.1325330324874 -2.23148173937749 0.404422921466617 -5.51769353548299 3.43477731364601e-08 NA 3.52173280931878e-05
