"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"UMPS" 157.816175446645 1.06135652989955 0.0950446534135854 11.1669251428702 5.9194704371331e-29 6.72333452249578e-25 6.60968069010282e-25
"PCK2" 36.8560930461671 1.79280457799273 0.165527197483417 10.8308761656666 2.45792089380492e-27 1.39585327559181e-23 1.37225723501129e-23
"RNPS1" 248.663319978101 0.837629621056511 0.08028612377878 10.4330559458134 1.75162428539038e-25 6.63164954448799e-22 6.51954559022299e-22
"GAS5" 579.100081844544 0.915797915339645 0.0976847342182433 9.37503615758023 6.9152063700473e-21 1.96357284877493e-17 1.9303798581987e-17
"MAGED1" 446.585757153312 0.760383875212966 0.0823593043302169 9.23251940259514 2.64339821773581e-20 6.00474339140866e-17 5.90323689984761e-17
"PHGDH" 221.410366444304 0.783168293598298 0.0880685834690726 8.89270909953181 5.96367906146194e-19 1.12892444633474e-15 1.10984067333807e-15
"DDIT3" 45.8746524931971 1.35751462556394 0.157905429218945 8.59701045289373 8.18195372319486e-18 1.32758043411496e-14 1.30513850390277e-14
"PSAT1" 146.567248080455 0.830644983086313 0.0999761274948918 8.30843326201802 9.69738908317747e-17 1.37678681508412e-13 1.3535130812845e-13
"SHMT2" 102.117884687411 1.01590882416052 0.122876966809603 8.26769125685425 1.36578031422203e-16 1.7236147565482e-13 1.6944781098448e-13
"ENSG00000260927" 63.2694172300046 1.01372758841009 0.124743262596437 8.12651174348114 4.41820716845411e-16 5.01819970193018e-13 4.93337012429586e-13
"MTHFD2" 133.331873757931 0.790990400673028 0.0987404837310379 8.01080135304613 1.13963399255113e-15 1.17672389885415e-12 1.15683210552963e-12
"WAC" 312.92340536645 -0.677821576512786 0.085593925937114 -7.91903828562301 2.39354646566113e-15 2.26549172974826e-12 2.22719498629768e-12
"SESN2" 75.4903288928166 1.10895877961083 0.14209475782593 7.8043609530574 5.98038012096893e-15 5.22501210876655e-12 5.13668649467224e-12
"PRKDC" 345.312393519409 -0.663716501354184 0.0903050948116022 -7.34971269050604 1.98633347928884e-13 1.61148397555447e-10 1.58424283069566e-10
"ARL8A" 89.5929597605292 0.901668072482638 0.124847391935277 7.22216186101889 5.11675167735801e-13 3.87440437009549e-10 3.8089099486253e-10
"GINS1" 81.222317112056 0.905479675635662 0.129921870896642 6.96941684557487 3.18257416627072e-12 2.25922983628143e-09 2.22103894628618e-09
"SLC3A2" 184.991312773642 0.679298504393708 0.0983801362817076 6.90483394380106 5.02621869162457e-12 3.35810540585129e-09 3.30133870062823e-09
"SACS" 133.564189193569 -1.01908759302045 0.148336682892609 -6.87009830035255 6.41576788331086e-12 4.04834953436915e-09 3.97991467694717e-09
"DST" 509.281369716791 -0.761906638388642 0.111931296080947 -6.80691339299461 9.97149174593611e-12 5.66281016251712e-09 5.56708384175613e-09
"GARS1" 282.660961270592 0.537322244871712 0.0789047939940733 6.80975410584143 9.77657046023524e-12 5.66281016251712e-09 5.56708384175613e-09
"EIF4EBP1" 111.312549647235 0.836747182067541 0.123726454554153 6.76288013814631 1.35275150386783e-11 7.3164531337766e-09 7.19277299628009e-09
"UTRN" 196.397742399446 -0.930378940544144 0.140731888030974 -6.6110030467251 3.81724630197744e-11 1.97074015899363e-08 1.9374260094491e-08
"AHNAK" 563.983490148625 -0.641170819334618 0.0975043529856561 -6.57581738354738 4.83866120164396e-11 2.38945712731618e-08 2.34906482511115e-08
"XBP1" 158.707136518176 0.633299372182523 0.0967279101541087 6.54722479968334 5.86160985652426e-11 2.77400686460011e-08 2.72711398574791e-08
"SNRPA1" 346.284111102277 0.617937559050221 0.0963748718672781 6.41181199079786 1.43800111162119e-10 6.53312665031737e-08 6.42268816494488e-08
"SLC1A5" 115.376458177951 0.840949394487479 0.131311316756087 6.40424157842815 1.51118674583159e-10 6.59334283181606e-08 6.48188642895388e-08
"TSC22D3" 64.8414034733213 0.88044897019924 0.13759873362184 6.39867059110412 1.56735566524946e-10 6.59334283181606e-08 6.48188642895388e-08
"SLC2A1" 424.280191041203 0.490299643470894 0.0769042493614151 6.37545581085784 1.82419583381115e-10 7.39972010015253e-08 7.27463238583403e-08
"SNRPC" 401.908831312181 0.421469749837471 0.0663298151538165 6.35415233496577 2.09579067377277e-10 8.20827257679694e-08 8.0695167804644e-08
"ATP5MC3" 736.043101314599 0.521910874566782 0.0823910044983849 6.33456137286217 2.38017414561467e-10 9.01133931529714e-08 8.8590081699778e-08
"ATP5MJ" 579.137985981252 0.452150001705148 0.071637884336016 6.31160461948246 2.76157016806779e-10 1.01180367641658e-07 9.94699757956289e-08
"ANAPC11" 538.421455210048 0.446027728677728 0.0708917475503624 6.29167348937003 3.14061544979041e-10 1.11472219620998e-07 1.09587850351124e-07
"FKBP11" 40.2257206371198 -1.42875688107194 0.227339695956365 -6.28467841949687 3.285330311207e-10 1.13075095983906e-07 1.11163631075568e-07
"SETX" 173.613337247021 -0.794763273517377 0.128340276916864 -6.19262551562208 5.91701964777274e-10 1.97663262233538e-07 1.94321886432442e-07
"RHOA" 620.834891770383 0.420359874187344 0.0679915387804188 6.18253214631473 6.30814599808092e-10 2.04708349274866e-07 2.01247880613062e-07
"MARS1" 227.253667760774 0.634759665665244 0.102761958887115 6.17699071270655 6.53349148869867e-10 2.06131656468443e-07 2.0264712767447e-07
"TRIB3" 31.8485349808669 1.20004887133474 0.196646789772545 6.10256019293679 1.04382779434331e-09 3.20426921301387e-07 3.15010301395605e-07
"UQCR10" 848.922920026373 0.535050801367905 0.0882824653989904 6.06066900091378 1.35556535807534e-09 4.05171350974204e-07 3.98322178638664e-07
"IFITM1" 509.059040265565 0.485058051961704 0.0805231280184059 6.02383518746105 1.70331818186979e-09 4.96058664350693e-07 4.87673097916874e-07
"DICER1" 301.618738730003 -0.640397717738723 0.10693499741974 -5.98866351700594 2.11572360923438e-09 6.00759718842102e-07 5.90604245517777e-07
"PTPN13" 207.47376702823 -0.712274866429666 0.120692653227047 -5.90155943535135 3.60081656647483e-09 9.97514013707832e-07 9.80651653201413e-07
