"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"ENSG00000260927" 63.2694172300046 1.03514768820908 0.113517559038805 9.11883321817401 7.59374427257602e-20 6.33217025090255e-16 5.86763593540068e-16
"LGALS1" 313.543762760671 0.790885817199081 0.0870680028890185 9.08354149580284 1.05098261425769e-19 6.33217025090255e-16 5.86763593540068e-16
"NEAT1" 303.988520940528 -0.824485367644041 0.0935853746662873 -8.80998094610448 1.25167132869597e-18 5.02754650359547e-15 4.6587206854064e-15
"ARL8A" 89.5929597605292 0.934754265443078 0.108272402238562 8.63335666445718 5.95772991482378e-18 1.79476613684066e-14 1.66310030572306e-14
"BLOC1S6" 200.499282329275 -0.763608409664436 0.0887301654320561 -8.60596174870381 7.56795017325428e-18 1.82387599175428e-14 1.69007463269115e-14
"MAGED1" 446.585757153312 0.65833261471736 0.07753203357474 8.49110470039115 2.04682064318232e-17 4.11069812505782e-14 3.8091332169623e-14
"GINS1" 81.222317112056 0.929546416143788 0.113316847690782 8.20307337422872 2.34318083561241e-16 3.39243453180132e-13 3.14356215619034e-13
"OLMALINC" 300.95445006139 -0.760636611594647 0.0925548601000998 -8.21822442140806 2.06538198937691e-16 3.39243453180132e-13 3.14356215619034e-13
"UMPS" 157.816175446645 0.722542675259641 0.088183021605949 8.19367109564884 2.53376852997609e-16 3.39243453180132e-13 3.14356215619034e-13
"UQCC2" 235.926774098471 0.599084274184031 0.0743263494915219 8.06018697652258 7.61778395085291e-16 9.17942966077776e-13 8.50601755952236e-13
"ENSG00000255508" 29.0236490606708 -22.7461117312484 2.86735388869849 -7.93278842242003 2.14279318268146e-15 2.34733253193742e-12 2.17512987980193e-12
"S100A11" 351.949338367586 0.49175527433812 0.0625890713030565 7.85688721848963 3.93797127255998e-15 3.95437948619564e-12 3.66428226911706e-12
"GNG5" 478.660427334687 0.408972122798741 0.0523144360443192 7.81757682434485 5.38498651014056e-15 4.98839560650088e-12 4.6224419371111e-12
"RNPS1" 248.663319978101 0.568024569236178 0.0727460907337118 7.80831744368836 5.79564634780185e-15 4.98839560650088e-12 4.6224419371111e-12
"FKBP11" 40.2257206371198 -1.46830174155802 0.188937074820574 -7.77137966676159 7.76358115559617e-15 6.23674352832893e-12 5.77920981222579e-12
"GASK1A" 190.59395199325 -0.792837177942822 0.102665723390776 -7.72251099741491 1.14060075083439e-14 8.59014940472149e-12 7.9599674898855e-12
"SEPTIN8" 110.539755170219 0.718796785920303 0.0945572419536913 7.60171057307624 2.92241759033286e-14 2.07147835079476e-11 1.91951263609745e-11
"ROMO1" 744.009112715924 0.527852934775261 0.0704810699538267 7.48928662860916 6.92489623318639e-14 4.63583331166089e-11 4.29574396331996e-11
"ENSG00000286746" 54.0962322568578 -1.29950692151794 0.17570522637638 -7.39594916052331 1.4040172012709e-13 8.9044248817444e-11 8.25118740494256e-11
"CPSF6" 232.442174120439 -0.553257632258016 0.0759897797263904 -7.28068477432203 3.32129933550708e-13 1.90579319013621e-10 1.76598230382248e-10
"NMNAT3" 90.6806032199651 -1.08567562880392 0.149068425873007 -7.28306898288991 3.26310261683386e-13 1.90579319013621e-10 1.76598230382248e-10
"PPIB" 673.915203017127 0.452498608986923 0.0635350179977469 7.12203479666866 1.06345198095285e-12 5.82481653203722e-10 5.39750219059978e-10
"ENSG00000287160" 114.66520181756 -0.918594475439997 0.129210301815912 -7.10929749818812 1.16635093409117e-12 6.11066467643417e-10 5.66238023046174e-10
"ATOX1" 188.227594632062 0.540300174431459 0.0763047772207764 7.08081714029754 1.43306899655515e-12 7.19520058687067e-10 6.66735350647284e-10
"PHF3" 212.482326127978 -0.633871863364593 0.0895967438545211 -7.07471986251883 1.49750965250514e-12 7.21799652507478e-10 6.68847711194896e-10
