"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"H19" 530.419858806583 3.85177254236879 0.162000702330433 23.776270639323 5.87892123042114e-125 1.11593682795854e-120 9.37923093101389e-121
"AFF2" 814.914276769183 -2.72336977885838 0.141027810266458 -19.3108704851393 4.35175788113897e-83 4.13025340498899e-79 3.47139726178456e-79
"AK2" 4618.33991112117 -0.955481911925236 0.0697307799295041 -13.7024412015928 9.81674187418623e-43 6.21137980852677e-39 5.22054332869224e-39
"PMP22" 86.2267053035357 3.03071593930986 0.222852595634662 13.5996438842396 4.02387917697639e-42 1.90953186343415e-38 1.60492420973703e-38
"MAP3K13" 657.133135125238 -1.27161360186113 0.0996781606959942 -12.757193681968 2.84258414174515e-37 1.07915864357213e-33 9.07011747948042e-34
"TMSB4Y" 578.908934005229 1.99550551594569 0.156698505783669 12.7346812017506 3.79392596054785e-37 1.20027170971866e-33 1.00880491290967e-33
"ZNF585B" 576.05982545115 1.00875152279702 0.0800441301355255 12.6024421914395 2.04706399611784e-36 5.55105268204413e-33 4.66555128486629e-33
"NEK9" 1916.66851542332 -1.2584879243173 0.108177731818818 -11.6335210875477 2.78373151511341e-31 6.60509895248535e-28 5.55145657401492e-28
"NPNT" 45.7348358816107 2.31760804712463 0.201080945626576 11.5257467081373 9.78600731456751e-31 2.06397767605689e-27 1.734732896629e-27
"CCZ1" 786.582074506938 -1.35266305345211 0.118669130817076 -11.3986092603744 4.24851603700227e-30 8.0645331414377e-27 6.77808248543342e-27
"CCZ1B" 592.123690017751 -1.07258180628007 0.0956234944874633 -11.2167183601587 3.37565527235708e-29 5.8251534890802e-26 4.8959276559259e-26
"ALKBH3" 342.919835249663 -1.34700111281527 0.125180101023503 -10.7605050786974 5.28795414940622e-27 8.36466213866907e-24 7.03033504163557e-24
"MAGEA4" 3241.90157469229 5.4835849782876 0.513453868634678 10.679800685637 1.2654305694245e-26 1.84772331298584e-23 1.55297533112296e-23
"SP6" 103.472782487681 1.4008008617103 0.134944208234042 10.3805926911721 3.03882695818995e-25 3.94834629955856e-22 3.31850789501408e-22
"ZNF506" 478.934456223148 1.19058162269607 0.114720868462003 10.3780736552775 3.12007135672629e-25 3.94834629955856e-22 3.31850789501408e-22
"ZNF572" 400.671724671754 -7.5574485639344 0.731965777490966 -10.3248659928335 5.43947067918816e-25 6.45325202702185e-22 5.42383220098549e-22
"SATB2" 324.506786350541 1.77678251210585 0.172557950900083 10.2967293181099 7.28977801260272e-25 8.13968036677793e-22 6.84124225959199e-22
"CST1" 22.5903381574726 4.62174437355637 0.453561338018613 10.1898993281626 2.19991904020937e-24 2.31993684562524e-21 1.94986157597224e-21
"PCTP" 971.278559952987 -0.933324343132847 0.0928834307663144 -10.0483405429005 9.34273981376243e-24 8.86719435724192e-21 7.84495110467189e-21
"TFPI2" 274.810922699546 1.49686701530036 0.150936321473314 9.91720879831434 3.50418438158047e-23 3.16744894910288e-20 2.79528788118674e-20
"CSRP1" 344.063628188966 2.02891444275609 0.206281478024555 9.83565980904298 7.9047731707469e-23 6.82038201486898e-20 6.00536910314743e-20
"EOGT" 2065.47681790176 1.01231854976702 0.103519434153816 9.77901935073221 1.3854637692497e-22 1.1434292725173e-19 1.00471313520953e-19
"TRIM61" 208.139360299803 -4.14285581618364 0.427411405910639 -9.69289953167465 3.23219702812951e-22 2.5563984994981e-19 2.24202049507731e-19
"PPIEL" 149.444047510259 -2.83366436676207 0.293254685998838 -9.66281018531891 4.337978348394e-22 3.2937402003686e-19 2.88367110709491e-19
"VAT1L" 5482.39199640612 -0.934093353439335 0.0979446741132559 -9.53694891423314 1.47096262637689e-21 1.07391586822639e-18 9.38709509648676e-19
"CHSY1" 3906.48212665567 0.594644468161617 0.0626156085095473 9.49674501799259 2.16553479062769e-21 1.52245116280351e-18 1.32880546344901e-18
"DPYSL5" 439.86651660109 -1.42666981001164 0.150294450024597 -9.49249829104234 2.25562315046488e-21 1.52915138007587e-18 1.33282265713025e-18
"PCDHB12" 435.334547100051 -1.56816027775683 0.165576954352884 -9.47088490596765 2.77482897595786e-21 1.81626909040111e-18 1.58105791008685e-18
"C17orf51" 681.586365161016 -9.70360682349351 1.02974853096464 -9.42327814190079 4.37220009929521e-21 2.74722268374276e-18 2.38595320406945e-18
"TIMP3" 313.403960004028 1.46653809076244 0.155674069220218 9.42056758783546 4.48656112085267e-21 2.74722268374276e-18 2.38595320406945e-18
"NPIPA5" 173.827201273877 -1.97275612524283 0.210399229080933 -9.37625168048491 6.83597867993582e-21 4.05501710320443e-18 3.51810335031278e-18
"HAPLN1" 232.244231897323 4.32325419881166 0.462080578871594 9.35606125098159 8.27646123190504e-21 4.76072082133398e-18 4.12633320293166e-18
"MYH14" 1507.86444614641 -0.91980520084339 0.0992452537008563 -9.26800190985309 1.89665505177654e-20 1.05889135861242e-17 9.16946505940694e-18
"PCDHA1" 204.782458270018 1.90128657576507 0.207748991223632 9.15184504418809 5.59693285776324e-20 2.95113831961283e-17 2.62627843566926e-17
"FH" 3157.59066178047 -0.431820476727962 0.047306802791008 -9.12808414966572 6.9722176147568e-20 3.57693607468415e-17 3.17813599502371e-17
"AQP1" 33.0440345882081 3.71411140663955 0.408076815396432 9.10150066484769 8.90921812512792e-20 4.45038890660995e-17 3.94826849911919e-17
"SPP1" 3567.43640712204 0.924647576601883 0.102136883438787 9.05302321228599 1.39063722440642e-19 6.76848097273915e-17 5.99627737248109e-17
"PCDHGA2" 220.680134818111 1.19124152812415 0.13184873594233 9.03491049504786 1.6413669682958e-19 7.59912872980263e-17 6.71445349030543e-17
"TSHZ3" 216.372102494779 0.999519291691465 0.110607120414789 9.03666317270676 1.61527158033757e-19 7.59912872980263e-17 6.71445349030543e-17
"APOL2" 352.97158756134 -1.02224598141606 0.113328044357494 -9.0202384344636 1.8768036504922e-19 8.48225878420069e-17 7.48563135998814e-17
"GATA3" 11.5206015488658 3.74289057301409 0.419597923467953 8.9201837370388 4.65515251390699e-19 2.00827511406778e-16 1.81142202943591e-16
"PNMA6A" 73.850968393236 -2.2667510236473 0.256903664168763 -8.82335030518773 1.1108515652454e-18 4.68581875810849e-16 4.21964901712503e-16
"NOMO2" 819.739560886646 -0.707165225262823 0.0804212247162138 -8.79326605331155 1.45273916060765e-18 5.99475972753357e-16 5.3900001321708e-16
"FEZF1-AS1" 542.356167545918 -1.56150287051606 0.178373876564857 -8.7541006597359 2.05737415546116e-18 8.13605754561745e-16 7.45985165368803e-16
"FAM129A" 1879.01225220334 -1.49671112067015 0.171241727275993 -8.74034118014866 2.32407484949916e-18 8.88872512073036e-16 8.12043449492953e-16
"NOMO1" 3040.82897665329 -0.654806275778494 0.0749248766298048 -8.73950422386167 2.34135631670276e-18 8.88872512073036e-16 8.12043449492953e-16
"WDPCP" 592.587285821655 -1.37836782519599 0.158146904365163 -8.71574331934647 2.88857100362253e-18 1.07511479981888e-15 9.80516208336039e-16
"SYT4" 624.849871288472 1.29584010874243 0.150569992645686 8.60623080318362 7.55021672490487e-18 2.75611949754123e-15 2.50950328394026e-15
"SORBS2" 1149.03936086078 -2.03466107951946 0.237224831548938 -8.57693128596331 9.74377879178628e-18 3.44259658245232e-15 3.12490995398588e-15
"TRIM58" 219.505844521545 0.84756213416928 0.0988255575348265 8.57634558621737 9.79349991847147e-18 3.44259658245232e-15 3.12490995398588e-15
"NRK" 407.461320018889 1.27238083212816 0.148432068639692 8.57214242036046 1.01577357710031e-17 3.50571164373057e-15 3.17757875471732e-15
"NKD1" 238.911059737183 1.34972382731838 0.159820529221524 8.44524688970062 3.03403538701187e-17 1.02842963779034e-14 9.30865395468988e-15
"RNF43" 57.8495259032274 1.55931776139901 0.187631689844965 8.31052453179648 9.52799645057949e-17 3.17298997587544e-14 2.86810670514236e-14
"FMOD" 29.6912294438218 3.25675577583366 0.393634277017163 8.27355737542048 1.30020189478408e-16 4.25524695979163e-14 3.84137426470097e-14
"ZNF587B" 1703.01427388866 -0.674190008918045 0.0817218726131891 -8.2498110647704 1.58645141506908e-16 5.10407131539681e-14 4.60186288654765e-14
"PRICKLE1" 3580.53208406083 -1.10551824974863 0.136183809286334 -8.11783908485204 4.74557434340884e-16 1.50134153644311e-13 1.35198023347758e-13
"FURIN" 1787.93561129649 0.893820349529255 0.110567975763974 8.08389900740577 6.27282843147219e-16 1.95198080797058e-13 1.75573166308258e-13
"VAMP8" 732.202696835654 0.85618729554001 0.106001246560988 8.0771436498853 6.6301427401795e-16 2.02989305635625e-13 1.82374650477282e-13
"HEY2" 372.302084824304 0.735543902665164 0.0911498065691775 8.06961561796545 7.05198268442273e-16 2.12477357643988e-13 1.90674469355839e-13
"HPGD" 90.4855141861101 2.33862752256672 0.289879918474995 8.06757341063779 7.17090896411579e-16 2.12684678057572e-13 1.90674469355839e-13
"KIAA1211" 1625.03734775977 -0.81473170151828 0.101129084690555 -8.05635395604813 7.8603807854195e-16 2.29547304721282e-13 2.0558117221407e-13
"DPPA2" 368.492900071572 1.80142833828744 0.22444493344983 8.02614837679156 1.00580562844989e-15 2.89275794533875e-13 2.58816499940154e-13
"FUT8" 969.106812732782 -0.777949827982495 0.0969842426563525 -8.02140437121349 1.04542953605284e-15 2.96184230647089e-13 2.64742584415667e-13
"GBP4" 20.9789634326547 3.46452007155185 0.432358025712149 8.01308144065405 1.11869506216989e-15 3.1228043632513e-13 2.78869703466538e-13
"TMEM106C" 1623.5106032519 1.3064596947101 0.163378851780006 7.99650432400692 1.28001278321502e-15 3.52133371753442e-13 3.14174214514037e-13
"SCN1B" 64.6221687387684 1.48465862876296 0.186343048880912 7.96734108236992 1.62124741789855e-15 4.3963597837929e-13 3.91899716744749e-13
"MTHFD1L" 4625.06807741289 -0.842979884739284 0.107445687972162 -7.84563718329669 4.30760662974428e-15 1.15164773303952e-12 1.02572471896926e-12
"LPIN2" 1582.92263362488 -0.51386906042086 0.0656553866809163 -7.82676161695995 5.00596988500472e-15 1.30661092826492e-12 1.16184361135134e-12
"WHSC1" 7010.44829578881 -0.489526295222552 0.0625489837495008 -7.82628694948956 5.0248971532683e-15 1.30661092826492e-12 1.16184361135134e-12
"ZNF521" 596.007111078538 -1.37384129546417 0.175968086959225 -7.80733210893242 5.84112075812972e-15 1.49832640852457e-12 1.33127486536002e-12
"HERC2P9" 586.080920511002 -0.837691214182158 0.107530871403169 -7.7902392424718 6.68824330278484e-15 1.69274979164616e-12 1.50287653031872e-12
"PCDH15" 22.0061651195309 3.34335400218015 0.431796385872799 7.74289482627828 9.71784250628577e-15 2.42715903229364e-12 2.15331193535116e-12
"CDH9" 111.883630082897 -1.93096771071347 0.249988861441529 -7.72421498933509 1.12544753511788e-14 2.7744474170919e-12 2.45964246236584e-12
"DCDC2" 47.4326413571362 1.69292178890778 0.219672368642371 7.70657593110344 1.29238356402411e-14 3.14513138619303e-12 2.78630910546495e-12
"PLBD1" 599.279166025659 0.95826602649108 0.124915407656596 7.67131969120611 1.70235660130841e-14 4.09039658304256e-12 3.62125296230325e-12
"ZNF736" 335.559580570426 -11.1140258234449 1.45117198393721 -7.65865517420692 1.87890125550433e-14 4.45816295399789e-12 3.94420929346264e-12
"TRIM26" 1815.69658382488 0.513503424530674 0.0671256366107885 7.6498853561434 2.01158572513318e-14 4.71406422647877e-12 4.1679011245162e-12
"HDAC4" 657.013134185439 -0.983149917742376 0.1286630259882 -7.64127775008607 2.1507652864556e-14 4.97875934969516e-12 4.39914222821957e-12
"INTS4" 1399.22654677494 -0.430167553010585 0.0563137176737739 -7.63877028156002 2.19306182224168e-14 5.01550596503512e-12 4.42887446987896e-12
"HAS2" 337.613815729313 2.25245361788838 0.295833433528817 7.61392514368722 2.65894831027791e-14 6.00859009829706e-12 5.30260766777172e-12
"RASGRF2" 677.304825427939 1.09636150510697 0.144422770505922 7.59133411764877 3.1662833249822e-14 6.98865000869909e-12 6.23640545268716e-12
"CSMD1" 40.585277737632 1.98464059438596 0.261997562656501 7.57503457002757 3.59032015561392e-14 7.83350082688085e-12 6.98536192227616e-12
"NTS" 606.216979546789 1.83277777510027 0.242134303263807 7.5692611513349 3.75352905629184e-14 8.0965327893786e-12 7.21491597157591e-12
"GJC1" 6105.6410360681 -0.513607946802673 0.0681015129276961 -7.54179936278324 4.63530540109207e-14 9.88622102511569e-12 8.80376932964558e-12
"HERC2P3" 128.420110673103 -1.31754981391961 0.175625217090148 -7.5020537241148 6.28256107876372e-14 1.32506193774548e-11 1.17919975824231e-11
"LIX1L" 153.937307840915 1.17394096684787 0.156760205728193 7.48876898569124 6.95225842484646e-14 1.45019526835643e-11 1.28972477802326e-11
"RHOC" 1893.07863263783 0.760546805807775 0.101615080235947 7.48458598902652 7.17730290657102e-14 1.48086482361447e-11 1.31616885714292e-11
"RSPO2" 40.267013702573 2.02781358890215 0.271262953241872 7.47545348403712 7.69380704319081e-14 1.57036392789084e-11 1.3948522450803e-11
"LRRC37A4P" 568.323601460352 -1.1154573455346 0.149268243034244 -7.4728376435616 7.84836591763588e-14 1.58486895583579e-11 1.40688572865127e-11
"KLHL4" 2891.45621217981 -1.56834800582403 0.210606233370447 -7.44682614908827 9.56124796927329e-14 1.91043798897627e-11 1.69489055668651e-11
"NEB" 355.66466508125 1.50006432641068 0.201718664764044 7.43641808340022 1.03452068496679e-13 2.02446099402471e-11 1.81370802285277e-11
"ZNF826P" 329.742537269746 -0.993350100723371 0.133801489445195 -7.42405861730148 1.13584851902557e-13 2.20006903960646e-11 1.96970948614499e-11
"LRRC32" 56.7581902424615 1.75640099515316 0.236804295406253 7.41709939061677 1.19713111805052e-13 2.29534776594293e-11 2.05365912444925e-11
"ZNF280D" 916.575494905387 0.619559024082293 0.0838920922604395 7.38518980023645 1.52236064741094e-13 2.88974498091545e-11 2.58380231582916e-11
"WNT5A" 225.516025146162 1.2810431929038 0.173770283112572 7.37204986927434 1.68024135455723e-13 3.15785558338666e-11 2.82174427059011e-11
"COL5A1" 406.822667207143 2.95082536248063 0.400481463004657 7.36819462339589 1.72954173014365e-13 3.18739428364921e-11 2.84465038790843e-11
"PCDHB18" 275.283894811425 -1.28732976161923 0.174693737390432 -7.36906646368271 1.71826986882343e-13 3.18739428364921e-11 2.84465038790843e-11
"TCF7" 513.325485878253 0.743981928755252 0.101043768655667 7.36296694643851 1.79866921083631e-13 3.28291720770143e-11 2.92816006017168e-11
"LOC644554" 141.522476687248 0.843031658398846 0.114546715499487 7.35971917416193 1.8429752820412e-13 3.33174826701963e-11 2.9699825908773e-11
"PENK" 21.8032552631915 2.03921101156157 0.277477240568529 7.34911089422466 1.99529600895019e-13 3.57308573980118e-11 3.18329525267913e-11
"HSPA2" 3347.82026890788 1.16736060428127 0.159223758750684 7.331572960221 2.27466930026361e-13 4.03530585585082e-11 3.59307663528769e-11
"FEZF1" 847.614313326543 -1.45859560250373 0.19947350468022 -7.31222727971832 2.62750185313108e-13 4.57843980472916e-11 4.07224970527355e-11
"TEX41" 57.7691715165417 1.60886911947629 0.220026906309417 7.31214716628243 2.6290693220708e-13 4.57843980472916e-11 4.07224970527355e-11
"PCDHB11" 78.3975102582016 -1.72743138912666 0.236592077229732 -7.30130699790645 2.8498565677517e-13 4.91781612446026e-11 4.3717895847991e-11
"TMEM99" 199.945873520282 -1.4866194668372 0.204117154913371 -7.28316768606802 3.26071506045567e-13 5.52632975692584e-11 4.95442362614379e-11
"GTF2I" 6720.72323776641 -0.787919130398718 0.108238268363383 -7.27948758154073 3.35090512845711e-13 5.62892753525423e-11 5.04342834145328e-11
"CCDC8" 1130.07488693541 0.727149817152313 0.0999172507395342 7.27752026572326 3.40011939931394e-13 5.66149705594537e-11 5.06967335482753e-11
"CXCL14" 30.7426460706863 2.27591648795098 0.312868537117324 7.27435397921628 3.4808215721421e-13 5.7012755070403e-11 5.09954159129084e-11
"FLNC" 1627.24801953795 1.03413861190207 0.142164729730078 7.27422767845124 3.48407943744955e-13 5.7012755070403e-11 5.09954159129084e-11
"WNT3" 130.192298573678 2.49468413331348 0.344035126574816 7.251248319177 4.12947789460309e-13 6.69963670045777e-11 5.98924457549979e-11
"NOMO3" 665.044583298588 -0.546320765045961 0.0754392163612064 -7.24186691481725 4.42550013056608e-13 7.10218562018249e-11 6.34232621541017e-11
"UAP1L1" 131.145934635211 1.94202762283125 0.268197174433504 7.24104430605308 4.45242908440478e-13 7.10218562018249e-11 6.34232621541017e-11
