"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"MDGA2" 597.124913103267 -3.74605212796501 0.154187212346166 -24.2954786649539 2.18835837867664e-130 3.96005332205325e-126 3.49130695734071e-126
"KAL1" 6148.0864649365 -2.99297048275488 0.144020082666235 -20.7816189752582 6.34814622596116e-96 5.74380270524966e-92 5.06391624444922e-92
"C9orf64" 798.461553196035 -2.7230674678606 0.138748002181849 -19.6259940686687 9.27451749451365e-86 5.59438895269063e-82 4.93218840358236e-82
"PIWIL2" 691.131576847937 -3.00859520178272 0.208118391510794 -14.4561717008401 2.29195983701526e-47 1.0368826302657e-43 9.14148180993536e-44
"SPINK5" 351.375550155817 -2.03354392504081 0.141531919106422 -14.3680940517151 8.20585524301156e-47 2.96986312955074e-43 2.61832429094013e-43
"CSRP1" 344.063628188966 -5.84116886478247 0.417364282630564 -13.9953731257662 1.66354298252087e-44 5.01724563528294e-41 4.42336079052299e-41
"ZNF283" 187.73058611899 -3.77001825338902 0.281037113196579 -13.4146633179796 4.96181335794055e-41 1.2826996360756e-37 1.13086814732262e-37
"SP140L" 632.075939327523 -1.59108353637239 0.125118144351335 -12.7166490889171 4.77919437445003e-37 1.0810537675006e-33 9.53090838124697e-34
"TMSB4Y" 578.908934005229 -1.78359031435993 0.142712730506769 -12.49776602288 7.6778640667841e-36 1.54376253502806e-32 1.36102937023859e-32
"TBC1D15" 2602.58635428586 -1.11350340376402 0.0911309440968991 -12.2187190618813 2.46945010049909e-34 4.46871690186316e-31 3.93976069033625e-31
"LMAN2L" 1218.39512097126 0.584579845894177 0.0524642630360152 11.1424389110904 7.79548196128279e-29 1.28242765064885e-25 1.13062835645732e-25
"LINC00648" 129.272425698073 -2.89207067891792 0.262953334173671 -10.9984179816781 3.8889460604282e-28 5.86453065912572e-25 5.17035378733929e-25
"CTSF" 495.513797610199 -6.95443151720934 0.636852723393573 -10.9199996510206 9.24961630492757e-28 1.28754658964592e-24 1.13514137329857e-24
"SPP1" 3567.43640712204 0.845505655014363 0.0795301365516047 10.631261200787 2.13209451486047e-26 2.7558844529225e-23 2.42967399214885e-23
"PCDHGA2" 220.680134818111 -1.39132087959026 0.135500364848735 -10.268023124096 9.81961872100542e-25 1.18463880250209e-21 1.04441464716614e-21
"MGC12916" 816.359661522173 -1.10434875077928 0.108275030718006 -10.1994776030632 1.99341801761023e-24 2.25455577791717e-21 1.9876869408096e-21
"ZNF578" 820.459158282382 -1.30412856131076 0.133415552707056 -9.77493654112626 1.44247697338871e-22 1.53547431237895e-19 1.35372221373197e-19
"SCGB3A2" 1786.22593675772 -1.25221738533397 0.128901768836464 -9.71450893682186 2.61506477541815e-22 2.62901178755372e-19 2.31781907927895e-19
"RAD51C" 433.104194002311 0.688277324423834 0.071431602007209 9.63547372708191 5.66301825255229e-22 5.39357780516769e-19 4.75514701059049e-19
"AK5" 242.103016086766 0.973939748192678 0.102837734283044 9.4706457214632 2.78119056348996e-21 2.51642122184572e-18 2.21855571249594e-18
"KLHL14" 278.370416395659 -1.23665879131229 0.13111351318948 -9.43197052103327 4.02455968171108e-21 3.46802057144017e-18 3.05751548390565e-18
"ZNF850" 1560.50331300294 -1.15671781536782 0.122755892072366 -9.42291075271502 4.3875300437783e-21 3.60894289419146e-18 3.1817570144745e-18
"EPHB2" 673.777974945308 -0.647017642272059 0.0687956769265876 -9.40491715725824 5.20712090393496e-21 4.09687216859161e-18 3.61193073484254e-18
"FBXO7" 2756.99966022847 0.333263139320113 0.0356052029634768 9.35995617443801 7.97697728518259e-21 6.01464087302768e-18 5.30269565032513e-18
"DDX25" 1392.66167202866 0.697684915009065 0.0748643003902431 9.31932725440914 1.17080286044059e-20 8.47473942501319e-18 7.47159553418767e-18
"ZNF469" 78.937194187407 -2.76975237760349 0.302860257961038 -9.14531472782344 5.94564817128737e-20 4.13817112721601e-17 3.64834118941226e-17
"CYP1B1" 272.270998410954 -2.10671923997476 0.23188234140967 -9.08529397783157 1.03418820374253e-19 6.93135916108327e-17 6.11090318611419e-17
"FKBP4" 16396.4737418206 0.70015942431344 0.0771516663089939 9.07510437310957 1.13568601930231e-19 7.33977650189096e-17 6.47097669712466e-17
"RTP1" 378.473624139031 -1.92963302297261 0.213920108292509 -9.02034426952549 1.87499130112294e-19 1.16999457190071e-16 1.03150383510743e-16
"KIAA0907" 2464.62668265761 0.951915220570213 0.106468598022155 8.94080732022156 3.86337477086706e-19 2.33038766178701e-16 2.0545427031471e-16
"SYNE4" 610.638921988065 0.752556698093757 0.0842979283910299 8.92734510156523 4.36354514445856e-19 2.54718428819749e-16 2.24567739466748e-16
"LOC102724316" 52.7319770775724 -5.82434812484423 0.657308688809064 -8.8609023796673 7.93693457922886e-19 4.48833650455392e-16 3.95705794615679e-16
"C1S" 488.270003413525 0.710930297108924 0.0805070712554893 8.83065656248737 1.04063054301098e-18 5.70643948676569e-16 5.0309756615749e-16
"GCNT1" 1920.79524965629 -1.1172709096526 0.127649945482525 -8.75261564295417 2.08463724838455e-18 1.0848977968472e-15 9.56479854713756e-16
"GGH" 1348.87598760363 0.476377259828312 0.0544314397626863 8.75187689146664 2.09833238780127e-18 1.0848977968472e-15 9.56479854713756e-16
"FAM214A" 435.064518643808 -0.834780404658562 0.0965172100750799 -8.64903164947675 5.19382577131131e-18 2.61076308771249e-15 2.30173045431946e-15
"E2F5" 1283.93668265097 0.622182825769823 0.0722458049939169 8.61202703495672 7.17799105450993e-18 3.51061962493005e-15 3.09507214280139e-15
"SDC4" 4181.28252972406 -0.566687378130871 0.0660121138510561 -8.5845967515825 9.11556042903798e-18 4.34092582957556e-15 3.82709608118084e-15
"PGPEP1" 1470.33168945297 -0.826945395129205 0.0966539910321177 -8.55572942512446 1.17125732969653e-17 5.43463400979191e-15 4.7913434456355e-15
"SERPINH1" 19392.4464794751 0.474528243111574 0.0561210397891086 8.45544282313289 2.78030174930431e-17 1.25780851138527e-14 1.10892335271002e-14
"LOC642852" 822.362328901594 0.86313203054221 0.102643458479002 8.40903106084234 4.1341163440703e-17 1.8246577893243e-14 1.60867541837311e-14
"ZNF174" 491.535959856373 0.563526817350547 0.0672193724075519 8.38339896918222 5.14208139502515e-17 2.21550249819941e-14 1.95325634705312e-14
"ZNF704" 351.383889207092 -0.763114736100287 0.0911042272531265 -8.37628240871884 5.46257452434645e-17 2.29885461843194e-14 2.02674218514938e-14
"COMMD7" 2802.16929937044 0.609876568930787 0.0733611854619928 8.31334124564759 9.30444659251742e-17 3.79886872888698e-14 3.34920157497032e-14
"JAKMIP2" 1208.06816525067 0.804746808297145 0.0968228265306397 8.31154013090582 9.44678894782902e-17 3.79886872888698e-14 3.34920157497032e-14
"CNPY3" 2917.29874167726 0.519773506124337 0.0628956685753545 8.26405884375969 1.40801150922427e-16 5.53899484150486e-14 4.88335122134e-14
"PHC2" 340.737080818908 -1.42799360742906 0.173370572591823 -8.23665507981608 1.77092088117003e-16 6.81842218418146e-14 6.01133441238014e-14
"STEAP1B" 214.979486518026 0.880182956013047 0.107015696193756 8.22480241047485 1.95512897496984e-16 7.37083623563629e-14 6.49835993055601e-14
"MT1X" 1813.39430310041 2.14255973128571 0.260930148385015 8.21123869566907 2.18918193357387e-16 8.08478291223525e-14 7.12779766698725e-14
"CNTNAP2" 6278.29335247261 -0.598467640245651 0.0731265061460171 -8.18400429319905 2.74564290266768e-16 9.93703079333485e-14 8.76079737383203e-14
"EPHA4" 762.925259508308 -1.13655015184053 0.139855524536021 -8.1266017600027 4.41492880029889e-16 1.5665206190237e-13 1.38109360941115e-13
"AHSA1" 6029.82809499189 0.586115964641758 0.0725158145089183 8.08259506717221 6.34028770021185e-16 2.20642011967372e-13 1.94524903786884e-13
"ITGB8" 321.536553699931 -1.24938174679376 0.155375533721575 -8.04104556791156 8.90751232244184e-16 3.04132722616807e-13 2.68132927532523e-13
"ZNF451" 2681.81903638751 -0.637893389694434 0.0793551312587362 -8.03846430062086 9.09713545265771e-16 3.04855116946841e-13 2.68769812984632e-13
"ZNF549" 1130.81175862525 -0.481936997734456 0.0600391536296627 -8.02704516301429 9.98483349991888e-16 3.28519176390058e-13 2.89632788468556e-13
"ZNF43" 1747.97779197365 -0.648834967943209 0.0808634871065326 -8.02383116484216 1.02497154521117e-15 3.31212233609667e-13 2.92007072005339e-13
"LPIN2" 1582.92263362488 -0.412315087709947 0.0514123745818486 -8.01976355037911 1.05948913323162e-15 3.36359918508058e-13 2.96545432132934e-13
"VANGL1" 1625.82016053249 -0.516480069403393 0.0645417469690213 -8.00226355278689 1.22152581456529e-15 3.81116054144369e-13 3.3600384216508e-13
"LOC100128885" 762.595187353718 0.725770687251786 0.0909181222929685 7.98268451819881 1.43184533251849e-15 4.3916395147889e-13 3.87180685338983e-13
"POLR2G" 3036.72089796112 0.507618181909099 0.0637518678132551 7.96240485684338 1.68727342413752e-15 5.08881664719875e-13 4.48646003478167e-13
"LRAT" 6396.28177510805 -1.50428828541488 0.189199320758994 -7.95081229351279 1.8529251747584e-15 5.49680884629968e-13 4.84615872755664e-13
"FAM65B" 654.830817630913 0.520238055110822 0.0654896679034398 7.9438188002095 1.96049925196489e-15 5.72212813928333e-13 5.04480726868514e-13
"ZNF829" 728.171436843981 -0.958216613923001 0.121519843855038 -7.88526864028943 3.13859578366917e-15 9.01524274623448e-13 7.94812017978697e-13
"ADCY10P1" 96.108038606873 1.08464634291148 0.138079114873333 7.85525272164792 3.98966875727152e-15 1.12807884111852e-12 9.94549614898591e-13
"DPYSL5" 439.86651660109 -0.902278890248144 0.114920223831315 -7.85134992055486 4.11582829189579e-15 1.14584659646379e-12 1.01021422413701e-12
"PAK1" 8683.58956882065 0.323235427052049 0.0414384018165812 7.80038353030085 6.17193077253053e-15 1.69223120090474e-12 1.49192399310533e-12
"DCLK1" 5448.31910934941 -0.655352650177897 0.0840470340871516 -7.79745124019887 6.31700332891607e-15 1.70615660059799e-12 1.50420106133622e-12
"ZFHX4" 201.55201098191 -1.02784297779677 0.133045238051843 -7.72551496654289 1.11402050800488e-14 2.96460516365533e-12 2.6136887036338e-12
"CSTF3" 2416.47775960371 0.943975735620887 0.122564007203877 7.70190006965621 1.34057710169441e-14 3.51580916409596e-12 3.09964740296125e-12
"HSPA1A" 1335.92438069745 1.42328157250803 0.185895902116973 7.65633645658551 1.91312111159777e-14 4.94569137649617e-12 4.36027631634726e-12
"ZEB2" 55.2310314566188 -2.57276029742805 0.337444354523691 -7.62425052586684 2.45456262916501e-14 6.25602328695351e-12 5.51550594164769e-12
"GAS7" 744.26756062442 -0.862121943139466 0.113286584755897 -7.61009739147062 2.73889457237698e-14 6.88375502524082e-12 6.06893388995866e-12
"DDX42" 11534.5239522441 -0.284634458177371 0.0374662553452283 -7.59708851484198 3.02867386501055e-14 7.50779209057957e-12 6.61910449895593e-12
"HSPA8" 144630.753146143 0.944910798093195 0.124750270855591 7.57441880977564 3.60738910579241e-14 8.82152881870534e-12 7.77733591808272e-12
"SCAF8" 7105.31564797316 -0.452960061824048 0.0599317190203277 -7.5579354176444 4.09517272608381e-14 9.88083275349501e-12 8.71125142292548e-12
"ZNF667" 1168.78130487486 -0.910223185399365 0.120735023935352 -7.53901523957741 4.73533637252186e-14 1.12750851312047e-11 9.94046795884391e-12
"SLC7A3" 10944.5788330761 0.571579976747811 0.0758722445777688 7.53345284469532 4.94158633809294e-14 1.16133696589779e-11 1.02387101867448e-11
"RASL11B" 1648.70795251051 0.714961031699896 0.0954369213507991 7.49145112374174 6.81162503866192e-14 1.58029700896956e-11 1.39323930598477e-11
"SLC16A10" 575.651703134115 1.12906054925656 0.150976057858276 7.4784079361539 7.5228372794004e-14 1.72320586592442e-11 1.51923222728549e-11
"ALKBH2" 609.357072928972 0.463991640380502 0.0621516490292843 7.46547593872981 8.29990576267792e-14 1.87743868351775e-11 1.65520870672204e-11
"SH3PXD2A" 1325.98769251802 -0.628215898075098 0.0841888271162309 -7.46198657938048 8.52275683276827e-14 1.90404700797253e-11 1.67866743839488e-11
"ZNF582" 362.753967587273 -0.63743901130514 0.0854973558392239 -7.45565760540983 8.94206903764077e-14 1.97336196713594e-11 1.73977767593318e-11
"GAS1" 138.597401425725 -0.897089970797197 0.12035223040468 -7.4538707573658 9.06407939137466e-14 1.97618771887128e-11 1.74226894710833e-11
"ACADSB" 1759.13095486674 -0.780110259096283 0.10535484170703 -7.40459808449628 1.31548268446632e-13 2.83392555453601e-11 2.4984774699971e-11
"DDX58" 622.923204111415 -0.762214174722923 0.103660610507848 -7.35297786679753 1.93839044735121e-13 4.12671923944324e-11 3.63824484671073e-11
"PPP1R3B" 4566.61968247225 -1.39612057227458 0.190088836090727 -7.34456899724624 2.06423187245291e-13 4.34352790277997e-11 3.82939015036206e-11
"JMJD6" 742.440418023132 0.573345718405132 0.0781421464581489 7.33721486281673 2.18084356342528e-13 4.53615461192459e-11 3.99921588630884e-11
"SHISA9" 3895.80111549821 0.563858373734914 0.0769531148219692 7.32729760243492 2.34839946663665e-13 4.82916326684736e-11 4.25754148758194e-11
"LEF1" 158.192686001519 -1.88805809488894 0.257782336049738 -7.32423378506682 2.40267511165602e-13 4.83097875783637e-11 4.25914208126224e-11
"SEPP1" 918.944298551608 -0.881958186580922 0.120401332402312 -7.32515304426966 2.38626229138847e-13 4.83097875783637e-11 4.25914208126224e-11
"USP3" 515.451424037019 -1.14308841813563 0.156163557343089 -7.31981543955407 2.4831222857745e-13 4.93786603114015e-11 4.35337724695015e-11
"PIK3CD" 1016.17539982616 -0.847075525830202 0.115872523011565 -7.31040892020324 2.66330624747113e-13 5.2386075928519e-11 4.61852042088635e-11
