"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"MX2" 770.511735940942 1.50257695229106 0.0780262519942139 19.2573257575217 1.22546265943467e-82 2.21759722851298e-78 1.95510312686207e-78
"UBE2T" 922.655886816812 1.04392323490441 0.0577312028434656 18.082478512269 4.37946749768978e-73 3.96254219190971e-69 3.49350122290714e-69
"TMSB4Y" 578.908934005229 2.1836215494155 0.122277856783014 17.8578657400776 2.51057108181221e-71 1.51437647654912e-67 1.33512170130773e-67
"ASTN2" 603.78220622381 -1.41092090182389 0.0819290950028609 -17.2212435859889 1.83991953163864e-66 8.32379596113321e-63 7.33851905194072e-63
"AK2" 4618.33991112117 -0.862958488456838 0.0540935202158 -15.9530843068479 2.71167336966893e-57 7.98087559826147e-54 7.0361897267166e-54
"MAGEA4" 3241.90157469229 6.35305427384142 0.39814272104721 15.9567259125857 2.55803136670656e-57 7.98087559826147e-54 7.0361897267166e-54
"NPIPB5" 528.638414522936 -2.23719315171987 0.140307020628295 -15.9449836629822 3.08720873053881e-57 7.98087559826147e-54 7.0361897267166e-54
"LOC644554" 141.522476687248 1.35660518697584 0.0888483940325159 15.2687643006734 1.23491031784057e-52 2.79336713895537e-49 2.46271990135356e-49
"ZNF585B" 576.05982545115 0.929655992568201 0.0638626878428901 14.5571071930963 5.26385829448282e-48 1.05838644107735e-44 9.33106613668655e-45
"ZNF280D" 916.575494905387 0.925452796542006 0.0652533420805742 14.1824582011335 1.17651934840088e-45 2.12902941286623e-42 1.87701896843876e-42
"MYH14" 1507.86444614641 -1.0553553946257 0.0776834343466891 -13.5853339067865 4.89295444625967e-42 8.04935487813772e-39 7.0965632032388e-39
"NOMO2" 819.739560886646 -0.863409744882154 0.0640416561293546 -13.4820021383925 1.99615548727318e-41 3.01020247480795e-38 2.65388872032969e-38
"ZNF572" 400.671724671754 1.34114664996981 0.100630060619271 13.327495200902 1.601861174099e-40 2.2297907543458e-37 1.96585332089042e-37
"NOMO1" 3040.82897665329 -0.778841774854788 0.0585025559670284 -13.3129529467693 1.94634263548239e-40 2.51578688083496e-37 2.21799645760615e-37
"CCZ1" 786.582074506938 -1.21098869786574 0.0918049358865014 -13.1908887705437 9.90110062331709e-40 1.19446877919697e-36 1.05308106229601e-36
"FAM103A1" 1720.31998874132 -0.820121718047014 0.0633698462870521 -12.941829057499 2.61332668522066e-38 2.95567248098457e-35 2.60581337100065e-35
"TRIM61" 208.139360299803 -4.56841574319002 0.357179308472086 -12.79025865953 1.85854302321454e-37 1.97836438518179e-34 1.74418796425675e-34
"ZNF208" 1276.40950878492 -10.1356662458668 0.80728750149531 -12.5552126436899 3.72180052718878e-36 3.74165013000045e-33 3.29875586726499e-33
"EPHB2" 673.777974945308 -0.855874489077468 0.0693912322522158 -12.3340436723566 5.93898545703638e-35 5.65641478055423e-32 4.98687231481886e-32
"ZNF826P" 329.742537269746 -1.31547294286925 0.108261028577129 -12.1509370468622 5.67118446788806e-34 5.13128770654512e-31 4.52390385003431e-31
"POM121C" 3273.11509465067 -0.664158580769749 0.0551682253203423 -12.038788213926 2.22195510149442e-33 1.91469045317348e-30 1.68805103282105e-30
"C17orf51" 681.586365161016 -11.8728157078779 1.02611963317318 -11.5705959851507 5.80778293703329e-31 4.77716545584338e-28 4.21169858988314e-28
"CDH4" 631.814239905201 -0.803717014112907 0.0697862691618846 -11.5168359587831 1.08523219155833e-30 8.53841814714765e-28 7.52773668874852e-28
"CSRP1" 344.063628188966 1.84930452063934 0.161338825872768 11.462241098108 2.04162492859587e-30 1.53938519616128e-27 1.3571701712841e-27
"GGH" 1348.87598760363 0.616658871076078 0.0538402712502115 11.4534874501334 2.25871688491432e-30 1.63494962997638e-27 1.44142276727692e-27
"VPS37B" 758.836219917481 -1.23348363224197 0.109261863845578 -11.2892420907744 1.48309997781258e-29 1.03223758455755e-26 9.10052963308535e-27
"ADAMTS1" 1041.35751390448 0.964252533488455 0.0864562906753415 11.1530638887735 6.9182397868432e-29 4.63675804380424e-26 4.08791102071468e-26
"NEK9" 1916.66851542332 -0.914615260328266 0.0833199131219441 -10.9771509121675 4.92202912834235e-28 3.18103711094583e-25 2.80450188262764e-25
"PI4KAP2" 391.464962791736 -1.05310907677523 0.0992577915938035 -10.6098378763544 2.68214057219621e-26 1.67365571705044e-23 1.47554726513167e-23
"NPIPA5" 173.827201273877 -1.68336004449846 0.158941624342949 -10.5910585188576 3.27863164102887e-26 1.97767060586861e-23 1.74357630669915e-23
"PRKCQ-AS1" 346.462173367501 0.821114760730733 0.0780955451522172 10.5142330350635 7.42827204930492e-26 4.336193903362e-23 3.82292426692293e-23
"CCZ1B" 592.123690017751 -0.762468257700975 0.0729723299982256 -10.4487311521986 1.48498606863572e-25 8.39759621813497e-23 7.40358366844196e-23
"CTNND2" 697.472582595501 -1.1971248873095 0.114659350141868 -10.4407088111723 1.61599537247514e-25 8.86153098797276e-23 7.81260308256618e-23
"LOC613037" 261.820010630394 -1.63412483494818 0.157565900215708 -10.3710563815589 3.35791889354538e-25 1.78720294992933e-22 1.57565405963597e-22
"GOLGA2P7" 982.463939888706 -0.84710886838279 0.0823483296346951 -10.2868980116615 8.07354836142099e-25 4.17425517566498e-22 3.68015401594601e-22
"SYT4" 624.849871288472 1.20931563161705 0.117790620283689 10.2666547531927 9.95985666625511e-25 5.00648795090424e-22 4.41387647926206e-22
"SPP1" 3567.43640712204 0.815525009564209 0.0794748898400473 10.261417300553 1.05151923126323e-24 5.14278162403769e-22 4.53403724745232e-22
"SALL3" 2039.80139437602 -0.972498337228599 0.0952196118281093 -10.2132146787592 1.73035079468931e-24 8.2401126264994e-22 7.26474120486138e-22
"FHL1" 2383.90667318684 -0.735754070676652 0.0728672269384756 -10.0971877425482 5.68490822824906e-24 2.63779741790756e-21 2.32556476598681e-21
"NPIPB3" 376.125054772236 -1.34344671827776 0.13342256841976 -10.0691115018199 7.56584570490379e-24 3.42278859689847e-21 3.01763755940088e-21
"SYNGR3" 811.975317158445 -1.18120293121955 0.117995078093552 -10.0106118857182 1.36903153753902e-23 6.04243773251368e-21 5.32720223168232e-21
"DPYSL5" 439.86651660109 -1.15576992215296 0.115589482305378 -9.99891944406771 1.5406896566497e-23 6.63817143493641e-21 5.85241971004507e-21
"LINC00648" 129.272425698073 -2.35159116277848 0.238257397165056 -9.86996076830883 5.61865817238083e-23 2.36454042528845e-20 2.08465284842241e-20
"F8A1" 207.604183987563 -1.51305642956883 0.154841113214437 -9.77167109018018 1.48974276531131e-22 6.12690570024398e-20 5.40167183585833e-20
"TNFRSF11A" 875.924645320976 -0.959974597961375 0.0983022814001709 -9.76553732312164 1.58270782584146e-22 6.3645957369838e-20 5.61122681188326e-20
"NAV2" 5907.92486166016 -0.818146407230068 0.0848516085920243 -9.64208482085241 5.30984306206992e-22 2.08884608806994e-19 1.84159209157095e-19
"NBPF10" 121.231326167694 -1.43450302418479 0.149119400429714 -9.61982827218335 6.59411599105552e-22 2.53887495689661e-19 2.23835162811276e-19
"EOGT" 2065.47681790176 0.770232579027241 0.0807626054753382 9.53699517857235 1.4703067651947e-21 5.54305650478402e-19 4.88693211081588e-19
"AACS" 3813.45900191326 -0.780104984352376 0.0822577546310318 -9.48366494869142 2.45505489906718e-21 9.06666805173871e-19 7.99345833871792e-19
"POM121" 4129.20820724076 -0.580967826967383 0.0617865222545556 -9.40282452820118 5.31176231132973e-21 1.92243301571646e-18 1.69487711829909e-18
"PCDHGA2" 220.680134818111 -1.21366475695419 0.129618776478169 -9.36334063574968 7.7254626260419e-21 2.74117591531087e-18 2.41670648501711e-18
"TENM4" 360.32086235256 -1.2119008116572 0.129853990303229 -9.33279607986811 1.0311408962875e-20 3.58837031908048e-18 3.16361958834053e-18
"SCAF4" 4534.06247074982 -0.55174830364319 0.0592581702550855 -9.31092373031615 1.26725361446978e-20 4.32683422781982e-18 3.8146724840096e-18
"SMG1P1" 104.047112029474 -1.546803088922 0.166468053920677 -9.29189146200422 1.51570447096629e-20 5.07929409381592e-18 4.47806465366596e-18
"HERC2P3" 128.420110673103 -1.26062443011556 0.136990952413599 -9.2022458994921 3.50545044625862e-20 1.1350917772116e-17 1.00073243886129e-17
"WNK2" 2022.25828043366 -0.773593773125971 0.0840677746932953 -9.20202510353433 3.51266244053103e-20 1.1350917772116e-17 1.00073243886129e-17
"RGS5" 4591.63993359165 0.869876232161093 0.0945769959689436 9.19754558969853 3.66218835861039e-20 1.16264843048094e-17 1.02502724689948e-17
"DNAJC15" 1308.64211256957 -0.797904158700203 0.0872856072227798 -9.14130271974514 6.1704480500802e-20 1.92517979162502e-17 1.69729876191344e-17
"AGAP1" 2396.23198764213 -0.542694905589293 0.0594903313865556 -9.12240515291428 7.34752698546291e-20 2.25357370049046e-17 1.98682111061145e-17
"ASTN1" 357.404195087193 -1.05033447475042 0.115327577307439 -9.10740084264889 8.43791568563461e-20 2.5448753707874e-17 2.24364178081024e-17
"WASH7P" 311.722877452659 -1.02242813681657 0.112317672836542 -9.10300321396909 8.78678241185417e-20 2.6066494184412e-17 2.29810371473314e-17
"ANKLE1" 363.643866863101 -1.10179054927698 0.121105554522228 -9.0977705657155 9.22050302695446e-20 2.69119714154464e-17 2.37264363374244e-17
"FEZF1" 847.614313326543 -1.39892663847168 0.154684861096895 -9.04372042972832 1.51428218851357e-19 4.34959531481611e-17 3.83473937072151e-17
"CPS1" 2108.95194884853 0.557344444376936 0.0624603759913431 8.92316825717128 4.5313556212897e-19 1.28124080191966e-16 1.12958199346962e-16
"HERC2P2" 1360.31406977681 -0.969187135357025 0.109117486130051 -8.88205153665204 6.56384115446895e-19 1.82737337740416e-16 1.6110695658215e-16
"NPIPA1" 154.871833910668 -1.37879370265819 0.155562542098499 -8.86327572215403 7.76971099708242e-19 2.13031348792733e-16 1.87815104920383e-16
"CLIP3" 1770.79880029316 -0.668969129179989 0.076034865960821 -8.79818910346594 1.39041595058551e-18 3.75536821519334e-16 3.31085016054347e-16
"MAPK4" 149.394731494339 -1.0157758013208 0.116111980549355 -8.74824283002418 2.16700558601174e-18 5.76678427712771e-16 5.08417751753401e-16
"HTATIP2" 1348.54573468922 0.407866803951045 0.0466900092167308 8.73563339980861 2.42294580274726e-18 6.35443873137889e-16 5.6022720778304e-16
"LOC100133331" 217.140732934699 -1.41849473289282 0.162780858331094 -8.71413719915167 2.92981386209615e-18 7.57398737835599e-16 6.67746433655457e-16
"MAP2" 732.888182691595 -1.55820847430835 0.179959556198227 -8.65865924114619 4.77345450698783e-18 1.21662581349932e-15 1.07261539724625e-15
"NOMO3" 665.044583298588 -0.513234242069027 0.0593685186708816 -8.64488879896463 5.38577225392524e-18 1.35362409315321e-15 1.19339736859893e-15
"EML1" 1075.50956094017 -0.561373790092773 0.0651716060868931 -8.61377866527172 7.06911077918339e-18 1.75236477616579e-15 1.54493963522044e-15
"ARHGEF5" 881.795042937203 -0.704853598524071 0.082080739215707 -8.58732030509284 8.90211987966707e-18 2.17692920733048e-15 1.9192489264893e-15
"SMG1P3" 201.51346616628 -1.09393921664583 0.127948221919281 -8.54985868686761 1.23239303987065e-17 2.97351792659992e-15 2.62154647441285e-15
"FBXO7" 2756.99966022847 0.302722134978429 0.0354528029449651 8.53873628689831 1.35697672571455e-17 3.23103300375402e-15 2.84857982658552e-15
"ARHGEF34P" 193.616110104097 -0.922097246341034 0.108420097861645 -8.50485532228281 1.81822192717831e-17 4.27305766158685e-15 3.76726138002633e-15
"TFPI2" 274.810922699546 1.02988114723887 0.121186009787975 8.49835017293441 1.9230425288094e-17 4.46145866683781e-15 3.93336160315707e-15
"ZNF726" 132.407213398837 -8.45341055438425 1.00067890673611 -8.44767537067067 2.9716029072906e-17 6.80685141902919e-15 6.00113326366003e-15
"PPP1R1A" 403.795065291377 -0.75892515405151 0.0901804389831503 -8.41562940487915 3.90790933947738e-17 8.75398926296843e-15 7.71779093177488e-15
"VWA5A" 1366.92386683836 0.52164008643361 0.0619869928857505 8.41531524839502 3.91839705073189e-17 8.75398926296843e-15 7.71779093177488e-15
"KSR2" 246.07122182258 -0.782052330125528 0.0929645798203718 -8.41236879289539 4.01812187370917e-17 8.86730895446842e-15 7.81769711867757e-15
"SYTL2" 277.181380533434 0.724038519686417 0.0861153025528963 8.40778001379809 4.17843912423294e-17 9.11000414362884e-15 8.03166479373643e-15
"POLR2J" 1195.84417778958 -0.689637613778419 0.0823656428152376 -8.37287964018459 5.62270265144325e-17 1.21129079976806e-14 1.06791188215626e-14
"GNAS" 36412.8518228382 -0.586638545246015 0.0704915162906822 -8.32211556958038 8.64069980335551e-17 1.83955416048849e-14 1.62180852544393e-14
"ARL17A" 392.798777831392 -1.09293305243895 0.13202316897224 -8.27834281624281 1.24901222826925e-16 2.62815410264655e-14 2.31706291741949e-14
"KHSRP" 15674.7090344761 -0.444171988060723 0.0537352741698256 -8.26592950204285 1.38610451399967e-16 2.88309738911931e-14 2.54182889843112e-14
"LOC440173" 329.356038934111 -1.06576399068599 0.129282775060557 -8.24366579528311 1.67013231896727e-16 3.43439936863997e-14 3.02787397918225e-14
"TMEM106C" 1623.5106032519 1.04771532451921 0.127204225950143 8.23648205626325 1.77348268538159e-16 3.60594861513092e-14 3.17911716433459e-14
"EVL" 1140.4280547466 -0.657717753106535 0.0802878635682375 -8.19199470350252 2.56931946188414e-16 5.10927527277531e-14 4.55454696609995e-14
"C6orf223" 114.38085713403 1.45426062586563 0.178490991224052 8.14752955257084 3.71434136009833e-16 7.3059479622108e-14 6.51193429219876e-14
"FXYD6" 1278.41638387358 -0.723399711223439 0.088920705535706 -8.13533481167622 4.10801427919742e-16 7.99340068778027e-14 7.12383258807779e-14
"DMD" 433.473824389523 -0.673915818875457 0.0833955227833293 -8.08095922159231 6.42592973691115e-16 1.23705983531004e-13 1.10235788196431e-13
"GATS" 640.923455823024 -0.784917782325154 0.0977403650998562 -8.03064098976144 9.69647119614183e-16 1.84702466068824e-13 1.64571810067284e-13
"PNMA6A" 73.850968393236 -1.40163529877032 0.174888044624771 -8.01447178266293 1.10611350393143e-15 2.08502395491074e-13 1.85757208860232e-13
"NECAP1" 1421.99783038253 0.375720112193815 0.0470255888022154 7.98969500996688 1.3527298986337e-15 2.52360827275005e-13 2.24806800029188e-13
"POLR2J3" 152.77065683107 -1.13798523814702 0.14265573640269 -7.97714320393472 1.49759037858746e-15 2.76534647866518e-13 2.46315019587467e-13
"BRD3" 3165.32037436172 -0.437824082461961 0.0548948198283592 -7.97569030795465 1.51531468976898e-15 2.76981157838985e-13 2.46687046536472e-13
"SNTG2" 269.940073806265 -0.688629212526485 0.086410619608998 -7.96926599580566 1.5961956338811e-15 2.88847561907124e-13 2.57229344878172e-13
"PHC2" 340.737080818908 -1.37467105242973 0.172547727213 -7.9669032715382 1.62699913994909e-15 2.91506697391275e-13 2.59571442787478e-13
"LINC01002" 558.553728096068 -1.12380245617892 0.141814613615804 -7.92444747072018 2.29162998445177e-15 4.06562119594501e-13 3.61986779920233e-13
"PLRG1" 4568.25863315301 0.283181209408214 0.0357744198475735 7.91574568126566 2.4577554950984e-15 4.3180139261457e-13 3.8442187420392e-13
"NBPF8" 117.823915524658 -1.04439721934727 0.132226886440901 -7.89852387406903 2.82225728255802e-15 4.91072767165095e-13 4.37148472678938e-13
"NEBL" 1294.13039271523 1.1043080427372 0.140314721084653 7.87022227034157 3.54011724070596e-15 6.10113919883952e-13 5.43067600559835e-13
"LRRC37A4P" 568.323601460352 -0.905722816385478 0.115281132481068 -7.85664398755124 3.94562244119062e-15 6.73584751847033e-13 5.99509146921478e-13
"TMEM62" 170.087971700115 0.727597659280922 0.0926298395436354 7.85489495464548 4.00107338859093e-15 6.76667514391976e-13 6.02199290958299e-13
"AGAP4" 270.527635460361 -0.993151169406232 0.127837568249256 -7.7688521692606 7.92005358740661e-15 1.32704897886769e-12 1.18090219564005e-12
"BST1" 49.3244576889187 -2.22331246837283 0.287549676669931 -7.73192477251468 1.05932541038778e-14 1.72698672309705e-12 1.53640705430242e-12
"EPB41L4B" 2198.81403278509 0.435531697826241 0.0563221604813544 7.73286560927336 1.05152287451602e-14 1.72698672309705e-12 1.53640705430242e-12
"PRICKLE1" 3580.53208406083 -0.81470038609747 0.105365211366842 -7.73215727970202 1.05739190092566e-14 1.72698672309705e-12 1.53640705430242e-12
"TFDP2" 5568.02245750688 -0.442508112238851 0.0575427420745794 -7.69007691126937 1.47046604883855e-14 2.37585300176628e-12 2.11349687776308e-12
"MSI1" 2031.65990720846 -0.553594977946448 0.0720565346666395 -7.68278658566617 1.55664795635316e-14 2.49284083346609e-12 2.21738941925521e-12
"PTPRS" 6715.40652392853 -0.565403440411685 0.0736221565558062 -7.67980003388116 1.59337111283167e-14 2.52926698752648e-12 2.24961440124924e-12
"FAM203A" 95.5776147491789 -0.978277161662551 0.127436955029846 -7.67655788255013 1.63420230794605e-14 2.5715239099645e-12 2.2870231246466e-12
"EFR3B" 591.239848712922 -0.936768612415376 0.122133034931304 -7.67006742231764 1.71905964440933e-14 2.68173304527855e-12 2.38485891886143e-12
"HERC2P9" 586.080920511002 -0.635530328049404 0.0830880019611555 -7.64888206538558 2.02734063633997e-14 3.13562018420581e-12 2.78829245794551e-12
"ZNF257" 138.86883192249 -8.76921299415343 1.14840218863397 -7.63601208787704 2.24053296807999e-14 3.43599021952334e-12 3.05516777544856e-12
"NRK" 407.461320018889 0.896668182490285 0.117991935971336 7.59940223972693 2.97501724106613e-14 4.52402621801115e-12 4.02232415796348e-12
"GEMIN2" 1064.56154692725 0.446192694917236 0.0587717258286703 7.59196175756289 3.15098026185985e-14 4.75167823488465e-12 4.22443185695059e-12
"MTMR3" 1806.15281326294 -0.380209199403723 0.0500942227532232 -7.58988119801219 3.20198928763969e-14 4.78869406191139e-12 4.25704475791697e-12
"PKD1P1" 5291.71398453196 -0.741505683544891 0.0977710916591793 -7.58409946090925 3.34804260986789e-14 4.96608025148928e-12 4.41443568577127e-12
"NKAIN2" 21.7504209213044 2.01382791108904 0.266010416736755 7.57048515540626 3.71832922832631e-14 5.4704785134791e-12 4.86247741874737e-12
"MANEAL" 373.333705648157 0.764552831676983 0.101301494106493 7.54730064369282 4.44371992758488e-14 6.48496417819162e-12 5.76382989631619e-12
"ZFP64" 1566.5106009596 -0.408701018923583 0.0541604062003813 -7.54612174457263 4.48410900226206e-14 6.49155492039475e-12 5.76931250178136e-12
"TLE3" 2345.84786231164 -0.464939832191104 0.061663754000272 -7.53992097511697 4.7025633965418e-14 6.75377676379527e-12 6.00197571427423e-12
"GATAD2B" 1476.08027545891 -0.464875124427543 0.0617983995751324 -7.52244601192889 5.37608197072702e-14 7.60125950835033e-12 6.75427608185752e-12
"NBPF12" 183.729473126024 -0.907261618638157 0.120607489282629 -7.52243184925356 5.37666455055726e-14 7.60125950835033e-12 6.75427608185752e-12
"ITGB1" 27585.2322611557 0.529257670629271 0.0706359719173361 7.49274988738954 6.74453526666437e-14 9.46117133221383e-12 8.40643090971589e-12
"ABR" 2005.45367163683 -0.49217790137445 0.0660461343378565 -7.45203192145558 9.19134782600461e-14 1.27943561737984e-11 1.13673459857424e-11
"NDUFAF1" 750.18847811419 0.428950576517853 0.0579646127573267 7.40021465016402 1.3596453792188e-13 1.86395021078359e-11 1.65586125038601e-11
"RAB11FIP3" 1590.44492891884 -0.533381630180074 0.0720700157624626 -7.40088127548161 1.35283645836145e-13 1.86395021078359e-11 1.65586125038601e-11
"OTX2" 4877.80057370343 -0.839167300518142 0.113652895815238 -7.38359805527836 1.54068103543787e-13 2.09625293363035e-11 1.86212312419513e-11
"SIAH2" 890.649540467176 0.538671071894022 0.073097758240478 7.36918730287042 1.71671326761283e-13 2.31833158885983e-11 2.05928146402219e-11
"FBXL5" 2844.86797773199 0.449145521539904 0.0610285475428133 7.35959710043592 1.84466135281338e-13 2.47266606226007e-11 2.19624830020781e-11
"REEP5" 3993.8619246437 0.533404297836655 0.0725982357655025 7.34734518287178 2.02182260169262e-13 2.69021336766394e-11 2.38934502128919e-11
"AUTS2" 5248.8301116518 -0.822688711549982 0.112044552657499 -7.34251413421943 2.09618378361803e-13 2.74873490930086e-11 2.44105956816365e-11
"RBFOX3" 243.896533010184 -0.999066625713538 0.136059399109575 -7.34287107139836 2.0905989629332e-13 2.74873490930086e-11 2.44105956816365e-11
"COQ3" 951.709203898025 0.429069098158678 0.0585225399998177 7.33168960472349 2.27268992386424e-13 2.95874797570124e-11 2.62742717719783e-11
"NMRK2" 1651.4134873959 -0.574447438279259 0.0785283502141449 -7.31515989719324 2.5707509214692e-13 3.32287919106476e-11 2.95063023029638e-11
"PTPRZ1" 13124.9234397617 -0.698846817729706 0.0956700768041576 -7.3047586149668 2.77764938078412e-13 3.56484703508293e-11 3.1653298729307e-11
"ARL4C" 1124.28691408088 -0.754388943738382 0.103326672457499 -7.30100878888439 2.8561808790049e-13 3.63982036524455e-11 3.23173827969108e-11
"STK32B" 116.092470161863 -0.939339554781983 0.128797311469829 -7.29316120082228 3.02765467139927e-13 3.8313593659889e-11 3.40163398785239e-11
"RGMA" 1832.25084517434 -0.89092428589255 0.122197706995927 -7.2908429118252 3.08021748780602e-13 3.87077408757489e-11 3.43629417029302e-11
"SDC3" 1228.88077801762 -0.636806108090068 0.0873544333887734 -7.28991172383827 3.10158180094142e-13 3.87077408757489e-11 3.43629417029302e-11
"CDH9" 111.883630082897 -1.34616849043945 0.1848541483332 -7.28232773014634 3.28108791659349e-13 4.06675116018327e-11 3.61010183595397e-11
"PRNP" 1165.3879934278 0.52754567506882 0.0725606062632847 7.27041437821827 3.58386412507541e-13 4.41180987805201e-11 3.91623070215432e-11
"PKIB" 790.122484933933 3.54136066110845 0.487648231501378 7.26212140707505 3.81065924290493e-13 4.6593033553789e-11 4.13573180689151e-11
"EFR3A" 5069.58346961073 0.637970977324408 0.0879176162233076 7.25646354769202 3.97341746395638e-13 4.79353082851698e-11 4.25449008187652e-11
"MFHAS1" 2442.36418097845 -0.609138152021351 0.0839401482428883 -7.25681529961985 3.96310268045257e-13 4.79353082851698e-11 4.25449008187652e-11
"LRRC37A" 61.3934824798645 -1.28162192389826 0.17725120592711 -7.23053994016431 4.81077476367645e-13 5.76528345188669e-11 5.11674003864627e-11
"PSD3" 1636.56260667009 -0.397476883737588 0.054989435412405 -7.22824085675048 4.89290398755797e-13 5.82513095781902e-11 5.16962849122516e-11
"VIPR2" 220.085238735783 -1.46556618688512 0.203142372399438 -7.21447805090797 5.41412389433015e-13 6.40352849619597e-11 5.68269293487784e-11
"AHCTF1P1" 18.8232305085381 -3.45729131584772 0.480145365624021 -7.20050960265846 5.99879324672134e-13 7.00349436081738e-11 6.21459399079170e-11
"TXNRD2" 443.774089782538 0.893695787418481 0.124112682339924 7.20068062803444 5.99127309303539e-13 7.00349436081738e-11 6.21459399079170e-11
"NCOR2" 7221.31154643665 -0.742063325352752 0.103332675445118 -7.18130370820482 6.90497696238119e-13 8.00977327636218e-11 7.10722596502126e-11
"RET" 597.45956824724 -0.820559068027337 0.114448857579315 -7.16965713230184 7.51858280666977e-13 8.66600474328e-11 7.68919680112882e-11
"RABL6" 4635.06147102387 -0.441928979233571 0.061669178156744 -7.16612402568953 7.71508840611911e-13 8.78064401239821e-11 7.79028610324204e-11
"USP4" 1955.272024436 0.407000033423142 0.0567902485773822 7.16672392917185 7.6813710474174e-13 8.78064401239821e-11 7.79028610324204e-11
"FLJ22184" 1050.91322581496 -0.940760225162373 0.131409004195374 -7.15902407846944 8.12534152519744e-13 9.18976126499831e-11 8.15293702471698e-11
"BAG2" 2049.65284694809 0.736193083189676 0.102915065933702 7.15340437778012 8.46517587494243e-13 9.4559149773431e-11 8.38841092601438e-11
"THOC3" 687.363844475652 -0.791925155483959 0.110696526266108 -7.1540199335634 8.42728208902395e-13 9.4559149773431e-11 8.38841092601438e-11
"NBPF20" 18.2826153629049 -3.03570626681 0.424486935921778 -7.15147159998678 8.58524844497101e-13 9.53120588099359e-11 8.4548798574733e-11
"TRIM58" 219.505844521545 0.587003180488914 0.0823180800451068 7.13091437709992 9.97043311685754e-13 1.10015218099179e-10 9.75879079425431e-11
"CRTC3" 243.178594405229 -0.738884726075212 0.103748645837139 -7.12187344820954 1.0646979650357e-12 1.16768329547188e-10 1.03574337403534e-10
"DGCR8" 3507.96346491053 -0.425276576258803 0.0598012077108094 -7.11150480965842 1.1478446050339e-12 1.25128891401768e-10 1.10986138355823e-10
"CREBBP" 6816.37770989092 -0.508157003280396 0.0717449124917444 -7.08282978725312 1.41240119472255e-12 1.53046778561073e-10 1.35743666630142e-10
"LINC00669" 48.0579707365494 -4.1754825153158 0.590119323859293 -7.07565800084086 1.48741279258192e-12 1.60215606515252e-10 1.42096908340431e-10
"PFN2" 10284.0710943488 0.293309611286839 0.0414799931364692 7.07111041030913 1.53698783318159e-12 1.64575927983752e-10 1.45958951729637e-10
"LINC01001" 71.0817652495046 -1.38128612736956 0.195475161934163 -7.06629995188229 1.59119281901538e-12 1.69377795605307e-10 1.50212368251902e-10
"NKAIN1" 1480.21122499804 -0.495306359623254 0.0702360652434598 -7.05202317223167 1.76334827434235e-12 1.85520641700577e-10 1.64517300402677e-10
"TBC1D9" 115.745205166482 -1.17844702563368 0.167098602684699 -7.05240502733174 1.75851437169344e-12 1.85520641700577e-10 1.64517300402677e-10
"SLC35G2" 157.500242782599 0.864939913803943 0.122746986710841 7.04652665601894 1.83438998122731e-12 1.91879312718435e-10 1.70150335816863e-10
"SPON1" 147.707776458622 -0.891023014147822 0.126649934011242 -7.03532158231309 1.98801955217724e-12 2.06754033426433e-10 1.83334473615235e-10
"PPP2R5A" 2163.54079342428 0.374281305628286 0.0532434685833743 7.02961913614243 2.07098058174605e-12 2.14151226327295e-10 1.8988749540906e-10
"TCL1A" 50.8487283825137 2.02265796185879 0.287944988120519 7.02445968954391 2.14896205637065e-12 2.20952371432292e-10 1.95911660841928e-10
"NOVA2" 212.870592455074 -0.864193478195079 0.123248479197441 -7.01179831039267 2.35274207599421e-12 2.40537969532154e-10 2.13270722047793e-10
"GJC1" 6105.6410360681 -0.368856926524012 0.0527933000608878 -6.98681321490796 2.81200210268092e-12 2.85876348596146e-10 2.53461477661985e-10
"RGS2" 675.525671416561 0.557913440142549 0.0798736686899615 6.98494822252565 2.84961055991394e-12 2.86480848290014e-10 2.53981490909871e-10
"RPAP1" 2250.79950016058 -0.919408716801729 0.131626503496243 -6.98498168970939 2.8489313519127e-12 2.86480848290014e-10 2.53981490909871e-10
"GAS1" 138.597401425725 -0.81915802537774 0.117474411810551 -6.97307620232039 3.10084551318733e-12 3.10016024346066e-10 2.74838273985504e-10
"FGF13" 1072.46259182115 0.55266978833404 0.079458219818444 6.95547659634017 3.51372112424619e-12 3.49364271782193e-10 3.09712192354827e-10
"AJAP1" 157.946892626249 -1.21871447820293 0.175556420645489 -6.94201028775781 3.86559056823441e-12 3.82249873894917e-10 3.38855120470394e-10
"TUSC3" 3243.04216705534 0.362074245496545 0.0521863134580832 6.93810736003355 3.97387684477388e-12 3.90822148820805e-10 3.46443886237828e-10
"SLC4A8" 1158.04314151574 -0.578095579752505 0.0833719087738495 -6.93393720084565 4.09286400258026e-12 4.00348470219958e-10 3.5487800161503e-10
"KIAA1217" 1298.83346824982 -0.646083852661498 0.0933512923054246 -6.9209952717918 4.48481459926935e-12 4.36329059077302e-10 3.86760714144558e-10
"GNAZ" 148.980479835934 -1.13790487923249 0.164594455230791 -6.91338525126463 4.73222490529881e-12 4.57937657145921e-10 4.05902774941598e-10
"CCDC74A" 223.755222758045 -0.748221086754188 0.108242434061645 -6.91245622144887 4.76333027445991e-12 4.58495875779929e-10 4.06385942239216e-10
