"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"DRG2" 1163.20294985208 -2.41294639639524 0.069015135764609 -34.96256827814 8.3422156580486e-268 1.58351937621079e-263 1.33091708608507e-263
"LGALS3BP" 1561.16499592482 -3.49092740257443 0.126815160466439 -27.5276819406642 8.18886430285329e-167 5.18136740655871e-163 6.53225705438607e-163
"CHD3" 1510.19968413904 -3.3115168233497 0.140255958057055 -23.6105251372109 3.00491108660983e-123 1.4259805561507e-119 1.59801171585911e-119
"TIMP2" 1476.80459138222 -2.41954066921621 0.108425469997514 -22.315242620315 2.62813412106633e-110 9.97744837721622e-107 1.04823129418731e-106
"C3orf14" 420.051597282257 -6.12749686718433 0.275674856203648 -22.2272605908527 1.8721615382817e-109 5.92289505327721e-106 5.97369303634925e-106
"IQCA1" 406.790763912261 -2.68167986952228 0.12602383813855 -21.2791477321461 1.77132848648633e-100 4.80333676149764e-97 4.70996244556715e-97
"PCDHGA8" 171.34995250496 2.94932693112869 0.145110887112621 20.3246426909354 7.78537189650655e-92 1.84727411674359e-88 1.77439747481236e-88
"SCCPDH" 927.127807491272 -1.71155449773233 0.0843644908776076 -20.2876172181893 1.65420440208355e-91 3.48890088448333e-88 3.29889712885512e-88
"PPAP2C" 4107.48004468704 -2.44539967108243 0.124947894872612 -19.5713555124365 2.7136709914685e-85 4.68280934182319e-82 4.81043411087649e-82
"MET" 1396.60855677193 1.45379495948808 0.082040087763851 17.7205436892361 2.9108543769141e-70 3.94670269875596e-67 4.64397707292876e-67
"HDHD1" 1080.3299953706 -1.01286746893771 0.0572136063106398 -17.7032621128333 3.95707779494013e-70 5.00755004690357e-67 5.73920174004317e-67
"TSPAN3" 3954.95940684162 -0.841185213693817 0.0481196538321189 -17.481115234714 1.99557626071754e-68 2.36750178630878e-65 2.65311863862397e-65
"ZNF878" 278.975389551234 -2.00789427666607 0.115637383847543 -17.3637124073412 1.55345791261833e-67 1.73457282925419e-64 1.90645134907022e-64
"DIP2C" 616.097965893061 -1.62469260973098 0.093849823162567 -17.3116214285954 3.84434881780461e-67 4.05407940330928e-64 4.38091007423248e-64
"HIST2H2BE" 448.62015757905 2.72260776058809 0.160794271464194 16.9322435171104 2.60267973343807e-64 2.60021403684849e-61 2.76821016448473e-61
"IGSF1" 1883.61682709661 -1.55008223477431 0.0916595714098409 -16.9112969974884 3.71442214529099e-64 3.52535805809567e-61 3.70374318162328e-61
"FAM65B" 654.830817630913 1.05131893727725 0.0622611555329891 16.8856316314303 5.73987099505243e-64 5.18829672514692e-61 5.38670010912156e-61
"BAIAP2L1" 2039.51301555961 -1.36138063613055 0.0818727632558777 -16.6280040149105 4.36908132173025e-62 3.76972280223108e-59 3.87246241149358e-59
"C2CD4C" 321.450171205434 -2.82712643338013 0.171164110411245 -16.5170515395288 2.765932279474e-61 2.28273593604241e-58 2.32250966245938e-58
"ZNF681" 1072.49055416654 -3.10249122361699 0.191453978521576 -16.2048929334072 4.65697413309284e-59 3.68327845809868e-56 3.71486826596816e-56
"PLA2G4C" 553.51175063644 -2.81252080769904 0.173856940338432 -16.1772133009138 7.30256073847562e-59 5.54468831750977e-56 5.54785971531619e-56
"PCDHGA2" 220.680134818111 1.64368687743163 0.101984698641439 16.1169949936368 1.93806983218659e-58 1.414940059791e-55 1.4054530046684e-55
"SPP1" 3567.43640712204 1.26908163616705 0.0790813101350583 16.0478074275662 5.92194045352182e-58 4.16334346995375e-55 4.107766869369e-55
"ZNF77" 134.835811485094 -3.88705972136546 0.252004330052515 -15.4245751275601 1.11889071051606e-53 7.58527980964855e-51 7.43782599815551e-51
"PCDHA1" 204.782458270018 2.48131055091943 0.161707074399438 15.3444774147003 3.85652463742165e-53 2.52429485060475e-50 2.461079762617e-50
"MYLIP" 1593.33586913051 -0.915821119271742 0.0601110294804154 -15.2354921748616 2.05573241496814e-52 1.30073042336418e-49 1.26142903647699e-49
"NSG1" 1483.37538841877 -0.937525198705844 0.0616551826560139 -15.2059430905667 3.22946155832687e-52 1.97747223548905e-49 1.90825295190914e-49
"EML1" 1075.50956094017 -0.992202713785754 0.0655636697560291 -15.1334224804357 9.74905187441847e-52 5.78301570875661e-49 5.55487048587401e-49
"FLYWCH2" 280.066972397048 -1.6741490568489 0.112448869048997 -14.8880915478076 3.93851968179931e-50 2.26548426060347e-47 2.16672906908366e-47
"ATRX" 6603.25857088961 -1.70275221080467 0.114976048493078 -14.8096254230478 1.26945754341668e-49 7.08730679092218e-47 6.7509752158899e-47
"SEC14L4" 133.821138128671 -2.6893426747517 0.182147640899046 -14.7646308317672 2.47674716496776e-49 1.34324613386909e-46 1.27464594419018e-46
"RGS5" 4591.63993359165 1.39233694082326 0.0943276866091064 14.7606391174746 2.62778755939576e-49 1.38557398479029e-46 1.31011633508125e-46
"GSN" 1951.20750674237 -1.31187689468377 0.0902277232856658 -14.5396209381267 6.79679732003635e-48 3.39517912444553e-45 3.28594255890485e-45
"ATP1A2" 1216.33738382473 -2.09569540760146 0.144278578331831 -14.5253400181245 8.3725818921877e-48 4.07508588403864e-45 3.92871092670478e-45
"PABPC3" 214.383754256966 1.3811131047834 0.0954144677552103 14.4748814019138 1.74626684037159e-47 8.28690929098337e-45 7.95998319179667e-45
"CHAC1" 2754.94435147758 -1.92062140083882 0.132765290603011 -14.4662915443901 1.97855864121163e-47 9.1602439335315e-45 8.76831237830287e-45
"TMEM132D" 243.729507155499 1.49610279261558 0.103662735672078 14.4324070063932 3.23588110858748e-47 1.46246417150494e-44 1.39527695152445e-44
"VASH1" 241.545961506547 -1.70986159601128 0.118609417563672 -14.4159007870803 4.11041134233867e-47 1.8145076302389e-44 1.72572375146503e-44
"TSPEAR-AS1" 240.120697648609 -3.3212705881257 0.230928176066914 -14.3822665760947 6.68682235205942e-47 2.88475595197255e-44 2.73542471294246e-44
"NRK" 407.461320018889 1.65147526092196 0.115112412384837 14.3466306257299 1.11840305263609e-46 4.71767261003073e-44 4.46075057543905e-44
"BTF3" 20119.7791620597 -0.966527549805736 0.0674731017368382 -14.324634927492 1.53532768083099e-46 6.33556305163779e-44 5.97429702926283e-44
"JAKMIP2-AS1" 1077.14022094413 -2.0011494407834 0.14044696604705 -14.2484348156941 4.58441299670059e-46 1.85151760645469e-43 1.74142202260384e-43
"ZNF704" 351.383889207092 -1.30481315125535 0.0921492521852417 -14.1597801426795 1.62501750889725e-45 6.42626715705993e-43 6.02919286905738e-43
"PHKA1" 661.679206149521 -1.32978773893114 0.0945539893384962 -14.0637930587 6.33952035462504e-45 2.45585255860189e-42 2.29865244858382e-42
"C1S" 488.270003413525 1.09136701883276 0.0777325161831574 14.0400320537833 8.86725174225158e-45 3.36636345142839e-42 3.14373631768626e-42
"BET1L" 1779.81114291629 -1.07322737962887 0.0767122222358724 -13.9903049129374 1.78644378746554e-44 6.64907372032763e-42 6.19585308374461e-42
"RDH13" 357.180808868574 -2.10632122096052 0.150810826150176 -13.9666446682221 2.49088181371116e-44 9.09267665151256e-42 8.45521882041443e-42
"WHSC1" 7010.44829578881 -0.676170220294709 0.0484914228675068 -13.9441200177238 3.41635701249915e-44 1.22357148700488e-41 1.13551166202941e-41
"PHC2" 340.737080818908 -2.4651408979071 0.177270912702315 -13.9060653568514 5.81938618383906e-44 2.04562201003024e-41 1.89474463626466e-41
"SFRP1" 42828.1436054856 -1.06883411974174 0.0769076076371729 -13.8976383816824 6.5465972425718e-44 2.25940925197269e-41 2.08888824815981e-41
"MAF" 392.226227153272 -2.21440840860498 0.160100456148208 -13.8313685162462 1.64854064687842e-43 5.58796402840109e-41 5.15702303535261e-41
"SAMHD1" 3466.01395273682 -1.51269571278235 0.109890965703845 -13.7654237825069 4.11464366115666e-43 1.37024852589607e-40 1.26240432634795e-40
"RBFOX3" 243.896533010184 -1.9794992267791 0.144384348414688 -13.7099294245784 8.85439228411628e-43 2.89782886788095e-40 2.66533914152436e-40
"CHODL" 69.5460376558523 2.15287748253453 0.157140642345417 13.7003225289241 1.01074325854523e-42 3.2518522938484e-40 2.98618480496863e-40
"HTATIP2" 1348.54573468922 0.622826772250944 0.0454956055208942 13.6898226789158 1.16793927247229e-42 3.69497054501151e-40 3.38787330054962e-40
"CANT1" 1399.17183511422 -1.27824538227422 0.0938481567487962 -13.6203568248623 3.03083267364155e-42 9.4313550509941e-40 8.63462579915666e-40
"ZNF649" 4708.65003112731 -1.27490427100852 0.0942578334270903 -13.5257116003486 1.1027141003622e-41 3.37608371823794e-39 3.08643872932957e-39
"TMSB4Y" 578.908934005229 1.65544126769278 0.122489857121494 13.5149252892898 1.27685261009308e-41 3.8471771817122e-39 3.51222526576293e-39
"ATP8B3" 304.369278104977 -3.72432448893894 0.278058167858018 -13.3940481505318 6.55105164135406e-41 1.94300097275286e-38 1.77144877773157e-38
"CYTH1" 589.981783651242 -1.16475329457143 0.0872046372511662 -13.3565522578428 1.08473117582446e-40 3.16774879684613e-38 2.88430019651724e-38
