"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"ZNF605" 1262.69326652911 -2.12119677893021 0.129777566886136 -16.3448647545635 4.73219798923684e-60 8.56338548132299e-56 7.54974867202846e-56
"AK2" 4618.33991112117 -1.1209786465607 0.0696167053575922 -16.1021502066594 2.46391177552702e-58 2.22934737449685e-54 1.9654624233379e-54
"ASTE1" 577.876825042194 -1.42624699002252 0.0967699401640185 -14.7385333462554 3.64617438958654e-49 2.1993723917986e-45 1.93903554038212e-45
"ALKBH3" 342.919835249663 -1.93174957982737 0.13145639122483 -14.6949841071135 6.94147714331428e-49 3.14032425963538e-45 2.7686081586109e-45
"NEK9" 1916.66851542332 -1.51671260530928 0.108280065680836 -14.0073114637731 1.40628675875422e-44 5.08963303728328e-41 4.48717978983297e-41
"ZNF280D" 916.575494905387 1.09793938538502 0.0821840586208574 13.3595176949119 1.0423733752647e-40 3.14379809979834e-37 2.77167080482884e-37
"PNMA3" 512.174873461118 -2.03214609509547 0.15439001032523 -13.1624195815173 1.44386835448327e-39 3.73260596324703e-36 3.29078224677516e-36
"H19" 530.419858806583 2.00195698762326 0.16327494416441 12.2612627299838 1.46203677119709e-34 3.30712717644783e-31 2.9156668309598e-31
"FOSB" 36.2091767320405 3.33071383581673 0.278290598230015 11.9684741669347 5.19756629793079e-33 1.04505733030395e-29 9.21355252413198e-30
"ZNF248" 588.004049321608 -2.14883415347096 0.179702465947403 -11.9577332572604 5.91546920762748e-33 1.07046330781227e-29 9.43753957384888e-30
"PABPC3" 214.383754256966 -1.93268546118365 0.165845915919425 -11.6535004824757 2.20223003951762e-31 3.62286861773735e-28 3.19403436822401e-28
"GJC1" 6105.6410360681 0.74838103940284 0.0671342450844994 11.1475304214843 7.36213342234348e-29 1.1102097200894e-25 9.78795638500566e-26
"HECA" 354.047849416059 1.30114848560977 0.11783600216125 11.0420284271801 2.39563100896178e-28 3.33471836447479e-25 2.93999208592125e-25
"SLC7A2" 1560.41119201737 0.89557198978507 0.0817016784246281 10.9614882711529 5.85288347081977e-28 7.56526994913961e-25 6.66977877810419e-25
"ZNF585B" 576.05982545115 0.870298682118694 0.07968838679709 10.9212736899133 9.12076762526958e-28 1.10032940631252e-24 9.70084844623673e-25
"ZNF121" 1068.61862864761 1.28125484557483 0.11896843916621 10.7697037513016 4.7853847015123e-27 5.09390126815097e-24 4.77162672049545e-24
"VPS37B" 758.836219917481 -1.44955687835466 0.140224898107924 -10.3373715931604 4.77453277381187e-25 4.79999694860553e-22 4.48075858078792e-22
"TOB1" 1022.2098165563 1.23511131008962 0.119912627682891 10.3000937762441 7.03926465458633e-25 6.70434385207338e-22 6.23913490551502e-22
"TRIM61" 208.139360299803 -4.43260775918788 0.431740418703938 -10.266835272209 9.94124310559722e-25 8.99483676194436e-22 8.34750486877358e-22
"ALKBH2" 609.357072928972 -0.887606745767756 0.0866162937640693 -10.2475724508078 1.21353008106995e-24 1.04571620700199e-21 9.68032945669499e-22
"SOCS5" 1771.97725363334 0.811783636303666 0.080386018887738 10.0985674814591 5.60550118734662e-24 4.61077952210111e-21 4.25857933061562e-21
"SERTAD2" 409.550288269555 1.02672926598108 0.103124947481222 9.95616764961786 2.37023899301393e-23 1.7871602007325e-20 1.64412143019758e-20
"SRSF2" 23510.202335265 -0.799097527780184 0.0802410670338479 -9.95871013832732 2.31040697314776e-23 1.7871602007325e-20 1.64412143019758e-20
"TMSB4Y" 578.908934005229 1.53056656389232 0.157065699882438 9.74475372432004 1.94249292668161e-22 1.40605408004922e-19 1.2912721730116e-19
"PPP1R15B" 4329.82153759189 0.646036084460116 0.0665100123403065 9.71336587872807 2.64456810145489e-22 1.8406193986126e-19 1.68765757962445e-19
"BMPR2" 1193.37558795791 0.828249097290477 0.0859248851850559 9.63922262458289 5.45998772253448e-22 3.52871206524943e-19 3.22624607871537e-19
"C17orf51" 681.586365161016 -9.93055271171772 1.02998454128945 -9.64145801575385 5.34237051775553e-22 3.52871206524943e-19 3.22624607871537e-19
"ARHGAP19" 2364.40734970712 0.437641539333361 0.046012183520296 9.51142731881693 1.8806418092889e-21 1.17352048899627e-18 1.07156283662125e-18
"GPC6" 1815.43141926488 0.803760830318942 0.0846222605966835 9.4982197905316 2.13508980084625e-21 1.28788616787046e-18 1.17459388561038e-18
"TCF24" 46.4372858474152 1.89424446691396 0.200357410621549 9.45432695021181 3.25106713220009e-21 1.89778422013848e-18 1.72891750090401e-18
"PPP1R10" 5632.84957099827 -1.15827849096219 0.123054274308823 -9.41274488406081 4.83346302756596e-21 2.73332334208855e-18 2.48751835941249e-18
"ZBTB34" 1745.88828870619 0.667928462847472 0.0712052607813362 9.38032464902571 6.57699025843502e-21 3.60658229444364e-18 3.27904070572101e-18
"SNX30" 1239.94041008284 0.766489601753748 0.0823591851364376 9.30666810852935 1.31905284465092e-20 7.02046478729502e-18 6.37702093441236e-18
"ANKRD50" 4315.11080188575 0.759747698196113 0.0817940524519941 9.28854452641306 1.56412482739781e-20 8.08697225045451e-18 7.33942573420725e-18
"TIPARP" 616.162335454998 1.09481332239038 0.118040894433388 9.27486467842886 1.77844649382225e-20 8.93965770894651e-18 8.10666724641148e-18
"DNAJC15" 1308.64211256957 -1.03356840596517 0.112159393415129 -9.21517471247081 3.1077179264546e-20 1.51992604316547e-17 1.37723699440713e-17
"PCDHA3" 142.667434886869 1.57593331331887 0.172657666199879 9.12750269365087 7.00975680054995e-20 3.33811997533558e-17 3.02253135124254e-17
"B3GNT2" 2744.11124205743 0.912994552131071 0.100110168551857 9.11989826146523 7.51948860620173e-20 3.4890427132776e-17 3.15699792693006e-17
"PSPC1" 7446.85255189781 -1.42529977587756 0.156536767915755 -9.10520764453644 8.61015747506061e-20 3.89523524171742e-17 3.52221672710556e-17
"PDP1" 1580.59123420732 0.878803590971927 0.0965781354530053 9.09940523131709 9.08278518095922e-20 4.00883123499117e-17 3.62266886942559e-17
"FOXRED2" 1549.07914330453 -1.12856776250453 0.124121071473377 -9.0924751865891 9.68095589349073e-20 4.17110899639543e-17 3.76707244694515e-17
"C18orf25" 1479.17887499778 0.510891340261891 0.0566171771888253 9.02361024743437 1.81990596494524e-19 7.6588414748021e-17 6.9130428011277e-17
"FBXL3" 1117.89633316397 0.838520935318084 0.0930840074408732 9.00821696842727 2.09433696033279e-19 8.61343673504141e-17 7.7704771779417e-17
"SLC38A4" 763.620685529343 1.73951490910519 0.193260036346248 9.00090335276893 2.23867958532091e-19 9.00247683910381e-17 8.11724866004768e-17
