"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"NOMO2" 819.739560886646 -0.886684561735438 0.0631330558652938 -14.0446957553796 8.30241706917408e-45 1.50240539283774e-40 1.32456761921603e-40
"DPYSL5" 439.86651660109 -1.60810736762177 0.117006117577924 -13.7437887942124 5.54939938724299e-43 5.02109656557746e-39 4.42675589120373e-39
"GJC1" 6105.6410360681 -0.657731515547415 0.0528675217723484 -12.4411263001821 1.56284507744453e-35 9.42708150714538e-32 8.31121012185001e-32
"ZNF587B" 1703.01427388866 -0.770636702226412 0.0635004346556806 -12.1359279886043 6.81331811370851e-34 3.08234511464173e-30 2.71749192965264e-30
"CCZ1" 786.582074506938 -1.04302918274484 0.0903724939638599 -11.5414451565533 8.15435881362785e-31 2.45935461819016e-27 2.16824400854365e-27
"KCNN3" 118.277430202372 -1.40289066739534 0.121514652684412 -11.5450329355655 7.82115079604041e-31 2.45935461819016e-27 2.16824400854365e-27
"MX2" 770.511735940942 0.907602092495729 0.0788163952878793 11.5153971350845 1.10349978305083e-30 2.85270458201254e-27 2.51503364839899e-27
"C15orf41" 665.172727412715 -0.899348162193899 0.0790311635497075 -11.3796649549294 5.28021967461279e-30 1.19438569039741e-26 1.05300780860966e-26
"SPP1" 3567.43640712204 0.871377415165839 0.0793264454155529 10.9847026499311 4.5272696750115e-28 9.10283022655645e-25 8.02534004390372e-25
"NPIPA5" 173.827201273877 -1.68456705023016 0.155861777635006 -10.8080831348853 3.15187237736966e-27 5.70362825408814e-24 5.02849719085556e-24
"NOMO1" 3040.82897665329 -0.613797024173929 0.0579731860430002 -10.587602063455 3.40194909939556e-26 5.59651553660564e-23 4.93406326652334e-23
"CTSF" 495.513797610199 -5.77571250693648 0.550302120599706 -10.4955301655793 9.05678499248145e-26 1.3657631768662e-22 1.20409956475041e-22
"CCZ1B" 592.123690017751 -0.753375517875119 0.0718782224897032 -10.481276411406 1.05312672884368e-25 1.4659524065504e-22 1.29242952553631e-22
"VAT1L" 5482.39199640612 -0.78616590984001 0.0757638896782185 -10.3765251913409 3.17107710825031e-25 4.09884366792126e-22 3.61366887035896e-22
"CHD8" 9623.1971885141 -0.584500953959954 0.0564540157272707 -10.3535762058748 4.03139860328965e-25 4.86347927500863e-22 4.28779555445887e-22
"FH" 3157.59066178047 -0.372826131653256 0.0365771523058649 -10.1928692681053 2.13371950386569e-24 2.41323675887209e-21 2.12758506029208e-21
"SIAH2" 890.649540467176 0.730597097912361 0.072281475932378 10.1076671233977 5.10862293950322e-24 5.43797886548531e-21 4.7942923751079e-21
"LINC00648" 129.272425698073 -2.31009680236268 0.231507098449792 -9.97851391094031 1.89280348731975e-23 1.90289843925212e-20 1.67765482426107e-20
"ZNF286B" 432.308025296335 -0.851132105343245 0.0864713710650504 -9.84293523810277 7.35335580115498e-23 7.00349087251055e-20 6.17449676061192e-20
"APOL2" 352.97158756134 -0.824973505305795 0.0855716557600443 -9.64073323086261 5.3802284272326e-22 4.86803068096005e-19 4.29180821640345e-19
"NPIPB5" 528.638414522936 -1.26509646011042 0.132585603584498 -9.54173323428864 1.40464794678823e-21 1.21040520214666e-18 1.06713111157426e-18
"ADIPOR1" 3971.41935874005 0.408256044520227 0.0428355664319406 9.5307726388744 1.5611692828141e-21 1.28413269735472e-18 1.13213157900073e-18
"NOMO3" 665.044583298588 -0.552766331977203 0.0585012923498168 -9.44878839038047 3.42775271955865e-21 2.69689622665797e-18 2.3776681255582e-18
"TYMS" 3590.12029812317 -0.539151205588536 0.0572655146803584 -9.41493687078413 4.73366769430995e-21 3.5691854415097e-18 3.14670559979254e-18
"HERC2P3" 128.420110673103 -1.25036109653805 0.133779134581348 -9.34645825338132 9.06318214178169e-21 6.56029376150726e-18 5.7837603155994e-18
"WHSC1" 7010.44829578881 -0.452425919722049 0.0484376935039364 -9.34036877055844 9.59991691258234e-21 6.68154217115731e-18 5.89065670858995e-18
"LOC102724316" 52.7319770775724 -6.10385410329097 0.657773606175662 -9.27956677796663 1.70169044786134e-20 1.14051075349996e-17 1.00550997796962e-17
"UVRAG" 731.79767592172 -0.71790662631881 0.0780832103783925 -9.19412281897508 3.78066529556855e-20 2.44338997102173e-17 2.15416907591074e-17
"FUT8" 969.106812732782 -0.685900924734351 0.0747345140292248 -9.17783347686092 4.3985154520722e-20 2.74467364209305e-17 2.4197901904262e-17
