"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"CSRP1" 344.063628188966 -4.290614163633 0.297655946263742 -14.4146764662018 4.18395168569274e-47 7.38634830592197e-43 6.6750765193542e-43
"KLHL14" 278.370416395659 -1.9814726842141 0.14403836549796 -13.7565618532527 4.65126181357445e-43 2.73711253522811e-39 3.71031154868834e-39
"EPHB2" 673.777974945308 -0.95635527655313 0.0730878992357291 -13.0850015741814 4.01151873715916e-39 1.77048379464519e-35 2.13332566442124e-35
"MX2" 770.511735940942 1.03081992670881 0.0800600720104534 12.8755808085486 6.17726331674913e-38 2.18106813187778e-34 2.46380147388539e-34
"ZNF208" 1276.40950878492 -9.06799839397312 0.706441224186302 -12.8361682239282 1.02839897276569e-37 3.02589257753424e-34 3.28141544230076e-34
"ZNF85" 1173.46524796998 -1.31495021071525 0.104023211801405 -12.6409306917544 1.25558867297828e-36 3.16659463325123e-33 3.33861028144925e-33
"SPP1" 3567.43640712204 0.964111418965905 0.0796596739507747 12.1028793007824 1.01970720840568e-33 2.25023888214924e-30 2.32405840041489e-30
"TMSB4Y" 578.908934005229 -1.71987099102959 0.146299157500277 -11.7558502756677 6.58940673306349e-32 1.29254873850559e-28 1.31409243774119e-28
"ZNF876P" 1005.41063441094 -1.15734021027746 0.100252287112561 -11.5442773787098 7.89017920083589e-31 1.39293223611557e-27 1.39866576633484e-27
"PIWIL2" 691.131576847937 -2.31785585467508 0.202111875583991 -11.4681824013446 1.90621027587134e-30 3.05929420093025e-27 3.04116787412514e-27
"GGH" 1348.87598760363 0.626451535797317 0.0548304458493004 11.4252497147132 3.12755289057645e-30 4.60115156085305e-27 4.53608898329606e-27
"MGC12916" 816.359661522173 -1.24382210267497 0.110394277051963 -11.2670886199065 1.90774044256769e-29 2.59071152100692e-26 2.53634091839374e-26
"DDX42" 11534.5239522441 -0.418804152389047 0.0377470196292747 -11.0950256868556 1.32621909020035e-28 1.67236227274264e-25 1.62757687423511e-25
"LPIN2" 1582.92263362488 -0.580903001341912 0.052966509620929 -10.9673641986101 5.48480161928123e-28 6.45524585245273e-25 6.2503232167152e-25
"LMAN2L" 1218.39512097126 0.584313540849873 0.0533215758797466 10.9582946717037 6.06310880464614e-28 6.68988267732644e-25 6.44872252462163e-25
"SCAF8" 7105.31564797316 -0.643777127288836 0.0603031958271359 -10.6756718024411 1.32297070124919e-26 1.3738661623443e-23 1.3191671604831e-23
"AK5" 242.103016086766 1.09600686686122 0.104106733511577 10.527723134636 6.43726783753869e-26 6.31352924466156e-23 6.04118653412307e-23
"ALKBH3" 342.919835249663 -1.04397680397918 0.0996480791535007 -10.4766375112059 1.10606578384683e-25 1.02770975515958e-22 9.80342973082907e-23
"JAKMIP2" 1208.06816525067 1.01476173551099 0.0969423363520802 10.4676839211459 1.21581286576808e-25 1.07319801661349e-22 1.02089886634021e-22
"PHC2" 340.737080818908 -1.85231179962 0.178237903742056 -10.3923562874743 2.68633222089579e-25 2.25830995369973e-22 2.14288721260857e-22
"HSPA1A" 1335.92438069745 1.9225595702963 0.185798847511065 10.3475322697134 4.2941127312421e-25 3.44583027987945e-22 3.26229878639221e-22
"COMMD7" 2802.16929937044 0.753482990764444 0.0734934840564282 10.2523781589388 1.15467026932617e-24 8.86284736290618e-22 8.37345885310442e-22
"CNTNAP2" 6278.29335247261 -0.746682825190889 0.0734087011981596 -10.1715847440931 2.65552509821537e-24 1.95336000349559e-21 1.84201075725774e-21
"ZFHX4" 201.55201098191 -1.44438840656628 0.142680980708286 -10.1232021212369 4.35916055787296e-24 3.07826481954757e-21 2.89775198084605e-21
"CTSF" 495.513797610199 -7.74097528207531 0.766293572564727 -10.1018402857887 5.42151072397832e-24 3.68120578158128e-21 3.459791283614e-21
"NAA35" 2037.02729528319 -0.523766031772932 0.0519119979367698 -10.0894986244007 6.14827419136908e-24 4.02006046571962e-21 3.77267563265778e-21
"ZNF737" 820.932765509638 -1.03300807557921 0.102714245348252 -10.0571062180986 8.54738282082418e-24 5.38912486852965e-21 5.05055353790478e-21
"SERPINH1" 19392.4464794751 0.560976879752106 0.0561594263462622 9.98900658801767 1.70279635039106e-23 1.03659195757944e-20 9.70229034790678e-21
"PREX1" 1048.22905363344 -0.963603153598573 0.0978182743169567 -9.85095229216831 6.78975678302941e-23 3.99554554158671e-20 3.73530274884315e-20
"LEF1" 158.192686001519 -2.71909456991271 0.279065425444257 -9.74357380741112 1.96518842096052e-22 1.11914310914958e-19 1.0450872022668e-19
"DPYSL5" 439.86651660109 -1.12945180498973 0.11773180679277 -9.59342964113154 8.52046561570696e-22 4.70063437436533e-19 4.38501640106416e-19
"CHAMP1" 3856.33583850926 -0.459412822639535 0.0479949695426794 -9.57210363954921 1.04752205106691e-21 5.54622297671106e-19 5.16403013926837e-19
"TMEM106C" 1623.5106032519 1.21946203177479 0.127424334362873 9.57008751799375 1.06815215366589e-21 5.54622297671106e-19 5.16403013926837e-19
"RHOBTB3" 536.61851429354 -0.967403511860321 0.10118403176064 -9.56083183311774 1.16813985093626e-21 5.89209740812248e-19 5.4813244652462e-19
"SDC4" 4181.28252972406 -0.630664043287352 0.0664188426760046 -9.49525794003626 2.19666861608692e-21 1.07722188189996e-18 1.00130431717288e-18
"SLC7A3" 10944.5788330761 0.71815767653779 0.0759091005542048 9.46075860858042 3.05717097516912e-21 1.45868368636853e-18 1.35483627049578e-18
"ACADSB" 1759.13095486674 -0.994777671312773 0.106379680062224 -9.35120006688217 8.66588166230956e-21 4.02598618069508e-18 3.73663448758072e-18
"RGS5" 4591.63993359165 0.8783456492638 0.0947551904209396 9.2696309865649 1.86791033054242e-20 8.45540742958867e-18 7.84227405617731e-18
"KIAA0907" 2464.62668265761 0.982847941339455 0.106631616930823 9.21722815079391 3.04879345616387e-20 1.34558499187793e-17 1.24719104614457e-17
"HSPA1B" 1487.58167313613 1.66781790354462 0.181713325916763 9.17829165874491 4.3798438093867e-20 1.88589664904665e-17 1.74690070337389e-17
"STEAP1B" 214.979486518026 0.994027182161401 0.108357916914464 9.17355381560233 4.57676257376155e-20 1.92376586850444e-17 1.78091878297053e-17
"USP3" 515.451424037019 -1.45813790205285 0.159008471798261 -9.17019002549014 4.72185932658005e-20 1.93859778026614e-17 1.79363199276805e-17
"THRAP3" 14159.8581764276 -0.45324297287371 0.0494790420434287 -9.16030210277495 5.17522317077029e-20 2.03029755237286e-17 1.87648887423794e-17
"VAT1L" 5482.39199640612 -0.697157029281291 0.0760864256721984 -9.16269916903232 5.06151571092603e-20 2.03029755237286e-17 1.87648887423794e-17
"FAM65B" 654.830817630913 0.607842679992784 0.0665129849935775 9.13870697656222 6.32034712496676e-20 2.42563930748181e-17 2.24077373403822e-17
"KIAA1804" 1633.69262333217 0.536905202151194 0.0589413375642264 9.10914519993962 8.30335862439319e-20 3.1188828330859e-17 2.87982138029498e-17
"ZNF826P" 329.742537269746 -0.995313215378311 0.109338872619703 -9.10301333396919 8.78596344438518e-20 3.23140413848283e-17 2.98236725088768e-17
"ING1" 1413.95995102024 0.442153542548154 0.0486218996509482 9.09371179905208 9.57143483630301e-20 3.4484512367366e-17 3.18130565371621e-17
"LOC642852" 822.362328901594 0.927907485726988 0.103121996416111 8.998152847844 2.29547082704309e-19 8.10484839612374e-17 7.47386562747867e-17
"CAMKK2" 1588.25962194249 -0.659798604496312 0.0734235353403305 -8.98620042521834 2.55925055362175e-19 8.8590214262036e-17 8.16605666649628e-17
"ACOXL" 945.547264677613 -1.03859395231669 0.116850202140485 -8.88825122500022 6.20781943598262e-19 2.1075546985161e-16 1.94195198591503e-16
"FKBP4" 16396.4737418206 0.685180441914627 0.0771963335697611 8.875815861066 6.94226188819226e-19 2.31242813913483e-16 2.12993934931191e-16
"RIMS2" 491.846945333837 1.49754166077128 0.169192751184567 8.85109823137551 8.66622379689701e-19 2.83321323908185e-16 2.60869687652255e-16
"MAPK4" 149.394731494339 -1.11673995757161 0.126363118447014 -8.83754667735491 9.7843366844128e-19 3.14059417866588e-16 2.89072791598374e-16
"PKNOX2" 125.898816146231 -1.47856074816984 0.167784707622487 -8.81224975220379 1.2265897501166e-18 3.86682418724258e-16 3.55800234061095e-16
"CCBL2" 2751.2938122871 -0.548105240135781 0.0623273175737204 -8.79398089750108 1.44352128724619e-18 4.41555783229804e-16 4.06036598243827e-16
"MSI1" 2031.65990720846 -0.641994383877695 0.0730084507496946 -8.79342565532224 1.45067607495914e-18 4.41555783229804e-16 4.06036598243827e-16
"ADCY10P1" 96.108038606873 1.22682769016955 0.139552122671546 8.7911789995273 1.47998549764387e-18 4.42841762294998e-16 4.07098079817419e-16
"IFI16" 114.22870494367 -1.81308528886747 0.208633701012696 -8.69028004616156 3.61547152623507e-18 1.0637922387359e-15 9.77648012365327e-16
"GCNT1" 1920.79524965629 -1.10706877851129 0.128097140971435 -8.64241598302469 5.50366241254066e-18 1.59281403657365e-15 1.46342383549456e-15
"TNFRSF11A" 875.924645320976 -0.854210506475973 0.0994407890379191 -8.59014208093464 8.68618451449817e-18 2.47332099062824e-15 2.2717932417099e-15
"ERC2" 415.277410991046 -0.699379923688448 0.0816115094563331 -8.56962367621269 1.03823763693761e-17 2.90937257817407e-15 2.6716198805972e-15
"GALNT3" 1604.28792940052 0.705093063682139 0.082369798453019 8.56009213236453 1.12777359911074e-17 3.06640395303188e-15 2.81442198238855e-15
"TM9SF4" 7018.75380891695 0.534224362434795 0.0624096409300705 8.559965327046 1.12901471024738e-17 3.06640395303188e-15 2.81442198238855e-15
"CDH9" 111.883630082897 -1.69803171082926 0.19922735360195 -8.52308520958358 1.55358402884685e-17 4.15560188564579e-15 3.81321224557271e-15
"SLC15A3" 433.623453494025 1.02214935299768 0.120166471502623 8.50611106589216 1.79864668432999e-17 4.73929978584503e-15 4.3478195760304e-15
"BMPR2" 1193.37558795791 0.584841459704486 0.0688195750524271 8.49818469903296 1.92578521776821e-17 4.99967826977646e-15 4.58566826332448e-15
"ZNF717" 244.333157921058 -8.53542246042232 1.007676639448 -8.47039826694602 2.44555423088374e-17 6.25707454956835e-15 5.73770179404694e-15
"FAM214A" 435.064518643808 -0.839398509420424 0.0992458904535946 -8.45776591437719 2.72548525765503e-17 6.873673819806e-15 6.30179591313454e-15
"EPHA4" 762.925259508308 -1.18525616083514 0.141151754259839 -8.39703457495303 4.57895253608983e-17 1.13854687425535e-14 1.04360869658253e-14
"SYTL2" 277.181380533434 0.746056643960196 0.0891158052394507 8.37176572613097 5.67612051600847e-17 1.39175321652241e-14 1.27544826355492e-14
"ZEB2" 55.2310314566188 -3.13824238053042 0.375538199750301 -8.35665288542435 6.45227959895514e-17 1.56039101424595e-14 1.42971762113514e-14
"JMJD6" 742.440418023132 0.657890797320337 0.0788471856614471 8.34387165250487 7.18970203999193e-17 1.71522972721645e-14 1.57129460747988e-14
"MCC" 1173.64579061881 -1.10319512830597 0.13226658380067 -8.34069419959099 7.38556628269844e-17 1.73846382873011e-14 1.59228816856988e-14
"SFRP1" 42828.1436054856 -0.641261431480958 0.0769355283737019 -8.33504942431973 7.74658269008811e-17 1.79944961593178e-14 1.64785306983554e-14
"ASTN1" 357.404195087193 -0.977171292559953 0.117746245000333 -8.29895927939945 1.05027357556421e-16 2.40799087052085e-14 2.20474534533571e-14
"AURKC" 318.314521778038 1.22726147010956 0.148009836595477 8.29175613147772 1.11588534853832e-16 2.52562050552507e-14 2.31205647410135e-14
"POLR3D" 1719.63291321373 0.514274742853644 0.0624826242847702 8.23068411003018 1.86147260433649e-16 4.15980219708308e-14 3.80742742686979e-14
"NAALAD2" 319.515083448806 -1.02405880562825 0.12473387978642 -8.20994911231603 2.21282258606203e-16 4.88314624179238e-14 4.46878120734603e-14
"TNNT2" 286.669926445949 1.34765350058872 0.165015713037989 8.16681924271342 3.16626769104027e-16 6.90089997748457e-14 6.31432934285706e-14
"CRB2" 577.177236690093 -0.904300053884162 0.110894879423643 -8.1545699727896 3.50424484385895e-16 7.48574294624304e-14 6.84739868670819e-14
"NRK" 407.461320018889 0.973443898437826 0.119381673455136 8.15404802315531 3.51941013106476e-16 7.48574294624304e-14 6.84739868670819e-14
"C17orf96" 182.855971821917 -1.55683479743532 0.191348558528919 -8.13611980881492 4.08147921144617e-16 8.57790880938937e-14 7.84529148667617e-14
"GAS1" 138.597401425725 -1.04721079964379 0.128849364220565 -8.12740370104711 4.38582801957542e-16 9.10910680677463e-14 8.3299405028936e-14
"NR3C1" 1499.9282901523 -1.32784051022806 0.164662809341155 -8.06399766614566 7.38391691423771e-16 1.5157635953948e-13 1.38591776999704e-13
"SLC16A10" 575.651703134115 1.21595867986127 0.151359527739757 8.03357871168806 9.46698725045681e-16 1.92103670022488e-13 1.75623621620684e-13
"PKDCC" 1669.87675191973 -1.56028700474822 0.194738532447929 -8.01221507184472 1.12660623779152e-15 2.26012574113312e-13 2.0659627491639e-13
"AHSA1" 6029.82809499189 0.581044541115545 0.0726457736657857 7.9983254605932 1.26122640457541e-15 2.5017630276825e-13 2.28654614302228e-13
"RASL11B" 1648.70795251051 0.763736854999438 0.0957022715147476 7.98034198051138 1.4592841121569e-15 2.86246685733532e-13 2.61588974442148e-13
"CPS1" 2108.95194884853 0.503336531253947 0.0631511987747327 7.97034008886203 1.58238298969986e-15 3.03645535871318e-13 2.77421299095292e-13
"TPD52L2" 4807.75148653457 0.397203585796363 0.0498305332857952 7.97108839911994 1.57282950366335e-15 3.03645535871318e-13 2.77421299095292e-13
"ATF3" 1484.0476667431 -0.861139632881431 0.108267002413757 -7.9538512536855 1.80801186949456e-15 3.43211199398462e-13 3.13532840933872e-13
"GPHN" 765.720401326587 0.741562855845141 0.0936339652474828 7.91980617167206 2.37881112978596e-15 4.46760975374908e-13 4.08081212522637e-13
"ORMDL3" 2929.57630767597 -0.449176711867598 0.0567599332143061 -7.91362298069767 2.50004638594744e-15 4.64587567342275e-13 4.24316383419207e-13
