"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"CSRP1" 344.063628188966 -4.54551455156247 0.278360461803711 -16.3295983995306 6.07831391327122e-60 1.09993168574556e-55 9.6973420172329e-56
"NOMO2" 819.739560886646 -0.918248497047784 0.063631662406043 -14.4306853275073 3.31768060964407e-47 3.00183741560595e-43 2.64651382231307e-43
"PIWIL2" 691.131576847937 -2.76671940005138 0.20091763786155 -13.7704157260593 3.83997058923783e-43 2.31627025942826e-39 2.04209635935668e-39
"HDX" 305.412778664399 -1.62451249168064 0.126291803214755 -12.8631664948058 7.25429070184183e-38 3.28184111351324e-34 2.89337384642961e-34
"CCZ1" 786.582074506938 -1.13452713487279 0.0909362463675692 -12.4760717556668 1.0084017098659e-35 3.64960746834666e-32 3.21760817584011e-32
"TBC1D15" 2602.58635428586 -1.11863324679597 0.0907209547297343 -12.3304836256241 6.20730457303922e-35 1.87212305922863e-31 1.65052228597113e-31
"NOMO1" 3040.82897665329 -0.68759991620609 0.0581559268055348 -11.8233850610846 2.9553151236745e-32 7.63991178257338e-29 6.735585354729e-29
"KCNQ2" 1114.11050951627 -1.39888156471829 0.120002223076015 -11.6571304169272 2.11035347035455e-31 4.77361954994199e-28 4.20857240825456e-28
"NOMO3" 665.044583298588 -0.688061923488935 0.0596848394415319 -11.5282529018608 9.50530802651886e-31 1.91120060053206e-27 1.68497426950091e-27
"CTSF" 495.513797610199 -6.62651556462623 0.594904043878646 -11.1387973116181 8.1208579554669e-29 1.46955045562129e-25 1.29560167821519e-25
"CCZ1B" 592.123690017751 -0.797516788990004 0.0724413253775784 -11.0091413269041 3.45278728000186e-28 5.68014896535579e-25 5.00779711501361e-25
"FAM65B" 654.830817630913 0.676767364335788 0.0639234495371465 10.5871533722928 3.4182907657448e-26 5.15478247474316e-23 4.54461757305771e-23
"DPYSL5" 439.86651660109 -1.17962513232717 0.115082654613548 -10.2502426302938 1.18046841147876e-24 1.64321202877843e-21 1.4487071566717e-21
"TMEM106C" 1623.5106032519 1.28121429310409 0.126925041447264 10.0942594029911 5.85715105562687e-24 7.57078610733027e-21 6.67464199581936e-21
"GOLGA2P7" 982.463939888706 -0.806524376646911 0.0817666825780578 -9.86372873666448 5.97869683046075e-23 7.21269985626785e-20 6.35894194887805e-20
"MDGA2" 597.124913103267 -1.15601919076281 0.119964299538266 -9.6363601105683 5.61434981727447e-22 6.34982964333743e-19 5.59820856154981e-19
"GJC1" 6105.6410360681 -0.50111048679782 0.0527929137994597 -9.49200282260133 2.26637238532726e-21 2.41248674616954e-18 2.1269238256183e-18
"HERC2P3" 128.420110673103 -1.27848100392675 0.135194333644453 -9.45661677869593 3.18067948783511e-21 3.19764311177023e-18 2.81914225271785e-18
"GTF2H2" 224.639284646836 -1.16604263647729 0.123481864927431 -9.44302742076792 3.62161253874413e-21 3.44930002637441e-18 3.04101086542757e-18
"CCDC125" 401.547643709265 -0.837150432811959 0.0891941051987353 -9.38571479523996 6.24911149195463e-21 5.65419607792055e-18 4.98491623713221e-18
"SMG1P3" 201.51346616628 -1.18743105144078 0.12753262733472 -9.3108020767444 1.26870605999741e-20 1.09326213627205e-17 9.63854118152318e-18
"GTF2I" 6720.72323776641 -0.775027049237962 0.0838522258691515 -9.24277252278747 2.40191246260942e-20 1.97568217833546e-17 1.74182324674867e-17
"TMSB4Y" 578.908934005229 -1.22790772390578 0.133933612510869 -9.1680325863392 4.81730407105671e-20 3.79017106390619e-17 3.34153344128864e-17
"ADIPOR1" 3971.41935874005 0.392769143189466 0.0429038860651618 9.15462861785838 5.45450998841508e-20 4.11270053126497e-17 3.62588551479892e-17
"NPIPB5" 528.638414522936 -1.21268179159557 0.132613279484173 -9.14449741619051 5.99077714410108e-20 4.33636412798613e-17 3.82307434227954e-17
"FAM21A" 1917.07561340071 -0.703141054537808 0.0776094241866568 -9.05999576606441 1.30455619801146e-19 9.07971113815975e-17 8.00495753195186e-17
"SYTL2" 277.181380533434 0.767505295865842 0.0850130093436633 9.02809230953369 1.74690443886409e-19 1.17081417502535e-16 1.03222642287547e-16
"ASAP2" 613.273830935148 -1.0269562165693 0.114022790247685 -9.00658731766265 2.12568191552668e-19 1.37379785512039e-16 1.21118318858259e-16
"FUT8" 969.106812732782 -0.667461206704966 0.0748700772455315 -8.91492611281902 4.88141645279193e-19 3.04600386654217e-16 2.68545234785664e-16
"NRCAM" 544.92818231717 -0.866206283240349 0.0972379107603969 -8.90811285913742 5.19085424896413e-19 3.13112328297516e-16 2.76049628959912e-16
"LOC102724316" 52.7319770775724 -6.36336842868345 0.732520535398525 -8.68694885832994 3.72303629436255e-18 2.10537702446202e-15 1.85616628250813e-15
"NPIPA5" 173.827201273877 -1.31482050679526 0.151354098160865 -8.68704926243763 3.71974851669467e-18 2.10537702446202e-15 1.85616628250813e-15
"PNMA6A" 73.850968393236 -1.50889359783326 0.174513092799504 -8.64630597984308 5.31933626017382e-18 2.91693057466986e-15 2.57165729378222e-15
"ZNF726" 132.407213398837 -1.13936495342176 0.133478814465479 -8.53592353201808 1.39040300251961e-17 7.40021550988082e-15 6.52426161829349e-15
"ADCY2" 2404.06270889523 0.749058189151314 0.0877902357586708 8.53236333947686 1.43387885640908e-17 7.41356336730823e-15 6.53602950718585e-15
"RGS5" 4591.63993359165 0.80280138698507 0.0945516984316615 8.4906077870754 2.05559204293665e-17 1.03327760024949e-14 9.10969873694759e-15
"SMG1P1" 104.047112029474 -1.32456667599215 0.158587978635899 -8.35225145931906 6.69738879581849e-17 3.27556615267923e-14 2.88784164455373e-14
"EOGT" 2065.47681790176 0.672882742489501 0.0807315646249807 8.33481607367847 7.76187561595597e-17 3.69628687227208e-14 3.25876219939373e-14
"CCDC141" 225.788397733041 1.46925350794864 0.177033762854477 8.29928418318923 1.04740552226558e-16 4.85996162331229e-14 4.28469428262181e-14
"CHAC1" 2754.94435147758 1.07969823528881 0.130305736787195 8.28588412075896 1.17234888054954e-16 5.30370633560613e-14 4.67591351007184e-14
"VAT1L" 5482.39199640612 -0.617533069535308 0.0757076638129689 -8.15681053190183 3.43987356640123e-16 1.51824273311211e-13 1.33853031410647e-13
"ZNF286B" 432.308025296335 -0.700161850792822 0.0858868615449081 -8.15214152896629 3.57535512123262e-16 1.54046729223394e-13 1.35812418105108e-13
"YIPF2" 1531.06975149354 0.528354164702584 0.0648616113268693 8.14586862543315 3.76568805595733e-16 1.58474165257218e-13 1.39715784290101e-13
