"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"MDGA2" 597.124913103267 -3.19569481638905 0.134127335547673 -23.8258279219541 1.80359716199064e-125 3.50348748716682e-121 2.87745891223987e-121
"RPS4Y1" 8750.99473031522 -13.4498253004079 0.725462041335782 -18.5396678724127 9.88301141809898e-77 9.59887483982864e-73 7.88367820821756e-73
"GLUL" 14958.8295503327 0.575572873532883 0.0360575900319707 15.9625996363747 2.32828073558242e-57 1.50756177628962e-53 1.23817969518273e-53
"SPIB" 1386.75093513405 -2.3168568253793 0.145848522364986 -15.8853637171678 8.0032383358327e-57 3.88657261683876e-53 3.19209161024687e-53
"KLF10" 1200.45065002182 1.42182626874022 0.0913497905129701 15.5646363363947 1.26587554086188e-54 4.91792647624838e-51 4.03915567578209e-51
"NPAS4" 55.9233913083732 2.79757619153341 0.183886731428578 15.2135837632199 2.87371178355095e-52 9.3036418992462e-49 7.64119963246198e-49
"NOMO2" 819.739560886646 -0.934604684488873 0.0621302260764144 -15.0426731642566 3.85656895137643e-51 9.65476689419143e-48 7.92958306460386e-48
"SNAPC1" 875.787115154247 1.13498577538645 0.0754612149397566 15.0406507010595 3.97622317392697e-51 9.65476689419143e-48 7.92958306460386e-48
"ESYT2" 3556.75963343102 0.960190446888751 0.0663633188669798 14.4686923933594 1.9107005572212e-47 4.12392870266909e-44 3.38703518776745e-44
"RABL2B" 769.577070405047 -0.942312654378384 0.0670143988177398 -14.0613460838649 6.56259533425294e-45 1.27478414367863e-41 1.04699645962671e-41
"FOXI3" 595.44405885659 1.61825814010842 0.117334510915403 13.7918343672576 2.85409123337513e-43 5.04006565530107e-40 4.13947013975153e-40
"LATS2" 1816.2932953994 1.12617473931452 0.0848546238499836 13.2718134642316 3.37317586713007e-40 5.4603284349168e-37 4.48463731534943e-37
"MCC" 1173.64579061881 -1.74744558092038 0.131836133075574 -13.2546786693043 4.23928791031662e-40 6.3344744352231e-37 5.20258456316857e-37
"TGIF1" 7253.83133530426 0.645575798473973 0.0493265611783695 13.0877925209404 3.86683220344183e-39 5.36522968227554e-36 4.40653149812221e-36
"NOMO1" 3040.82897665329 -0.755664527263459 0.057837683496016 -13.0652626728301 5.20048108152046e-39 6.73462300056899e-36 5.53123167830516e-36
"DHFR" 9750.9412059006 -0.732586139180767 0.0586401697278337 -12.4929061866791 8.16168613075438e-36 9.90879706811899e-33 8.13822128312846e-33
"ZNF286B" 432.308025296335 -1.05444573887203 0.0861832798629504 -12.23492237182 2.02298160639422e-34 2.31155398260046e-31 1.89850873814196e-31
"IGF2BP2" 6102.34486738374 0.67278596710634 0.0551157685229207 12.2067782984202 2.85990977053037e-34 3.08631929403069e-31 2.53483335994675e-31
"SCGB3A2" 1786.22593675772 -1.55906850619691 0.128448957372345 -12.1376501459448 6.6714534927442e-34 6.82068337350295e-31 5.60191415911795e-31
"MEX3C" 7107.60050875782 0.634505731900065 0.0527632818186601 12.0255167993676 2.60950207681245e-33 2.53447889210409e-30 2.08159980667329e-30
"LOC100379224" 722.265270317173 -1.2994307139675 0.108375032723682 -11.9901298418113 4.00277242813181e-33 3.70256449602192e-30 3.04096339611499e-30
"TUFT1" 788.250803086352 1.21984855498541 0.102042405025469 11.9543297189139 6.16288154754489e-33 5.4415442755027e-30 4.46920964588778e-30
"TMEM8B" 307.818831934139 0.837117772128988 0.0704397040961351 11.8841750241668 1.43040358412889e-32 1.20806911398711e-29 9.92202555704014e-30
"CTTNBP2NL" 1935.70973546371 0.528474746443915 0.0445716837779191 11.8567373195294 1.98562639695185e-32 1.6071163650329e-29 1.31994514737374e-29
"CAB39L" 536.470874966246 1.06494680979012 0.0900615050285438 11.8246614849774 2.9107371354453e-32 2.261642754241e-29 1.85751601035577e-29
"TMSB4Y" 578.908934005229 -1.58770991017767 0.134395841809537 -11.8136832866284 3.31704915729962e-32 2.47821845694405e-29 2.03539239444454e-29
"NOMO3" 665.044583298588 -0.682723615153802 0.0578498819907887 -11.8016423138514 3.82767265004031e-32 2.75379782322344e-29 2.26172923921271e-29
"DPYSL5" 439.86651660109 -1.35074400042005 0.114485391042154 -11.7983961807205 3.97821277833233e-32 2.75988511496805e-29 2.26672880948264e-29
"RAB11FIP1" 3207.48366306531 0.745758395019801 0.0639117868052343 11.6685580594458 1.84524251128036e-31 1.23599433729727e-28 1.01513789741265e-28
"PPP1R15B" 4329.82153759189 0.602784505397399 0.051672649771016 11.6654459964527 1.91397477653646e-31 1.23929866780736e-28 1.01785178616209e-28
"MKRN2" 1263.8579393025 0.473400208760549 0.0408551709374199 11.5872776419338 4.78087266135582e-31 2.99575649828506e-28 2.46045298191196e-28
"FGFBP3" 5935.99249232612 -1.41902452027023 0.12252177169451 -11.5818152206316 5.0955495216189e-31 3.09315779554522e-28 2.54044990837212e-28
"ST8SIA3" 937.353154456942 -1.69474589904972 0.146384501582694 -11.5773588100264 5.36743544443671e-31 3.15946768206616e-28 2.59491106304677e-28
"GNG4" 947.015369818308 -1.27358348023197 0.110127978036483 -11.5645769852423 6.22975519402033e-31 3.55920572481897e-28 2.92322101074707e-28
"MINOS1" 1493.65834329027 -1.16651084895511 0.101164461668098 -11.5308363205867 9.22432413108118e-31 5.11949989275006e-28 4.20471049106483e-28
"STK32A" 90.1807519951317 1.47196916101867 0.127777511068764 11.5197826965539 1.04875150774527e-30 5.65888834387553e-28 4.64771709849112e-28
"MAPK8IP2" 135.083672949042 -1.93218681719158 0.168862521984435 -11.4423662188919 2.56785036915888e-30 1.34812144380841e-27 1.10722931863678e-27
"HTR1A" 221.398843886503 -2.91130912935452 0.254954237108122 -11.418947817368 3.36280466039202e-30 1.71901264547671e-27 1.41184698820774e-27
"FAM21A" 1917.07561340071 -0.883604269964748 0.077402671264645 -11.4156818560389 3.49154970374877e-30 1.73906033321333e-27 1.42831240957969e-27
"SSTR1" 75.3811715490132 2.18244358583536 0.191291647358713 11.4089852639661 3.77102754879317e-30 1.83130525338268e-27 1.50407433783616e-27
"UGGT1" 6494.0504686723 -0.795166632986487 0.0697863560848974 -11.3942993673311 4.46406515453877e-30 2.11498696651014e-27 1.73706574330516e-27
"CCZ1" 786.582074506938 -1.01926991000308 0.0894832804582135 -11.3906185019564 4.65672414417087e-30 2.15373491667903e-27 1.76888992847862e-27
"AURKC" 318.314521778038 1.63983250697582 0.144659661179814 11.3357966803025 8.72346472650753e-30 3.9407744723816e-27 3.236608284807e-27
"FAM53C" 5934.32984922849 0.586394673292478 0.0518946311259455 11.2997175347355 1.31640732833693e-29 5.81163917112385e-27 4.77317329915622e-27
"ALPPL2" 45.5985137596831 2.33725176631532 0.206906346478418 11.2961820944391 1.37047547026343e-29 5.91588577997048e-27 4.85879236724061e-27
"PPP1R17" 524.113441529126 -1.6576400575838 0.14767753620885 -11.2247272004831 3.08336533316747e-29 1.3020515564517e-26 1.06939153315987e-26
"NPIPB5" 528.638414522936 -1.4850288550419 0.132461152010639 -11.211051938629 3.59890499100866e-29 1.48741977553922e-26 1.2216368133309e-26
"GLIDR" 442.579246522639 -1.11664638116687 0.100121323316795 -11.1529327037925 6.92844954608129e-29 2.80385692567977e-26 2.30284341787877e-26
"LRRC37A2" 264.554151671214 -1.31453604641229 0.118021011468867 -11.1381526903712 8.17984238201713e-29 3.24272323001393e-26 2.66328990536125e-26
"BBS9" 3220.76472669549 1.99229670304726 0.179286648919276 11.1123539597435 1.0924120004192e-28 4.24402062162858e-26 3.48566821093758e-26
"TOB2" 5087.23964186695 0.770209933692658 0.0693824320042021 11.1009359494059 1.24137034634272e-28 4.72816058386419e-26 3.88329853050034e-26
"LINC00476" 296.584634196891 -1.2077845234595 0.108899813106697 -11.090786007834 1.39060469988249e-28 5.19471082600333e-26 4.26648218883178e-26
"CYBRD1" 532.992980222897 -0.846635233394823 0.0766854520137469 -11.0403630827273 2.44045015226073e-28 8.94448003918201e-26 7.34621542059768e-26
"LAMP1" 8187.46333221268 -0.451079910189054 0.041140036536808 -10.9644995036762 5.66129144137815e-28 2.03649233794019e-25 1.67259710473606e-25
"ZNF613" 1211.31100631328 0.641607814732842 0.0587951389941689 10.9125996759099 1.00345021713445e-27 3.54400372142486e-25 2.910735411666e-25
"CHN1" 2125.29690493401 -0.567491534681468 0.052057521319048 -10.9012400187756 1.13697115077052e-27 3.94386867923524e-25 3.23914959632016e-25
"ATXN1L" 3514.79859979787 0.582126446792164 0.0538672927206133 10.8066772505425 3.20053683350667e-27 1.07190393087702e-24 8.80368355892507e-25
"OBFC1" 516.096803083016 0.882924447359467 0.0816905434540503 10.8081597946046 3.14924001282896e-27 1.07190393087702e-24 8.80368355892507e-25
"SLC8A1" 116.703503009797 -1.55262828524587 0.144187232692038 -10.7681398432969 4.86735585152527e-27 1.60251504094709e-24 1.31616602127516e-24
"VAT1L" 5482.39199640612 -0.814285145094308 0.0756559671121138 -10.7629996175665 5.14671097921842e-27 1.66624767952196e-24 1.36851044937418e-24
"SYN3" 693.815306003546 1.77359887813636 0.16498711290041 10.7499237180236 5.9310647579004e-27 1.88870381839697e-24 1.55121651061546e-24
"BIK" 122.666145835219 1.94883715345798 0.181755417676682 10.7223057137405 7.99841534316764e-27 2.50595512969406e-24 2.05817287717575e-24
"STX3" 3929.9553213426 0.54347274451428 0.0514694766716378 10.5591270721771 4.60928122730671e-26 1.42119504508624e-23 1.16724559841986e-23
"SFXN2" 1241.56627109554 -0.491488882374897 0.0466884610473867 -10.5269882825236 6.48770500844857e-26 1.9691198404549e-23 1.61726321413732e-23
"TUBB2B" 15354.2175874702 -0.936437118322936 0.0889922623596831 -10.5226802139056 6.79137078052784e-26 2.0295750371039e-23 1.66691583742371e-23
"BBS2" 356.249924333646 0.989851968460187 0.0941505236799381 10.5135046494819 7.4858868645915e-26 2.20323261128318e-23 1.80954301572262e-23
"RTP1" 378.473624139031 -2.22724085450285 0.211966539123319 -10.507511533257 7.97706469117742e-26 2.31275345710629e-23 1.89949388183649e-23
"FAM111B" 2570.76944143583 -0.946132033397651 0.0901004276734901 -10.5008606266142 8.55961360828016e-26 2.44515432854179e-23 2.00823640450738e-23
"HNRNPD" 28239.5735408009 -0.660099990678701 0.0628889021918116 -10.4962873841459 8.98445276125539e-26 2.52931876648386e-23 2.07736172975462e-23
"PELI1" 3284.74989365293 0.530904576637224 0.0506407867627914 10.4837347635229 1.02609819954687e-25 2.84742250374257e-23 2.33862438222439e-23
"RRM1" 7419.59871814361 -0.814447301040943 0.077873483257237 -10.4585960069438 1.33823873634611e-25 3.66130809204553e-23 3.00707898586843e-23
"ADPGK" 2213.57102564352 -0.598539769570295 0.0574788475452295 -10.4132179946599 2.15801094421744e-25 5.82213369325331e-23 4.78179258389514e-23
"STS" 153.026246044665 -1.7508957630699 0.168903196763152 -10.3662677594263 3.53045454386857e-25 9.39439445406124e-23 7.71573586203824e-23
"LRRC37A" 61.3934824798645 -1.90521284050134 0.183839451065643 -10.3634602336854 3.63566594487538e-25 9.54362310529787e-23 7.83829925466781e-23
"FLRT2" 352.478016899977 -1.24942538554243 0.120684655641528 -10.3528106278367 4.06377428177779e-25 1.05251753898045e-22 8.64446065219772e-23
"FLVCR1-AS1" 431.144393444699 1.00923044749608 0.0976045832113648 10.3399903394964 4.6458436152943e-25 1.18744095035647e-22 9.7526038208428e-23
"ZC3H6" 40.1522631189601 2.89993727597743 0.280501791650564 10.3383912769799 4.72400935970412e-25 1.19173872483445e-22 9.78790199022332e-23
"SLC13A4" 111.031177318321 1.08756879843926 0.105401593285843 10.3183335710101 5.82249187570087e-25 1.45002441904474e-22 1.19092353057605e-22
"CXorf57" 353.999372097499 -1.45749094480694 0.141677232707069 -10.2874041012675 8.03123693730269e-25 1.97476933553297e-22 1.62190321642693e-22
"ASXL2" 2826.40126198231 -0.646981991518303 0.0629167549958259 -10.2831430445074 8.39445602714416e-25 2.03827885409094e-22 1.67406439321322e-22
"KIAA0753" 1757.34742622471 -0.736834609602028 0.0718504360549187 -10.2551167405418 1.12240294254525e-24 2.69168853814092e-22 2.21071809202061e-22
"NPR1" 1200.0886656701 -1.07531447924525 0.104955085892868 -10.2454728143701 1.24017027580927e-24 2.93784239117014e-22 2.41288738783672e-22
"PTPRN2" 147.240062244367 1.09552599876696 0.107306981957651 10.2092704387056 1.80214737323113e-24 4.21767623192948e-22 3.4640312280156e-22
"PIP5K1A" 5925.39526899991 0.438035308523685 0.0429423598209056 10.2005411521524 1.97170804772584e-24 4.55957486036601e-22 3.74483692778786e-22
"TRPC6" 51.5022131797001 2.49365326704123 0.244616670414023 10.1941264379923 2.10629542305453e-24 4.81350454033345e-22 3.95339260934258e-22
"LIPG" 1191.03213735543 -2.03496155769351 0.199864527550876 -10.1817044906856 2.39331940770004e-24 5.40584063890386e-22 4.43988579423796e-22
"INSIG1" 4112.35366169551 -1.60992523003756 0.158333540843782 -10.1679354952718 2.75689929702989e-24 6.15549067181673e-22 5.05558291779481e-22
"STON2" 2016.94463472256 -1.08986153189631 0.107237220023118 -10.1630901254375 2.89744731764473e-24 6.39578569832373e-22 5.25294028473909e-22
"IKBKE" 396.879740376485 -1.21347631661725 0.119744748986587 -10.1338582851192 3.90913339844035e-24 8.53201306344987e-22 7.00745103805813e-22
"RPL13P5" 80.1213007593591 1.20926790808188 0.119390197666957 10.1287034590158 4.12077001731037e-24 8.89399528736155e-22 7.30475165068552e-22
"ACRBP" 59.4715279394737 2.08826460030766 0.206298704400699 10.1225289144404 4.38925519322793e-24 9.3693716624673e-22 7.69518432447895e-22
