"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"CTAG2" 3869.52915977571 -6.93055564755357 0.275593202771489 -25.1477742479016 1.49468774626547e-139 2.704786945642e-135 2.38462483039193e-135
"SPP1" 3567.43640712204 1.57704792946307 0.101738820094541 15.5009457353407 3.41823351702943e-54 3.09281768620823e-50 2.72672487653438e-50
"NEK9" 1916.66851542332 -1.46316843335433 0.108945934729455 -13.4302251569809 4.02186808254188e-41 2.42599082738926e-37 2.13882944629577e-37
"LPIN2" 1582.92263362488 -0.89895374222098 0.0673133305333585 -13.354765469159 1.11107526948628e-40 5.02650451915592e-37 4.43152371234603e-37
"ZNF585B" 576.05982545115 1.03879908608462 0.0799777473411414 12.9886014625251 1.41998153375988e-38 5.13919716698375e-35 4.53087707792103e-35
"MYH14" 1507.86444614641 -1.2340721202219 0.100567022284381 -12.2711410976475 1.29416473319519e-34 3.90320083531669e-31 3.44118402556601e-31
"ZNF649" 4708.65003112731 -1.47423725589101 0.122205229833793 -12.0636183729294 1.64398183189621e-33 4.24992788999912e-30 3.74686944943888e-30
"WHSC1" 7010.44829578881 -0.749473061793038 0.0628111179287132 -11.9321719865525 8.04467123818142e-33 1.81970463407664e-29 1.60430856167433e-29
"GALNT3" 1604.28792940052 1.23094280672826 0.104236480069751 11.8091363590229 3.5013928093098e-32 7.04013380858557e-29 6.20680231996984e-29
"AK2" 4618.33991112117 -0.81703577256753 0.0695083396237132 -11.7544999203059 6.69559769942738e-32 1.21163535968838e-28 1.06821565696664e-28
"USP3" 515.451424037019 -2.32654080344873 0.208682612751344 -11.1487045939037 7.26563901816708e-29 1.19526366975229e-25 1.05378186268943e-25
"FEZF1-AS1" 542.356167545918 -2.01513993264435 0.182683172963848 -11.0307911777027 2.7146626254621e-28 4.09371123919684e-25 3.60914396055186e-25
"MMP17" 599.939409941968 -1.8232344002341 0.168754438794606 -10.8040678115329 3.29284535783833e-27 4.58364073811096e-24 4.0410811414579e-24
"FBN2" 2638.87764156904 -1.6101361682534 0.149398946185359 -10.7774265439309 4.40024152980334e-27 5.68762648023723e-24 5.01438952617732e-24
"TMEM106C" 1623.5106032519 1.74849578524392 0.163040132018301 10.7243275848652 7.8254157962476e-27 9.44058161659311e-24 8.32311224088895e-24
"GOLGA2P7" 982.463939888706 -1.14747821065926 0.107215309392144 -10.7025593375132 9.90052383034194e-27 1.11974924521167e-23 9.87205982432971e-24
"ING1" 1413.95995102024 0.633856157374222 0.0597300156128601 10.6120206209648 2.62020364658776e-26 2.78912971697953e-23 2.45898405750948e-23
"VAT1L" 5482.39199640612 -1.03459701913473 0.0980489059468587 -10.5518466437093 4.98083857725229e-26 5.0074030496643e-23 4.41468325897128e-23
"ZNF521" 596.007111078538 -1.88429200695639 0.179445215133797 -10.5006533919082 8.57842700287209e-26 8.1702744759986e-23 7.20316970546428e-23
"CCZ1" 786.582074506938 -1.23232410613768 0.118019763419834 -10.441675787418 1.59961620066027e-25 1.44733273835741e-22 1.2760138432667e-22
"DSP" 6509.45675000278 -1.64213706684699 0.160909217876017 -10.2053635492299 1.8761720068834e-24 1.61672422078867e-21 1.42535467608656e-21
"ZNF174" 491.535959856373 0.828147355467172 0.0821366658790571 10.0825538339551 6.59883026842554e-24 5.42783784261039e-21 4.78535173193005e-21
"CSRP1" 344.063628188966 2.07663898575461 0.206231710309647 10.0694455893162 7.54019133877259e-24 5.83897792105198e-21 5.14782569365955e-21
"FEZ1" 3521.77177399807 -1.03177779330393 0.102492902060647 -10.0668219219064 7.74400254781429e-24 5.83897792105198e-21 5.14782569365955e-21
"CCZ1B" 592.123690017751 -0.947391752234752 0.0945997475537563 -10.0147386936355 1.31308440434858e-23 9.50463015243678e-21 8.3795794347909e-21
"COL4A6" 1811.27146204567 -0.878137444858879 0.0879873961001051 -9.98026403531483 1.85971242960155e-23 1.29435985100268e-20 1.14114815776397e-20
"MSI1" 2031.65990720846 -0.931348124560043 0.0935708243155035 -9.95340301181605 2.43704086935657e-23 1.63335894710653e-20 1.44002037147092e-20
"EPHB2" 673.777974945308 -0.877773833343621 0.0886674448769793 -9.89961800028725 4.17868072111111e-23 2.70062165461524e-20 2.38095257945024e-20
"CACNB3" 493.394392121473 -1.18238946085952 0.120636787011505 -9.80123468264085 1.11217761614605e-22 6.93998832475136e-20 6.11851092689451e-20
"TRIM61" 208.139360299803 -4.21693951493324 0.432987715753249 -9.73916663570287 2.05230462721741e-22 1.23795015113754e-19 1.09141560075422e-19
"SVIL" 1419.3065593599 -0.96493661614306 0.0995730109519106 -9.69074457946323 3.3011317394502e-22 1.9270090308739e-19 1.69891147648995e-19
"TMSB4Y" 578.908934005229 1.52289841204692 0.157524885032726 9.66766877328958 4.13694066919351e-22 2.33943994842893e-19 2.06252348238479e-19
"PPIEL" 149.444047510259 -2.81801204904466 0.292711269822963 -9.62727554271842 6.13340804069883e-22 3.36333793649958e-19 2.96522399640331e-19
"NOMO2" 819.739560886646 -0.777496134837008 0.081001995400691 -9.59848125951691 8.11310220022789e-22 4.31807933574482e-19 3.80695389713046e-19
"C17orf51" 681.586365161016 -9.70710554322036 1.02998462396082 -9.42451500478869 4.32097825283328e-21 2.23406921323631e-18 1.96962534416292e-18
"CHD7" 8835.78024545499 -1.15131352282374 0.122446434686616 -9.40258918743011 5.32365979533239e-21 2.67602632378708e-18 2.3592685659648e-18
"IGSF3" 3246.78322869947 -0.59398296245576 0.0632294456844277 -9.39408777075595 5.77157695435161e-21 2.82276909637694e-18 2.48864158728988e-18
"TXNIP" 2020.20428864566 -2.55076905137689 0.272202031995868 -9.37086704560535 7.19391048378954e-21 3.42581589775409e-18 3.0203065225889e-18
"DPYSL5" 439.86651660109 -1.40502623128074 0.150238844936236 -9.35195043516913 8.60460943692988e-21 3.99253877873546e-18 3.51994715273793e-18
"LEPREL1" 841.446435218773 -2.40449641261913 0.258687246282358 -9.29499404077546 1.47214447143189e-20 6.61145365008974e-18 5.82886447466466e-18
"SYTL2" 277.181380533434 0.97976028476561 0.10542827878177 9.29314502794505 1.49795313690141e-20 6.61145365008974e-18 5.82886447466466e-18
"KIAA0907" 2464.62668265761 1.26858156630273 0.136861925331956 9.26906123252182 1.87791420528254e-20 8.09112749018878e-18 7.13339124549468e-18
"SERPINB4" 86.4546907296558 2.63537735100997 0.285104422183064 9.24355129545414 2.38448834181119e-20 1.00348141938175e-17 8.84700628029203e-18
"GABRG2" 116.445684721444 1.15633569800744 0.125334758217916 9.22597780894067 2.80985346623187e-20 1.15561609829391e-17 1.01882732273326e-17
"KLHL14" 278.370416395659 -1.573588173953 0.170937787747473 -9.20561915939657 3.39707052963519e-20 1.36607529565063e-17 1.20437473844e-17
"BOC" 308.006681281505 -1.56743889003382 0.170804716921916 -9.17678924962229 4.44136390271611e-20 1.71001959965001e-17 1.50760680221134e-17
"RAB3A" 189.985833037204 1.06799568138425 0.11636565196754 9.17792891051871 4.39461990166556e-20 1.71001959965001e-17 1.50760680221134e-17
"PHC2" 340.737080818908 -2.07914026596821 0.227643106691605 -9.1333328567901 6.64222576576284e-20 2.50411911369259e-17 2.20770978889542e-17
"NPIPA5" 173.827201273877 -1.90713827716556 0.208891879454195 -9.12978657738467 6.8634465536078e-20 2.53471283334871e-17 2.23468216971957e-17
"APOBEC3B" 540.1090514051 -2.90511242097087 0.320632472281503 -9.06056832079157 1.29772620115192e-19 4.69673066720904e-17 4.14078476263555e-17
"NTM" 495.619986478665 -1.01490230921833 0.112534388736245 -9.01859707610827 1.90513333779087e-19 6.75986134914972e-17 5.95970534727756e-17
"NBPF15" 214.296224700174 -1.08386824361186 0.121030703050519 -8.95531643040564 3.38762599798795e-19 1.17889384729981e-16 1.03934971484423e-16
"GAS1" 138.597401425725 -1.44870766702857 0.163523279463853 -8.85933594151536 8.0492467144789e-19 2.74828619896623e-16 2.42297513363767e-16
"HERC2P3" 128.420110673103 -1.60221113326903 0.18307460327145 -8.75168431141365 2.10191705356613e-18 7.04375759283939e-16 6.20999716159149e-16
"SLC16A10" 575.651703134115 1.68480181755614 0.192627273339632 8.74643443966304 2.20200114478327e-18 7.24498413018146e-16 6.38740477524951e-16
"TSPYL5" 1445.17751431597 -0.697603435241139 0.0799448515231094 -8.7260583008211 2.63702776077859e-18 8.52136684983026e-16 7.51270373133243e-16
"PIK3CD" 1016.17539982616 -1.30486834408057 0.150493247933276 -8.67061055562514 4.29809401585239e-18 1.36453174229587e-15 1.20301389348963e-15
"KNDC1" 951.531255661697 -1.3034847474718 0.150834003356584 -8.64184944021049 5.53102864275714e-18 1.72568093654023e-15 1.52141432700944e-15
"NRK" 407.461320018889 1.27914302649193 0.148466966496201 8.61567429226523 6.95311604649441e-18 2.132603186057e-15 1.8801697187419e-15
"DENND2A" 221.981610859738 -1.62121941189004 0.18824705594798 -8.61218999535404 7.16779209409599e-18 2.16180609557935e-15 1.90591591782012e-15
"ADIPOR1" 3971.41935874005 0.472245967688425 0.055022859517606 8.58272310506358 9.26531962020623e-18 2.74861022700413e-15 2.42326080689787e-15
"RASGRF2" 677.304825427939 1.22676885832134 0.14419240757626 8.5078602885005 1.77172497130878e-17 5.17115081948447e-15 4.5590484181065e-15
"SFRP1" 42828.1436054856 -0.841787095287749 0.099282386319316 -8.47871537435008 2.27693936588445e-17 6.54023726429286e-15 5.76607787989214e-15
"DCLRE1C" 438.791220108655 -1.16259481630644 0.137534694571579 -8.45310210582082 2.83663400469948e-17 8.02058264828779e-15 7.07119670483992e-15
"ZNF736" 335.559580570426 -8.67482415281773 1.03213970089859 -8.40469962086076 4.28958082870472e-17 1.19421930271139e-14 1.05286111601777e-14
"APOL2" 352.97158756134 -0.941774771484724 0.112374204091186 -8.38070248506966 5.2612736477508e-17 1.4425455746924e-14 1.27179332994267e-14
"SHISA9" 3895.80111549821 0.825031908691627 0.0988692718338136 8.34467467382989 7.14101875473275e-17 1.92871455799468e-14 1.70041512258218e-14
"GDPD2" 1514.95558324727 -0.859642239381475 0.103481049556601 -8.30724314321217 9.79511087486171e-17 2.60665185869849e-14 2.29810586614035e-14
"RHOH" 246.05705266437 -2.13357332515094 0.256922073745549 -8.30435973852519 1.00359145007814e-16 2.63202766385709e-14 2.32047797022415e-14
"VASH1" 241.545961506547 -1.22995402497468 0.148306991624735 -8.29329764902025 1.10151246878244e-16 2.84756709072671e-14 2.51050427527929e-14
"LEF1" 158.192686001519 -2.9213516631811 0.352633820917701 -8.2843774189853 1.187285316634e-16 3.0260725478604e-14 2.66788027346181e-14
