"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"ZNF572" 380.993219788891 -6.81232258141329 0.424528370309173 -16.046801716578 6.01866406832449e-58 1.19175567216893e-53 1.02323307825585e-53
"C17orf51" 3273.4784138394 -9.12479154160978 0.623503282909191 -14.6347129064575 1.68686214402901e-48 1.67007786569592e-44 1.43391716553186e-44
"PCDHA6" 1045.37179353305 4.41998316205694 0.32323445014038 13.6742329294955 1.44725382580374e-42 9.55235766824664e-39 8.20158743082979e-39
"ZNF736" 609.580190175252 -10.8756955637067 0.937114134298038 -11.6055186509948 3.86338086153876e-31 1.91247011098323e-27 1.64203345067551e-27
"ZNF558" 351.824587430711 -11.1586229352588 0.998064430668476 -11.1802631096522 5.09387408914685e-29 2.01727601678394e-25 1.73201906779171e-25
"AFF2" 11644.6777513442 -2.11522865040152 0.202914451889041 -10.4242385434339 1.9219258292813e-25 5.43657904937127e-22 5.44577683726856e-22
"PCDHGA6" 497.828299245447 2.17250090953724 0.252805648300134 8.59356159225535 8.43142641619732e-18 1.85500749407915e-14 2.04775257859672e-14
"ZNF502" 1340.00618679067 -0.910155662289835 0.120918414396829 -7.52702280153039 5.1910308082254e-14 1.02787601033671e-10 1.103158934633e-10
"LOC728024" 63.9995686315557 -7.29962280680066 0.972445750162337 -7.50645761532926 6.07487938557154e-14 1.09353351557911e-10 1.14754471593446e-10
"PPIEL" 782.084176078303 -3.32157013771038 0.46042134697486 -7.21419664734126 5.42533066222044e-13 8.26361326481746e-10 9.22360465884097e-10
"XCL1" 252.132611535762 3.64302249461722 0.512138901143374 7.11334852026278 1.13260785267011e-12 1.60191200648006e-09 1.75049691847678e-09
"EHHADH" 936.266232583583 -0.989823557857041 0.14589519874318 -6.78448342634927 1.16502608163902e-11 1.35698126132554e-08 1.65055070116208e-08
"AK2" 6386.17273762104 -0.885953901152788 0.131400904992954 -6.74237290222844 1.55820533585042e-11 1.71411243639857e-08 2.03777299344561e-08
"NEK9" 3568.76440813703 -0.838418738113083 0.133144834357473 -6.29704293192523 3.03377277502101e-10 3.00358673590955e-07 3.6840836391523e-07
"LINC00491" 481.914232191034 1.82112371398265 0.293422227958885 6.20649542010098 5.41791990225471e-10 4.8763741811157e-07 6.14067041721549e-07
"SLITRK2" 1142.97861774413 -6.11754182700911 1.09549524876785 -5.58427052412117 2.34683161703893e-08 2.02041794995599e-05 2.49365527007993e-05
"ZNF596" 758.922938339646 -0.778393423671913 0.140028855753017 -5.55880728644133 2.71624404291122e-08 2.24101451223687e-05 2.71640382197257e-05
"PCTP" 733.983141881842 -0.97836172219954 0.177188484226052 -5.52158751440851 3.35950414535238e-08 2.6608616632849e-05 3.17305166528532e-05
"ANKRD30B" 57.3277097874603 2.35173847932518 0.426782147969004 5.5103956210839 3.58028071255929e-08 2.72665916882256e-05 3.20359749443266e-05
"RPL23AP53" 4917.11733254301 -0.720421483960252 0.131559764987831 -5.47600160297404 4.35043747841458e-08 3.07653616107454e-05 3.52198988431077e-05
"TRIM61" 193.36713339248 -2.61722348513468 0.477930338982832 -5.47616100435235 4.34652243533128e-08 3.07653616107454e-05 3.52198988431077e-05
"WDR72" 1624.01711941813 2.29123630065829 0.419648426000448 5.45989489939335 4.76416527483854e-08 3.25293919334751e-05 3.681616992615e-05
"TXNRD2" 458.718879660427 -1.69189493605941 0.316956122504487 -5.33794685109913 9.40050045241121e-08 6.20464364860648e-05 6.94860470397578e-05
"XDH" 355.164310748014 1.19938395494538 0.225206751143558 5.32570160021906 1.00564108179373e-07 6.42345130987022e-05 7.12371001315633e-05
"SLC5A12" 857.850469320558 2.87692053919319 0.541968748247023 5.30827755013269 1.10666038365665e-07 6.84780695524543e-05 7.52573327301868e-05
"SP140L" 1805.64486233623 2.53742870537199 0.481969830330419 5.26470443934724 1.40415069268618e-07 8.42532965632698e-05 9.18152535629144e-05
"GYG2P1" 102.221169745612 1.90151252191616 0.364484061965645 5.21699772456823 1.81846492796758e-07 0.000105904188349076 0.000114502674964359
"COMT" 1040.61960104081 -1.72171169135197 0.332352090121727 -5.18038472609388 2.21428730605076e-07 0.000125271722706032 0.000134446780322032
"PCDHGA10" 2266.64612825061 1.02697758565161 0.201758441520853 5.09013440979351 3.57809797253543e-07 0.000196805327650484 0.000209762909072672
"YWHAEP1" 12.6340123822327 -6.16676827322651 1.23600499878458 -4.98927454119568 6.06064625592921e-07 0.000324342855442309 0.000343456823323508
"PCDHA5" 350.978981839658 2.0093430922533 0.417913636306145 4.80803428673322 1.52421628152736e-06 0.000773871963859569 0.000835909709749892
"TM9SF4" 21629.2693091276 0.385104436453295 0.0839654955006445 4.58646059499927 4.50823443332693e-06 0.00223168875035766 0.00239514042503097
"LOC339539" 22.3784065090828 2.1151374182184 0.467773200910621 4.52171568208874 6.13404150166851e-06 0.00296244282376922 0.00316014665363231
"MTIF2" 3463.01493818567 0.3137422908844 0.0706484573785632 4.44089372260799 8.9586033464963e-06 0.00422355487771365 0.00447956516158187
"PCDHB17" 596.643563325626 1.15506237382756 0.264721318939027 4.36331451677907 1.28106560352617e-05 0.00589915814312132 0.0062226846644424
"ZNF208" 586.320040285614 2.75110626869481 0.631510382048128 4.3563911962498 1.32224372620759e-05 0.00595039727787194 0.00624429599701534
"PCDHGB5" 1620.67702038996 0.718426398692751 0.165324711770155 4.34554756515501 1.38928661836308e-05 0.00611316985115719 0.00638358426994344
"MIR181A2HG" 245.338911847014 1.17517277307117 0.281772417987596 4.17064516628061 3.03738494593545e-05 0.0127964381520144 0.0135891003857496
"AGBL4" 1154.84190088488 1.44319167758043 0.351820193164916 4.10207175602321 4.09467237165659e-05 0.0167308497372791 0.0178496217924445
"C5orf63" 47.3322691034431 2.35108655447295 0.574159485075592 4.09483186394354 4.22474868372281e-05 0.0167308497372791 0.0179562380929929
"ALKBH3" 912.310212503159 -0.667504352927273 0.163251891065875 -4.08880012702533 4.33610263987226e-05 0.016835131053355 0.0179800197513337
"ENPEP" 125.196558679011 1.69042229126069 0.415587146549906 4.06755190889353 4.75096274612538e-05 0.0180911179492363 0.0192312184873518
"MAGEA2" 195.388390425607 1.2080234061457 0.30088943462633 4.01484155681944 5.94857422749774e-05 0.0222240977884307 0.0235190024282998
"SLCO1A2" 1280.21045739846 2.09001606936543 0.529244316961312 3.94905717904612 7.84596102140519e-05 0.0287699767008971 0.030315723482934
"MAP3K13" 7402.48596779689 -0.449395584382378 0.114120020105563 -3.93792065552285 8.21907613917452e-05 0.0295901684785081 0.0310516696538013
"ZNF662" 16.8290021299409 -4.17334734532623 1.09448314341169 -3.81307594406361 0.000137247916307896 0.0485293926930832 0.0507250396771856
"SOX15" 94.0243414739556 1.59762687404769 0.421894459500306 3.78679273470415 0.000152604288835454 0.0526575730746985 0.0552005428615224
"MGAT4B" 8592.43342485967 -0.635232654512808 0.170388314678657 -3.72814682574226 0.000192892991539648 0.0636579020912762 0.0683202864409491
"GSTO1" 1575.8753688634 -0.877616164731385 0.23710633451617 -3.70136110670436 0.000214446031605814 0.0696105880627332 0.0744040200679682
"LOC729506" 6.83139338862277 -3.98261477924245 1.09059720854546 -3.65177422795177 0.000260434799824728 0.0818550709734831 0.088553040636404
"PCDHGA5" 270.781216527183 1.25248922127948 0.347683250356485 3.60238584975054 0.000315309874329128 0.0975539190873605 0.105109473989598
"CAV2" 44.0674698444873 1.32878315265926 0.371620871135256 3.57564188631277 0.000349369628974803 0.103925861425294 0.112800210391628
"PCDHGA1" 1950.09552315289 0.953799026818445 0.266876116753049 3.57393924350688 0.000351650558835144 0.103925861425294 0.112800210391628
"PCDHGA2" 952.997244119302 1.19166100563515 0.335633825140753 3.55047947010528 0.000384530125607847 0.111971779664132 0.121062901212204
"A2M-AS1" 236.238160713259 1.59183165385053 0.451779259112309 3.52347218634667 0.000425931798714394 0.122230080381793 0.13165939108988
"ZNF582-AS1" 495.872327402256 -0.48013816312825 0.137244581221828 -3.49841253369563 0.000468036577135302 0.130529468505016 0.142090890140666
"ZNF560" 206.822212621429 1.00647831320773 0.289610789290202 3.47527906565386 0.000510322164310124 0.140345682993122 0.152210300270814
"LOC101928936" 193.016168435839 1.01250367721902 0.29205213130579 3.46685940175144 0.000526577247290004 0.142832274980676 0.154350685882368
"PCDHB13" 1153.63407755575 0.704956486330944 0.203983168334061 3.45595419508556 0.000548348494816106 0.146727683052077 0.158008012887604
"PINLYP" 80.9797239774973 -1.31081281230172 0.381896522611277 -3.43237692592442 0.000598315374064473 0.157963236291342 0.169532661241168
"PCDHB18" 1735.88432547651 0.932034910424461 0.272107785477574 3.42524161441634 0.000614252895192822 0.16003712602254 0.170726375881629
"LINC00648" 916.796587089513 1.90134111812273 0.556400906461331 3.41721427129786 0.000632654648582004 0.160605060212465 0.170726375881629
"ZNF550" 1562.54922860046 0.2568178683375 0.0750817785066235 3.42050859004151 0.000625041617382236 0.160605060212465 0.170726375881629
"SEC22B" 6518.0326872286 0.379406865114197 0.111341614810766 3.40759262167187 0.000655386613342484 0.164269751022716 0.174097309584931
"PCDHB3" 1624.00216848788 0.576297483422533 0.169553052380654 3.39892131301015 0.000676521769183878 0.167447594395125 0.176946870736848
"ZNF649" 1988.43473679363 -0.875473935022814 0.26206381316407 -3.34068990469397 0.000835705058763527 0.201802388641178 0.215270025818769
"PIEZO2" 1143.6943583444 -1.1329447773378 0.346237548850181 -3.27216034511621 0.00106729027058526 0.246819920663494 0.260205737137213
"PMPCB" 8119.77955563686 0.18239365215762 0.055711476291895 3.27389730622081 0.00106075153771995 0.246819920663494 0.260205737137213
"SLC10A4" 285.074650725319 -1.0954509511798 0.334906327806555 -3.27091744833361 0.00107199197904451 0.246819920663494 0.260205737137213
"ZNF577" 799.441517471289 -0.894478085324615 0.273226677879481 -3.27375822985764 0.00106127371803763 0.246819920663494 0.260205737137213
"NGB" 209.555407170915 -1.39801750487383 0.428117185788987 -3.26550194965286 0.00109270253266217 0.247958698736897 0.260205737137213
"PRKCQ" 337.383574325264 -0.731648300449773 0.224218368660935 -3.26310598377503 0.00110198300534553 0.247958698736897 0.260205737137213
"SLCO6A1" 48.0854672046765 1.83250673822109 0.563142027722222 3.2540756114992 0.00113761996199462 0.253101268173656 0.26494078046398
"RNF144A-AS1" 173.339933218409 -0.802958368909203 0.251857336884516 -3.18814761897282 0.00143187416214134 0.315028225384008 0.328963413926553
"CEBPZOS" 4384.64778001844 -0.614447751631771 0.193451182958788 -3.17624189334975 0.00149196488829224 0.321113008185595 0.338198600878085
"OR6K3" 425.932086117743 2.52035289615859 0.805095573185158 3.1305014958503 0.00174508110586124 0.371552161044714 0.39037005106246
"TMEM132C" 267.40557666188 1.78713962930699 0.571891775800377 3.1249612338031 0.00177828493531097 0.373613194236931 0.392631456950932
"TJP3" 56.0061920151656 -1.70170653979417 0.54686999428009 -3.11172044104253 0.00186000546807637 0.383645502847711 0.4054096533688
"TMEM255B" 85.5512240775639 -1.3196494336248 0.425774332547193 -3.09941049224363 0.00193906157808 0.395828436160434 0.417290960619469
"GSTO2" 160.899703996171 -1.01008638363074 0.326662973972754 -3.09213612839695 0.00198721696564458 0.401519215680901 0.4214799702356
"LOC441666" 3724.85692993671 0.767765481234748 0.248545796294299 3.08903024183781 0.00200810996935966 0.401642277811017 0.4214799702356
"SCGB2B2" 13.5294647106891 -1.78614469210308 0.579795225534556 -3.08064746558805 0.00206551044782514 0.408114171735157 0.428240769798478
"ABI3BP" 34.0109339796226 1.92651390195518 0.628653543096418 3.06450814301655 0.00218028238919894 0.423252662632629 0.446590131310496
"PCDHB14" 3088.0282334306 0.470708796182663 0.154118627782448 3.05419794450227 0.00225663131646614 0.433820938809185 0.456726059657629
"PCDHB8" 530.915848520472 1.10994087707863 0.366006208471392 3.03257390554725 0.00242477713293521 0.452952943483492 0.473076602011279
"POTEE" 85.9457529576145 1.64268584710827 0.541070791532855 3.03599061862966 0.00239746823728323 0.452952943483492 0.473076602011279
"ZNF248" 6065.22403711261 -0.90892468174599 0.29953546247906 -3.03444765512374 0.002409765688937 0.452952943483492 0.473076602011279
"TUSC1" 564.602091041538 1.28758945673014 0.425002167246848 3.02960680193965 0.00244872307375993 0.453151080219816 0.473076602011279
"PIK3AP1" 306.533570804915 -1.21256182006244 0.401911349841853 -3.01698825011925 0.00255299707528032 0.459562682614778 0.476961574470777
"RPAP1" 3279.4129949417 -0.538687974351972 0.178480771400956 -3.01818492896252 0.00254293674408095 0.459562682614778 0.476961574470777
"TG" 192.162708121948 -1.13632160787372 0.376603241413313 -3.0172910982108 0.00255044763432127 0.459562682614778 0.476961574470777
"EPAS1" 56.9948891818271 2.31920005020913 0.772091377237501 3.0037896013126 0.00266639648269241 0.471404613873147 0.487434479594125
"PEAR1" 40.4888961523271 2.67702654080507 0.891141929044715 3.00404060627557 0.00266419764608707 0.471404613873147 0.487434479594125
"CDK10" 2983.21740422295 -0.596209012837862 0.200002876509331 -2.98100218978623 0.00287306738373596 0.496186517542719 0.510339178600793
"HIST1H1B" 10.0828094299514 -4.21694713639122 1.41504568664451 -2.98007843576475 0.00288174584704877 0.496186517542719 0.510339178600793
"LOC101928283" 52.3601804741051 1.36012566531344 0.455646364681744 2.98504667378055 0.00283535057291317 0.496186517542719 0.510339178600793
