"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"ZNF283" 375.533091485499 -5.63970307699985 0.298234392082673 -18.9103041993778 9.38140485372884e-80 1.85761197508685e-75 1.59493263918244e-75
"NAP1L5" 4866.44409465705 -12.070530278772 0.720810924963468 -16.7457648888767 6.0803875805487e-63 6.01988772412224e-59 5.16863346284542e-59
"LOC102724316" 1006.80005328931 -6.644423534512 0.424806306083536 -15.6410661502878 3.82273855476629e-55 2.52313487076424e-51 2.16634593898606e-51
"CTSF" 448.086125570841 -8.45165924039472 0.628351203418119 -13.4505340236785 3.05656844897798e-41 1.51307779645532e-37 1.29911800502687e-37
"NKAPL" 314.550851148495 -5.76342673603739 0.534604006779294 -10.7807398802695 4.24457796537484e-27 1.68093776584774e-23 1.44324139978675e-23
"ZNF571-AS1" 1660.16799995118 -2.00624907053767 0.188189845492663 -10.6607721861161 1.55302595954895e-26 5.12524450417146e-23 4.40049905638195e-23
"CSRP1" 618.264411698986 -5.89714012546607 0.596389137053219 -9.88807434455306 4.68961636330854e-23 1.32655848014104e-19 1.13897382560869e-19
"ZNF578" 1897.79928091836 -1.30124468094715 0.140050424841776 -9.29125836224529 1.5247484793946e-20 3.77394308006157e-17 3.24028111227345e-17
"ZNF560" 206.822212621429 -2.50639048914205 0.322579754751696 -7.76983196317242 7.85903147345164e-15 1.72907424673129e-11 1.48457104533501e-11
"TBC1D15" 3998.69793661927 -0.939796947873764 0.125184864162031 -7.5072729771656 6.037175434147e-14 1.19542110771545e-10 1.02638019555933e-10
"C9orf64" 732.395363716572 -3.27737593202089 0.460314591592279 -7.11986105129555 1.08035921431539e-12 1.94474480024173e-09 1.66974427296145e-09
"NSMCE1" 1777.62425153886 -1.29749370020359 0.189080427079994 -6.86212592303198 6.784321767891e-12 1.11946962771675e-08 9.61168786465957e-09
"PCDHB18" 1735.88432547651 -1.93397458163715 0.288848424216134 -6.69546523193088 2.1498655875587e-11 3.27457603840383e-08 2.81152806569888e-08
"TG" 192.162708121948 -2.60271021400966 0.401370012109422 -6.48456570118671 8.89877405995375e-11 1.25860446543674e-07 1.08062898423767e-07
"PCDHGA3" 1729.32177498922 -2.80009359955008 0.439934312606927 -6.36479928777893 1.95545274372863e-10 2.58132798523804e-07 2.21631013974203e-07
"FAM66B" 172.483917662787 -3.559562866844 0.564002294822938 -6.31125599934213 2.76779913891434e-10 3.42532442185267e-07 2.94095957254267e-07
"DKFZp434J0226" 84.0150492452008 -2.34484657518746 0.375082094445815 -6.25155561918247 4.06384323435396e-10 4.47045332685793e-07 3.83829993484732e-07
"PCDHGB4" 4856.98585019665 -1.09901331329725 0.175638785908179 -6.25723588109858 3.91860504710062e-10 4.47045332685793e-07 3.83829993484732e-07
"C21orf119" 126.724344708826 -2.5716569080695 0.412236235919299 -6.23830872687508 4.42327036354666e-10 4.60974612992566e-07 3.95789576056088e-07
"PCDHGA7" 2712.53575822727 1.33165131453544 0.217830360219077 6.11324937991275 9.76226336260996e-10 9.66512884215199e-07 8.2984119713866e-07
"LINC00965" 70.3752492465686 -5.06578401126634 0.858419869594374 -5.90128932320737 3.6067177426149e-09 3.40079133435798e-06 2.91989563534266e-06
"HTR3B" 187.73875567316 -3.30849911478676 0.566984037342189 -5.83525971964886 5.37068421615776e-09 4.62369209409304e-06 3.96986966777818e-06
"LOC441666" 3724.85692993671 1.52935041027052 0.261829587740762 5.84101446848219 5.18838977853109e-09 4.62369209409304e-06 3.96986966777818e-06
"PHOX2B" 561.864404099027 -3.52445794936962 0.609780264618586 -5.77988195727217 7.47530560955776e-09 6.16743859895222e-06 5.29531961117048e-06
"ZNF257" 42.0826754758714 -7.32896388000472 1.31434705878898 -5.57612529430201 2.45934822177601e-08 1.94790216557547e-05 1.67245516473656e-05
"LOC644554" 430.269707557652 -1.19863812955451 0.227732944845118 -5.26334971152155 1.41454144679655e-07 0.00010772821226161 9.24946889884159e-05
"REC8" 4208.49684355808 -1.56481295644018 0.297754002687867 -5.2553884828227 1.47712336579523e-07 0.000108327850985598 9.3009534599573e-05
"CPNE8" 277.212156706012 -1.95120442755499 0.376708866562589 -5.17960844765729 2.22352117945075e-07 0.000157242653122515 0.000135007441328008
"ZNF585B" 1814.47268319076 -0.902665739864261 0.175031526514638 -5.15716087175171 2.50722383551526e-07 0.000171191514369095 0.000146983835957224
"GYG2P1" 102.221169745612 1.85914894482681 0.383064688636737 4.85335505980258 1.21390069960105e-06 0.000775369282348403 0.000665726638513466
"PIWIL2" 546.70351268767 -2.23443103827271 0.459897323004806 -4.85854325846851 1.18252574434837e-06 0.000775369282348403 0.000665726638513466
"LOC728024" 63.9995686315557 1.74289203564279 0.359661591565853 4.84592204592875 1.26024996349834e-06 0.000779819047725956 0.000669547175919853
"TMEM255B" 85.5512240775639 -2.18649562080273 0.453331746699612 -4.82316898545283 1.41295164734752e-06 0.0008478138051251 0.00072792699868349
"PCDHGA10" 2266.64612825061 1.01566025373307 0.21264645260195 4.77628590228247 1.78562473173868e-06 0.00103991633273993 0.000892864884243803
"WDR72" 1624.01711941813 -2.1296513967804 0.446549226968576 -4.76913018355816 1.85023068078935e-06 0.00104675479172314 0.000898736337259993
"ZNF506" 1537.04365931039 -0.982765359302701 0.211217178477019 -4.65286661998295 3.27352005577886e-06 0.00180052696179103 0.00154591984634157
"GADL1" 147.84894907019 -2.34794541584789 0.528778300297025 -4.44032104670143 8.9824772786402e-06 0.00480708196200958 0.00412732692470708
"PHOX2A" 50.9258577307222 -3.30124980733156 0.747952547098859 -4.41371557612361 1.01611437341826e-05 0.00529475808106709 0.00454604222696943
"IAH1" 326.883390915886 -2.92314125959222 0.665501093568551 -4.39239136921286 1.1211065051958e-05 0.00569205895112361 0.00488716197303431
