"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"ZFP3" 811.725496595269 -4.2757839695698 0.328379641288465 -13.0208558386655 9.31212993815655e-39 1.97026045231516e-34 1.583155210786e-34
"C17orf51" 3273.4784138394 -10.3341772697458 0.820371394940447 -12.5969497882066 2.19468772453251e-36 2.32176014378294e-32 1.86559430023886e-32
"PCDHA6" 1045.37179353305 4.46129966846681 0.365363992514471 12.2105619597698 2.72997025042989e-34 1.92535701861985e-30 1.54707414091862e-30
"ZNF558" 351.824587430711 -10.7306674087482 1.26467658058946 -8.48491035055509 2.15885106907221e-17 8.01176210307954e-14 7.72518957450356e-14
"ZNF726" 174.989648430948 -6.91408783826131 0.81543968309158 -8.47896905390709 2.271980934799e-17 8.01176210307954e-14 7.72518957450356e-14
"ZNF560" 206.822212621429 -2.88822742534034 0.357137743188174 -8.08715259148219 6.10757305983132e-16 1.84605758285587e-12 1.7305808265032e-12
"FAM103A1" 5402.27689284518 -1.07053184919195 0.138601041027329 -7.72383700192314 1.12879170040601e-14 2.65366386635448e-11 2.39882346232532e-11
"PHOX2B" 561.864404099027 -5.12119713914597 0.662968068681028 -7.72465127820495 1.12159967921027e-14 2.65366386635448e-11 2.39882346232532e-11
"ASTN2" 4492.09060967 -2.75357754604236 0.369495093548553 -7.45227093436503 9.17470661993768e-14 1.94118442664641e-10 1.73310208050623e-10
"TRIM61" 193.36713339248 -4.23395950646943 0.58614675478287 -7.22337788603443 5.07118379922942e-13 9.75419152946328e-10 8.62151957706994e-10
"ZNF578" 1897.79928091836 -1.07296364216762 0.151012553065095 -7.10512881472252 1.20210365796912e-12 2.11950909960921e-09 1.85790584446664e-09
"ZNF208" 586.320040285614 -6.00614398742864 0.856918325367261 -7.00900402013751 2.40020559136215e-12 3.90642691554156e-09 3.40049127156233e-09
"HTR3B" 187.73875567316 -4.33709597610402 0.620112655588736 -6.99404525454552 2.67071348461503e-12 4.03621113624892e-09 3.49267691938001e-09
"TMEM255B" 85.5512240775639 -3.48128863646452 0.505598728772671 -6.88547743170808 5.75940451158907e-12 8.12383204374677e-09 6.99397400725184e-09
"C21orf119" 126.724344708826 -3.16426629887671 0.46039619922308 -6.87292011579682 6.29007944270099e-12 8.31784380304173e-09 7.1291760403573e-09
"TG" 192.162708121948 -2.68740064312381 0.434668857441617 -6.18263902995345 6.30387493486538e-10 7.80606105004943e-07 6.69826111047789e-07
"ZNF582-AS1" 495.872327402256 -0.942805789593355 0.158528873799948 -5.94721811234908 2.72737886671444e-09 2.88529410309721e-06 2.72753930076542e-06
"ZNF502" 1340.00618679067 -0.816928542966889 0.13791490110905 -5.9234247814958 3.153049847777e-09 3.17677279425075e-06 2.97805558122538e-06
"PCDHGA3" 1729.32177498922 -2.71012722440641 0.475246147266848 -5.7025758967062 1.18010338214951e-08 1.08559249389215e-05 1.05594408420652e-05
"POTEE" 85.9457529576145 3.27052620175613 0.609545287080455 5.36551798705722 8.07172354327075e-08 7.11589694702177e-05 6.8613685979573e-05
"PCDHA13" 143.514326561034 -2.12361357539965 0.398014680303564 -5.33551569952139 9.52733847401209e-08 8.06317709732591e-05 7.7130610188895e-05
"AK2" 6386.17273762104 -0.776015363461883 0.149642564120603 -5.18579301298566 2.15097605266673e-07 0.000175039812778164 0.000166221563051759
"NEK9" 3568.76440813703 -0.770850217881861 0.15168415523149 -5.08194291424468 3.73593699619111e-07 0.000292759092464487 0.000276150716835848
"CPNE8" 277.212156706012 -2.05972364520957 0.407608855241369 -5.05318669779606 4.34498793719087e-07 0.000328325909911016 0.000307788083000758
"LOC728024" 63.9995686315557 -5.40633942640072 1.08771075178551 -4.97038336481098 6.68206484077183e-07 0.000467358531076645 0.000431169427187782
"TMEM233" 44.0038529407517 -3.95300095082022 0.795239842828895 -4.97082859525532 6.66673687004629e-07 0.000467358531076645 0.000431169427187782
"ZNF257" 42.0826754758714 -7.34183373653898 1.4785279861499 -4.96563731313412 6.84758222108706e-07 0.000467358531076645 0.000431169427187782
"LINC00682" 21.9962640147604 -4.60376530538447 0.938618339454682 -4.90483204074104 9.35073175803468e-07 0.000599523583443933 0.00054817858833913
"PHOX2A" 50.9258577307222 -4.04765512581996 0.824877948643337 -4.90697458027223 9.2492014975641e-07 0.000599523583443933 0.00054817858833913
"ENPEP" 125.196558679011 2.26927056518354 0.467744084656651 4.85152167525392 1.22517817091319e-06 0.000762421168828862 0.000694308469456505
"FAM188A" 6189.27239617344 -1.01799733685332 0.215520670330514 -4.72343249161279 2.31896960287978e-06 0.00132607456372244 0.00123202506932997
"GSTO2" 160.899703996171 -1.79403699320232 0.379679320886081 -4.72513748975178 2.29959716224543e-06 0.00132607456372244 0.00123202506932997
"PCDHGA10" 2266.64612825061 1.08225191041073 0.229563015437196 4.71440013257193 2.42423865763919e-06 0.00134979056627184 0.00124892367934921
"ZNF596" 758.922938339646 -0.72703948834252 0.159846089181945 -4.54837207505883 5.4062490307519e-06 0.00285963542481622 0.00270328352270038
"XCL1" 252.132611535762 2.62595226902315 0.580828247593764 4.52104779666254 6.15342911767953e-06 0.00317546959199667 0.00298898424084771
"SPINT1" 126.248417386573 -2.07364886261447 0.459359473658948 -4.51421812659522 6.35507830772814e-06 0.00320144635321219 0.00300118573082461
"NSMCE1" 1777.62425153886 -0.910857733480042 0.20390602669553 -4.46704665007339 7.93068407706846e-06 0.00381357758415033 0.00364404216200651
"WDR72" 1624.01711941813 -2.1053887425504 0.482656153622371 -4.36208826252251 1.28826874853649e-05 0.00605715337367447 0.00576364657733391
"SYNDIG1L" 224.157847893569 -3.11387906447802 0.716985555841057 -4.34301505673333 1.40540498032724e-05 0.00646425186386167 0.00612648463347267
"NGB" 209.555407170915 -2.12022729375295 0.490496577724858 -4.32261383675195 1.54191479295291e-05 0.00694124110410589 0.00655352334874811
"GAS6-AS1" 16.3894111510624 -3.59603487981162 0.850845969098315 -4.22642289017662 2.37435583753717e-05 0.0104659626688774 0.00984546916926084
"SV2C" 781.237541152475 -1.46630508102796 0.347818557004733 -4.21571837240418 2.48984326159477e-05 0.0107510415773106 0.0100785298310411
"SLC5A12" 857.850469320558 2.57707551203171 0.616453851957764 4.18048407654085 2.90889181997952e-05 0.0123092666254253 0.0115009464724353
"RPL23AP53" 4917.11733254301 -0.617809084289459 0.149822900155734 -4.12359581644243 3.73003190985809e-05 0.0154745127742701 0.0144123346589767
"A2M-AS1" 236.238160713259 -2.14627706272259 0.52688005183478 -4.07355916256178 4.6300082969243e-05 0.0188342513737808 0.0174367786705196
"MTIF2" 3463.01493818567 0.327166263517579 0.0804010503242084 4.06917897463176 4.71790964557322e-05 0.0188342513737808 0.0174367786705196
"PRKCQ" 337.383574325264 -1.0360597120359 0.25695436153494 -4.03207676976915 5.52861197757294e-05 0.0216619207817571 0.0199982834533442
"PIEZO2" 1143.6943583444 -1.58050640014945 0.394704227618015 -4.00428039417664 6.22065471733311e-05 0.0239302931835153 0.0220327814269542
"GSTO1" 1575.8753688634 -1.07646140447019 0.270307387993336 -3.98236027679987 6.82342399004883e-05 0.025780357996688 0.0236744961744531
"HTR3A" 265.055869173803 -3.50850713785169 0.893090336378884 -3.92850196104154 8.54766538866905e-05 0.0317173045748961 0.0289837079327644
"XDH" 355.164310748014 1.0047336428821 0.256022202556565 3.9244004342167 8.69460093271563e-05 0.0317173045748961 0.0289837079327644
"CRHR2" 629.822217885844 -1.38364074228286 0.358081881137022 -3.86403449928649 0.000111529459220121 0.0399955982742256 0.0364636987731015
"ENTPD3" 41.1399835961628 -3.00086514865151 0.795909857718618 -3.77035806197091 0.000163013494985084 0.0574839921149069 0.0522904231743663
"UBE2T" 1206.19554654317 0.951013341800018 0.254364413560571 3.73878298653423 0.000184913262926652 0.064137619950854 0.0582168589447409
"SP140L" 1805.64486233623 2.01566308434937 0.548590846015953 3.67425577547963 0.000238543685339716 0.081404956361576 0.0737360217174639
"ARHGAP18" 367.52089468327 -1.75172455341556 0.481912483776403 -3.63494329860175 0.000278041781025102 0.089133454589835 0.0801184460882671
"GRK1" 14.0595611723467 -2.62691068523157 0.722652996131652 -3.6350927752232 0.000277880616477843 0.089133454589835 0.0801184460882671
"ZNF506" 1537.04365931039 -0.830248765921364 0.228072436836878 -3.64028541737016 0.000272335989533209 0.089133454589835 0.0801184460882671
"ZNF550" 1562.54922860046 0.310499219101797 0.0853648930945572 3.63731749488473 0.000275492264766322 0.089133454589835 0.0801184460882671
"TMEM54" 278.475743850519 -1.84527837416419 0.509226625705297 -3.62368792403268 0.000290432008129447 0.0917158272836244 0.0822939095034788
"KHDRBS2" 1637.45730454827 0.669634496583814 0.185601841780416 3.60790868323416 0.000308675085717428 0.0960433450530785 0.0860292644636392
"PKP1" 28.1284301470597 -2.75738806432128 0.767081156683827 -3.59464971899683 0.00032482830758536 0.0996045990129136 0.0890710654396565
"MIR4482" 59.2697314482032 -1.66309461715092 0.464279710304423 -3.58209626705515 0.000340848135856722 0.103023783692236 0.0919803040904783
"IFNLR1" 140.758603531975 -1.37771151053444 0.388807912743039 -3.5434245687406 0.000394966280748001 0.117699951662904 0.104919089671824
"CHL1-AS1" 31.6124383036265 -3.02682197317432 0.856783557264837 -3.53277318117195 0.000411225120099181 0.120843070709145 0.107557511797018
"LINC00669" 45.2315351039615 -4.00561220806513 1.13776051401792 -3.520611023773 0.00043055370538429 0.124789798609874 0.110906720382399
"MX2" 75.2479739019168 2.21966980648313 0.633089791431312 3.50609003102834 0.000454741375400527 0.130019162442221 0.115388927211707
"SCN4B" 403.899188809109 -0.90496314634349 0.260061617958331 -3.4798027999983 0.00050178297776728 0.141556323248001 0.125453123603258
"ANKRD30B" 57.3277097874603 1.6634523979189 0.483605431737826 3.43968923579148 0.0005823824837415 0.160026605077956 0.143493979798395
"RGS14" 399.011444545927 -1.04419905451729 0.305878212455119 -3.41377388777078 0.000640697247168838 0.171977531178929 0.155607055701677
"PRR5" 929.223707706459 -0.791993930171158 0.232304969993058 -3.40928534673548 0.000651333129443131 0.172261329409472 0.15596217653046
"TRIB2" 26831.8771723271 -0.359690898379333 0.106630115606279 -3.37325807380212 0.000742842927442135 0.194037909368157 0.175403786242274
"GYG2P1" 102.221169745612 1.39256806572997 0.414091310397937 3.36294925964934 0.000771145362535917 0.196577031090782 0.177165436600988
"IRF5" 78.0784994806586 -1.27773850848258 0.379913268324799 -3.3632373886721 0.000770340900332415 0.196577031090782 0.177165436600988
"RGS9" 598.240824358334 -1.07948365442158 0.322233936772785 -3.3499998952089 0.000808115909452114 0.203549004906998 0.183183714354605
"FUT1" 487.61570345068 -1.701871567471 0.508626159242561 -3.34601659105659 0.000819814902122991 0.204066396460215 0.183390436197276
"DGKK" 506.744735028746 -0.973116146336393 0.291855061210091 -3.33424454693934 0.000855314239818695 0.210427194024232 0.188846719365684
"FAM66B" 172.483917662787 1.81320038846826 0.546029317281608 3.32070152843666 0.000897915066727321 0.21836881588295 0.195710949351682
"STYK1" 135.292985014922 -1.99943730117452 0.604021669604672 -3.31020789781125 0.000932266998686633 0.224146649525134 0.20041659648945
"ZNF469" 180.899088907793 -1.43481679118774 0.433875457740371 -3.30697845566163 0.000943081449276864 0.224199070829212 0.20041659648945
"T" 13.3755241532086 -5.55705104735318 1.70344410266524 -3.2622444368198 0.00110533787775666 0.259852653528617 0.231998139009148
"LRRC3B" 561.851350480466 -1.0326242522394 0.317714309493513 -3.25016601828722 0.00115337654834113 0.268166384723095 0.239128715833507
"SLC10A4" 285.074650725319 -1.24018270323333 0.38231613204941 -3.24386704946326 0.0011791877213012 0.271187541383596 0.241534583733033
"PNPLA6" 3321.43992450874 -0.53404197828543 0.165354179238443 -3.22968539860934 0.00123926502405598 0.281939455687919 0.250818388975901
"PCDHGB7" 1687.5903966156 -0.773290621854012 0.239982142168508 -3.2222840202461 0.00127173003662784 0.286247490584806 0.254360968855411
"CPNE9" 225.554940799895 -1.61229374091816 0.502661665724674 -3.20751282792523 0.0013388808929828 0.296204081787957 0.262586203981445
"LINC00965" 70.3752492465686 1.66003579747297 0.517722069749131 3.20642270142619 0.00134396407276888 0.296204081787957 0.262586203981445
"PROX2" 31.2169296556463 -2.71106816809555 0.846367714633427 -3.20318003773307 0.00135918980944457 0.296471525651837 0.262586203981445
"NBL1" 218.533364248248 -1.07570652322883 0.337602630310413 -3.18630966304901 0.00144100270473444 0.311109543130318 0.27526389868753
