"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"C3orf14" 4531.08444187437 -9.64153041593589 0.351650051938887 -27.4179695489181 1.67480616156537e-165 3.24141984509361e-161 2.84733795527729e-161
"ZNF77" 727.923829142507 -4.30932508967019 0.166182740792536 -25.9312433356119 2.95997771877885e-148 2.86437043846229e-144 2.51612905984796e-144
"ZNF681" 2425.77759697381 -5.27133036583536 0.290356585562253 -18.1546781714209 1.17917026910643e-73 7.60722046276196e-70 6.68235791502614e-70
"PCDHA2" 1676.74504804608 -4.41594443076829 0.245718879355698 -17.9715308906967 3.25604275326965e-72 1.57543628616952e-68 1.38389957120843e-68
"ZNF283" 375.533091485499 -4.3814443814492 0.244720869784428 -17.9038444302228 1.10055698322708e-71 4.2600359706754e-68 3.74211385436872e-68
"PCDHA6" 1045.37179353305 5.86568532004909 0.339343660240484 17.2853835427255 6.06168106164129e-67 1.95529625445009e-63 1.71757732881606e-63
"PTPRG-AS1" 512.986267406045 -5.20178501958253 0.352165950944103 -14.770834618274 2.25898113770157e-49 6.24576013415375e-46 5.48641976029491e-46
"ZNF57" 322.077150616909 -7.44795826241459 0.541809645440808 -13.7464482684782 5.34918078789263e-43 1.29410056211093e-39 1.13676778218703e-39
"NAP1L5" 4866.44409465705 -14.659893820199 1.12422950468729 -13.0399475899512 7.25068724812634e-39 1.55922001111375e-35 1.36965482117107e-35
"PCDHA5" 350.978981839658 5.66242439999463 0.437381240868442 12.946198581246 2.46879744899874e-38 4.77811058279215e-35 4.19720254304276e-35
"ZNF558" 351.824587430711 -8.36166115275732 0.671854740924232 -12.4456383849501 1.47698708876647e-35 2.59869164690784e-32 2.28275068146534e-32
"DRG2" 1742.92652466701 -2.24790260350467 0.181173029453128 -12.4074902886482 2.3799640654657e-35 3.8384853769186e-32 3.37181408974853e-32
"MAP1LC3A" 3806.19873203473 -4.33256862678843 0.351887170700141 -12.3123801818862 7.76974715106546e-35 1.15673604893632e-31 1.01610362550203e-31
"ALG10B" 2546.51532171243 -2.27550240767382 0.18535882627432 -12.2762020747057 1.21572630493268e-34 1.68065477897623e-31 1.47632592215432e-31
"C2CD4C" 4600.35418050723 -3.40625965355025 0.291733015580264 -11.6759484584736 1.6916830372884e-31 2.18272223357865e-28 1.91735355446267e-28
"LINC00491" 481.914232191034 3.2812748661273 0.307827049989546 10.6594753977558 1.57483228407682e-26 1.69329466811238e-23 1.67335772884938e-23
"ZNF555" 2429.89327228966 -1.55858551886097 0.146738242349608 -10.6215359670698 2.36635005561412e-26 2.41043889349241e-23 2.36648925267621e-23
"LOC102724316" 1006.80005328931 -4.132754339766 0.396923595218324 -10.4119643920206 2.18662324846541e-25 2.11599531753997e-22 2.06526565817558e-22
"RDH13" 995.45815413382 -3.06302358904381 0.30031227646792 -10.1994617904707 1.99374257632256e-24 1.83747113438794e-21 1.78397987052947e-21
"C5orf49" 166.753193754413 -4.68120161022697 0.480187571059422 -9.74869382791184 1.86856901624516e-22 1.64383112456404e-19 1.5883770922592e-19
"SHC2" 10774.1608414732 -3.75243939039231 0.392427039739281 -9.56213260147757 1.15354766734337e-21 9.70685284946239e-19 9.33879232976411e-19
"PCDHA13" 143.514326561034 3.08606937660625 0.329543870207327 9.36466933724093 7.62887898049135e-21 6.15205515785123e-18 5.89538961578788e-18
"SNX21" 1307.82731703824 -1.65585761864398 0.178476890774839 -9.27771439459332 1.73152926780048e-20 1.34048069796042e-17 1.27990126442939e-17
"PCDHB8" 530.915848520472 3.51199009879707 0.384435041257859 9.13545780661916 6.51306147428462e-20 4.84822276051172e-17 4.61368992184637e-17
"ZNF726" 174.989648430948 -9.80774405206227 1.07734396497099 -9.10363298162292 8.73596152979578e-20 6.26206664620991e-17 5.94080327872232e-17
"WDR72" 1624.01711941813 4.00728866208064 0.442123200337934 9.06373757137759 1.26055454620868e-19 8.71313310261525e-17 8.24257224618991e-17
"XDH" 355.164310748014 2.08433677254029 0.235604137453486 8.84677491265104 9.00848346759778e-19 6.01207548385818e-16 5.67234175676407e-16
"NNAT" 240.433072182284 7.81149227537852 0.885564839249164 8.82091511447268 1.1352805812433e-18 7.32407345646094e-16 6.89318041489905e-16
"LOC728024" 63.9995686315557 3.1023466764456 0.354652776615931 8.74756065932417 2.18014181466608e-18 1.36111176390475e-15 1.278089344522e-15
"LOC100128885" 425.226894311953 -4.57051374222344 0.523986692782921 -8.72257598365563 2.71943072410605e-18 1.64474569482339e-15 1.5411013913509e-15
"PPAP2C" 107.093921355009 -5.94358751711237 0.686089563044693 -8.66299071907787 4.59545828660588e-18 2.69516665693849e-15 2.5202382687286e-15
"XCL1" 252.132611535762 4.63175467530087 0.537612350782834 8.61541716546584 6.9687389886825e-18 3.9668521878518e-15 3.70236036083097e-15
"ZNF43" 5603.18361157513 -1.97976401069091 0.230087454368045 -8.60439790656342 7.6718402655795e-18 4.2423084714293e-15 3.95239261682173e-15
"PEG3" 10468.3466738294 12.786080491968 1.5076606002311 8.48074194550694 2.23762407325589e-17 1.20297156427207e-14 1.11887784910069e-14
"PCDHB3" 1624.00216848788 1.50214529018998 0.17830797174839 8.42444269575141 3.62471346408202e-17 1.84612379957483e-14 1.76067867436738e-14
"KCNA4" 219.26260531769 -3.04004070292838 0.361830968173564 -8.40182563221102 4.3959024474783e-17 2.18149476842295e-14 2.07596493082163e-14
"ZNF208" 586.320040285614 -10.1723712727475 1.2178655932624 -8.35262226720594 6.67638960994167e-17 3.23037111277028e-14 3.06771080428698e-14
"SLMO2" 2946.09637140881 -0.972969999573729 0.118398668729383 -8.2177444224275 2.07366300396463e-16 9.78870092164183e-14 9.27745913957965e-14
"LOC283683" 226.311392852046 -4.34299382640179 0.528946625923985 -8.21064662018645 2.20000479062908e-16 1.01378315994846e-13 9.59032857576538e-14
"PCDHB11" 1205.63814331335 1.79245016606839 0.220271212448484 8.13746901442059 4.03626644856282e-16 1.81669536849965e-13 1.71551414730041e-13
"PHOX2B" 561.864404099027 -4.95393524728634 0.61238771976103 -8.08954047808061 5.98902489721249e-16 2.57581306357001e-13 2.48340029945145e-13
"PCDHGB5" 1620.67702038996 1.38962052315437 0.173939809598527 7.9890884459502 1.35940143990836e-15 5.71953379738833e-13 5.50266282854334e-13
"KLHL13" 6752.9028052 -1.14062976722504 0.144820672418588 -7.87615295645204 3.37614900411238e-15 1.39025506011896e-12 1.33483509811429e-12
"PCDHGB1" 5743.13102382375 -1.8813855426453 0.242876484722984 -7.74626471060437 9.46351229341532e-15 3.8157670193075e-12 3.65657210228077e-12
"PCDHGA6" 497.828299245447 2.05751427499841 0.26617252721129 7.73000240315989 1.07544553495008e-14 4.24779038437221e-12 4.0630332310414e-12
"ZNF585B" 1814.47268319076 -1.34013039570109 0.175376207334809 -7.64146069793071 2.14771088377448e-14 8.15035224403357e-12 7.93765929022825e-12
"HTR6" 88.492625297834 -4.59100129613573 0.602802394615411 -7.6160966465052 2.61461948492651e-14 9.73141259832071e-12 9.45769060919906e-12
"CALB2" 1801.04401779559 -2.83325217514243 0.386848562662799 -7.32393098643115 2.40810563982339e-13 8.79367482134751e-11 8.52920916304947e-11
"TCEAL6" 160.601666633324 -6.30476180584129 0.866004955297725 -7.28028375273415 3.33118760970802e-13 1.19392231478313e-10 1.15578613372747e-10
"AURKC" 109.054774285009 2.211733344107 0.305063230187994 7.25008170517316 4.16520293164475e-13 1.46569704616459e-10 1.41625230081785e-10
"LRRC3B" 561.851350480466 -2.12166860910612 0.29581380440262 -7.17231101973322 7.37421722202163e-13 2.54858214491083e-10 2.45821699983509e-10
"ZFR2" 955.158960993222 -2.48376304115136 0.347436219266351 -7.14883165144986 8.75195826557491e-13 2.97167368898135e-10 2.86138543217383e-10
"CLVS2" 6400.34574609279 -1.17623495113478 0.165191038490806 -7.12045254924798 1.07573263863633e-12 3.58960853244269e-10 3.45066614895401e-10
"C15orf41" 1716.0587059519 -0.823304736083521 0.115984044455121 -7.09843099498133 1.26181161642383e-12 4.13916983462148e-10 3.97260357237436e-10
"ACCS" 230.425689598876 1.78556495983757 0.2545902119119 7.01348628617134 2.32451760046871e-12 7.4981189399119e-10 7.18529522283064e-10
"TMEM132C" 267.40557666188 4.20644024461534 0.600405763541849 7.00599577825695 2.45235309432675e-12 7.7807937356721e-10 7.44508124225876e-10
"TMEM255B" 85.5512240775639 -3.20505860421344 0.461233530315751 -6.94888466157116 3.68185400256044e-12 1.14933229621863e-09 1.09816140171105e-09
"SLCO6A1" 48.0854672046765 4.00118369989375 0.582378578916981 6.87041701865914 6.40144924328039e-12 1.96656585165792e-09 1.87639721698293e-09
"LOC646214" 195.582021985483 3.36137220507278 0.493111725339891 6.81665438548608 9.31850790301369e-12 2.77462156853734e-09 2.68515174337518e-09
"ATP8B3" 159.01442347486 -2.22747170469933 0.327186980361705 -6.80794725461527 9.90011451572664e-12 2.90313358086929e-09 2.80519744803114e-09
"PCDHB17" 596.643563325626 1.89357231416977 0.278356288217554 6.80269278734533 1.02681466365e-11 2.96611507466898e-09 2.86178296667437e-09
