"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"C17orf51" 3273.4784138394 -10.2752050146181 0.80112735418333 -12.8259320580717 1.17366614933747e-37 2.74884348836328e-33 1.99534982048863e-33
"ZNF605" 4573.66106712569 -1.65700834234251 0.18315776986967 -9.04689079541419 1.47097020346807e-19 1.72257965677129e-15 1.25039822145803e-15
"ZNF558" 351.824587430711 -9.95233685494394 1.11243941603373 -8.94640796748089 3.67237886807695e-19 2.86702618230767e-15 2.08113710453921e-15
"NEK9" 3568.76440813703 -1.12267914973062 0.151864133642037 -7.39265501870849 1.43925548551509e-13 6.74176054524977e-10 6.11719562731051e-10
"ZNF506" 1537.04365931039 -1.51462492559765 0.228573963107865 -6.62641057189394 3.43947681993527e-11 1.34259977666173e-07 1.16949090831439e-07
"TRIM61" 193.36713339248 -3.46689260140282 0.560301063689468 -6.18755313183601 6.11052545947264e-10 1.69284426273461e-06 1.57990330897644e-06
"XCL1" 252.132611535762 3.57756096887659 0.579110903291035 6.17767848704908 6.50510156039943e-10 1.69284426273461e-06 1.57990330897644e-06
"ZNF596" 758.922938339646 -0.972815439060711 0.160228474980432 -6.07142668729461 1.26778836945809e-09 2.96928714010779e-06 2.69420875864462e-06
"PCDHA6" 1045.37179353305 2.1609106999022 0.367421753818952 5.88128132709038 4.07102533847495e-09 7.94562370436848e-06 7.69016686437918e-06
"TMEM255B" 85.5512240775639 -2.8357968333236 0.495026456252125 -5.72857631649345 1.01276989078017e-08 1.69429168656874e-05 1.72181009131537e-05
"ZNF132" 992.814021624916 -0.732202160628036 0.133550932794303 -5.48256867479752 4.19194188836849e-08 6.54529806449856e-05 6.47883673128661e-05
"AK2" 6386.17273762104 -0.812230500351859 0.149604643245233 -5.42917975493877 5.66136410623227e-08 8.28717554575412e-05 8.02073759750457e-05
"TG" 192.162708121948 -2.29746719030524 0.432159851495515 -5.31624393694767 1.05931116995165e-07 0.000145941923008456 0.000138533455387292
"PHOX2B" 561.864404099027 -3.47447378165607 0.658587285695587 -5.27564661073952 1.32288799448494e-07 0.000172129776215732 0.000160645848530275
"LOC728024" 63.9995686315557 -6.42732677951094 1.23648239103294 -5.19807384732884 2.01364136867405e-07 0.00024821839208271 0.000228226112725517
"ENPEP" 125.196558679011 2.33332672672475 0.467147372061279 4.99484074250271 5.88843391457139e-07 0.000660233475008796 0.000625682906135176
"SLC5A12" 857.850469320558 3.0208806872617 0.616231448482787 4.90218520119245 9.47764185428704e-07 0.00100898113576935 0.000947819936263141
"ZFP28" 3572.11580304343 -0.456915183938542 0.095255693997643 -4.79672305940942 1.61282339658798e-06 0.00164234507702118 0.00152331169807735
"LINC00491" 481.914232191034 1.54737238977553 0.333242410665425 4.64338373583875 3.42748902419481e-06 0.00334480085148611 0.00306688110001768
"HTR3B" 187.73875567316 -2.79928672844347 0.610591358284341 -4.58455019132435 4.54964793534113e-06 0.00422269470506625 0.00376183549802323
"SP140L" 1805.64486233623 2.50664463964337 0.548452069878219 4.57039872271784 4.86797135206818e-06 0.00422269470506625 0.00376183549802323
"XDH" 355.164310748014 1.16731003665376 0.255228674114575 4.57358500451929 4.79449030708017e-06 0.00422269470506625 0.00376183549802323
"PCDHGA10" 2266.64612825061 0.994567550852063 0.229544113570269 4.3327948400977 1.4722829604449e-05 0.0118904617988207 0.0108827315697929
"ANKRD30B" 57.3277097874603 2.0312346092272 0.479037080135853 4.2402450529532 2.23275899920085e-05 0.017431149506761 0.015816306560589
"ASTE1" 694.660102556122 -0.973385094019605 0.23208074287346 -4.1941657113289 2.73877717617325e-05 0.0200452813259856 0.0186247803088486
"RPL23AP53" 4917.11733254301 -0.622518239814672 0.14976363474171 -4.15667155039539 3.22917715194983e-05 0.0229183509320658 0.021115092600115
"ALKBH3" 912.310212503159 -0.757188846787207 0.186123612024841 -4.06820412815838 4.73768692894236e-05 0.0326356957537526 0.0298316353625737
"MOCS1" 1257.85489036168 -0.385382804523606 0.0952442988375699 -4.04625588331371 5.20433432611027e-05 0.0348259183576653 0.0315996028136431
"SLC10A4" 285.074650725319 -1.53333094656657 0.382839284583555 -4.00515570975036 6.19766423192181e-05 0.0393269200770458 0.0352078445618671
"SLCO1A2" 1280.21045739846 2.41158922196204 0.602207818758542 4.00457972620409 6.21278358247169e-05 0.0393269200770458 0.0352078445618671
"CPNE8" 277.212156706012 -1.56606763229876 0.405818375110444 -3.85903578632326 0.000113835269283772 0.0701614695235585 0.062429464938497
"ZNF208" 586.320040285614 2.75948621297504 0.718550351742661 3.84035190614354 0.000122858069287587 0.0737809959175533 0.0652721886236958
"GYG2P1" 102.221169745612 1.56441225137962 0.412290468643619 3.79444195381554 0.000147975893821765 0.0866435852299887 0.0762344900261766
"MAGEA2" 195.388390425607 1.28081191491791 0.340801090348009 3.75823890002821 0.0001711134687746 0.0977475256626809 0.0855617671363816
"MIR181A2HG" 245.338911847014 1.15156809574709 0.319745082043543 3.60151933655156 0.000316362886848031 0.176417504115898 0.153671012551525
"PROX2" 31.2169296556463 -2.94622056864874 0.848087910185834 -3.4739565713219 0.000512844032166706 0.266918223941698 0.242190594190727
"GAS6-AS1" 16.3894111510624 -2.7284228653856 0.792553236656249 -3.44257362053898 0.000576207004128011 0.292070119606758 0.262222783490998
"LOC441666" 3724.85692993671 0.972372929294411 0.282834135758184 3.43796171097878 0.000586110568358209 0.292070119606758 0.262222783490998
"USP32P1" 368.744758238249 1.87866255361534 0.550146982832903 3.41483751113464 0.000638200711418684 0.311402059627854 0.278206417816129
"ARHGAP24" 300.552118191221 -1.2440058017742 0.372291483698796 -3.34148337054271 0.000833320081826712 0.398309992580886 0.354181867778398
"PCDHB11" 1205.63814331335 0.792553853585152 0.238332354483682 3.3254144419549 0.000882871922831231 0.405445947149613 0.357373941906042
"PCDHGA3" 1729.32177498922 -1.57829039802275 0.473954974913079 -3.33004289766596 0.000868326052300063 0.405445947149613 0.357373941906042
"SV2C" 781.237541152475 -1.14832628319881 0.347310926605874 -3.30633503074874 0.00094524992555462 0.425744202046438 0.373725441496607
"CTSF" 448.086125570841 -1.6012860022198 0.488155527215929 -3.2802783394717 0.00103704719695306 0.441612407269776 0.391796431008866
"PCDHB17" 596.643563325626 0.988914280339749 0.301061422665266 3.28475920822068 0.00102069562071953 0.441612407269776 0.391796431008866
"TUSC1" 564.602091041538 1.5825227415307 0.483412407080258 3.27364941063245 0.00106168245981306 0.44402973020146 0.392383989114822
"SLC6A2" 2.4864934213044 -6.01076470213946 1.86043487089567 -3.23083855079844 0.00123427636342524 0.507157661540046 0.446466647970053
"PIEZO2" 1143.6943583444 -1.25515701594276 0.394345887647485 -3.18288349202915 0.00145816275517801 0.575620989410158 0.501402968667202
"PNMA3" 2521.10215240843 -0.885859232814208 0.278604429542351 -3.17963082736826 0.00147462787091113 0.575620989410158 0.501402968667202
"TM9SF4" 21629.2693091276 0.304360604101827 0.0955870678627041 3.18411905404394 0.00145195282117135 0.575620989410158 0.501402968667202
"CCDC144A" 83.4293076261711 2.25017533370712 0.709266619675597 3.17253804322033 0.00151112759695792 0.580198679481171 0.503738828938855
"CSAG3" 61.212109106006 1.98984544742005 0.631362473983331 3.1516688580902 0.00162340265964516 0.613253446637892 0.530759011858218
"PHOX2A" 50.9258577307222 -2.50942997309461 0.799417387863728 -3.13907354429771 0.0016948290588573 0.620227990429636 0.53358868203024
"TMEM233" 44.0038529407517 -2.38264361980981 0.75830400159757 -3.14206916327771 0.00167758403021064 0.620227990429636 0.53358868203024
"PNPLA6" 3321.43992450874 -0.5173224386426 0.16528366868051 -3.12990655866051 0.00174861915677992 0.630067834937577 0.540514077898462
"METTL10" 2234.66637067774 0.262501583532856 0.0843091667665052 3.11355922019554 0.00184845410274598 0.63665652265314 0.541820141392835
"SCML4" 821.167819679721 -0.651766152801596 0.208953586228143 -3.11919103455815 0.00181348341808972 0.63665652265314 0.541820141392835
"ZNF649" 1988.43473679363 -0.929882370180596 0.298434301213302 -3.11586961150278 0.0018340334727094 0.63665652265314 0.541820141392835
"NGB" 209.555407170915 -1.49915421358855 0.487974479539131 -3.07219798667429 0.00212488736095333 0.721260679433157 0.612291695314704
