"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"NAP1L5" 4866.44409465705 -10.965796563355 0.596315975403158 -18.3892382825082 1.60215100419091e-75 3.24483642878785e-71 2.72381692222497e-71
"LOC102724316" 1006.80005328931 -6.46213907743363 0.419436418086939 -15.4067191087212 1.475133653814e-53 1.49379409453474e-49 1.25393736242459e-49
"CTSF" 448.086125570841 -8.79611149935877 0.66041513777601 -13.319064019308 1.79341756835541e-40 1.21073620039674e-36 1.01632973598701e-36
"CHD8" 22423.524203275 -0.677807718908352 0.0742960551724418 -9.12306470828302 7.30293401044133e-20 3.69765806283671e-16 3.10392952778783e-16
"ZNF560" 206.822212621429 -2.79288733985958 0.325411098016797 -8.58264317621835 9.27176199300665e-18 3.75561991288728e-14 3.15258451286212e-14
"C15orf41" 1716.0587059519 -0.913370700138955 0.116117030074448 -7.86594954722274 3.6630816298987e-15 1.23647320417231e-11 1.0379341798318e-11
"PCDHGB4" 4856.98585019665 -1.33865557684787 0.175690160280479 -7.61941121068353 2.54835429353614e-14 7.37311707242677e-11 6.18922447777256e-11
"LINC00491" 481.914232191034 2.10540915127641 0.308551686911941 6.82352176501723 8.88352744008734e-12 2.24897601555111e-08 1.88786062511156e-08
"TG" 192.162708121948 -2.70285658894163 0.401427909058234 -6.73310581539445 1.66079187937573e-11 3.73733532588853e-08 3.13723586014075e-08
"PCDHB11" 1205.63814331335 1.44055863286582 0.22042788166474 6.53528320458497 6.34892873065782e-11 1.28584853582013e-07 1.07938137349914e-07
"PCDHA6" 1045.37179353305 2.20544218808945 0.341354469188 6.46085634483023 1.04112119043904e-10 1.91689340636017e-07 1.60910012351401e-07
"PCDHGA6" 497.828299245447 1.70188051018324 0.266467093494557 6.38683181425553 1.69357721973878e-10 2.85833495261413e-07 2.39937552606492e-07
"LOC728024" 63.9995686315557 2.2694981127488 0.356930031574885 6.35838375026915 2.03887596659178e-10 3.17641191933717e-07 2.6663792544636e-07
"PHOX2B" 561.864404099027 -3.81474304298375 0.610033906579331 -6.25332953109824 4.01793094955598e-10 5.81251110866838e-07 4.87920314810009e-07
"XCL1" 252.132611535762 3.31290541602159 0.538552091877689 6.15150412742986 7.67515285669716e-10 1.03629913871125e-06 8.69901824778056e-07
"LOC441666" 3724.85692993671 1.57132721481169 0.261810304122484 6.00177758502801 1.9516892879111e-09 2.3251507734155e-06 1.95180409316333e-06
"LOC644554" 430.269707557652 -1.36921378487337 0.227996687687125 -6.00541086260127 1.90847992911853e-09 2.3251507734155e-06 1.95180409316333e-06
"PCDHA13" 143.514326561034 -2.17307174431651 0.364526423764348 -5.96135589260139 2.50153470498743e-09 2.81464346556169e-06 2.36269952886063e-06
"C21orf119" 126.724344708826 -2.40232726647455 0.408833743963382 -5.87604937690693 4.20173044516162e-09 4.25488233529292e-06 3.75966417358909e-06
"NKAPL" 314.550851148495 -2.71402501247489 0.467659679080328 -5.80341888317619 6.49761942252466e-09 6.26648981735199e-06 5.52330139011709e-06
"HTR3B" 187.73875567316 -3.25613982141059 0.566457185494406 -5.7482540689613 9.01696774061786e-09 8.3009385295788e-06 7.29987945515449e-06
"ZNF585B" 1814.47268319076 -0.940564437692974 0.174988121820025 -5.37501876076106 7.6574708620465e-08 6.74290249430555e-05 5.91748464207512e-05
"ZNF506" 1537.04365931039 -1.12924001225809 0.21125722635977 -5.34533199983892 9.0251473683246e-08 7.61609623544492e-05 6.67115349603854e-05
"TMEM255B" 85.5512240775639 -2.41745546134709 0.454251187787195 -5.32184730902586 1.02718774843112e-07 8.32145338759023e-05 7.27634121294895e-05
"PCDHGA7" 2712.53575822727 1.11243667330394 0.217854916264211 5.10631888589008 3.28495158991292e-07 0.000255885094425025 0.000223389847920438
"SLC5A12" 857.850469320558 2.90372235350018 0.570971369956712 5.08558310676826 3.6649830221804e-07 0.00027491444869711 0.000239647601384958
"SP140L" 1805.64486233623 2.56119689681364 0.507920641135901 5.04251390745973 4.59455350809208e-07 0.000332333900712103 0.000289303719226198
"XDH" 355.164310748014 1.17823744706492 0.236987274412336 4.97173297590188 6.63570595882279e-07 0.000447976509280127 0.000389012541399815
"ZNF208" 586.320040285614 3.30958656072286 0.665404767811147 4.97379447942606 6.56549148025957e-07 0.000447976509280127 0.000389012541399815
"CPNE8" 277.212156706012 -1.81629636685636 0.376148391877633 -4.82866976458383 1.37448128474041e-06 0.000869917795620237 0.00077891854406239
"ANKRD20A5P" 199.828850195634 2.84474100628203 0.591992415441325 4.80536731904124 1.54467648249875e-06 0.000920127435295503 0.000847130479966492
"GYG2P1" 102.221169745612 1.81159749257758 0.382910967790603 4.73111935923512 2.23285178854334e-06 0.00129205563638195 0.00118627228928204
"DKFZp434J0226" 84.0150492452008 -1.70901121216559 0.36222699944184 -4.7180668884402 2.38096218395028e-06 0.00133948964198736 0.00122662842694966
"AURKC" 109.054774285009 1.43690921435471 0.30739087512989 4.67453438150218 2.94621278005881e-06 0.00157025387985608 0.00143110181353657
"PCDHGA3" 1729.32177498922 -2.05345810691828 0.439075883082272 -4.67677270840565 2.91424961356505e-06 0.00157025387985608 0.00143110181353657
"ZNF717" 447.583614394422 1.36456902622267 0.292669970838085 4.66248389718669 3.12415539001462e-06 0.00162239792599913 0.0014753823829344
"PCDHB18" 1735.88432547651 -1.34033301472456 0.287961364618383 -4.65455849086151 3.24675662747235e-06 0.00164391404940494 0.00149184079523398
"CSRP1" 618.264411698986 -2.5852837562964 0.564772654990471 -4.57756538573919 4.70418774967072e-06 0.00232375401205076 0.00210462884031979
"ZNF736" 609.580190175252 1.02894830974941 0.22606157562262 4.55162849730423 5.32322702264095e-06 0.00256693611641779 0.00232051750286971
