"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"NAP1L5" 4866.44409465705 -12.2743011472702 0.758306688824 -16.1864603440403 6.28410712499591e-59 1.18807329305173e-54 1.06836105232055e-54
"CTSF" 448.086125570841 -8.35908892943122 0.623095357185867 -13.4154248351071 4.91110679334126e-41 4.64246925174549e-37 4.17468632967974e-37
"ZNF571-AS1" 1660.16799995118 -2.20260571017544 0.188605347677343 -11.6783841884672 1.6439072093221e-31 1.03599032331479e-27 9.31602215522834e-28
"ZNF558" 351.824587430711 -11.6434076830071 1.1056089101089 -10.5312173016588 6.20271041432674e-26 2.93171107733153e-22 2.63630699384922e-22
"ZNF717" 447.583614394422 -10.6874399626681 1.06099745788844 -10.073011846737 7.27165215000422e-24 2.7495571109596e-20 2.47250716404443e-20
"NKAPL" 314.550851148495 -4.72729919540647 0.497902340685391 -9.49443055218232 2.21418230518621e-21 6.97688844364175e-18 6.27388556174513e-18
"TM9SF4" 21629.2693091276 0.822391455944641 0.088474708222292 9.29521523686056 1.46908659759448e-20 3.96779303058875e-17 3.56799160652911e-17
"CSRP1" 618.264411698986 -5.1766481019675 0.583262781174267 -8.87532732938231 6.97280348750509e-19 1.64784778418464e-15 1.48180790113843e-15
"ZNF560" 206.822212621429 -2.88522557048783 0.328527031551452 -8.78230797892796 1.60153838631936e-18 3.3642983035282e-15 3.02530601175727e-15
"ZNF208" 586.320040285614 -10.0679958393767 1.2178655932624 -8.26691869371785 1.37465643390938e-16 2.59892545394907e-13 2.33705340328934e-13
"LOC728024" 63.9995686315557 2.56548134154663 0.356292812660072 7.20048580939038 5.99984019408627e-13 1.03120889735814e-09 9.27302573996915e-10
"TCEAL6" 160.601666633324 -6.22059116295951 0.867968580746755 -7.16683910102787 7.67491442474054e-13 1.20918276761787e-09 1.08734350112512e-09
"LOC441666" 3724.85692993671 1.80803661888664 0.261793038816462 6.90635865285256 4.97251897235105e-12 7.23157259163607e-09 6.50290731145694e-09
"PHOX2B" 561.864404099027 -4.18508981872194 0.610800020889576 -6.8518167576791 7.29179242638378e-12 9.84704482951512e-09 8.85484021721076e-09
"PCDHB11" 1205.63814331335 1.41205837299118 0.220499821165734 6.40389804184845 1.5145927609658e-10 1.9089927159213e-07 1.71663943527864e-07
"C21orf119" 126.724344708826 -2.42575695713958 0.410531080510131 -5.90882657197431 3.44553202857136e-09 4.07132678326063e-06 3.66109312610886e-06
"PDRG1" 8473.94141797001 0.818375005555578 0.139625164970116 5.86122856671814 4.59455029973054e-09 5.10968046862974e-06 4.59482056739523e-06
"LOC100506314" 20.2371444234505 -7.29932670582062 1.26152075472779 -5.78613287055722 7.2025250917651e-09 7.56505218805061e-06 6.80278494917214e-06
"PCDHA6" 1045.37179353305 1.90169501930413 0.342071058072564 5.55935667290718 2.70770848775354e-08 2.55959683347342e-05 2.42282905264726e-05
"ZNF257" 42.0826754758714 -7.29278273274398 1.31434705878898 -5.54859744538358 2.87970367956528e-08 2.59255608408862e-05 2.44789211281447e-05
"TG" 192.162708121948 -2.20047333023712 0.399865936868014 -5.50302770841779 3.73323719997479e-08 3.20820829557834e-05 3.02232217317959e-05
"HTR3B" 187.73875567316 -3.09384227368619 0.566264329822377 -5.46360084990105 4.6657200067605e-08 3.83522184555713e-05 3.60554117431524e-05
"LINC00682" 21.9962640147604 -4.62944418580031 0.86272671845362 -5.36606098637849 8.04747408892678e-08 6.33939771355207e-05 5.94848291242801e-05
"TMEM255B" 85.5512240775639 -2.41971008797438 0.455010083247584 -5.3179262989162 1.04956563546769e-07 7.93723516166086e-05 7.43486057024425e-05
"XDH" 355.164310748014 1.25416896719657 0.237052086853705 5.29068941700806 1.2185614553121e-07 8.86081649005023e-05 8.2867053207044e-05
"ANKRD20A5P" 199.828850195634 3.11924761277067 0.591815335664449 5.27064343351055 1.35946340609971e-07 9.51926487248927e-05 8.88932206426968e-05
"LOC644554" 430.269707557652 -1.19197092638339 0.227775244237492 -5.23310129849131 1.66689327060468e-07 0.000112551014907329 0.000104958712939075
"ZFP3" 811.725496595269 -1.4867403998543 0.286165418726581 -5.19538806075945 2.04293234357957e-07 0.000128745596292385 0.000124042474189987
"PCDHGA10" 2266.64612825061 1.08123408428019 0.2126286711562 5.08508132229214 3.67468585718325e-07 0.000224108421986796 0.000215425290544733
"CPNE8" 277.212156706012 -1.89532390404347 0.376609965151183 -5.03259095463027 4.83894895580773e-07 0.000285891152995316 0.000274223237325624
"LINC00965" 70.3752492465686 2.39027962693515 0.478905353893306 4.99113156180684 6.00265931280555e-07 0.000343897808993642 0.000329197454764539
"LINC00491" 481.914232191034 1.42355340732167 0.309496941841464 4.59957180465733 4.23360249456296e-06 0.00222334691006131 0.00218107503060803
"ZNF585B" 1814.47268319076 -0.805312884321885 0.174964886216692 -4.60271144533831 4.17025827074665e-06 0.00222334691006131 0.00218107503060803
"PHOX2A" 50.9258577307222 -3.32743975949219 0.748567475022626 -4.44507659031221 8.78605604994421e-06 0.00448943718054717 0.00439328643838534
"GYG2P1" 102.221169745612 1.68996417580395 0.383858009660665 4.40257629975705 1.06972950714672e-05 0.00532218580581995 0.00519613467171468
"ARHGAP18" 367.52089468327 -1.92608705516066 0.446306826696681 -4.31561190631231 1.59161395469251e-05 0.00771565472497859 0.00751639690103538
"ENPEP" 125.196558679011 1.87087936470398 0.436413239904619 4.28694455996082 1.81147479198451e-05 0.00856193560431478 0.00832348187527801
"LRRC3B" 561.851350480466 -1.2417723209987 0.294356276428567 -4.21860317050194 2.45820483667731e-05 0.0113353221078588 0.0109978790600924
"HM13" 10655.8543779124 0.725928877181244 0.173611978090227 4.18132945184218 2.89809588890282e-05 0.0130455716370468 0.0126334687710864
"SUCO" 11175.8657505138 0.382758891367123 0.093657951389561 4.08677411461922 4.37412614619364e-05 0.0192319137023109 0.0185911296528595
"PIWIL2" 546.70351268767 -1.83742382370296 0.458036571331928 -4.01152208951329 6.03285309864758e-05 0.0259220728825071 0.025015740373197
"BCL2L1" 24751.6994859232 0.768290945918628 0.193066454280028 3.97941190137714 6.90859548209839e-05 0.029025312485456 0.0279650075693226
"SYNDIG1L" 224.157847893569 -2.60408225496652 0.662002426414116 -3.9336445775163 8.36674745805036e-05 0.034387332052587 0.0330797845428638
"ZNF85" 1871.38724030606 -0.572746533656818 0.147898163857813 -3.87257365958544 0.000107692113907617 0.0433197256497319 0.0414370175919011
"KIAA0226L" 374.500940937649 1.20279948930919 0.312201267983204 3.85264126913764 0.000116850520383826 0.0433695321502879 0.0414370175919011
"PROX2" 31.2169296556463 -3.03567698869146 0.786883285699565 -3.85784911671194 0.000114389223301031 0.0433695321502879 0.0414370175919011
"SLCO6A1" 48.0854672046765 2.26790264214917 0.588419493231695 3.85422758463266 0.000116095566818381 0.0433695321502879 0.0414370175919011
"TTLL9" 341.036448645741 0.85810827559453 0.22274955826995 3.85234557706548 0.000116991756038542 0.0433695321502879 0.0414370175919011
"AURKC" 109.054774285009 1.17890421201614 0.308997303577489 3.81525728013515 0.000136041118145223 0.0494614111471845 0.0472007152976926
"ZNF737" 5727.2568720187 -0.805912930385592 0.212046119206451 -3.8006492804565 0.000144317444309551 0.0514804830587993 0.0490708174141335
"ZNF506" 1537.04365931039 -0.79491190305356 0.211106958930993 -3.76544623198992 0.00016625189853007 0.0582066369186943 0.055420559351171
"NGB" 209.555407170915 -1.67467670876996 0.452353096480783 -3.70214489919183 0.000213784458227178 0.0734874357680549 0.0697873311570017
