"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"NAP1L5" 4866.44409465705 -12.1190216370265 0.719939239820583 -16.8333950515694 1.38903863372767e-63 2.75043539864416e-59 2.36150458120041e-59
"LOC102724316" 1006.80005328931 -7.24141078392748 0.438641246391982 -16.5087320070588 3.17484077055552e-61 3.14325110488849e-57 2.69877339701072e-57
"HDX" 1719.95675507618 -1.51467445681263 0.106920289841857 -14.1663893640107 1.47912325670844e-45 9.7627065353613e-42 8.38219149576673e-42
"CSRP1" 618.264411698986 -7.17532370248248 0.638905445013821 -11.2306504170226 2.88348061309895e-29 1.42739499049931e-25 1.22555134758238e-25
"ZNF558" 351.824587430711 -11.7450740074426 1.1056089101089 -10.6231723533104 2.32522079154163e-26 9.20833937866318e-23 7.90621573539985e-23
"CTSF" 448.086125570841 -11.6662075148222 1.11502058056855 -10.4627732600896 1.28051853683122e-25 4.22592459129917e-22 3.62834927411126e-22
"NKAPL" 314.550851148495 -8.62420996143496 0.857027389313517 -10.0629338909962 8.05610554605128e-24 2.27884208453373e-20 1.95659786269168e-20
"C21orf119" 126.724344708826 -3.23577596575932 0.422709546158465 -7.65484478684162 1.93545862616352e-14 4.79050203208299e-11 4.11309151292575e-11
"PHOX2B" 561.864404099027 -4.65668223507808 0.611579628703852 -7.61418794302747 2.65354448499955e-14 5.83809270527512e-11 5.01254553216415e-11
"FAM66B" 172.483917662787 -4.49201600342216 0.608130393249163 -7.38660006684076 1.50630796318687e-13 2.98264039790633e-10 2.560874168214e-10
"TG" 192.162708121948 -2.73091931793249 0.401556733447995 -6.80083059368288 1.04017680377687e-11 1.87241280832597e-08 1.60764053100096e-08
"ZNF560" 206.822212621429 -2.14692588395904 0.317680214878203 -6.75813533046798 1.39778943694276e-11 2.30646905340863e-08 1.98031818478866e-08
"PCDHGB4" 4856.98585019665 -1.16434121149381 0.175630829934776 -6.62948078037446 3.36869692032825e-11 5.13104367072459e-08 4.40547818019235e-08
"DKFZp434J0226" 84.0150492452008 -2.4686426429777 0.376218035543847 -6.56173391424236 5.31856608840732e-11 7.52235193689667e-08 6.4586387192152e-08
"LOC644554" 430.269707557652 -1.49007612730377 0.228405317976867 -6.52382414079642 6.85370630548361e-11 9.04734923699207e-08 7.76799072663512e-08
"HTR3B" 187.73875567316 -3.69484012859222 0.568282872620703 -6.50176225011503 7.9384495097592e-11 9.82432742142137e-08 8.43509875721351e-08
"PCDHGA6" 497.828299245447 1.69583232018041 0.266472637983554 6.36400169643339 1.96563966736572e-10 2.28950770902992e-07 1.96575529322851e-07
"CPNE8" 277.212156706012 -2.34203789631062 0.377619680308459 -6.20210761896078 5.57119574685756e-10 6.12862483241814e-07 5.26199438290697e-07
"LOC441666" 3724.85692993671 1.61054848921396 0.261804862352743 6.15171343549757 7.66502827558706e-10 7.98816973078418e-07 6.85858661648714e-07
"TBC1D15" 3998.69793661927 -0.761330505835782 0.125001369647888 -6.09057731111543 1.12504236770357e-09 1.11384819614492e-06 9.5634226466642e-07
"ZFP3" 811.725496595269 -1.70883330863181 0.286397830730419 -5.9666419409451 2.42186063770013e-09 2.28358392795716e-06 1.96066917626381e-06
"PCDHGA3" 1729.32177498922 -2.5845387931034 0.439562407665055 -5.87979942787283 4.10763911259143e-09 3.69706191220104e-06 3.17427147968941e-06
"PCDHB11" 1205.63814331335 1.27476952635784 0.220516552222612 5.78083374472023 7.43313203932726e-09 6.399280326553e-06 5.49437729567838e-06
"PCDHB18" 1735.88432547651 -1.6358049156188 0.288294938525834 -5.67406741160047 1.39446215889637e-08 1.15048938367946e-05 9.87802131808216e-06
"NSMCE1" 1777.62425153886 -1.06805973759203 0.188783941063729 -5.65757728954013 1.53524686718933e-08 1.20966216543452e-05 1.03860746803455e-05
"TMEM255B" 85.5512240775639 -2.57355132987243 0.455355994441306 -5.65173482130177 1.58836504728536e-08 1.20966216543452e-05 1.03860746803455e-05
"LINC00965" 70.3752492465686 -6.13883961888031 1.11137810265943 -5.52362837111024 3.32069465018196e-08 2.43529906549085e-05 2.09093073139791e-05
"ZNF585B" 1814.47268319076 -0.93758694199208 0.174985541651871 -5.35808234863988 8.41099048563102e-08 5.94807223592785e-05 5.10697318736475e-05
"PHOX2A" 50.9258577307222 -3.8736036957697 0.755307196533961 -5.12851421718916 2.92037847064786e-07 0.000199401427921718 0.000171204670274084
"PIWIL2" 546.70351268767 -2.2517319980253 0.459517655472289 -4.90020779661009 9.57353453495943e-07 0.000631885191089106 0.000542532202096151
"ENPEP" 125.196558679011 2.09132286969744 0.435366027581432 4.80359682935132 1.55840471197096e-06 0.000995418441991513 0.000854659306716719
"XDH" 355.164310748014 1.12976536237978 0.237088800549201 4.7651570203348 1.88706636274257e-06 0.0011676812827708 0.00100256297603083
