"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"RPS4Y1" 13451.9728900128 -13.1795501800537 0.628091240140755 -20.9834962466603 9.28124566774055e-98 2.17376054784151e-93 1.57790457597257e-93
"NAP1L5" 4866.44409465705 -12.947866734204 0.860066835954792 -15.0544890151823 3.22582177049654e-51 3.77759858433997e-47 2.74210979601058e-47
"LOC102724316" 1006.80005328931 -5.97044313862998 0.411194017947018 -14.5197713926842 9.08125931115402e-48 7.08973914421794e-44 5.14634965163098e-44
"NKAPL" 314.550851148495 -5.72152376688161 0.528410123353426 -10.8278087682563 2.54164710304059e-27 1.48819792000784e-23 1.08026355996983e-23
"ZNF558" 351.824587430711 -11.7659641427868 1.1056089101089 -10.6420670412541 1.89869735620883e-26 8.89387815595341e-23 6.45595075058126e-23
"ZFP3" 811.725496595269 -2.50643905128628 0.288552859317605 -8.68623883060361 3.74636849288339e-18 1.46239494119703e-14 1.06153351245851e-14
"TG" 192.162708121948 -3.06753241872472 0.40317488477468 -7.60844123621205 2.77421337638927e-14 9.28212164120187e-11 6.73777165885628e-11
"ZNF560" 206.822212621429 -2.38973966267783 0.319981866617549 -7.46835965406163 8.12006573137084e-14 2.37725074368046e-10 1.72561546873795e-10
"PCDHGB4" 4856.98585019665 -1.25483893411456 0.175653547610359 -7.14382915224739 9.07662057231894e-13 2.36203922693647e-09 1.71457362611105e-09
"TM9SF4" 21629.2693091276 0.62882712448621 0.0884795719018666 7.10703172460698 1.18565188806397e-12 2.77691528703461e-09 2.01572677489756e-09
"HTR3B" 187.73875567316 -3.94986696340164 0.569505075560495 -6.93561327704457 4.04462649259869e-12 8.61174518937764e-09 6.25115409097003e-09
"PCDHB18" 1735.88432547651 -1.90264754210241 0.288629150677695 -6.5920144851448 4.33898248375962e-11 8.46860906267784e-08 6.14725343386644e-08
"C21orf119" 126.724344708826 -2.5385603130885 0.410343649095854 -6.18642525278978 6.15438458649914e-10 1.10878339538766e-06 8.04851479654399e-07
"LOC728024" 63.9995686315557 -6.60854548459604 1.07906202571573 -6.12434255594593 9.10588032965757e-10 1.52334873714936e-06 1.1057790820322e-06
"GADL1" 147.84894907019 -3.14751896050654 0.533393438590867 -5.90093303138813 3.6145160985415e-09 5.64370543626271e-06 4.09669254608694e-06
"PHOX2B" 561.864404099027 -3.56269295694053 0.609696464931407 -5.84338791818539 5.11497176386286e-09 7.4873596050895e-06 5.43497718483953e-06
