"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"CTAG2" 3585.47431923694 -9.10792025465225 0.582077060520463 -15.6472757172537 3.46748584811752e-55 6.24286152095078e-51 5.8950726903846e-51
"ZNF736" 609.580190175252 -8.41740792798286 0.553419043125732 -15.2098270425264 3.04346144129681e-52 2.73972398945539e-48 2.58709439817435e-48
"PCDHA6" 1045.37179353305 4.74622952358948 0.323137689141242 14.687947841067 7.70109292483112e-49 4.62168256728865e-45 4.3642093605018e-45
"C17orf51" 3273.4784138394 -12.2501266178923 0.920513528677974 -13.3079267563679 2.08178627323215e-40 9.37012001581789e-37 8.84811210780495e-37
"ZNF506" 1537.04365931039 -1.77063840334738 0.200785239487001 -8.81856857541569 1.15932195694476e-18 2.98177607326191e-15 3.94192651800357e-15
"NEK9" 3568.76440813703 -0.977281120414303 0.133179505319038 -7.33807441372587 2.16688690306675e-13 4.87657897535171e-10 6.13987403983964e-10
"LOC728024" 63.9995686315557 -6.79947114469823 0.972453747709382 -6.99207665219493 2.70846820736613e-12 5.41814017837997e-09 6.57809542763308e-09
"XCL1" 252.132611535762 3.39302673824962 0.512276113134688 6.62343344000021 3.50949991396986e-11 5.74409422282848e-08 7.4581260046752e-08
"ANKRD30B" 57.3277097874603 2.80541050620025 0.424829732035704 6.60361150514878 4.01260226983557e-11 6.02024093884331e-08 7.57980568771939e-08
"TRIM61" 193.36713339248 -3.14585951344831 0.482597525997571 -6.51859850906931 7.09673245321101e-11 9.82842854520085e-08 1.2065154843704e-07
"PPIEL" 782.084176078303 -2.94678043568732 0.458854192538346 -6.42204099604268 1.34459196645033e-10 1.72914526885512e-07 2.07812800196564e-07
"ZNF132" 992.814021624916 -0.748749520714593 0.117078124843139 -6.39529819697546 1.60234337123807e-10 1.92323933705134e-07 2.27011997120154e-07
"PHOX2B" 561.864404099027 -3.65868244061555 0.578304603777696 -6.3265663401531 2.50676556309642e-10 2.82073794987425e-07 3.2782708721694e-07
"ENPEP" 125.196558679011 2.56959057047167 0.413363128285664 6.21630328067358 5.09003802265482e-10 5.09116914221541e-07 6.18112403022533e-07
"TG" 192.162708121948 -2.31821567425003 0.378776548540787 -6.12027244870573 9.34154962478963e-10 8.85185576024803e-07 1.05877123447366e-06
"SLC5A12" 857.850469320558 3.21423330638411 0.541879020097149 5.93164375658584 2.99916804041901e-09 2.69985106998519e-06 3.18680349094772e-06
"FAM66B" 172.483917662787 -2.94637897034826 0.509741194176682 -5.78014687454711 7.46354384965079e-09 6.10789288495967e-06 7.46398288164195e-06
"SP140L" 1805.64486233623 2.77910704168905 0.481934225397549 5.76656916075333 8.09015187113424e-09 6.33283018643047e-06 7.64114844228629e-06
"LINC00491" 481.914232191034 1.68662370187798 0.293479331282282 5.74699313409468 9.08444168253276e-09 6.81484533551333e-06 8.12866279182839e-06
"NIPA1" 12981.0625446421 -1.1179001919884 0.199509700592663 -5.60323727952862 2.10384904123424e-08 1.51510792553525e-05 1.7741858221614e-05
"TMEM255B" 85.5512240775639 -2.40462184466151 0.429691389697006 -5.59616017988423 2.19151239723483e-08 1.51753804614677e-05 1.7741858221614e-05
"AK2" 6386.17273762104 -0.73287425001805 0.131339368477672 -5.58000436969239 2.40512542303164e-08 1.60377326356525e-05 1.85861533258913e-05
"HTR3B" 187.73875567316 -2.97307512325291 0.535973726782985 -5.54705384739261 2.90523289999856e-08 1.86806475469907e-05 2.14747237099459e-05
