GSM2884932	RNAseq-iPSC-control-1
GSM2884933	RNAseq-iPSC-control-2
GSM2884934	RNAseq-iPSC-control-3
GSM2884935	RNAseq-iPSC-control-4
GSM2884936	RNAseq-iPSC-DLGAP2-1
GSM2884937	RNAseq-iPSC-DLGAP2-2
GSM2884938	RNAseq-iPSC-ANOS1-1
GSM2884939	RNAseq-iPSC-ANOS1-2
GSM2884940	RNAseq-iPSC-DLGAP2-3
GSM2884941	RNAseq-iPSC-DLGAP2-4
GSM2884942	RNAseq-iPSC-ANOS1-3
GSM2884943	RNAseq-iPSC-ANOS1-4
GSM2884944	RNAseq-iPSC-TENM1-1
GSM2884945	RNAseq-iPSC-TENM1-2
GSM2884946	RNAseq-iPSC-KCNQ2-1
GSM2884947	RNAseq-iPSC-KCNQ2-2
GSM2884948	RNAseq-iPSC-KCNQ2-3
GSM2884949	RNAseq-iPSC-KCNQ2-4
GSM2884950	RNAseq-iPSC-CHD8-1
GSM2884951	RNAseq-iPSC-CHD8-2
GSM2884952	RNAseq-iPSC-CHD8-3
GSM2884953	RNAseq-iPSC-CHD8-4
GSM2884954	RNAseq-iPSC-AFF2-1
GSM2884955	RNAseq-iPSC-AFF2-2
GSM2884956	RNAseq-iPSC-SCN2A-1
GSM2884957	RNAseq-iPSC-SCN2A-2
GSM2884958	RNAseq-iPSC-SCN2A-3
GSM2884959	RNAseq-iPSC-SCN2A-4
GSM2884960	RNAseq-iPSC-ASTN2-1
GSM2884961	RNAseq-iPSC-ASTN2-2
GSM2884962	RNAseq-iPSC-ASTN2-3
GSM2884963	RNAseq-iPSC-ASTN2-4
GSM2884964	RNAseq-iPSC-ATRX-1
GSM2884965	RNAseq-iPSC-ATRX-2
GSM2884966	RNAseq-iPSC-ATRX-3
GSM2884967	RNAseq-iPSC-ATRX-4
GSM2884968	RNAseq-iPSC-control-5
GSM2884969	RNAseq-iPSC-control-6
GSM2884970	RNAseq-iPSC-control-7
GSM2884971	RNAseq-iPSC-control-8
GSM2884972	RNAseq-iPSC-CACNA1C-1
GSM2884973	RNAseq-iPSC-CACNA1C-2
GSM2884974	RNAseq-Neuron-control-2
GSM2884975	RNAseq-Neuron-control-3
GSM2884976	RNAseq-Neuron-control-4
GSM2884977	RNAseq-Neuron-SCN2A-1
GSM2884978	RNAseq-Neuron-KCNQ2-1
GSM2884979	RNAseq-Neuron-ASTN2-1
GSM2884980	RNAseq-Neuron-CHD8-1
GSM2884981	RNAseq-Neuron-ATRX-1
GSM2884982	RNAseq-Neuron-DLGAP2-1
GSM2884983	RNAseq-Neuron-CACNA1C-1
GSM2884984	RNAseq-Neuron-AFF2-1
GSM2884985	RNAseq-Neuron-TENM1-1
GSM2884986	RNAseq-Neuron-control-1
GSM2884987	RNAseq-Neuron-ANOS1-1
GSM2884988	RNAseq-Neuron-AFF2-2
GSM2884989	RNAseq-Neuron-ATRX-2
GSM2884990	RNAseq-Neuron-DLGAP2-2
GSM2884991	RNAseq-Neuron-KCNQ2-2
GSM2884992	RNAseq-Neuron-KCNQ2-3
GSM2884993	RNAseq-Neuron-TENM1-2
GSM2884994	RNAseq-Neuron-TENM1-3
GSM2884995	RNAseq-Neuron-ASTN2-2
GSM2884996	RNAseq-Neuron-AFF2-3
GSM2884997	RNAseq-Neuron-AFF2-4
GSM2884998	RNAseq-Neuron-AFF2-5
GSM2884999	RNAseq-Neuron-ASTN2-3
GSM2885000	RNAseq-Neuron-ATRX-3
GSM2885001	RNAseq-Neuron-ATRX-4
GSM2885002	RNAseq-Neuron-CACNA1C-2
GSM2885003	RNAseq-Neuron-CACNA1C-3
GSM2885004	RNAseq-Neuron-CHD8-2
GSM2885005	RNAseq-Neuron-CHD8-3
GSM2885006	RNAseq-Neuron-CHD8-4
GSM2885007	RNAseq-Neuron-DLGAP2-3
GSM2885008	RNAseq-Neuron-DLGAP2-4
GSM2885009	RNAseq-Neuron-ANOS1-2
GSM2885010	RNAseq-Neuron-ANOS1-3
GSM2885011	RNAseq-Neuron-ANOS1-4
GSM2885012	RNAseq-Neuron-KCNQ2-4
GSM2885013	RNAseq-Neuron-SCN2A-2
GSM2885014	RNAseq-Neuron-SCN2A-3
GSM2885015	RNAseq-Neuron-SCN2A-4
GSM2885016	RNAseq-Neuron-TENM1-4
GSM2885017	RNAseq-Neuron-TENM1-5

