"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"EIF4EBP2" 1518.78546218088 -1.47318235333633 0.0694109004448876 -21.2240778306289 5.72380631890776e-100 8.55594568550332e-96 8.35732960623722e-96
"TSN" 949.446475235494 -1.40076649926767 0.0663933948869249 -21.0979797260454 8.30076122014663e-99 6.20398893593759e-95 6.05997072876805e-95
"ANP32B" 2536.0123373978 -1.07239474271198 0.0509168505191843 -21.0616864903677 1.7869880037337e-98 8.9039655599371e-95 8.69727061417192e-95
"ACP1" 1383.50398483892 -1.12561112749199 0.0564075869128797 -19.9549597686295 1.35732208174144e-88 5.07231261946778e-85 4.95456492887669e-85
"SUPT16H" 1519.34969481966 -1.11880566922585 0.0619470942305244 -18.0606642349104 6.50353083282424e-73 1.94429557778113e-69 1.89916107380133e-69
"POLR3GL" 350.75147094879 -1.86323524253041 0.10533995897367 -17.6878295822778 5.20416624014369e-70 1.2965312826278e-66 1.26643385453897e-66
"CHMP3" 900.845580620078 -1.15886901038153 0.0658569653441062 -17.5967569159371 2.6083938216395e-69 5.57003869226676e-66 5.44073688425119e-66
"MARCKS" 8369.45591915968 -1.05207606581954 0.0602062970961156 -17.4745187225177 2.24027916291505e-68 4.18596161590676e-65 4.08878950721533e-65
"GLRX5" 1431.34310132048 -1.04101055679634 0.0604336030239094 -17.2256907532799 1.70381474751601e-66 2.82984698287438e-63 2.76415545872014e-63
"SNRPB2" 1799.04201677821 -1.1818010195659 0.0729470521022057 -16.2008057283808 4.97706640895822e-59 7.43971886811075e-56 7.2670146637199e-56
"PELP1" 507.960172495908 -1.61134166093175 0.101785468297412 -15.8307633484918 1.90891208416751e-56 2.59403798492144e-53 2.53382048553907e-53
"ICMT" 613.334074355409 -1.1351699113917 0.0721899258311039 -15.7247690494592 1.02323248945353e-55 1.27460660436262e-52 1.24501813154258e-52
"RRM1" 746.701237371386 -1.43669584462601 0.0949318540475221 -15.1339701414324 9.66823744639143e-52 1.11169856422045e-48 1.08589180734432e-48
"AASDHPPT" 615.648498996686 -1.15682463121386 0.0788459305387126 -14.6719637057979 9.74824840775807e-49 1.04083440856548e-45 1.0166726785834e-45
"CENPB" 378.84210397748 -1.41691767881929 0.0989255632591329 -14.3230691050777 1.57032203297183e-46 1.56487824992419e-43 1.52855146689478e-43
"TRIM44" 1186.54637108512 -0.998752788720794 0.0729153703198618 -13.6974246217157 1.05189507523919e-42 9.82732974042217e-40 9.59919999597963e-40
"HDGF" 2894.94361178705 -0.710289041966387 0.0521768972878276 -13.61309466234 3.34762784830733e-42 2.94354947508812e-39 2.87521848312561e-39
"MSMO1" 5327.28111644078 -1.12940261595859 0.0838002383905496 -13.4773198459774 2.12693595704486e-41 1.76630214921703e-38 1.72529955048956e-38
"EIF5B" 1069.74934914506 -1.14613470637992 0.0860256104063607 -13.323180166533 1.69721004033419e-40 1.33525766752187e-37 1.30426125257471e-37
"LBR" 1562.15166573332 -0.925369301381227 0.0700101870464466 -13.2176378955724 6.94096099848969e-40 5.18767425027119e-37 5.0672485769474e-37
"JUND" 3316.12667750732 1.03346384009053 0.0792508664868164 13.0404106087906 7.20678762318489e-39 5.12986006625561e-36 5.01077648029155e-36
"LPGAT1" 440.179178187297 -1.23437636210722 0.0954325941732711 -12.9345363898003 2.8735120202498e-38 1.952420803577e-35 1.9070976821667e-35
