"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"RTN4" 4316.14551667207 -1.45367553315346 0.0518983088778627 -28.0100751755618 1.2248937949708e-172 1.83097124472235e-168 1.78846743003686e-168
"CLASP1" 572.252300149169 -2.10735003219568 0.113546298415825 -18.5593899721699 6.84777980596474e-77 5.11803062697805e-73 4.99922164734456e-73
"RAP1B" 760.246492623639 -1.11505142944744 0.0632555639147929 -17.6277209535187 1.50929351206267e-69 7.52030647277092e-66 7.34573152320901e-66
"PAFAH1B2" 1324.37312973882 -1.09426330221516 0.0634414022376748 -17.2484097705729 1.1502180759168e-66 4.29836494970109e-63 4.1985835316153e-63
"PBX1" 1216.06725832526 -1.03523963267634 0.066522309283183 -15.5622924674692 1.31310178420471e-54 3.92564909405842e-51 3.83451983023459e-51
"SAE1" 1487.07845358417 -1.3600057541077 0.0909017733160088 -14.9612675803342 1.31497300326183e-50 3.27603607545964e-47 3.19998680343766e-47
"NIPSNAP2" 574.47416721224 -1.09178419945454 0.07532900117335 -14.4935440859236 1.33094538506786e-47 2.84213880228491e-44 2.77616193819655e-44
"UBE2T" 705.256216411681 -1.11839411310136 0.0776855456207036 -14.3964247681528 5.4490266892535e-47 1.01815063688702e-43 9.94515483622379e-44
"GLRX5" 1431.34310132048 -0.854390587913708 0.0595028879317542 -14.3588087504868 9.38260327915132e-47 1.55834615351949e-43 1.52217100532098e-43
"GLO1" 1310.00943137882 -1.17446448969068 0.0818633906528246 -14.3466387151184 1.11827263878215e-46 1.67159394045155e-43 1.63278987988582e-43
"ARPC1A" 1337.76800186103 -0.851687474615303 0.0596201154836343 -14.2852369155355 2.70488051946009e-46 3.67568672771722e-43 3.59036004223971e-43
"TWSG1" 355.785649397614 -1.26862093460579 0.0890045175298542 -14.2534443173658 4.26705470118619e-46 5.31532780611093e-43 5.1919388076683e-43
"TMPO" 950.978013444076 -1.19148354062087 0.0897028762335444 -13.2825567099855 2.92242692940021e-40 3.36034136466726e-37 3.28233504585942e-37
"CALU" 3469.61531505279 -1.15000381664544 0.0886257731396823 -12.9759524335311 1.67501171951674e-38 1.78843394166687e-35 1.74691757976171e-35
"CLDND1" 540.058278050861 -0.994799628359876 0.0793710127555356 -12.5335383009901 4.89299787396698e-36 4.87603548133723e-33 4.76284413051946e-33
"SMIM7" 793.898427251091 -1.03444912951333 0.0829014700441346 -12.4780553223316 9.83596553448665e-36 9.18925080059415e-33 8.97593329806497e-33
"IGF2BP3" 1705.04570124256 -0.766277960200628 0.062501788503034 -12.2600965276926 1.48323103044738e-34 1.30419632018397e-31 1.27392095738601e-31
"MAPK1IP1L" 1501.43344953485 -0.689951243819941 0.0570977455162088 -12.0836862748649 1.2881258210194e-33 1.069716931811e-30 1.04488472848357e-30
"SYPL1" 832.009523942644 -0.737571882346172 0.062966667870218 -11.7136876905476 1.08457586662718e-31 8.53275792333843e-29 8.33468012032813e-29
"POLR2H" 1000.86964467301 -0.658812018603823 0.056400864363415 -11.6808851431569 1.59624583094342e-31 1.19303413404711e-28 1.16533926888024e-28
"IREB2" 932.672826843043 -0.654393007444037 0.0560779680084945 -11.669342358213 1.82831085105071e-31 1.30140907626219e-28 1.27119841600912e-28
"NUP43" 256.58481475196 -1.23535756058668 0.106290612026293 -11.6224522282466 3.16907319143492e-31 2.08806337754754e-28 2.03959147548647e-28
"TRIM71" 765.144223559754 -0.814725509405553 0.0701063445150513 -11.6212807134829 3.21283500693026e-31 2.08806337754754e-28 2.03959147548647e-28
"RAP2A" 408.590458974019 -1.11440597781474 0.098698230061912 -11.2910431840134 1.45301798079373e-29 9.04988032371031e-27 8.83979814065386e-27
"GOLM2" 589.689703723027 -0.889051367247125 0.0790793646212071 -11.2425203655304 2.52080970392878e-29 1.50724253817309e-26 1.47225369948256e-26
"DCAF7" 1431.86192071833 -0.695707195918864 0.0619011664334171 -11.2389997798699 2.62337759506601e-29 1.50824031888641e-26 1.47322831790611e-26
"TCF3" 1164.01923457775 -0.721718415963065 0.0643556031815261 -11.2145389101138 3.45984818741793e-29 1.88448951706426e-26 1.84074333948723e-26
"SAMD4B" 1829.13271871361 -0.517476434496608 0.0461506578766984 -11.2127639844086 3.52995092840508e-29 1.88448951706426e-26 1.84074333948723e-26
"PRTG" 1893.72897876633 -0.630976742368629 0.0564685211567807 -11.1739554966699 5.46899668801104e-29 2.81898491353066e-26 2.75354553936721e-26
"FAM20B" 214.303714854839 -1.34553196225142 0.121773092988973 -11.0495014064664 2.20435733249256e-28 1.09835778020329e-25 1.07286071372413e-25
"JUND" 3316.12667750732 0.875250423555618 0.0793583987183279 11.0290837225963 2.76669415391671e-28 1.33408207137893e-25 1.30311294649477e-25
"GOLPH3" 542.259683610849 -1.02935726670872 0.0937926525610903 -10.9748177346649 5.05076122689617e-28 2.35933683811387e-25 2.30456764605972e-25
"MIR1244-1" 2115.11254858877 -0.94743301116717 0.0868582996633201 -10.907800576797 1.05784750194626e-27 4.79172862396749e-25 4.68049435633859e-25
