"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"EHMT1" 640.464792658356 -1.84411199801943 0.08156565372307 -22.6089280701473 3.54032381347991e-113 5.49033416994465e-109 5.16922680006202e-109
"TWF1" 506.986497995873 -1.53749805470677 0.0917078478924026 -16.7651743012294 4.38725759603352e-63 3.40187953996439e-59 3.20291740798427e-59
"ACTB" 54541.9953696646 -1.16098710084473 0.0708584545191459 -16.3845952995071 2.4640347017227e-60 1.27374167181052e-56 1.19924568932844e-56
"GOLM1" 713.418898197277 -0.95799077671584 0.0658994553187571 -14.5371577364641 7.04579062871561e-48 2.73165302675304e-44 2.57188972424692e-44
"CAND1" 862.82128376698 -0.814119448086904 0.0562380572956172 -14.4763081663269 1.71040360229621e-47 5.30498781288191e-44 4.99472059942539e-44
"H2AZ2" 1705.85483265788 -1.34151095556731 0.0947885554199323 -14.1526680053742 1.79803986917776e-45 4.64733371520145e-42 4.37553002164408e-42
"MAPK1IP1L" 1501.43344953485 -0.783646205488801 0.0575392366140608 -13.6193361539542 3.07348754687104e-42 6.80909212526802e-39 6.41085595312344e-39
"ARF3" 879.42347606728 -1.21906277642136 0.0908535448912123 -13.417888953932 4.75053584289577e-41 9.20891373145346e-38 8.67032173026514e-38
"TRIM71" 765.144223559754 -0.904279304851845 0.0707556320779509 -12.7803155493772 2.11210871769976e-37 3.63939799934309e-34 3.42654437634824e-34
"SYPL1" 832.009523942644 -0.787759116658326 0.0633693972915664 -12.4312231191627 1.76906641416457e-35 2.74346819508642e-32 2.58301387132169e-32
"RFLNB" 316.700943796961 -1.28641170278192 0.110843104291174 -11.6056989833364 3.85524472928201e-31 5.43519411470049e-28 5.11731166293151e-28
"NPM1" 6532.92203688566 -0.490427497456891 0.0441858373037327 -11.0992011780992 1.26570061280148e-28 1.63570709194379e-25 1.5400412206262e-25
"TOMM22" 1703.5652618897 -0.595861049994605 0.0549445689202237 -10.8447670389363 2.11173158349114e-27 2.51913333821389e-24 2.37179945004263e-24
"YWHAQ" 2470.65663747344 -0.566211116976861 0.0551363317075392 -10.2692924872156 9.69127760171975e-25 1.07351666462479e-21 1.01073103044793e-21
"TGIF1" 1656.07909108118 -0.568506502139517 0.0558220319893281 -10.1842674277461 2.33108977147928e-24 2.41003601174004e-21 2.26908278355793e-21
"SLC44A1" 176.850236608883 -1.6359366762329 0.161573852896917 -10.125008761638 4.27940406318301e-24 4.14781238824014e-21 3.90522367040845e-21
"TRAM1" 1165.21707253932 -1.13515120681488 0.112216529107352 -10.1157219515223 4.70535022810324e-24 4.2923865492603e-21 4.04134227532561e-21
"LMNB1" 979.79136335049 -0.859646682386941 0.086841769173458 -9.89900010753904 4.20457616582891e-23 3.62247595442637e-20 3.41061203318155e-20
"RHNO1" 562.793331600556 -0.876126722271694 0.0893432902408092 -9.80629569282985 1.05780599335478e-22 8.63392386576103e-20 8.12896068893323e-20
"EIF3B" 1129.1920762686 -0.725326660796283 0.0742066867054291 -9.77441108070947 1.44998128179382e-22 1.12431548590293e-19 1.05855883477358e-19
"GALNT1" 705.910453724138 -0.996335452493618 0.103031298458254 -9.6702212570611 4.03504760628671e-22 2.97978658468068e-19 2.80551095711392e-19
"DHRS7" 421.58622976857 -0.80961579885434 0.0846799560569179 -9.56089063520715 1.1674762776961e-21 8.00081453744633e-19 7.53287935654205e-19
"SRP9" 1872.21736766883 -0.614104606985694 0.0642422013090676 -9.5592086583592 1.18660519964706e-21 8.00081453744633e-19 7.53287935654205e-19
"TACC1" 258.056284454983 0.845304291279558 0.0887952083352967 9.51970615449914 1.73669433200002e-21 1.12219398752734e-18 1.05656141423051e-18
"TMEM167A" 1009.52841887027 -0.667897463410584 0.0705204425289871 -9.47097663398877 2.77239310729358e-21 1.71977089231635e-18 1.61918847038374e-18
"F11R" 257.223966788072 -0.936088374295029 0.102185846397014 -9.16064609043918 5.15875188519547e-20 3.07699708598505e-17 2.89703601060535e-17
"PRKAR1A" 1841.12781141431 0.506888121529432 0.0556048658705469 9.11589504971586 7.80237421795608e-20 4.48145256933566e-17 4.21935059097692e-17
"TERF2IP" 1176.61157245048 0.683522814182674 0.0752833682411742 9.07933359188943 1.09241638351449e-19 6.0504261698367e-17 5.69656129131967e-17
"CACNG4" 311.001470566001 -0.955745930536251 0.105751257051566 -9.03767914617047 1.60033303464641e-19 8.55791886251605e-17 8.05740090995594e-17
"CDC42" 1279.69989530832 -0.486256847150648 0.0545120572510803 -8.92017053972057 4.65570728687822e-19 2.40669028683025e-16 2.26593273652363e-16
"GOLGA7" 518.502512407852 -0.69439961954526 0.0786805393260666 -8.82555744397659 1.08915921135842e-18 5.44860679024078e-16 5.12993988549816e-16
"PURB" 700.002213701278 0.614149272806537 0.0699712505335454 8.7771658806084 1.6764564546384e-18 8.12452709329137e-16 7.64935646692977e-16
"JUND" 3316.12667750732 0.687566833761889 0.0795205524159182 8.64640414173297 5.31476460552624e-18 2.49761725765154e-15 2.35154175773602e-15
"CDK2" 336.787202214722 -0.920281048111727 0.106538014658449 -8.63805329076254 5.71789468227171e-18 2.60803266860793e-15 2.45549941928968e-15
"TMEM230" 1632.19467422886 -0.7269026656266 0.0848010848840938 -8.57185573297949 1.01830608093023e-17 4.51196877230459e-15 4.24808202504637e-15
"MAPK1" 774.161207288168 -0.665173781813432 0.0776877980015742 -8.56213973010219 1.10791807752374e-17 4.77266487395505e-15 4.49353106942337e-15
"ATG4A" 79.9767176600799 1.26719387686028 0.149604811637326 8.47027487279103 2.44814636866832e-17 1.02610415906239e-14 9.66091489970977e-15
"PSME1" 634.472245544852 -0.619531738827561 0.073590541877305 -8.41863265337121 3.80903708770987e-17 1.55448808305802e-14 1.46357238204347e-14
"PRKX" 338.283108386315 -0.985331141461608 0.117868572975375 -8.35957470756398 6.29447555326831e-17 2.50294171487397e-14 2.35655480905822e-14
"GNA11" 1559.09929160119 0.472241039134818 0.0567367818382452 8.32336667386535 8.54994364056997e-17 3.31481314944898e-14 3.12094317739905e-14
"EFTUD2" 874.31239379517 -0.695219632100203 0.0836317568657889 -8.31286652528276 9.34175722759038e-17 3.53346270940175e-14 3.32680481170847e-14
"KDM1A" 1437.89037620036 -0.364259498710898 0.0440648908020471 -8.26643370903294 1.38025754574417e-16 4.97791488823271e-14 4.68677684311875e-14
"LRATD2" 1003.24788667095 -1.12302301443638 0.135846157238687 -8.26687362575285 1.3751759801241e-16 4.97791488823271e-14 4.68677684311875e-14
"PSEN1" 510.797907277879 -0.637321444481468 0.0774261430963067 -8.23134691971849 1.85119984386385e-16 6.52463799514557e-14 6.14303839096729e-14
"TUBB3" 2979.0407141418 -0.527974600537348 0.064560970603666 -8.17792228959098 2.88779900156101e-16 9.95199709249068e-14 9.36994516039829e-14
"ATOSB" 360.663962884857 0.599770368566559 0.0734826342717212 8.16206950813374 3.29332581006097e-16 1.11028036222664e-13 1.04534456853696e-13
"PDCD6" 494.786373486319 -0.583180616994699 0.0717433089856848 -8.12871088941636 4.33879755293528e-16 1.43161856278554e-13 1.34788900149804e-13
"PCBP2" 10645.8056098733 -0.471143544761997 0.0584451366326537 -8.06129597614399 7.5489804102042e-16 2.43894975419681e-13 2.29630547852899e-13
"DSC2" 224.10775419618 -0.879525708826594 0.109356901280916 -8.04270876848704 8.78740002905762e-16 2.7811224418495e-13 2.6184658739647e-13
"PGD" 4153.65626635541 -0.597972212375383 0.0745291875014425 -8.02332928107943 1.0291698430885e-15 3.1920731853233e-13 3.00538177578704e-13
"SFXN1" 574.244702164978 -0.641319554433074 0.0805818852548452 -7.9586069797804 1.73986929053336e-15 5.29056724658654e-13 4.98114343354463e-13
