"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"NPM1" 6532.92203688566 -1.53905494052236 0.0454914746267378 -33.8317223864574 6.74011170719044e-251 9.69767272430561e-247 9.84123710366876e-247
"UBE2R2" 2609.45453917345 -0.97652892660838 0.0487814691181473 -20.0184402860696 3.80445329460862e-89 2.73692370014144e-85 2.77744112772902e-85
"TNPO1" 1752.12854105175 -0.824722306390038 0.0486329088039409 -16.9581118356467 1.67645625016272e-64 8.04028417578039e-61 8.15931256954196e-61
"GNG10" 254.048704250904 -1.82248378281152 0.113504250067119 -16.0565245947515 5.14587716113752e-58 1.85097201486117e-54 1.87837381074422e-54
"UBE2V2" 620.924160784035 -1.37889293953296 0.0861448714779582 -16.0066747546983 1.14782536613895e-57 2.75248522800119e-54 2.79323302849913e-54
"DNAJC25-GNG10" 258.140638192672 -1.77871772847459 0.111081472513823 -16.0127309102177 1.04136935178903e-57 2.75248522800119e-54 2.79323302849913e-54
"CAND1" 862.82128376698 -0.855205037559858 0.0559264199810227 -15.2916106171297 8.69723211091273e-53 1.7876539373116e-49 1.81411837216338e-49
"SET" 5536.9929650513 -1.04029178228184 0.0706939343160672 -14.7154319864385 5.13174794136816e-49 9.22944867255063e-46 9.36608146148956e-46
"SOX11" 4051.43303571432 -0.953130229955337 0.0657342697338166 -14.4997462330521 1.21598606548043e-47 1.94395639001471e-44 1.97273472689775e-44
"SRP9" 1872.21736766883 -0.925696304511293 0.0648674961501382 -14.2705724661968 3.33826959136522e-46 4.80310228805628e-43 4.87420743035236e-43
"ANP32E" 739.659731385375 -1.04669755180974 0.0754929445800745 -13.8648393917066 1.03457410557965e-43 1.35322293009818e-40 1.37325604686986e-40
"DCAF7" 1431.86192071833 -0.84774665277928 0.0621879292048419 -13.6320128941241 2.58354683112267e-42 3.09767265051608e-39 3.14353060676851e-39
"PDIA6" 3931.58247649204 -1.28893836468448 0.0950410969186159 -13.5619053911825 6.7363204464221e-42 7.45555219870163e-39 7.56592421832378e-39
"LEO1" 253.882645393317 -1.47057919810729 0.110977524542421 -13.2511443571186 4.44375155436497e-40 4.56690695458594e-37 4.63451546037735e-37
"GINM1" 604.60606431731 -0.953202446697651 0.0724185711090593 -13.1624034015 1.44417764039219e-39 1.38525519266419e-36 1.40576251515776e-36
"NPM1P27" 239.636080061473 -1.35601579899533 0.106122462610365 -12.777839541606 2.1804240744451e-37 1.96074634894476e-34 1.98977324443581e-34
"TMX1" 450.656139491374 -0.955541507816942 0.0765756510577116 -12.4783987418768 9.7936397946652e-36 8.28887584503781e-33 8.41158439070039e-33
"INIP" 344.588750838194 -1.11524678012317 0.0913820829094094 -12.2042171136409 2.95133532995138e-34 2.35910070707447e-31 2.39402484181223e-31
