"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"CDK2AP1" 1899.33766016848 -1.16445207533894 0.063245564344754 -18.4116006775032 1.06041613447409e-75 1.52572673428132e-71 1.54831359794562e-71
"SPTSSA" 1202.3669556366 -0.99881181263576 0.0604815634436162 -16.5143186744321 2.89410864333631e-61 2.08202175801614e-57 2.11284401506767e-57
"ZNF664" 616.121374162155 -1.10465101798865 0.0721135167441238 -15.3182242090373 5.77744560664457e-53 2.77086291294673e-49 2.81188277675391e-49
"ANP32A" 2002.85323492387 -0.92504168156097 0.0631864807553353 -14.6398671124418 1.5637355783703e-48 5.62475687539798e-45 5.70802579494619e-45
"KIF3B" 587.089001541955 -1.21163928879689 0.0847030721186542 -14.3045495103128 2.04960718533795e-46 5.89794963652848e-43 5.98526290262388e-43
"CLNS1A" 1330.3431691339 -0.842812522666389 0.062621127705213 -13.458916400131 2.7288874182964e-41 6.54387202907477e-38 6.64074753242429e-38
"GOLM1" 713.418898197277 -0.84716027293461 0.0652354232278749 -12.986200303712 1.46522883699238e-38 3.01167321523519e-35 3.05625803556082e-35
"METAP2" 1405.68949033451 -0.674800218058734 0.052301083511924 -12.9022225305311 4.37300295698674e-38 7.86484581814065e-35 7.98127702187042e-35
"AGPAT5" 624.549343090542 -0.956121900862242 0.0776075612737812 -12.3199580706997 7.07310554024699e-35 1.13075380570082e-31 1.14749348881274e-31
"FGFBP3" 2143.44419008956 -1.15759896369552 0.099219610414866 -11.6670379862939 1.87850274994082e-31 2.70278975661485e-28 2.74280186518859e-28
"FDX1" 220.076974887857 -1.32042476149306 0.114217783895406 -11.5605881716478 6.5260249558794e-31 8.53604064229026e-28 8.66240821643592e-28
"RBBP4" 2151.92700430938 -1.06813133515247 0.0936673260126465 -11.4034571138313 4.01838591579538e-30 4.81804471303866e-27 4.88937106304403e-27
"RANBP1" 1418.82696134668 -0.942509175814089 0.0850209405245056 -11.0856122032951 1.47339044321584e-28 1.63070320746073e-25 1.65484414318419e-25
"GTF2A2" 906.25566808615 -0.807448588863918 0.0753883979892166 -10.7105152835243 9.08546947175001e-27 9.33726676853851e-24 9.47549569693013e-24
"TFAM" 469.874693211957 -0.912972689769334 0.0872328931320628 -10.4659223945167 1.23864220850867e-25 1.18810560640151e-22 1.20569432576234e-22
"RNF20" 296.404855702779 -0.926912453219409 0.0886967304672426 -10.4503564938252 1.45975483007784e-25 1.3126845309475e-22 1.33211751712291e-22
"SETD1B" 328.073911242801 -1.37033338926324 0.131772438889745 -10.3992413042443 2.499150724983e-25 2.11516356653267e-22 2.14647645502805e-22
"SMDT1" 678.749712250735 -0.773147747393128 0.0744783433800367 -10.3808397489191 3.03097260089704e-25 2.42275743231703e-22 2.45862394142765e-22
"TMEM43" 792.969756180853 -0.748911413806154 0.073130040476331 -10.2408177122306 1.30131821251325e-24 9.85440339033718e-22 1.00002880110031e-21
"STARD3NL" 1114.12443333343 -0.58631560854074 0.0573126325123573 -10.2301287314681 1.45326071077759e-24 1.0454757553334e-21 1.06095298190318e-21
"MTLN" 394.075238124994 -1.19415542237043 0.117454749299962 -10.1669402854093 2.78520481679042e-24 1.90826318590384e-21 1.93651312047414e-21
"RTCA" 450.601703900865 -0.850983916609782 0.0838995425265005 -10.1428910216166 3.56393064069197e-24 2.33081063901255e-21 2.36531596748834e-21
"RPS7" 13427.6121447657 -0.458284905442701 0.0460447283185721 -9.95303745245147 2.44601228285931e-23 1.53014020546869e-20 1.55279240617516e-20
"MAN2A1" 1541.38607082278 -0.546089692573053 0.0560271657779356 -9.74687341382726 1.90237084512463e-22 1.14047132165222e-19 1.1573548629027e-19
"PPT1" 528.518553248379 -0.74650582165037 0.0771228326852238 -9.67943987090345 3.6873058816433e-22 2.12211828100335e-19 2.15353412711495e-19
"TNFRSF12A" 1395.14341896409 -1.49659034378684 0.157226199862524 -9.51870836473461 1.75344826790865e-21 9.7033129533345e-19 9.846960830667e-19
"HEG1" 1644.69986786767 -0.790636057941579 0.0838484992709729 -9.42934059423632 4.12675080637068e-21 2.1990996519282e-18 2.23165513051179e-18
"MAP1B" 12221.3948351756 -0.626871429246009 0.0665234060728928 -9.42332129775673 4.37040282786513e-21 2.24576271026155e-18 2.27900898891638e-18
