Tube	Sample
1	ctrl1_luciferase_rep1
2	NR2F1-AS1_rep1
3	CLASP1_rep1
4	ctrl2_lacZ1to3_rep1
5	BAZ2B_rep1
6	PPP3CA_rep1
7	ctrl3_lacZ4to6_rep1
8	SETD1B_rep1
9	EHMT1_rep1
10	ctrl1_luciferase_rep2
11	NR2F1-AS1_rep2
12	CLASP1_rep2
13	ctrl2_lacZ1to3_rep2
14	BAZ2B_rep2
15	PPP3CA_rep2
16	ctrl3_lacZ4to6_rep2
17	SETD1B_rep2
18	EHMT1_rep2
19	ctrl1_luciferase_rep3
20	NR2F1-AS1_rep3
21	CLASP1_rep3
22	ctrl2_lacZ1to3_rep3
23	BAZ2B_rep3
24	PPP3CA_rep3
25	ctrl3_lacZ4to6_rep3
26	SETD1B_rep3
27	EHMT1_rep3
