fastqs,sample,library_type
/n/groups/walsh/indData/Maya/Finalized_Convergence_In_ASD/Organoids/raw_data/day_60_organoids_scrna/Align_Data/0_Downsample_FASTQs/FASTQ,downsampled_22LC52LT4_1_0455625611_EGFP_AD1-1,CRISPR Guide Capture
/n/groups/walsh/indData/Maya/Finalized_Convergence_In_ASD/Organoids/raw_data/day_60_organoids_scrna/Align_Data/0_Downsample_FASTQs/FASTQ,downsampled_22LC52LT4_2_0455625611_EGFP_AD1-1,CRISPR Guide Capture
/n/groups/walsh/indData/Maya/Finalized_Convergence_In_ASD/Organoids/raw_data/day_60_organoids_scrna/Align_Data/0_Downsample_FASTQs/FASTQ,downsampled_22LC52LT4_3_0455625611_EGFP_AD1-1,CRISPR Guide Capture
/n/groups/walsh/indData/Maya/Finalized_Convergence_In_ASD/Organoids/raw_data/day_60_organoids_scrna/Align_Data/0_Downsample_FASTQs/FASTQ,downsampled_22LC52LT4_4_0455625611_EGFP_AD1-1,CRISPR Guide Capture
/n/groups/walsh/indData/Maya/Finalized_Convergence_In_ASD/Organoids/raw_data/day_60_organoids_scrna/Align_Data/0_Downsample_FASTQs/FASTQ,downsampled_22LC52LT4_5_0455625611_EGFP_AD1-1,CRISPR Guide Capture
/n/groups/walsh/indData/Maya/Finalized_Convergence_In_ASD/Organoids/raw_data/day_60_organoids_scrna/Align_Data/0_Downsample_FASTQs/FASTQ,downsampled_22LC52LT4_6_0455625611_EGFP_AD1-1,CRISPR Guide Capture
/n/groups/walsh/indData/Maya/Finalized_Convergence_In_ASD/Organoids/raw_data/day_60_organoids_scrna/Align_Data/0_Downsample_FASTQs/FASTQ,downsampled_22LC52LT4_7_0455625611_EGFP_AD1-1,CRISPR Guide Capture
/n/groups/walsh/indData/Maya/Finalized_Convergence_In_ASD/Organoids/raw_data/day_60_organoids_scrna/Align_Data/0_Downsample_FASTQs/FASTQ,downsampled_22LC52LT4_8_0455625611_EGFP_AD1-1,CRISPR Guide Capture
/n/groups/walsh/indData/Maya/Finalized_Convergence_In_ASD/Organoids/raw_data/day_60_organoids_scrna/FASTQ,22LC52LT4_1_0455625611_transc_AD1-1,Gene Expression
/n/groups/walsh/indData/Maya/Finalized_Convergence_In_ASD/Organoids/raw_data/day_60_organoids_scrna/FASTQ,22LC52LT4_2_0455625611_transc_AD1-1,Gene Expression
/n/groups/walsh/indData/Maya/Finalized_Convergence_In_ASD/Organoids/raw_data/day_60_organoids_scrna/FASTQ,22LC52LT4_3_0455625611_transc_AD1-1,Gene Expression
/n/groups/walsh/indData/Maya/Finalized_Convergence_In_ASD/Organoids/raw_data/day_60_organoids_scrna/FASTQ,22LC52LT4_4_0455625611_transc_AD1-1,Gene Expression
/n/groups/walsh/indData/Maya/Finalized_Convergence_In_ASD/Organoids/raw_data/day_60_organoids_scrna/FASTQ,22LC52LT4_5_0455625611_transc_AD1-1,Gene Expression
/n/groups/walsh/indData/Maya/Finalized_Convergence_In_ASD/Organoids/raw_data/day_60_organoids_scrna/FASTQ,22LC52LT4_6_0455625611_transc_AD1-1,Gene Expression
/n/groups/walsh/indData/Maya/Finalized_Convergence_In_ASD/Organoids/raw_data/day_60_organoids_scrna/FASTQ,22LC52LT4_7_0455625611_transc_AD1-1,Gene Expression
/n/groups/walsh/indData/Maya/Finalized_Convergence_In_ASD/Organoids/raw_data/day_60_organoids_scrna/FASTQ,22LC52LT4_8_0455625611_transc_AD1-1,Gene Expression
