name,gene symbol,ensembl ID,ASD gene (SFARI+AutismKB),"ASD gene (Willsey et al., 2013)",log2FC (KD/control),FC (KD/control),converged,p-value,adjusted p-value,Direction of regulation (p<0.05),Chip-seq binding site (all 3 antibodies); '0' indicates absence of a binding site; '1' indicates presence of a binding site.,correlation with CHD8 expression,"correlation with CHD8 expression, pvalue","Coexpression module (CHD8-correlated modules are darkgrey, magenta, darkred and pink)",sh2a,sh2b,sh4a,sh4b,sh5a,sh5b,sh6a,sh6b,sh6_2a,sh6_2b,GFPa,GFPb,GFP_2a,GFP_2b,LacZa,LacZ_2a,LacZ_2b,sh2a,sh2b,sh4a,sh4b,sh5a,sh5b,sh6a,sh6b,sh6_2a,sh6_2b,GFPa,GFPb,GFP_2a,GFP_2b,LacZa,LacZ_2a,LacZ_2b,mean logFPKM_KDs_round1,mean logFPKM_KDs_round2,mean logFPKM_controls_round1,mean logFPKM_controls_round2
LAMA4|ENSG00000112769,LAMA4,ENSG00000112769,0,0,-2.149018941,-4.435260804,TRUE,5.95E-13,9.45E-09,down,0,0.685964912,0.001184675,pink,5.586273823,5.391856675,4.170811523,4.388173184,4.13206638,4.153295371,3.964241587,4.145830933,5.34725641,5.374141833,6.892430194,7.323116425,6.470391996,6.373403305,7.604766009,6.280948257,6.351841283,5.97761,5.69034,2.85609,3.39734,2.86149,2.09709,3.36195,4.26468,5.4741,5.55835,15.7228,20.6391,10.8351,9.40978,25.3341,9.30695,9.90973,1.799093525,2.207839764,4.362843898,3.303837724
ATP6C|ENSG00000259784,ATP6C,ENSG00000259784,0,0,2.155662723,4.455732807,TRUE,9.42E-12,7.49E-08,up,0,-0.847368421,4.68E-06,turquoise,2.883904157,3.133376414,4.548745736,4.425245194,3.156220158,2.660289761,5.085827096,4.790374263,3.17662473,3.070489311,-0.495433828,-0.036093006,2.437872677,2.632949814,-0.258446166,2.60753073,2.58701191,1.91E-82,1.04E-56,1.38E-53,0.189223,4.73E-25,4.23E-55,0.117997,0.138182,4.27E-35,1.21E-105,0,3.45E-171,3.19E-54,1.93E-21,1.63E-128,0.119149,3.13E-47,-3.042748042,-6.64385619,-6.64385619,-4.651550003
TSPAN15|ENSG00000099282,TSPAN15,ENSG00000099282,0,0,-2.009081984,-4.025260031,TRUE,4.70E-11,2.49E-07,down,0,0.842105263,6.13E-06,magenta,0.775537907,1.113110154,1.648030473,1.680284443,0.294944268,0.274799099,0.950644372,0.261245909,0.658329652,1.203230997,2.646821759,2.546189362,2.63338256,2.709083387,3.311557527,3.102198034,3.037903582,1.1023,1.45611,1.36814,1.38204,0.839922,0.91503,0.779242,0.613663,0.964606,1.81355,3.29827,2.65278,4.48244,4.41546,4.54971,5.8955,5.62083,0.064567314,0.253287004,1.811575153,2.354327323
EVA1B|ENSG00000142694,EVA1B,ENSG00000142694,0,0,2.272419793,4.831327973,TRUE,7.27E-11,2.89E-07,up,0,-0.652631579,0.002454158,turquoise,0.687230845,1.83756695,2.967573767,3.289765981,1.277976973,-0.529007314,2.817685636,2.951828373,2.75008754,2.004743149,-0.661784729,-2.044147651,0.958915772,1.605103578,-1.910456932,1.398704661,1.178155479,1.36881,3.00528,22.3651,30.0847,2.27774,0.570158,21.5515,24.4132,5.31135,2.88508,1.67168,0.652943,1.56722,2.42966,0.660127,2.09225,2.03056,4.621385243,1.36722362,0.00707587,1.028514343
TIMP3|ENSG00000100234,TIMP3,ENSG00000100234,0,0,-1.690991632,-3.22878557,TRUE,2.65E-10,6.76E-07,down,0,0.796491228,4.49E-05,darkred,4.932016346,4.887428555,4.091187923,5.058079123,2.096191147,2.392259738,2.397724721,2.26903375,4.806133676,4.827526119,6.582116047,6.498413577,5.564892268,5.486516119,6.535056349,5.324044387,5.28455033,4.7157,4.65104,4.96413,9.55964,0.660609,0.808812,1.52221,1.38762,4.21063,4.25309,24.6149,23.2685,7.04245,6.55496,22.301,5.92757,5.66349,2.127104965,1.690035679,4.548732532,2.656980811
NCAM1|ENSG00000149294,NCAM1,ENSG00000149294,0,0,-1.554526281,-2.937372602,TRUE,2.99E-10,6.76E-07,down,1,0.887719298,3.97E-07,midnightblue,5.338972044,5.298656892,4.963386279,4.531010283,4.183071068,4.239921223,4.32883592,3.933880174,2.46049732,2.587230905,6.17219932,6.057282582,6.047563753,5.917535038,6.159576206,5.948630121,5.907412043,8.22516,7.33923,7.64589,5.39011,3.69493,3.3065,5.2883,3.59538,1.6701,1.37034,20.0751,15.2424,11.1177,10.7151,21.6339,10.2762,9.67556,2.456785126,2.096838681,4.247456662,3.386278458
MLC1|ENSG00000100427,MLC1,ENSG00000100427,0,0,-1.496191609,-2.820970558,TRUE,3.07E-10,6.76E-07,down,0,0.622807018,0.004395931,pink,4.975037136,5.071517627,4.319768432,4.082963362,4.93506369,4.806536724,5.287986019,5.477425138,5.39510703,5.215979327,6.625714158,6.480061461,6.022137036,6.093261808,6.716658019,6.258943573,6.26661865,10.5524,11.9071,2.60889,2.50659,10.3202,9.75037,5.35484,6.06153,14.1618,12.6025,16.3509,15.0602,25.3443,25.716,17.2618,29.4263,30.084,2.050662762,3.530952383,4.020973274,4.789345838
KCNJ10|ENSG00000177807,KCNJ10,ENSG00000177807,1,0,-2.306044097,-4.945252198,TRUE,3.44E-10,6.76E-07,down,0,0.59122807,0.007676473,green,-2.51351797,-1.920747371,0.274221682,1.151100113,-0.507962743,-0.635549934,-0.096324916,-1.773366012,-1.102142358,-0.573773391,-0.60459887,0.796674616,1.658218957,1.479247109,1.747515371,1.593169656,1.511165994,0.0594227,0.0914007,0.0332181,0.0619181,0.231684,0.222609,0.01645,0.00747369,0.156251,0.216155,0.0211849,0.0568813,1.40509,1.2403,0.0824426,1.32785,1.25594,-4.652358017,-2.531820016,-3.977032955,0.397578464
C1orf159|ENSG00000131591,C1orf159,ENSG00000131591,0,0,1.658934646,3.157832494,TRUE,3.82E-10,6.76E-07,up,0,-0.798245614,4.20E-05,turquoise,4.314619308,4.505278456,5.311795403,5.121940436,4.486453004,3.874349086,5.298795191,5.209139556,4.464832238,4.370969704,2.160602362,2.107353938,3.719378928,3.964925454,2.308833195,3.573487735,3.588749214,7.90985,9.45565,15.4429,13.9555,9.12894,5.20323,15.3868,14.7438,7.63835,6.94783,1.54374,1.50041,5.35076,7.49976,2.06392,5.40256,5.25967,3.896489835,2.949343495,0.776264045,2.557823612
LRRC4B|ENSG00000131409,LRRC4B,ENSG00000131409,0,0,1.560547649,2.949657917,TRUE,9.17E-10,1.46E-06,up,1,-0.733333333,0.000353425,turquoise,5.678774413,6.149562356,7.408072167,7.283396958,6.244320513,5.606307189,7.410003857,7.086850373,6.619096129,6.346560234,3.611821635,4.138442822,5.615252337,5.939070031,4.116401822,5.932139871,5.875553329,20.945,26.9241,41.8967,40.2568,30.8487,19.3829,46.0631,36.6789,31.6598,27.0243,5.03028,7.15186,22.7613,27.005,7.14949,27.3452,26.9758,5.365758141,4.708231388,2.690166008,4.702204552
SOLH|ENSG00000103326,SOLH,ENSG00000103326,0,0,1.667514607,3.176668635,TRUE,1.22E-09,1.76E-06,up,0,-0.631578947,0.00372596,turquoise,4.116840703,4.610100255,5.560060552,5.299279617,3.871755899,3.500077248,5.708822979,5.579213835,4.51123782,4.215253606,1.77681314,1.490980046,3.992512751,4.356082693,2.173618384,4.037216934,3.892915232,3.63729,4.84843,14.3499,11.9422,3.40984,2.58725,15.7397,15.1877,4.64174,3.54225,1.74445,1.09098,3.90211,4.96928,2.41722,3.69912,3.22295,3.839443167,1.921360157,0.816299327,1.984904649
RBM38|ENSG00000132819,RBM38,ENSG00000132819,0,0,1.871314633,3.658658176,TRUE,1.40E-09,1.85E-06,up,0,-0.640350877,0.003142474,turquoise,2.77146393,3.238984064,4.695142028,4.552252714,2.82239959,1.625388573,4.491509795,4.310683887,3.5690266,3.15385597,0.57355202,-0.180373436,2.620210066,2.839782409,0.139546845,2.895925926,2.807746457,13.608,17.3748,28.1221,27.4327,15.9611,10.892,27.8995,25.3383,14.2081,11.7954,9.42617,8.20163,13.9773,15.9572,10.8661,16.4316,15.3631,4.76596696,3.805626088,3.249136845,3.948815741
ARHGDIA|ENSG00000141522,ARHGDIA,ENSG00000141522,0,0,1.416707404,2.669755093,TRUE,2.17E-09,2.66E-06,up,1,-0.833333333,9.40E-06,darkgrey,7.804633436,8.043262383,7.891083748,7.964355551,8.02801322,7.493552098,8.468859292,8.204029919,7.87265807,7.665255701,6.062409465,6.484329104,6.616728134,6.890681407,5.8289126,7.138891432,7.145605019,120.804,134.378,103.386,117.284,142.79,113.113,162.158,139.064,107.535,100.279,42.7127,61.4628,63.7282,66.3672,51.1249,85.8627,85.1419,7.027718047,6.90480319,5.694233899,6.234290542
C19orf24|ENSG00000228300,C19orf24,ENSG00000228300,0,0,1.742249414,3.345563934,TRUE,2.75E-09,3.13E-06,up,0,-0.814035088,2.23E-05,turquoise,3.096189946,3.332644856,4.391420205,4.199723559,3.396628988,2.719844758,4.423318332,4.382359705,3.387404176,3.115377483,-0.372270983,1.114807977,2.555622609,2.92397134,1.096201062,2.444504375,2.644901792,6.03188,6.83724,10.7889,8.89376,8.29987,5.46153,12.9274,11.1316,5.59912,4.99319,0.742948,1.23021,3.24745,4.37779,1.06417,3.78194,3.52037,3.452254751,2.635476968,0.032019947,1.903766185
C19ORF24|ENSG00000226593,C19ORF24,ENSG00000226593,0,0,1.801937869,3.486882789,TRUE,3.60E-09,3.60E-06,up,0,-0.810526316,2.58E-05,turquoise,2.73787103,2.985533959,3.99599211,3.829678799,3.037699911,2.184394523,4.146623497,4.097237924,3.069957492,2.768021592,-1.078221649,0.654669037,2.137589449,2.509656135,0.728686617,1.962962654,2.193520823,6.49179,7.65906,5.41983,6.54634,6.34224,2.38725,6.53193,7.1043,7.32063,5.68873,0.037965,0.498222,6.08338,6.74961,0.901495,4.11685,5.76506,2.680459392,2.582945326,-1.031423085,2.508105341
CHD8|ENSG00000100888,CHD8,ENSG00000100888,1,1,-1.354671185,-2.557388223,TRUE,3.62E-09,3.60E-06,down,1,1,0,magenta,6.560164592,6.513207159,6.563395308,6.483936134,6.268322374,6.378818417,6.143108667,6.254601102,6.043578575,5.952870375,7.834448708,7.700963905,7.6615598,7.482832437,7.709078394,7.657220154,7.663544413,12.7768,11.726,12.8512,11.4686,12.4873,11.9001,9.45259,9.6779,8.97336,8.36188,24.4378,22.8924,23.2136,22.6999,29.9338,24.3107,24.9923,3.442621424,3.465657603,4.687322022,4.573745636
SCN2A|ENSG00000136531,SCN2A,ENSG00000136531,1,1,-2.87027775,-7.312059196,TRUE,3.85E-09,3.60E-06,down,0,0.659649123,0.002120531,pink,0.615680915,-0.070019379,-1.828664313,-1.318340548,0.301122578,0.469923903,-0.680117538,-0.446775489,-1.184187346,-0.135973194,2.411721716,2.886658439,1.115187066,1.075271833,3.122441009,2.799123256,2.797197061,0.175074,0.195862,0.0625835,0.112015,0.26152,0.231292,0.115834,0.187582,0.0512734,0.0987788,0.775135,1.3707,0.264154,0.339424,1.4676,0.661437,0.828189,-2.948935613,-2.482236922,0.280336752,-0.906978062
