Unique gene list,Bias,Chromosome
AC007319.1,male,2
AC008014.1,male,12
AC009120.2,male,16
AC064807.1,female,8
AC079447.1,female,2
AC092691.1,male,3
AC097376.3,male,4
AC104596.1,male,4
AC105052.4,male,7
AGL,female,1
AL157392.3,female,10
AL445250.1,male,6
AL672310.1,female,6
ALDH7A1,female,5
APIP,male,11
ARL17A,male,17
ARL17B,male,17
BANP,male,16
C1D,female,2
C3orf38,female,3
CABIN1,female,22
CAMKMT,male,2
CATSPER2,male,15
CBWD5,male,9
CBWD6,female,9
CCDC144A,male,17
CCSER1,female,4
CDRT4,male,17
CENPP,male,9
CEP192,female,18
CEP295,female,11
CHM,female,X
CHSY1,male,15
CRK,male,17
CSGALNACT2,male,10
CYB5A,male,18
CYP7B1,female,8
DDX3X,female,X
EPB41L5,female,2
FAM106A,male,17
FANCC,male,9
FBXL4,female,6
FDPS,male,1
FHIT,female,3
GARS-DT,male,7
GDAP1,male,8
GLCE,female,15
GOSR2,female,17
GPI,male,19
GTF2H2,male,5
GTF2H2C,male,5
IMMP1L,female,11
IMMP2L,female,7
IMMT,female,2
INVS,female,9
JAM3,male,11
JARID2,male,6
JMY,female,5
JPX,female,X
KANSL1,male,17
KDM3A,male,2
KDM5B,male,1
KDM5C,female,X
KDM6A,female,X
KIAA0232,male,4
LINC00894,female,X
LRRC37A,male,17
LRRC37A2,male,17
LRRC37A3,male,17
LSM6,female,4
MBNL2,male,13
MCCC2,female,5
MLYCD,female,16
MTR,female,1
MYEF2,female,15
NAIP,male,5
NBPF11,female,1
NMRK1,male,9
NPIPB3,female,16
NUTM2B-AS1,female,10
PAK2,female,3
PARP11,female,12
PAXBP1,female,21
PCNX4,male,14
PDE8A,female,15
PHF3,female,6
PI4K2B,male,4
PPM1A,female,14
PRIMPOL,male,4
QRSL1,female,6
RAB27A,female,15
RAD51B,female,14
RB1,male,13
RNF146,female,6
RPS4Y1,male,Y
RRP1B,male,21
SCFD1,female,14
SCGB2B2,male,19
SIK2,male,11
SLC35F5,female,2
SNX14,female,6
SREBF2,male,22
SREK1,female,5
SRSF11,female,1
STX12,male,1
SUPT5H,female,19
TAF11,female,6
TCERG1,female,5
TM9SF3,female,10
TOB2,male,22
TPTE2,male,13
TRIQK,female,8
TTC21B,female,2
TTLL5,male,14
TTTY14,male,Y
TXNL4B,female,16
UBA1,female,X
UBA6-AS1,male,4
UGGT2,female,13
USP9X,female,X
USP9Y,male,Y
UTY,male,Y
VSIG10,female,12
XIST,female,X
YTHDC2,female,5
Z93930.2,male,22
ZBED4,male,22
ZFX,female,X
ZKSCAN8,female,6
ZNF266,female,19
ZNF678,female,1
ZNF700,male,19
ZNF718,female,4
