gene	tissue	effsize	effsize_se	lfsr
ENSG00000229807.10	Adipose_Subcutaneous	9.80212449699731	0.0713145484579217	0
ENSG00000147050.14	Adipose_Subcutaneous	0.623655846775643	0.0120534026390605	0
ENSG00000126012.11	Adipose_Subcutaneous	0.455891734012359	0.0104619543501119	0
ENSG00000141449.14	Adipose_Subcutaneous	-1.37803893440745	0.092807497215301	0
ENSG00000214717.11	Adipose_Subcutaneous	-0.27754558531347	0.0166832971558075	0
ENSG00000002586.18	Adipose_Subcutaneous	-0.254804509258467	0.0171123922611654	0
ENSG00000216921.7	Adipose_Subcutaneous	-1.80359894067596	0.164460215807523	0
ENSG00000185053.13	Adipose_Subcutaneous	-2.2432921496313	0.189607190314004	0
ENSG00000237949.1	Adipose_Subcutaneous	-1.18496887738602	0.102708090921622	0
ENSG00000223773.7	Adipose_Subcutaneous	-0.334463035130223	0.0278498494687791	0
ENSG00000265984.1	Adipose_Subcutaneous	-1.72037870805231	0.154879904539731	0
ENSG00000133105.7	Adipose_Subcutaneous	-2.1223455584946	0.184365895956248	0
ENSG00000115112.7	Adipose_Subcutaneous	-0.790745856864085	0.0844189476906326	0
ENSG00000145244.11	Adipose_Subcutaneous	-1.01581194581692	0.102930173398453	0
ENSG00000140835.9	Adipose_Subcutaneous	-1.53720114348983	0.172208056594254	0
ENSG00000255282.6	Adipose_Subcutaneous	-2.06648052958487	0.203280654498796	0
ENSG00000258484.3	Adipose_Subcutaneous	-0.78055162979264	0.0740774531505878	0
ENSG00000170074.19	Adipose_Subcutaneous	-0.867254488211055	0.0968220458584944	0
ENSG00000205611.4	Adipose_Subcutaneous	-1.32003371851556	0.12112196778572	0
ENSG00000143125.5	Adipose_Subcutaneous	-1.42658590648091	0.142068409320354	0
ENSG00000163618.17	Adipose_Subcutaneous	-1.4875447034732	0.145959037955913	0
ENSG00000124243.17	Adipose_Subcutaneous	-0.69368236399908	0.0882937266891075	0
ENSG00000080007.7	Adipose_Subcutaneous	-0.978029545645557	0.097106379748399	0
ENSG00000162493.16	Adipose_Subcutaneous	-0.528346871167177	0.0627948360488776	0
ENSG00000169084.13	Adipose_Subcutaneous	-0.203415375066955	0.0209276546957248	0
ENSG00000165966.14	Adipose_Subcutaneous	-0.748083915659245	0.0827586766476801	0
ENSG00000160111.12	Adipose_Subcutaneous	-0.800681612449312	0.0914825264385537	0
ENSG00000255346.9	Adipose_Subcutaneous	-0.829687841266461	0.0945531208403397	0
ENSG00000173674.10	Adipose_Subcutaneous	0.50110317911332	0.0134821136016809	2.26600962809732e-291
ENSG00000198034.10	Adipose_Subcutaneous	0.481725359871276	0.0148800184308056	9.63602822118333e-226
ENSG00000005889.15	Adipose_Subcutaneous	0.518355444036706	0.0179162118560454	1.89714580651584e-180
ENSG00000169895.5	Adipose_Subcutaneous	0.38151139643757	0.0136974034241149	3.87980070056045e-169
ENSG00000215301.9	Adipose_Subcutaneous	0.37028304591832	0.0140412903200443	4.47303002736241e-150
ENSG00000056998.19	Adipose_Subcutaneous	0.866952332953186	0.0417722919835561	1.12316765361156e-95
ENSG00000130021.13	Adipose_Subcutaneous	0.471384222263812	0.022711370923418	3.06815801714305e-95
ENSG00000072501.17	Adipose_Subcutaneous	0.256340210238786	0.012528777916853	8.39634518618627e-89
ENSG00000169249.12	Adipose_Subcutaneous	0.374063079748161	0.0193574814179536	3.17776921710726e-79
