Gene	MCF7_siCtrl_rep1	MCF7_siCtrl_rep2	MCF7_siCtrl_rep3	MCF7_siZFX_rep1	MCF7_siZFX_rep2	MCF7_siZFX_rep3
5S_rRNA	nan	nan	nan	nan	nan	nan
7SK	nan	nan	nan	nan	nan	nan
A1BG	1.37452	1.18353	1.50336	0.953732	1.42094	1.62061
A1BG-AS1	3.21891	3.87847	3.08504	3.16653	2.72673	3.37906
A1CF	nan	nan	nan	nan	nan	nan
A2M	nan	nan	nan	nan	nan	nan
A2M-AS1	0.447877	0.261871	0.346472	0.300267	0.176381	0.138374
A2ML1	0.447877	0.602304	0.669846	0.725646	0.881906	0.636523
A2ML1-AS1	nan	nan	nan	nan	nan	nan
A2ML1-AS2	nan	nan	nan	nan	nan	nan
A2MP1	nan	nan	nan	nan	nan	nan
A3GALT2	nan	nan	nan	nan	nan	nan
A4GALT	12.6113	12.7008	12.8887	15.3136	13.5814	13.4777
A4GNT	nan	nan	nan	nan	nan	nan
AAAS	26.4483	28.3868	28.2028	32.5792	31.3202	29.0586
AACS	53.6037	54.6524	53.4952	60.1285	57.8028	59.1968
AACSP1	0.117862	0.157123	0.138589	0.100089	0.201579	0.332099
AADAC	nan	nan	nan	nan	nan	nan
AADACL2	nan	nan	nan	nan	nan	nan
AADACL3	nan	nan	nan	nan	nan	nan
AADACL4	nan	nan	nan	nan	nan	nan
AADAT	4.52591	4.53037	4.45794	2.62734	3.7292	2.76749
AAED1	6.15241	7.82995	7.53	6.13047	7.30721	8.13642
AAGAB	56.8335	59.6017	61.9028	55.0742	58.9366	60.6356
AAK1	15.2839	13.1699	11.1094	16.2683	17.5746	16.6347
AAMDC	0.801463	0.766986	0.854631	0.425379	0.75592	0.608848
AAMP	103.955	105.613	103.664	113.177	95.7496	96.9172
AANAT	nan	nan	nan	nan	nan	nan
AAR2	17.6794	17.0217	17.6701	18.2913	16.227	14.7507
AARD	1.48506	1.59741	1.73236	1.3512	1.43625	1.54979
AARS	252.651	242.52	253.759	316.301	315.469	314.224
AARS2	17.2078	17.912	18.4785	22.3949	18.9484	17.3245
AARSD1	8.79591	8.97163	8.708	11.0802	10.6796	11.1805
AASDH	6.36456	7.07052	7.27591	5.10455	5.74499	5.83941
AASDHPPT	16.359	18.3044	16.5144	10.7596	12.7243	12.9796
AASS	0.707174	0.576117	0.577454	0.375334	0.579538	0.774897
AATF	28.5698	25.8991	26.9555	25.2475	27.1879	25.6823
AATK	0.872181	0.995111	0.716043	0.675602	0.932301	0.802572
AATK-AS1	nan	nan	nan	nan	nan	nan
AB015752.3	nan	nan	nan	nan	nan	nan
AB019438.66	nan	nan	nan	nan	nan	nan
AB019440.1	nan	nan	nan	nan	nan	nan
AB019440.50	nan	nan	nan	nan	nan	nan
AB019441.29	0.598602	0.560414	0.693061	0.4072	0.680454	0.41531
ABAT	115.435	115.252	120.352	102.113	98.8788	100.625
ABC12-47043100G14.2	nan	nan	nan	nan	nan	nan
