Row.names,Gene.stable.ID,Crab.eating.macaque.gene.stable.ID,Mouse.gene.stable.ID,Rat.gene.stable.ID,Dog.gene.stable.ID,Skin,Heart,Brain,Muscle,Spleen,Adipose,Thyroid,Colon,Lung,Liver,Pituitary,Adrenal,Human expression breadth,Chicken expression breadth,Brain expression constraint percentile,Heart expression constraint percentile,Liver expression constraint percentile,Lung expression constraint percentile,Muscle expression constraint percentile,Mean mammalian phyloP score
A1CF,ENSG00000148584,ENSMFAG00000035948,ENSMUSG00000052595,ENSRNOG00000033195,ENSCAFG00000015581,0,0,0,0,0,0,0,10,0,0,0,0,0.098398663,0.197475661,0.242454728,0.328107871,0.563299841,0.105388367,NA,4.674
A4GALT,ENSG00000128274,ENSMFAG00000030432,ENSMUSG00000047878,ENSRNOG00000009736,ENSCAFG00000000946,0,0,0,-1,0,-10,0,-10,-10,0,11,8,0.457751481,0.232079296,NA,NA,NA,NA,NA,1.69355
AAAS,ENSG00000094914,ENSMFAG00000039804,ENSMUSG00000036678,ENSRNOG00000013445,ENSCAFG00000006963,-4,0,7,0,0,-11,-9,-8,-10,0,0,0,0.393440483,NA,NA,NA,NA,NA,NA,3.36721
AACS,ENSG00000081760,ENSMFAG00000028497,ENSMUSG00000029482,ENSRNOG00000000967,ENSCAFG00000006931,0,1,0,0,0,-1,0,0,0,-1,0,0,0.300897923,0.340287187,0.859490275,0.659504495,0.359280804,0.690496015,0.733826248,4.04721
AADAC,ENSG00000114771,ENSMFAG00000031479,ENSMUSG00000027761,ENSRNOG00000013950,ENSCAFG00000008554,8,0,0,0,0,0,0,0,0,-11,0,0,0.11702649,NA,NA,NA,NA,NA,NA,1.61075
AADACL3,ENSG00000188984,ENSMFAG00000038244,ENSMUSG00000078507,ENSRNOG00000026613,ENSCAFG00000016370,8,0,0,0,0,0,0,0,0,0,0,0,0.290562499,NA,NA,0.518745889,0.164410365,NA,0.919901417,NA
AADAT,ENSG00000109576,ENSMFAG00000042881,ENSMUSG00000057228,ENSRNOG00000011861,ENSCAFG00000007683,0,0,0,0,0,0,0,0,0,8,-6,9,0.268304803,0.33645723,NA,NA,NA,NA,NA,3.1115
AAGAB,ENSG00000103591,ENSMFAG00000040550,ENSMUSG00000037257,ENSRNOG00000008424,ENSCAFG00000017414,9,0,0,0,8,0,9,10,0,0,-6,0,NA,NA,NA,NA,NA,NA,NA,NA
AAK1,ENSG00000115977,ENSMFAG00000032641,ENSMUSG00000057230,ENSRNOG00000018317,ENSCAFG00000003309,0,0,0,-6,0,-8,0,0,6,0,-6,0,0.50299867,NA,0.747484909,0.357816268,0.539925965,0.401689069,0.677141097,3.84883
AAMDC,ENSG00000087884,ENSMFAG00000034422,ENSMUSG00000035642,ENSRNOG00000012584,ENSCAFG00000004861,0,0,0,6,0,0,0,0,0,0,0,0,0.40521856,NA,NA,NA,NA,NA,NA,NA
