EnsemblID,gene_name,Chr,Biotype,ChrCat,logFC_UCLA,CI.L_UCLA,CI.R_UCLA,AveExpr_UCLA_AllSamples,AveExpr_UCLA_Males,AveExpr_UCLA_Females,t_UCLA,P.Value_UCLA,adj.P.Val_UCLA,B_UCLA,SE_UCLA,SE2_UCLA,absLogFC_UCLA,power_alpha0.05_UCLA,power_alpha0.1_UCLA,logFC_BV,CI.L_BV,CI.R_BV,AveExpr_BV_AllSamples,AveExpr_BV_Males,AveExpr_BV_Females,t_BV,P.Value_BV,adj.P.Val_BV,B_BV,SE_BV,SE2_BV,absLogFC_BV,power_alpha0.05_BV,power_alpha0.1_BV,invNorm_adjPval,invNorm_testStats,invNorm_rawPval
ENSG00000000003,TSPAN6,chrX,protein_coding,X,-0.0652451,-0.275184448,0.144694248,4.614213552,3.152539975,3.21778508,-0.613509458,0.540363849,0.984668023,-8.843309136,0.107111912,0.011472962,0.0652451,0.093603867,0.162653751,0.025840907,-0.052416657,0.104098472,3.830177864,3.404897942,3.373325977,0.65901689,0.512130234,0.970883579,-8.079060757,0.039927329,0.001594192,0.025840907,0.099579658,0.171292387,0.966017261,-0.100824079,0.540154944
ENSG00000000419,DPM1,chr20,protein_coding,Auto,-0.007504629,-0.040046878,0.02503762,4.456264933,4.726384533,4.733889162,-0.455248844,0.649514165,0.988161107,-8.886662774,0.016603188,0.000275666,0.007504629,0.073786385,0.134683597,0.001982097,-0.059458792,0.063422986,4.506969879,4.186037751,4.165683522,0.064384683,0.948854509,0.999083566,-8.459685752,0.031347392,0.000982659,0.001982097,0.050461623,0.10068915,0.99542009,-1.239306059,0.892383912
ENSG00000000457,SCYL3,chr1,protein_coding,Auto,0.006993638,-0.02366649,0.037653766,4.666840653,5.106720141,5.099726503,0.450294245,0.65307502,0.988161107,-8.934628176,0.015642922,0.000244701,0.006993638,0.073265283,0.133937269,-0.014637291,-0.078071022,0.048796439,4.661384622,3.908711579,3.932515868,-0.460527511,0.6466201,0.980359036,-8.385405914,0.032364148,0.001047438,0.014637291,0.073928173,0.135062471,0.98579049,-0.537293279,0.704467476
ENSG00000000460,C1orf112,chr1,protein_coding,Auto,0.001735129,-0.039547326,0.043017583,4.301479839,4.366154711,4.364419583,0.08297234,0.933971664,0.995986139,-8.943490089,0.021062477,0.000443628,0.001735129,0.05078007,0.101158381,0.061251262,-0.003322781,0.125825304,3.975365335,3.391570932,3.336832014,1.893093982,0.062639701,0.808240387,-6.590420921,0.03294594,0.001085435,0.061251262,0.462672306,0.590854152,0.981981493,-0.377717766,0.647179866
ENSG00000000971,CFH,chr1,protein_coding,Auto,0.07470544,-0.023757413,0.173168293,1.070598974,0.76889554,0.694190097,1.497776508,0.136055549,0.924072306,-6.93514007,0.05023615,0.002523671,0.07470544,0.319212143,0.440025544,-0.310330133,-0.694935687,0.07427542,1.817965004,2.576323957,2.658844359,-1.610361986,0.111992824,0.889807443,-6.534534486,0.196227323,0.038505162,0.310330133,0.354941507,0.480389132,0.790406507,1.59294167,0.055586639
ENSG00000001036,FUCA2,chr6,protein_coding,Auto,-0.038859249,-0.086409173,0.008690676,3.534985555,4.067198395,4.106057643,-1.613287503,0.108546561,0.900071633,-7.442251768,0.024260166,0.000588556,0.038859249,0.361163938,0.485407989,0.039196155,-0.038863858,0.117256168,2.959310678,2.209811461,2.222968001,1.002143603,0.319858663,0.945968004,-7.592045496,0.039826537,0.001586153,0.039196155,0.167111629,0.261136993,0.855524457,1.283059716,0.099735578
ENSG00000001084,GCLC,chr6,protein_coding,Auto,0.000515125,-0.037052929,0.038083179,4.263125893,4.186108202,4.185593077,0.027068303,0.978437171,0.998039314,-8.936817508,0.019167374,0.000367388,0.000515125,0.050082986,0.100123302,0.122654455,0.06333114,0.18197777,4.043349465,4.197202905,4.061878436,4.126416197,0.000103517,0.029998781,-0.677410487,0.030266997,0.000916091,0.122654455,0.982440369,0.992649393,0.938496781,0.425114829,0.335376484
ENSG00000001167,NFYA,chr6,protein_coding,Auto,0.012451826,-0.020498128,0.045401779,6.512497418,6.281264587,6.268812763,0.746011327,0.456696314,0.983531926,-9.057350007,0.016811201,0.000282616,0.012451826,0.115026203,0.192047844,0.062161496,-0.009285679,0.133608671,5.678129119,6.458592701,6.445039244,1.736406934,0.08706099,0.859414875,-7.132927371,0.03645264,0.001328795,0.062161496,0.402072122,0.529914568,0.906162727,0.856997647,0.195723093
ENSG00000001460,STPG1,chr1,protein_coding,Auto,0.057711613,-0.119891591,0.235314817,1.296803451,-0.186515974,-0.244227587,0.641474829,0.522082698,0.983531926,-7.925531535,0.090613879,0.008210875,0.057711613,0.097754315,0.168414169,0.158402771,-0.188994446,0.505799987,1.505895746,1.834785343,1.738263952,0.910021289,0.366054294,0.954676197,-7.329488992,0.177243478,0.03141525,0.158402771,0.146060134,0.23390297,0.956438981,0.147534209,0.44135519
ENSG00000001461,NIPAL3,chr1,protein_coding,Auto,0.005513307,-0.068333307,0.079359922,3.875238595,3.025699759,3.02018645,0.147383486,0.883004908,0.990774079,-8.829399803,0.037676844,0.001419545,0.005513307,0.052463808,0.10365362,0.122008912,-0.029288013,0.273305838,3.020928317,4.343779648,4.209074348,1.609446575,0.112193041,0.889807443,-6.851768491,0.077192309,0.005958653,0.122008912,0.354606738,0.480030367,0.97716979,-0.29650763,0.616578779
ENSG00000001497,LAS1L,chrX,protein_coding,X,0.012301786,-0.016209806,0.040813378,5.467543355,5.499376632,5.487074846,0.851753439,0.395555513,0.975493453,-8.837496757,0.014546731,0.000211607,0.012301786,0.135346701,0.219198891,0.026736431,-0.049590154,0.103063016,4.856032382,4.58687265,4.53541525,0.699105493,0.486891742,0.970312305,-8.276158466,0.038942135,0.00151649,0.026736431,0.105939257,0.180078415,0.95265809,0.237179587,0.406258736
ENSG00000001561,ENPP4,chr6,protein_coding,Auto,0.013034278,-0.030668947,0.056737502,4.294019582,4.276251749,4.263217475,0.588763253,0.556805689,0.987780657,-8.779375521,0.022297563,0.000497181,0.013034278,0.09009513,0.157758383,0.056345023,-0.037763953,0.150453999,4.161967146,4.060056394,4.083952852,1.194922187,0.236305331,0.928287564,-7.675071381,0.048014784,0.002305419,0.056345023,0.217949392,0.324409595,0.947938496,0.287526434,0.386854632
ENSG00000001617,SEMA3F,chr3,protein_coding,Auto,0.005692528,-0.025650859,0.037035916,4.767872399,4.780424999,4.774732468,0.358530814,0.720393294,0.989640717,-9.000882298,0.015991524,0.000255729,0.005692528,0.064682537,0.121560495,-0.029671717,-0.119225924,0.05988249,4.198760747,3.608691462,3.649870037,-0.661259306,0.510700281,0.970811021,-8.171536061,0.045690922,0.00208766,0.029671717,0.099925123,0.171771575,0.98579049,-0.49719705,0.690474949
ENSG00000001629,ANKIB1,chr7,protein_coding,Auto,0.01209882,-0.004761999,0.028959638,7.57033348,7.744069872,7.731971053,1.416548854,0.158454297,0.930848237,-8.403922828,0.008602458,7.40E-05,0.01209882,0.291038693,0.408625454,0.014207518,-0.016545926,0.044960961,7.732212509,7.444960436,7.429270469,0.922018357,0.359807811,0.954676197,-8.233247346,0.015690532,0.000246193,0.014207518,0.148680708,0.237328855,0.887202519,1.028752807,0.151797924
ENSG00000001631,KRIT1,chr7,protein_coding,Auto,-0.008701325,-0.030765115,0.013362465,6.284488745,6.181934451,6.190635775,-0.77852481,0.437347643,0.982329245,-9.010456306,0.011257036,0.000126721,0.008701325,0.120967928,0.200057443,-0.012852426,-0.060348179,0.034643326,5.649554641,5.511220074,5.523405027,-0.540064301,0.590932776,0.977030856,-8.488547821,0.024232527,0.000587215,0.012852426,0.08305431,0.148103305,0.959651253,0.00035831,0.499857055
ENSG00000002016,RAD52,chr12,protein_coding,Auto,0.002262576,-0.041451599,0.045976751,4.605170774,4.489026519,4.486763944,0.102175794,0.918738194,0.99497757,-9.016576141,0.022303151,0.000497431,0.002262576,0.051183231,0.101756479,0.007997947,-0.063079676,0.07907557,4.296934329,4.645004987,4.673018952,0.224574658,0.822989627,0.993527927,-8.400007064,0.036264093,0.001315084,0.007997947,0.055633654,0.108374851,0.996077762,-1.676016568,0.953132526
ENSG00000002330,BAD,chr11,protein_coding,Auto,0.043643527,0.007732805,0.079554249,4.17210101,3.828818963,3.785175436,2.399180431,0.017519101,0.671982743,-6.079075412,0.018321797,0.000335688,0.043643527,0.664797584,0.771804306,0.028025844,-0.053850535,0.109902223,4.18793962,3.779501342,3.736070991,0.683148608,0.496854635,0.970811021,-8.156239268,0.041773663,0.001745039,0.028025844,0.103359703,0.176523604,0.754819477,1.744368051,0.040547466
ENSG00000002549,LAP3,chr4,protein_coding,Auto,0.025725107,-0.011499511,0.062949725,4.303463532,4.377594296,4.351869189,1.36425059,0.174301527,0.933459147,-8.020303283,0.018992152,0.000360702,0.025725107,0.273558476,0.388749255,-0.056115683,-0.136966676,0.024735311,3.897117942,3.481655514,3.53184823,-1.385204847,0.170557502,0.913282529,-7.365481744,0.041250507,0.001701604,0.056115683,0.276541863,0.393490293,0.842561859,1.311070098,0.094917041
ENSG00000002586,CD99,chrX,protein_coding,X,0.730937221,0.662295021,0.799579421,3.685928266,3.991310044,3.26037282,21.02113142,4.85E-49,2.81E-46,100.4295929,0.035021531,0.001226508,0.730937221,1,1,0.491928002,0.350177987,0.633678016,1.776877402,1.329944161,0.814382572,6.926176353,2.00E-09,8.70E-07,10.52051544,0.072321436,0.00523039,0.491928002,0.999999428,0.999999906,0,Inf,0
ENSG00000002587,HS3ST1,chr4,protein_coding,Auto,0.055700817,-0.008278035,0.119679669,5.234739123,4.362587327,4.30688651,1.718669319,0.087504616,0.869713616,-7.685321556,0.032642272,0.001065518,0.055700817,0.4010075,0.527077821,-0.024742334,-0.178968357,0.12948369,4.880482882,5.419580025,5.493034142,-0.320182881,0.749820218,0.989562689,-8.463810529,0.078686747,0.006191604,0.024742334,0.061489971,0.117000532,0.911828917,0.739060559,0.229935112
ENSG00000002746,HECW1,chr7,protein_coding,Auto,-0.001278097,-0.031195741,0.028639548,7.166720128,7.243749466,7.245027563,-0.084334151,0.932890513,0.995986139,-9.382467097,0.015264104,0.000232993,0.001278097,0.0508059,0.101196713,0.032613283,-0.043935198,0.109161764,7.89086939,8.275767403,8.22539565,0.850301711,0.398167983,0.964265332,-8.287456003,0.039055348,0.00152532,0.032613283,0.133557717,0.217412724,0.994028858,-1.090509635,0.862255644
ENSG00000002822,MAD1L1,chr7,protein_coding,Auto,0.008647948,-0.026966587,0.044262483,4.723131672,5.35329223,5.34464428,0.479350266,0.632308769,0.987780657,-8.937559895,0.018170681,0.000330174,0.008647948,0.076406416,0.13842734,0.052743064,-0.017797495,0.123283622,5.460125065,4.928605311,4.900864646,1.49224995,0.140299913,0.904601837,-7.497571867,0.035990081,0.001295286,0.052743064,0.312737711,0.434346743,0.944571034,0.330129362,0.370651109
ENSG00000002834,LASP1,chr17,protein_coding,Auto,0.000265751,-0.019796632,0.020328133,7.275227748,7.106418977,7.106153227,0.026149223,0.979169147,0.998039314,-9.392595183,0.010235909,0.000104774,0.000265751,0.050077446,0.100115072,0.009901618,-0.041730736,0.061533972,6.692163547,6.084179292,6.085002702,0.382736047,0.70311987,0.9868425,-8.610693917,0.026343038,0.000693956,0.009901618,0.066462957,0.12426317,0.997015863,-1.982396469,0.976282558
ENSG00000002919,SNX11,chr17,protein_coding,Auto,-0.025253258,-0.064200672,0.013694156,3.417213597,3.831808924,3.857062183,-1.27998826,0.202302346,0.94030694,-7.888833767,0.01987113,0.000394862,0.025253258,0.246579209,0.357448093,0.009049319,-0.080622799,0.098721437,3.025573794,3.751993341,3.7102373,0.201406546,0.840987317,0.994129994,-8.089847775,0.04575108,0.002093161,0.009049319,0.054528286,0.106737691,0.956438981,0.124241094,0.450562193
ENSG00000003056,M6PR,chr12,protein_coding,Auto,-0.00621598,-0.034726719,0.02229476,4.777987504,4.886373931,4.89258991,-0.430396074,0.667455554,0.988868367,-8.974810454,0.014546296,0.000211595,0.00621598,0.071232341,0.131020124,0.036609568,-0.025448731,0.098667866,4.150567301,3.825426522,3.816588848,1.177361542,0.243192162,0.930316717,-7.686927077,0.031662397,0.001002507,0.036609568,0.212950003,0.318332912,0.959341589,0.035622329,0.485791752
